dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001112,1.114999,0.000043,0.004261,0.213068,10.653409,6.282188
0.020000,0.001102,1.114999,0.000052,0.000474,-0.189358,-20.121321,6.282197
0.020000,0.001081,1.114999,0.000073,0.001067,0.029639,10.949857,6.282216
0.020000,0.001043,1.115000,0.000111,0.001897,0.041499,0.592985,6.282250
0.020000,0.000983,1.115000,0.000171,0.002964,0.053365,0.593302,6.282303
0.020000,0.000898,1.115000,0.000256,0.004269,0.065241,0.593821,6.282380
0.020000,0.000782,1.115000,0.000372,0.005812,0.077133,0.594593,6.282484
0.020000,0.000630,1.115000,0.000524,0.007593,0.089046,0.595669,6.282620
0.020000,0.000438,1.115000,0.000716,0.009612,0.100988,0.597100,6.282793
0.020000,0.000200,1.115000,0.000954,0.011872,0.112967,0.598937,6.283006
0.020000,0.001476,1.115000,0.002230,0.063787,2.595774,124.140370,0.000078
0.020000,0.007272,1.115001,0.008025,0.289779,11.299582,435.190402,0.000385
0.020000,0.014071,1.115005,0.014824,0.339954,2.508764,-439.540924,0.000746
0.020000,0.021956,1.115013,0.022709,0.394240,2.714281,10.275836,0.001165
0.020000,0.031008,1.115026,0.031761,0.452608,2.918388,10.205355,0.001646
0.020000,0.041304,1.115045,0.042058,0.514834,3.111342,9.647728,0.002195
0.020000,0.052928,1.115074,0.053681,0.581180,3.317304,10.298062,0.002815
0.020000,0.065958,1.115116,0.066712,0.651533,3.517618,10.015732,0.003512
0.020000,0.080474,1.115172,0.081227,0.725767,3.711715,9.704845,0.004290
0.020000,0.096554,1.115248,0.097308,0.804043,3.913802,10.104363,0.005155
0.020000,0.114281,1.115348,0.115035,0.886338,4.114736,10.046664,0.006110
0.020000,0.133733,1.115477,0.134488,0.972624,4.314301,9.978245,0.007162
0.020000,0.154949,1.115641,0.155705,1.060860,4.411800,4.874957,0.008313
0.020000,0.177929,1.115847,0.178685,1.149004,4.407226,-0.228672,0.009565
0.020000,0.202668,1.116100,0.203425,1.237027,4.401111,-0.305745,0.010918
0.020000,0.229168,1.116409,0.229927,1.325103,4.403812,0.135038,0.012374
0.020000,0.257427,1.116780,0.258189,1.413062,4.397957,-0.292754,0.013933
0.020000,0.287443,1.117224,0.288208,1.500952,4.394502,-0.172763,0.015598
0.020000,0.319212,1.117747,0.319981,1.588657,4.385266,-0.461801,0.017370
0.020000,0.352735,1.118361,0.353510,1.676456,4.389929,0.233174,0.019249
0.020000,0.388010,1.119075,0.388792,1.764086,4.381480,-0.422468,0.021239
0.020000,0.425032,1.119901,0.425823,1.851570,4.374223,-0.362832,0.023341
0.020000,0.463759,1.120848,0.464562,1.936943,4.268640,-5.279145,0.025555
0.020000,0.504110,1.121926,0.504928,2.018291,4.067390,-10.062518,0.027877
0.020000,0.546003,1.123145,0.546838,2.095512,3.861044,-10.317311,0.030305
0.020000,0.589351,1.124514,0.590208,2.168478,3.648341,-10.635126,0.032836
0.020000,0.634075,1.126042,0.634957,2.237491,3.450627,-9.885724,0.035469
0.020000,0.680089,1.127737,0.681003,2.302302,3.240577,-10.502468,0.038199
0.020000,0.727314,1.129609,0.728266,2.363106,3.040195,-10.019108,0.041025
0.020000,0.775664,1.131664,0.776658,2.419645,2.826909,-10.664318,0.043943
0.020000,0.825058,1.133910,0.826104,2.472254,2.630485,-9.821175,0.046950
