dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000043,0.004261,0.213068,10.653409,6.282188
0.020000,0.000000,0.000000,0.000213,0.012784,0.426136,10.653409,6.282197
0.020000,0.000000,0.000000,0.000597,0.025568,0.639205,10.653409,6.282216
0.020000,0.000000,0.000000,0.001278,0.042614,0.852273,10.653409,6.282250
0.020000,0.000000,0.000000,0.002344,0.063920,1.065341,10.653409,6.282303
0.020000,0.000000,0.000000,0.003878,0.089489,1.278409,10.653409,6.282380
0.020000,0.000000,0.000000,0.005966,0.119318,1.491477,10.653409,6.282484
0.020000,0.000000,0.000000,0.008693,0.153409,1.704545,10.653409,6.282620
0.020000,0.000000,0.000000,0.012145,0.191761,1.917614,10.653409,6.282793
0.020000,0.000000,0.000000,0.016406,0.234375,2.130682,10.653409,6.283006
0.020000,0.001563,0.000000,0.021563,0.281250,2.343750,10.653409,0.000078
0.020000,0.007701,0.000001,0.027699,0.332386,2.556818,10.653409,0.000385
0.020000,0.014902,0.000006,0.034901,0.387784,2.769886,10.653409,0.000746
0.020000,0.023254,0.000014,0.043253,0.447443,2.982955,10.653409,0.001165
0.020000,0.032843,0.000027,0.052841,0.511364,3.196023,10.653409,0.001646
0.020000,0.043751,0.000048,0.063750,0.579545,3.409091,10.653409,0.002195
0.020000,0.056067,0.000079,0.076065,0.651989,3.622159,10.653409,0.002815
0.020000,0.069875,0.000122,0.089872,0.728693,3.835227,10.653409,0.003512
0.020000,0.085257,0.000182,0.105256,0.809659,4.048295,10.653409,0.004290
0.020000,0.102302,0.000263,0.122301,0.894886,4.261364,10.653409,0.005155
0.020000,0.121094,0.000369,0.141094,0.984375,4.474432,10.653409,0.006110
0.020000,0.141719,0.000506,0.161719,1.078125,4.687500,10.653409,0.007162
0.020000,0.164219,0.000680,0.184219,1.171875,4.687500,0.000000,0.008313
0.020000,0.188593,0.000898,0.208594,1.265625,4.687500,0.000000,0.009565
0.020000,0.214841,0.001166,0.234844,1.359375,4.687500,0.000000,0.010918
0.020000,0.242964,0.001494,0.262969,1.453125,4.687500,0.000000,0.012374
0.020000,0.272962,0.001889,0.292969,1.546875,4.687500,0.000000,0.013933
