dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001112,-1.114999,0.000043,0.004261,0.213068,10.653409,6.282188
0.020000,-0.001102,-1.114999,0.000052,0.000474,-0.189358,-20.121321,6.282197
0.020000,-0.001081,-1.114999,0.000073,0.001067,0.029639,10.949857,6.282216
0.020000,-0.001043,-1.115000,0.000111,0.001897,0.041499,0.592985,6.282250
0.020000,-0.000983,-1.115000,0.000171,0.002964,0.053365,0.593302,6.282303
0.020000,-0.000898,-1.115000,0.000256,0.004269,0.065241,0.593821,6.282380
0.020000,-0.000782,-1.115000,0.000372,0.005812,0.077133,0.594593,6.282484
0.020000,-0.000630,-1.115000,0.000524,0.007593,0.089046,0.595669,6.282620
0.020000,-0.000438,-1.115000,0.000716,0.009612,0.100988,0.597100,6.282793
0.020000,-0.000200,-1.115000,0.000954,0.011872,0.112967,0.598937,6.283006
0.020000,0.001650,-1.115000,0.002805,0.092535,4.033151,196.009197,0.000078
0.020000,0.008131,-1.114998,0.009285,0.324022,11.574366,377.060733,0.000385
0.020000,0.015734,-1.114994,0.016888,0.380169,2.807355,-438.350524,0.000746
0.020000,0.024553,-1.114986,0.025707,0.440934,3.038253,11.544877,0.001165
0.020000,0.034679,-1.114971,0.035833,0.506292,3.267874,11.481089,0.001646
0.020000,0.046199,-1.114949,0.047353,0.575999,3.485366,10.874590,0.002195
0.020000,0.059206,-1.114917,0.060360,0.650355,3.717805,11.621946,0.002815
0.020000,0.073791,-1.114871,0.074945,0.729243,3.944382,11.328816,0.003512
0.020000,0.090041,-1.114807,0.091195,0.812533,4.164509,11.006397,0.004290
0.020000,0.108049,-1.114722,0.109204,0.900416,4.394157,11.482401,0.005155
0.020000,0.127906,-1.114610,0.129061,0.992879,4.623163,11.450275,0.006110
0.020000,0.149704,-1.114466,0.150859,1.089907,4.851360,11.409835,0.007162
0.020000,0.173488,-1.114282,0.174644,1.189225,4.965922,5.728140,0.008313
0.020000,0.199258,-1.114051,0.200415,1.288559,4.966688,0.038274,0.009565
0.020000,0.227014,-1.113767,0.228173,1.387884,4.966261,-0.021342,0.010918
0.020000,0.256760,-1.113421,0.257921,1.487410,4.976279,0.500874,0.012374
0.020000,0.288497,-1.113003,0.289660,1.586955,4.977265,0.049326,0.013933
0.020000,0.322225,-1.112505,0.323392,1.686585,4.981525,0.213014,0.015598
0.020000,0.357944,-1.111916,0.359116,1.786183,4.979883,-0.082130,0.017370
0.020000,0.395659,-1.111226,0.396837,1.886073,4.994483,0.729991,0.019249
0.020000,0.435370,-1.110422,0.436556,1.985972,4.994975,0.024609,0.021239
0.020000,0.477078,-1.109492,0.478275,2.085921,4.997453,0.123903,0.023341
0.020000,0.520739,-1.108424,0.521949,2.183715,4.889702,-5.387565,0.025555
0.020000,0.566267,-1.107208,0.567493,2.277201,4.674300,-10.770054,0.027877
0.020000,0.613572,-1.105831,0.614818,2.366263,4.453092,-11.060442,0.030305
0.020000,0.662563,-1.104284,0.663834,2.450754,4.224560,-11.426575,0.032836
0.020000,0.713154,-1.102556,0.714454,2.531010,4.012762,-10.589891,0.035469
0.020000,0.765253,-1.100636,0.766589,2.606745,3.786759,-11.300140,0.038199
0.020000,0.818775,-1.098515,0.820152,2.678172,3.571369,-10.769523,0.041025
