dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.046037,11.558508,0.000393,0.039312,1.965602,98.280098,3.137787
0.020000,17.045760,11.558509,0.000670,0.013838,-1.273686,-161.964418,3.137522
0.020000,17.045139,11.558511,0.001292,0.031081,0.862133,106.790960,3.136925
0.020000,17.041106,11.558533,0.005325,0.201652,8.528559,383.321309,3.135868
0.020000,17.029568,11.558609,0.016862,0.576897,18.762261,511.685096,3.134226
0.020000,17.012976,11.558750,0.033455,0.829629,12.636578,-306.284140,3.131883
0.020000,16.990438,11.559005,0.055994,1.126967,14.866917,111.516956,3.128737
0.020000,16.961075,11.559442,0.085360,1.468298,17.066560,109.982129,3.124699
0.020000,16.924036,11.560160,0.122406,1.852295,19.199819,106.662969,3.119702
0.020000,16.878493,11.561295,0.167964,2.277894,21.279959,104.007000,3.113706
0.020000,16.823655,11.563018,0.222828,2.743207,23.265633,99.283683,3.106700
0.020000,16.759220,11.565525,0.287313,3.224230,24.051163,39.276520,3.098760
0.020000,16.685359,11.569015,0.361256,3.697147,23.645839,-20.266222,3.090044
0.020000,16.602266,11.573695,0.444481,4.161263,23.205808,-22.001565,3.080719
0.020000,16.510144,11.579765,0.536803,4.616075,22.740624,-23.259164,3.070964
0.020000,16.409209,11.587420,0.638028,5.061255,22.258983,-24.082054,3.060964
0.020000,16.299680,11.596832,0.747960,5.496624,21.768455,-24.526425,3.050908
0.020000,16.181780,11.608152,0.866402,5.922085,21.273064,-24.769520,3.040986
0.020000,16.055732,11.621499,0.993155,6.337634,20.777432,-24.781592,3.031388
0.020000,15.921753,11.636954,1.128022,6.743368,20.286713,-24.535954,3.022303
0.020000,15.780056,11.654555,1.270808,7.139290,19.796086,-24.531366,3.013919
0.020000,15.630850,11.674295,1.421315,7.525348,19.302891,-24.659732,3.006425
0.020000,15.474335,11.696111,1.579342,7.901389,18.802068,-25.041146,3.000014
0.020000,15.310712,11.719883,1.744683,8.267048,18.282923,-25.957279,2.994886
0.020000,15.140181,11.745425,1.917117,8.621656,17.730403,-27.625992,2.991253
0.020000,14.962948,11.772474,2.096402,8.964270,17.130699,-29.985220,2.989344
0.020000,14.779234,11.800689,2.282270,9.293387,16.455858,-33.742035,2.989419
0.020000,14.589287,11.829628,2.474409,9.606941,15.677711,-38.907338,2.991777
0.020000,14.393398,11.858742,2.672450,9.902061,14.756019,-46.084599,2.996772
0.020000,14.191922,11.887350,2.875946,10.174820,13.637910,-55.905435,3.004832
0.020000,13.985316,11.914621,3.084344,10.419890,12.253497,-69.220694,3.016490
0.020000,13.774181,11.939545,3.296945,10.630057,10.508374,-87.256148,3.032415
0.020000,13.559329,11.960906,3.512856,10.795568,8.275542,-111.641559,3.053464
0.020000,13.341875,11.977256,3.730924,10.903392,5.391202,-144.217002,3.080745
0.020000,13.123365,11.986896,3.949647,10.936123,1.636541,-187.733065,3.115696
