dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.050000,12.600000,0.000393,0.039312,1.965602,98.280098,3.137787
0.020000,17.050000,12.600000,0.001966,0.117936,3.931204,98.280098,3.137522
0.020000,17.050000,12.600000,0.005504,0.235872,5.896806,98.280098,3.136925
0.020000,17.047068,12.600016,0.011794,0.393120,7.862408,98.280098,3.135868
0.020000,17.037240,12.600080,0.021622,0.589681,9.828010,98.280098,3.134226
0.020000,17.023088,12.600201,0.035774,0.825553,11.793612,98.280098,3.131883
0.020000,17.003827,12.600419,0.055037,1.100737,13.759214,98.280098,3.128737
0.020000,16.978669,12.600793,0.080197,1.415233,15.724816,98.280098,3.124699
0.020000,16.946833,12.601411,0.112039,1.769042,17.690418,98.280098,3.119702
0.020000,16.907533,12.602390,0.151351,2.162162,19.656020,98.280098,3.113706
0.020000,16.859989,12.603884,0.198919,2.594595,21.621622,98.280098,3.106700
0.020000,16.803816,12.606070,0.255135,3.027027,21.621622,-0.000000,3.098760
0.020000,16.739023,12.609132,0.320000,3.459459,21.621622,0.000000,3.090044
0.020000,16.665626,12.613266,0.393514,3.891892,21.621622,0.000000,3.080719
0.020000,16.583642,12.618669,0.475676,4.324324,21.621622,-0.000000,3.070964
0.020000,16.493092,12.625536,0.566486,4.756757,21.621622,0.000000,3.060964
0.020000,16.393998,12.634052,0.665946,5.189189,21.621622,-0.000000,3.050908
0.020000,16.286385,12.644386,0.774054,5.621622,21.621622,0.000000,3.040986
0.020000,16.170278,12.656681,0.890811,6.054054,21.621622,0.000000,3.031388
0.020000,16.045699,12.671052,1.016216,6.486486,21.621622,0.000000,3.022303
0.020000,15.912668,12.687578,1.150270,6.918919,21.621622,0.000000,3.013919
0.020000,15.771198,12.706295,1.292973,7.351351,21.621622,0.000000,3.006425
0.020000,15.621297,12.727191,1.444324,7.783784,21.621622,0.000000,3.000014
0.020000,15.462959,12.750196,1.604324,8.216216,21.621622,-0.000000,2.994886
0.020000,15.296171,12.775177,1.772973,8.648649,21.621622,0.000000,2.991253
0.020000,15.120903,12.801927,1.950270,9.081081,21.621622,0.000000,2.989344
0.020000,14.937112,12.830153,2.136216,9.513514,21.621622,0.000000,2.989419
0.020000,14.744737,12.859462,2.330811,9.945946,21.621622,-0.000000,2.991777
0.020000,14.543702,12.889339,2.534054,10.378378,21.621622,0.000000,2.996772
0.020000,14.333915,12.919125,2.745946,10.810811,21.621622,-0.000000,3.004832
0.020000,14.115271,12.947981,2.966486,11.243243,21.621622,0.000000,3.016490
0.020000,13.887664,12.974844,3.195676,11.675676,21.621622,-0.000000,3.032415
0.020000,13.650996,12.998365,3.433514,12.108108,21.621622,0.000000,3.053464
0.020000,13.405209,13.016829,3.680000,12.540541,21.621622,-0.000000,3.080745
0.020000,13.150334,13.028046,3.935135,12.972973,21.621622,0.000000,3.115696
0.020000,12.886574,13.029211,4.198919,13.405405,21.621622,-0.000000,3.160187
0.020000,12.614465,13.016727,4.471351,13.837838,21.621622,0.000000,3.216606
0.020000,12.335513,12.986086,4.752039,14.230958,19.656020,-98.280098,3.287757
0.020000,12.052588,12.931926,5.040197,14.584767,17.690418,-98.280098,3.376503
0.020000,11.770001,12.848322,5.335037,14.899263,15.724816,-98.280098,3.484957
0.020000,11.493899,12.729633,5.635774,15.174447,13.759214,-98.280098,3.612820
0.020000,11.232079,12.572046,5.941622,15.410319,11.793612,-98.280098,3.755405
0.020000,10.992673,12.375284,6.251794,15.606880,9.828010,-98.280098,3.903272
0.020000,10.781989,12.143207,6.565504,15.764128,7.862408,-98.280098,4.045187
0.020000,10.602907,11.882550,6.881966,15.882064,5.896806,-98.280098,4.172612
0.020000,10.454936,11.600772,7.200393,15.960688,3.931204,-98.280098,4.281877
0.020000,10.335422,11.304471,7.520000,16.000000,1.965602,-98.280098,4.373247
0.020000,10.240847,10.998848,7.840000,16.000000,0.000000,-98.280098,4.448936
0.020000,10.167565,10.687406,8.160000,16.000000,0.000000,0.000000,4.511729
