dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.053963,13.641492,0.000393,0.039312,1.965602,98.280098,3.137787
0.020000,17.054240,13.641491,0.000670,0.013838,-1.273686,-161.964418,3.137522
0.020000,17.054861,13.641489,0.001292,0.031081,0.862133,106.790960,3.136925
0.020000,17.053031,13.641499,0.003122,0.091539,3.022890,108.037867,3.135868
0.020000,17.044913,13.641552,0.011240,0.405895,15.717828,634.746874,3.134226
0.020000,17.033200,13.641652,0.022954,0.585677,8.989069,-336.437951,3.131883
0.020000,17.017215,13.641833,0.038939,0.799279,10.680125,84.552796,3.128737
0.020000,16.996263,13.642144,0.059894,1.047716,12.421846,87.086084,3.124699
0.020000,16.969630,13.642661,0.086532,1.331906,14.209490,89.382191,3.119702
0.020000,16.936573,13.643485,0.119599,1.653379,16.073674,93.209187,3.113706
0.020000,16.896323,13.644750,0.159869,2.013481,18.005103,96.571456,3.106700
0.020000,16.848412,13.646614,0.207816,2.397363,19.194098,59.449741,3.098760
0.020000,16.792688,13.649249,0.263603,2.789331,19.598362,20.213203,3.090044
0.020000,16.728987,13.652837,0.327404,3.190073,20.037141,21.938984,3.080719
0.020000,16.657141,13.657572,0.399406,3.600108,20.501729,23.229381,3.070964
0.020000,16.576976,13.663653,0.479802,4.019783,20.983739,24.100492,3.060964
0.020000,16.488317,13.671273,0.568788,4.449299,21.475798,24.602961,3.050908
0.020000,16.390990,13.680620,0.666562,4.888706,21.970384,24.729273,3.040986
0.020000,16.284824,13.691863,0.773322,5.337983,22.463851,24.673370,3.031388
0.020000,16.169646,13.705150,0.889264,5.797129,22.957288,24.671840,3.022303
0.020000,16.045280,13.720601,1.014586,6.266091,23.448065,24.538842,3.013919
0.020000,15.911547,13.738295,1.149484,6.744897,23.940321,24.612796,3.006425
0.020000,15.768258,13.758270,1.294159,7.233733,24.441815,25.074712,3.000014
0.020000,15.615206,13.780508,1.448818,7.732964,24.961556,25.987038,2.994886
0.020000,15.452161,13.804929,1.613682,8.243196,25.511592,27.501841,2.991253
0.020000,15.278858,13.831379,1.788992,8.765472,26.113814,30.111057,2.989344
0.020000,15.094990,13.859618,1.975016,9.301220,26.787387,33.678695,2.989419
0.020000,14.900187,13.889296,2.172066,9.852521,27.565031,38.882169,2.991777
0.020000,14.694006,13.919937,2.380511,10.422247,28.486322,46.064564,2.996772
0.020000,14.475907,13.950901,2.600798,11.014319,29.603610,55.864419,3.004832
0.020000,14.245226,13.981342,2.833479,11.634061,30.987070,69.172965,3.016490
0.020000,14.001146,14.010143,3.079252,12.288659,32.729891,87.141050,3.032415
0.020000,13.742663,14.035823,3.339008,12.987786,34.956365,111.323717,3.053464
0.020000,13.468544,14.056401,3.613898,13.744522,37.836813,144.022387,3.080745
0.020000,13.177303,14.069197,3.905420,14.576093,41.578525,187.085599,3.115696
0.020000,12.867209,14.070531,4.215516,15.504817,46.436216,242.884558,3.160187
