dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.045979,11.558508,0.000721,0.072072,3.603604,180.180180,3.137732
0.020000,17.045472,11.558510,0.001228,0.025353,-2.335957,-296.978051,3.137245
0.020000,17.043106,11.558522,0.003594,0.118291,4.646910,349.143349,3.136153
0.020000,17.029568,11.558609,0.017132,0.676940,27.932469,1164.277949,3.134226
0.020000,17.008450,11.558796,0.038251,1.055951,18.950519,-449.097492,3.131248
0.020000,16.978117,11.559174,0.068586,1.516743,23.039616,204.454858,3.127034
0.020000,16.937815,11.559871,0.108894,2.015410,24.933351,94.686750,3.121548
0.020000,16.887661,11.561044,0.159062,2.508385,24.648753,-14.229871,3.114900
0.020000,16.827799,11.562874,0.218952,2.994481,24.304803,-17.197539,3.107221
0.020000,16.758396,11.565560,0.288407,3.472759,23.913902,-19.545055,3.098661
0.020000,16.679636,11.569313,0.367257,3.942481,23.486091,-21.390534,3.089385
0.020000,16.591721,11.574343,0.455315,4.402930,23.022434,-23.182830,3.079572
0.020000,16.494865,11.580858,0.552390,4.853758,22.541403,-24.051564,3.069404
0.020000,16.389289,11.589048,0.658284,5.294661,22.045174,-24.811426,3.059074
0.020000,16.275217,11.599083,0.772796,5.725594,21.546641,-24.926691,3.048773
0.020000,16.152877,11.611104,0.895725,6.146486,21.044594,-25.102314,3.038694
0.020000,16.022490,11.625217,1.026874,6.557414,20.546400,-24.909735,3.029027
0.020000,15.884275,11.641490,1.166043,6.958467,20.052657,-24.687125,3.019964
0.020000,15.738445,11.659944,1.313036,7.349655,19.559405,-24.662622,3.011692
0.020000,15.585206,11.680550,1.467654,7.730917,19.063088,-24.815850,3.004403
0.020000,15.424759,11.703222,1.629695,8.102040,18.556124,-25.348187,2.998291
0.020000,15.257304,11.727812,1.798947,8.462582,18.027108,-26.450814,2.993560
0.020000,15.083041,11.754105,1.975182,8.811771,17.459449,-28.382933,2.990428
0.020000,14.902181,11.781806,2.158151,9.148447,16.833824,-31.281256,2.989134
0.020000,14.714953,11.810531,2.347570,9.470928,16.124023,-35.490021,2.989952
0.020000,14.521618,11.839795,2.543106,9.776839,15.295573,-41.422503,2.993200
0.020000,14.322489,11.868996,2.744365,10.062925,14.304300,-49.563682,2.999257
0.020000,14.117957,11.897390,2.950859,10.324715,13.089512,-60.739410,3.008591
0.020000,13.908526,11.924075,3.161983,10.556191,11.573792,-75.785984,3.021783
0.020000,13.694872,11.947956,3.376967,10.749197,9.650285,-96.175323,3.039572
0.020000,13.477917,11.967718,3.594821,10.892689,7.174608,-123.783882,3.062907
0.020000,13.258931,11.981806,3.814259,10.971919,3.961491,-160.655835,3.093021
0.020000,13.039680,11.988411,4.033610,10.967531,-0.219372,-209.043162,3.131519
0.020000,12.822603,11.985509,4.250707,10.854840,-5.634588,-270.760790,3.180478
0.020000,12.610991,11.970985,4.462816,10.605484,-12.467764,-341.658810,3.242516
0.020000,12.409047,11.942891,4.666705,10.194441,-20.552190,-404.221307,3.320734
0.020000,12.221540,11.899848,4.859089,9.619213,-28.761388,-410.459873,3.418280
0.020000,12.052976,11.841464,5.037477,8.919390,-34.991139,-311.487564,3.536848
0.020000,11.905160,11.767882,5.202595,8.255902,-33.174380,90.837962,3.674361
0.020000,11.775199,11.677706,5.360778,7.909141,-17.338075,791.815217,3.823360
0.020000,11.657522,11.566432,5.522733,8.097761,9.431008,1338.454185,3.972194
0.020000,11.548391,11.428399,5.698695,8.798099,35.016871,1279.293116,4.109668
0.020000,11.447902,11.260869,5.894052,9.767862,48.488181,673.565507,4.229229
0.020000,11.358016,11.065215,6.109367,10.765712,49.892495,70.215718,4.329657
0.020000,11.280380,10.845261,6.342620,11.662642,44.846518,-252.298861,4.412882
0.020000,11.215690,10.605637,6.590822,12.410146,37.375174,-373.567190,4.481772
0.020000,11.163762,10.350634,6.851059,13.011826,30.083994,-364.559023,4.539121
0.020000,11.123877,10.083798,7.120859,13.489983,23.907885,-308.805438,4.587292
0.020000,11.095068,9.807889,7.398268,13.870461,19.023861,-244.201201,4.628167
0.020000,11.076312,9.525019,7.681759,14.174538,15.203860,-191.000060,4.663207
0.020000,11.066617,9.236783,7.970158,14.419971,12.271676,-146.609166,4.693542
0.020000,11.064931,8.961315,8.245631,13.773667,-32.315211,-2229.344344,4.718005
0.020000,11.070180,8.667515,8.539478,14.692339,45.933608,3912.440932,4.743113
0.020000,11.083154,8.377851,8.829433,14.497740,-9.729955,-2783.178161,4.771945
0.020000,11.104748,8.093513,9.114589,14.257827,-11.995662,-113.285362,4.805393
0.020000,11.135945,7.816144,9.393707,13.955894,-15.096632,-155.048470,4.844627
0.020000,11.177777,7.547926,9.665167,13.572991,-19.145159,-202.426384,4.891210
0.020000,11.231226,7.291810,9.926801,13.081685,-24.565312,-271.007625,4.947217
0.020000,11.297015,7.051707,10.175755,12.447700,-31.699232,-356.696021,5.015385
