dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.054021,13.641492,0.000721,0.072072,3.603604,180.180180,3.137732
0.020000,17.054528,13.641490,0.001228,0.025353,-2.335957,-296.978051,3.137245
0.020000,17.054436,13.641491,0.001319,0.004582,-1.038534,64.871184,3.136153
0.020000,17.044913,13.641552,0.010843,0.476170,23.579376,1230.895471,3.134226
0.020000,17.029997,13.641684,0.025760,0.745850,13.484006,-504.768481,3.131248
0.020000,17.008441,13.641953,0.047317,1.077854,16.600223,155.810859,3.127034
0.020000,16.979564,13.642453,0.076198,1.444060,18.310283,85.502977,3.121548
0.020000,16.943255,13.643302,0.112517,1.815967,18.595356,14.253665,3.114900
0.020000,16.899382,13.644644,0.156411,2.194691,18.936173,17.040839,3.107221
0.020000,16.847796,13.646641,0.208036,2.581235,19.327231,19.552898,3.098661
0.020000,16.788334,13.649475,0.267565,2.976438,19.760146,21.645757,3.089385
0.020000,16.720828,13.653339,0.335181,3.380822,20.219206,22.952992,3.079572
0.020000,16.645102,13.658433,0.411078,3.794866,20.702209,24.150162,3.069404
0.020000,16.560979,13.664960,0.495454,4.218788,21.196056,24.692367,3.059074
0.020000,16.468282,13.673116,0.588509,4.652753,21.698264,25.110368,3.048773
0.020000,16.366837,13.683086,0.690444,5.096719,22.198327,25.003139,3.038694
0.020000,16.256469,13.695034,0.801457,5.550647,22.696372,24.902272,3.029027
0.020000,16.137004,13.709102,0.921746,6.014479,23.191600,24.761377,3.019964
0.020000,16.008268,13.725395,1.051509,6.488162,23.684182,24.629111,3.011692
0.020000,15.870077,13.743978,1.190945,6.971761,24.179946,24.788191,3.004403
0.020000,15.722236,13.764871,1.340255,7.465504,24.687144,25.359935,2.998291
0.020000,15.564530,13.788031,1.499652,7.969848,25.217202,26.502873,2.993560
0.020000,15.396719,13.813352,1.669362,8.485536,25.784374,28.358612,2.990428
0.020000,15.218522,13.840645,1.849637,9.013728,26.409630,31.262794,2.989134
0.020000,15.029611,13.869628,2.040759,9.556113,27.119247,35.480880,2.989952
0.020000,14.829588,13.899903,2.243060,10.115054,27.947036,41.389411,2.993200
0.020000,14.617974,13.930931,2.456937,10.693821,28.938336,49.565035,2.999257
0.020000,14.394183,13.961994,2.682873,11.296837,30.150800,60.623205,3.008591
0.020000,14.157492,13.992143,2.921476,11.930141,31.665236,75.721766,3.021783
0.020000,13.907013,14.020125,3.173514,12.601882,33.587053,96.090873,3.039572
0.020000,13.641650,14.044273,3.439974,13.322992,36.055454,123.420035,3.062907
0.020000,13.360066,14.062350,3.722137,14.108160,39.258446,160.149587,3.093021
0.020000,13.060663,14.071306,4.021674,14.976837,43.433812,208.768299,3.131519
0.020000,12.741626,14.066935,4.340741,15.953358,48.826067,269.612771,3.180478
0.020000,12.401125,14.043385,4.682055,17.065725,55.618326,339.612937,3.242516
0.020000,12.037888,13.992557,5.048831,18.338775,63.652531,401.710235,3.320734
0.020000,11.652526,13.903623,5.444322,19.774555,71.788975,406.822222,3.418280
0.020000,11.250930,13.763861,5.869543,21.261061,74.325331,126.817777,3.536848
0.020000,10.847163,13.562188,6.320874,22.566536,65.273753,-452.578869,3.674361
0.020000,10.462563,13.295072,6.789135,23.413047,42.325531,-1147.411100,3.823360
0.020000,10.119566,12.971274,7.260826,23.584539,8.574585,-1687.547305,3.972194
0.020000,9.832424,12.609223,7.722920,23.104710,-23.991421,-1628.300303,4.109668
0.020000,9.603340,12.228588,8.167175,22.212772,-44.596908,-1030.274354,4.229229
0.020000,9.425725,11.843124,8.591592,21.220845,-49.596379,-249.973526,4.329657
0.020000,9.290111,11.459849,8.998152,20.327969,-44.643774,247.630234,4.412882
0.020000,9.187836,11.081766,9.389824,19.583600,-37.218442,371.266614,4.481772
0.020000,9.111951,10.709747,9.769503,18.983963,-29.981850,361.829575,4.539121
0.020000,9.057154,10.343696,10.139633,18.506488,-23.873748,305.405109,4.587292
0.020000,9.019452,9.983116,10.502178,18.127283,-18.960283,245.673241,4.628167
0.020000,8.995830,9.627424,10.858654,17.823798,-15.174238,189.302262,4.663207
0.020000,8.983986,9.276040,11.210238,17.579177,-12.231019,147.160945,4.693542
0.020000,8.981964,8.949616,11.536668,16.321507,-62.883505,-2532.624317,4.718005
0.020000,8.988163,8.603528,11.882812,17.307203,49.284807,5608.415629,4.743113
0.020000,9.003847,8.253869,12.232822,17.500489,9.664287,-1981.025992,4.771945
0.020000,9.030750,7.900066,12.587647,17.741261,12.038578,118.714513,4.805393
0.020000,9.071131,7.541493,12.948486,18.041938,15.033842,149.763225,4.844627
0.020000,9.127992,7.177425,13.316968,18.424102,19.108236,203.719710,4.891210
0.020000,9.205395,6.807147,13.695249,18.914083,24.499050,269.540678,4.947217
0.020000,9.308902,6.430178,14.086170,19.546035,31.597579,354.926435,5.015385
