dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.046067,11.558507,0.000222,0.022161,1.108033,55.401662,3.137816
0.020000,17.045911,11.558508,0.000378,0.007804,-0.717853,-91.294301,3.137667
0.020000,17.045560,11.558509,0.000728,0.017541,0.486848,60.235020,3.137330
0.020000,17.044938,11.558512,0.001351,0.031123,0.679134,9.614309,3.136732
0.020000,17.040642,11.558536,0.005647,0.214796,9.183657,425.226179,3.135801
0.020000,17.031275,11.558596,0.015014,0.468333,12.676853,174.659805,3.134468
0.020000,17.018541,11.558699,0.027748,0.636739,8.420269,-212.829221,3.132667
0.020000,17.001932,11.558866,0.044358,0.830505,9.688293,63.401215,3.130337
0.020000,16.980951,11.559133,0.065341,1.049133,10.931395,62.155073,3.127425
0.020000,16.955109,11.559545,0.091186,1.292258,12.156295,61.244995,3.123887
0.020000,16.923928,11.560163,0.122374,1.559376,13.355897,59.980127,3.119688
0.020000,16.886943,11.561064,0.159369,1.849784,14.520385,58.224406,3.114806
0.020000,16.843708,11.562343,0.202624,2.162703,15.645962,56.278849,3.109235
0.020000,16.793790,11.564116,0.252572,2.497437,16.736703,54.537055,3.102981
0.020000,16.736782,11.566517,0.309632,2.852966,17.776414,51.985517,3.096069
0.020000,16.672291,11.569700,0.374201,3.228475,18.775439,49.951273,3.088544
0.020000,16.599952,11.573836,0.446658,3.622835,19.718019,47.128963,3.080466
0.020000,16.519423,11.579113,0.527360,4.035099,20.613186,44.758360,3.071919
0.020000,16.430383,11.585730,0.616645,4.464277,21.458933,42.287371,3.063003
0.020000,16.333022,11.593850,0.714344,4.884920,21.032118,-21.340776,3.053883
0.020000,16.228023,11.603572,0.819792,5.272418,19.374926,-82.859606,3.044768
0.020000,16.116047,11.614960,0.932346,5.627699,17.764053,-80.543605,3.035852
0.020000,15.997738,11.628037,1.051376,5.951478,16.188930,-78.756193,3.027316
0.020000,15.873721,11.642784,1.176267,6.244548,14.653522,-76.770390,3.019321
0.020000,15.744595,11.659142,1.306425,6.507902,13.167682,-74.291995,3.012014
0.020000,15.610939,11.677012,1.441269,6.742224,11.716125,-72.577821,3.005527
0.020000,15.473313,11.696257,1.580235,6.948293,10.303426,-70.634965,2.999977
0.020000,15.332253,11.716707,1.722769,7.126705,8.920619,-69.140340,2.995470
0.020000,15.188283,11.738158,1.868328,7.277960,7.562749,-67.893525,2.992100
0.020000,15.041911,11.760381,2.016378,7.402468,6.225392,-66.867855,2.989957
0.020000,14.893635,11.783119,2.166387,7.500490,4.901103,-66.214435,2.989123
0.020000,14.743944,11.806097,2.317831,7.572192,3.585071,-65.801606,2.989679
0.020000,14.593326,11.829019,2.470184,7.617635,2.272154,-65.645848,2.991702
0.020000,14.442265,11.851577,2.622920,7.636785,0.957503,-65.732531,2.995272
0.020000,14.291251,11.873453,2.775510,7.629531,-0.362671,-66.008722,3.000471
0.020000,14.140777,11.894323,2.927425,7.595729,-1.690138,-66.373337,3.007384
0.020000,13.991346,11.913861,3.078127,7.535126,-3.030139,-67.000054,3.016097
0.020000,13.843473,11.931746,3.227078,7.447520,-4.380312,-67.508679,3.026706
0.020000,13.697485,11.947688,3.373934,7.342810,-5.235469,-42.757844,3.039325
0.020000,13.553535,11.961416,3.518537,7.230137,-5.633678,-19.910449,3.054108
0.020000,13.411821,11.972657,3.660696,7.107978,-6.107909,-23.711522,3.071236
0.020000,13.272583,11.981128,3.800191,6.974741,-6.661853,-27.697198,3.090922
0.020000,13.136119,11.986551,3.936763,6.828611,-7.306500,-32.232342,3.113413
0.020000,13.002778,11.988646,4.070121,6.667863,-8.037406,-36.545307,3.138991
0.020000,12.872975,11.987151,4.199933,6.490604,-8.862960,-41.277737,3.167972
0.020000,12.747183,11.981823,4.325837,6.295224,-9.768982,-45.301078,3.200703
