dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.050000,12.600000,0.000222,0.022161,1.108033,55.401662,3.137816
0.020000,17.050000,12.600000,0.001108,0.066482,2.216066,55.401662,3.137667
0.020000,17.050000,12.600000,0.003102,0.132964,3.324100,55.401662,3.137330
0.020000,17.050000,12.600000,0.006648,0.221607,4.432133,55.401662,3.136732
0.020000,17.046673,12.600018,0.012188,0.332410,5.540166,55.401662,3.135801
0.020000,17.038696,12.600070,0.020166,0.465374,6.648199,55.401662,3.134468
0.020000,17.027837,12.600157,0.031025,0.620499,7.756233,55.401662,3.132667
0.020000,17.013655,12.600300,0.045208,0.797784,8.864266,55.401662,3.130337
0.020000,16.995706,12.600528,0.063158,0.997230,9.972299,55.401662,3.127425
0.020000,16.973549,12.600882,0.085319,1.218837,11.080332,55.401662,3.123887
0.020000,16.946740,12.601413,0.112133,1.462604,12.188366,55.401662,3.119688
0.020000,16.914837,12.602190,0.144044,1.728532,13.296399,55.401662,3.114806
0.020000,16.877403,12.603298,0.181496,2.016620,14.404432,55.401662,3.109235
0.020000,16.833995,12.604840,0.224931,2.326870,15.512465,55.401662,3.102981
0.020000,16.784178,12.606938,0.274792,2.659280,16.620499,55.401662,3.096069
0.020000,16.727515,12.609734,0.331524,3.013850,17.728532,55.401662,3.088544
0.020000,16.663575,12.613391,0.395568,3.390582,18.836565,55.401662,3.080466
0.020000,16.591929,12.618086,0.467368,3.789474,19.944598,55.401662,3.071919
0.020000,16.512150,12.624016,0.547368,4.210526,21.052632,55.401662,3.063003
0.020000,16.424255,12.631346,0.635568,4.609418,19.944598,-55.401662,3.053883
0.020000,16.328709,12.640194,0.731524,4.986150,18.836565,-55.401662,3.044768
0.020000,16.225970,12.650643,0.834792,5.340720,17.728532,-55.401662,3.035852
0.020000,16.116499,12.662744,0.944931,5.673130,16.620499,-55.401662,3.027316
0.020000,16.000750,12.676508,1.061496,5.983380,15.512465,-55.401662,3.019321
0.020000,15.879173,12.691911,1.184044,6.271468,14.404432,-55.401662,3.012014
0.020000,15.752214,12.708886,1.312133,6.537396,13.296399,-55.401662,3.005527
0.020000,15.620312,12.727331,1.445319,6.781163,12.188366,-55.401662,2.999977
0.020000,15.483899,12.747107,1.583158,7.002770,11.080332,-55.401662,2.995470
0.020000,15.343400,12.768042,1.725208,7.202216,9.972299,-55.401662,2.992100
0.020000,15.199235,12.789930,1.871025,7.379501,8.864266,-55.401662,2.989957
0.020000,15.051817,12.812537,2.020166,7.534626,7.756233,-55.401662,2.989123
0.020000,14.901555,12.835602,2.172188,7.667590,6.648199,-55.401662,2.989679
0.020000,14.748853,12.858841,2.326648,7.778393,5.540166,-55.401662,2.991702
0.020000,14.594114,12.881948,2.483102,7.867036,4.432133,-55.401662,2.995272
0.020000,14.437741,12.904599,2.641108,7.933518,3.324100,-55.401662,3.000471
0.020000,14.280136,12.926457,2.800222,7.977839,2.216066,-55.401662,3.007384
0.020000,14.121706,12.947171,2.960000,8.000000,1.108033,-55.401662,3.016097
0.020000,13.962864,12.966381,3.120000,8.000000,0.000000,-55.401662,3.026706
0.020000,13.803811,12.983746,3.280000,8.000000,0.000000,0.000000,3.039325
0.020000,13.644534,12.998933,3.440000,8.000000,0.000000,0.000000,3.054108
0.020000,13.485037,13.011580,3.600000,8.000000,0.000000,0.000000,3.071236
0.020000,13.325334,13.021292,3.760000,8.000000,0.000000,0.000000,3.090922
0.020000,13.165464,13.027637,3.920000,8.000000,0.000000,0.000000,3.113413
0.020000,13.005488,13.030143,4.080000,8.000000,0.000000,0.000000,3.138991
0.020000,12.845504,13.028288,4.240000,8.000000,0.000000,0.000000,3.167972
0.020000,12.685655,13.021504,4.400000,8.000000,0.000000,0.000000,3.200703
0.020000,12.526140,13.009168,4.560000,8.000000,0.000000,0.000000,3.237556
0.020000,12.367231,12.990612,4.720000,8.000000,0.000000,0.000000,3.278905
0.020000,12.209289,12.965124,4.880000,8.000000,0.000000,0.000000,3.325103
0.020000,12.052779,12.931971,5.040000,8.000000,0.000000,0.000000,3.376437
0.020000,11.898290,12.890424,5.200000,8.000000,0.000000,0.000000,3.433066
0.020000,11.746537,12.839801,5.360000,8.000000,0.000000,0.000000,3.494949
0.020000,11.598360,12.779519,5.520000,8.000000,0.000000,0.000000,3.561763
0.020000,11.454696,12.709163,5.680000,8.000000,0.000000,0.000000,3.632840
0.020000,11.316533,12.628548,5.840000,8.000000,0.000000,0.000000,3.707143
0.020000,11.184832,12.537760,6.000000,8.000000,0.000000,0.000000,3.783322
0.020000,11.060454,12.437174,6.160000,8.000000,0.000000,0.000000,3.859834
0.020000,10.944074,12.327433,6.320000,8.000000,0.000000,0.000000,3.935123
0.020000,10.836134,12.209375,6.480000,8.000000,0.000000,0.000000,4.007805
0.020000,10.736827,12.083962,6.640000,8.000000,0.000000,0.000000,4.076797
0.020000,10.646116,11.952196,6.800000,8.000000,0.000000,0.000000,4.141373
0.020000,10.563769,11.815042,6.960000,8.000000,0.000000,0.000000,4.201165
0.020000,10.489418,11.673392,7.120000,8.000000,0.000000,0.000000,4.256086
0.020000,10.422606,11.528028,7.280000,8.000000,0.000000,0.000000,4.306266
0.020000,10.362831,11.379628,7.440000,8.000000,0.000000,0.000000,4.351969
0.020000,10.309582,11.228762,7.600000,8.000000,0.000000,0.000000,4.393535
0.020000,10.262354,11.075902,7.760000,8.000000,0.000000,0.000000,4.431333
0.020000,10.220668,10.921434,7.920000,8.000000,0.000000,0.000000,4.465734
0.020000,10.184079,10.765682,8.080000,8.000000,0.000000,0.000000,4.497090
0.020000,10.152172,10.608899,8.240000,8.000000,0.000000,0.000000,4.525728
0.020000,10.124574,10.451302,8.400000,8.000000,0.000000,0.000000,4.551943
0.020000,10.100942,10.293062,8.560000,8.000000,0.000000,0.000000,4.575999
0.020000,10.080967,10.134318,8.720000,8.000000,0.000000,0.000000,4.598131
0.020000,10.064371,9.975185,8.880000,8.000000,0.000000,0.000000,4.618546
0.020000,10.050901,9.815753,9.040000,8.000000,0.000000,0.000000,4.637425
0.020000,10.040333,9.656107,9.200000,8.000000,0.000000,0.000000,4.654927
0.020000,10.032459,9.496304,9.360000,8.000000,0.000000,0.000000,4.671194
0.020000,10.027095,9.336393,9.520000,8.000000,0.000000,0.000000,4.686348
0.020000,10.024074,9.176425,9.680000,8.000000,0.000000,0.000000,4.700496
0.020000,10.023230,9.033189,9.840000,8.000000,0.000000,0.000000,4.712227
0.020000,10.024134,8.875465,10.000000,8.000000,0.000000,0.000000,4.723973
0.020000,10.026980,8.715495,10.160000,8.000000,0.000000,0.000000,4.736516
0.020000,10.031901,8.555573,10.320000,8.000000,0.000000,0.000000,4.749940
0.020000,10.039045,8.395730,10.480000,8.000000,0.000000,0.000000,4.764343
0.020000,10.048576,8.236017,10.640000,8.000000,0.000000,0.000000,4.779834
0.020000,10.060675,8.076475,10.800000,8.000000,0.000000,0.000000,4.796540
0.020000,10.075543,7.917170,10.960000,8.000000,0.000000,0.000000,4.814605
0.020000,10.093405,7.758179,11.120000,8.000000,0.000000,0.000000,4.834198
0.020000,10.114514,7.599576,11.280000,8.000000,0.000000,0.000000,4.855513
0.020000,10.139148,7.441490,11.440000,8.000000,0.000000,0.000000,4.878771
0.020000,10.167622,7.284046,11.600000,8.000000,0.000000,0.000000,4.904233
0.020000,10.200286,7.127421,11.760000,8.000000,0.000000,0.000000,4.932194
0.020000,10.237532,6.971825,11.920000,8.000000,0.000000,0.000000,4.962996
0.020000,10.279796,6.817516,12.080000,8.000000,0.000000,0.000000,4.997025
0.020000,10.327559,6.664821,12.240000,8.000000,0.000000,0.000000,5.034718
0.020000,10.381347,6.514146,12.400000,8.000000,0.000000,0.000000,5.076551
0.020000,10.441725,6.365994,12.560000,8.000000,0.000000,0.000000,5.123028
0.020000,10.509290,6.220977,12.720000,8.000000,0.000000,0.000000,5.174657
0.020000,10.584636,6.079853,12.880000,8.000000,0.000000,0.000000,5.231886
0.020000,10.668329,5.943521,13.040000,8.000000,0.000000,0.000000,5.295037
0.020000,10.760850,5.813023,13.200000,8.000000,0.000000,0.000000,5.364191
0.020000,10.862521,5.689530,13.360000,8.000000,0.000000,0.000000,5.439055
0.020000,10.973436,5.574272,13.520000,8.000000,0.000000,0.000000,5.518848
0.020000,11.093385,5.468457,13.680000,8.000000,0.000000,0.000000,5.602239
0.020000,11.221832,5.373138,13.840000,8.000000,0.000000,0.000000,5.687415
0.020000,11.357924,5.289094,14.000000,8.000000,0.000000,0.000000,5.772271
0.020000,11.500577,5.216737,14.160000,8.000000,0.000000,0.000000,5.854716
0.020000,11.648589,5.156080,14.320000,8.000000,0.000000,0.000000,5.932965
0.020000,11.800765,5.106773,14.480000,8.000000,0.000000,0.000000,6.005727
0.020000,11.956010,5.068180,14.640000,8.000000,0.000000,0.000000,6.072264
0.020000,12.113391,5.039484,14.800000,8.000000,0.000000,0.000000,6.132324
0.020000,12.272153,5.019777,14.960000,8.000000,0.000000,0.000000,6.186021
0.020000,12.431714,5.008134,15.120000,8.000000,0.000000,0.000000,6.233700
0.020000,12.591639,5.003659,15.280000,8.000000,0.000000,0.000000,6.275832
0.020000,12.751619,5.005513,15.440000,8.000000,0.000000,0.000000,0.029744
0.020000,12.911440,5.012932,15.600000,8.000000,0.000000,0.000000,0.062317
0.020000,13.070962,5.025223,15.760000,8.000000,0.000000,0.000000,0.090839
0.020000,13.230100,5.041765,15.920000,8.000000,0.000000,0.000000,0.115740
0.020000,13.388813,5.062002,16.080000,8.000000,0.000000,0.000000,0.137394
0.020000,13.547085,5.085436,16.240000,8.000000,0.000000,0.000000,0.156126
0.020000,13.704926,5.111618,16.400000,8.000000,0.000000,0.000000,0.172213
0.020000,13.862362,5.140144,16.560000,8.000000,0.000000,0.000000,0.185889
0.020000,14.019427,5.170643,16.720000,8.000000,0.000000,0.000000,0.197346
0.020000,14.176167,5.202776,16.880000,8.000000,0.000000,0.000000,0.206745
0.020000,14.332610,5.236225,17.039979,7.997853,-0.107373,-5.368658,0.214211
0.020000,14.488572,5.270638,17.199692,7.973544,-1.215406,-55.401662,0.219839
0.020000,14.643679,5.305635,17.358699,7.927076,-2.323440,-55.401662,0.223703
0.020000,14.797558,5.340842,17.516554,7.858446,-3.431473,-55.401662,0.225871
0.020000,14.949836,5.375899,17.672815,7.767656,-4.539506,-55.401662,0.226408
0.020000,15.100137,5.410460,17.827039,7.654705,-5.647539,-55.401662,0.225374
0.020000,15.248081,5.444201,17.978782,7.519594,-6.755573,-55.401662,0.222829
0.020000,15.393282,5.476817,18.127601,7.362322,-7.863606,-55.401662,0.218833
0.020000,15.535347,5.508028,18.273053,7.182889,-8.971639,-55.401662,0.213447
0.020000,15.673870,5.537585,18.414695,6.981295,-10.079672,-55.401662,0.206741
0.020000,15.808440,5.565268,18.552083,6.757541,-11.187706,-55.401662,0.198791
0.020000,15.938633,5.590896,18.684775,6.511627,-12.295739,-55.401662,0.189688
0.020000,16.064014,5.614325,18.812326,6.243551,-13.403772,-55.401662,0.179535
0.020000,16.184139,5.635454,18.934295,5.953315,-14.511805,-55.401662,0.168457
0.020000,16.298550,5.654228,19.050237,5.640918,-15.619839,-55.401662,0.156601
0.020000,16.406785,5.670638,19.159710,5.306361,-16.727872,-55.401662,0.144137
0.020000,16.508372,5.684726,19.262270,4.949643,-17.835905,-55.401662,0.131264
0.020000,16.602835,5.696580,19.357474,4.570764,-18.943938,-55.401662,0.118209
0.020000,16.689694,5.706331,19.444879,4.169725,-20.051971,-55.401662,0.105226
