dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.053933,13.641493,0.000222,0.022161,1.108033,55.401662,3.137816
0.020000,17.054089,13.641492,0.000378,0.007804,-0.717853,-91.294301,3.137667
0.020000,17.054440,13.641491,0.000728,0.017541,0.486848,60.235020,3.137330
0.020000,17.055062,13.641488,0.001351,0.031123,0.679134,9.614309,3.136732
0.020000,17.052705,13.641501,0.003708,0.117865,4.337112,182.898931,3.135801
0.020000,17.046116,13.641543,0.010298,0.329463,10.579851,312.136917,3.134468
0.020000,17.037134,13.641616,0.019280,0.449117,5.982714,-229.856852,3.132667
0.020000,17.025378,13.641734,0.031037,0.587833,6.935815,47.655068,3.130337
0.020000,17.010461,13.641924,0.045954,0.745876,7.902157,48.317080,3.127425
0.020000,16.991989,13.642218,0.064429,0.923761,8.894227,49.603519,3.123887
0.020000,16.969552,13.642663,0.086871,1.122063,9.915120,51.044651,3.119688
0.020000,16.942732,13.643316,0.113698,1.341382,10.965949,52.541459,3.114806
0.020000,16.911098,13.644253,0.145347,1.582418,12.051780,54.291531,3.109235
0.020000,16.874199,13.645563,0.182268,1.846075,13.182888,56.555404,3.102981
0.020000,16.831574,13.647359,0.224931,2.133150,14.353742,58.542723,3.096069
0.020000,16.782740,13.649769,0.273825,2.444692,15.577101,61.167911,3.088544
0.020000,16.727199,13.652946,0.329457,2.781588,16.844802,63.385064,3.080466
0.020000,16.664435,13.657060,0.392355,3.144901,18.165644,66.042094,3.071919
0.020000,16.593916,13.662301,0.463068,3.535676,19.538722,68.653889,3.063003
0.020000,16.515487,13.668843,0.541769,3.935065,19.969451,21.536452,3.053883
0.020000,16.429394,13.676816,0.628231,4.323067,19.400114,-28.466830,3.044768
0.020000,16.335894,13.686326,0.722214,4.699141,18.803691,-29.821170,3.035852
0.020000,16.235259,13.697450,0.823461,5.062389,18.162398,-32.064647,3.027316
0.020000,16.127779,13.710232,0.931699,5.411896,17.475387,-34.350550,3.019321
0.020000,16.013751,13.724679,1.046638,5.746937,16.752047,-36.166995,3.012014
0.020000,15.893489,13.740759,1.167970,6.066614,15.983847,-38.409971,3.005527
0.020000,15.767312,13.758405,1.295376,6.370259,15.182242,-40.080271,2.999977
0.020000,15.635545,13.777508,1.428520,6.657234,14.348759,-41.674144,2.995470
0.020000,15.498517,13.797926,1.567061,6.927025,13.489520,-42.961930,2.992100
0.020000,15.356559,13.819479,1.710646,7.179259,12.611706,-43.890743,2.989957
0.020000,15.209999,13.841954,1.858919,7.413650,11.719561,-44.607239,2.989123
0.020000,15.059165,13.865107,2.011520,7.630037,10.819326,-45.011734,2.989679
0.020000,14.904380,13.888663,2.168087,7.828359,9.916140,-45.159312,2.991702
0.020000,14.745964,13.912319,2.328260,8.008646,9.014312,-45.091412,2.995272
0.020000,14.584232,13.935746,2.491680,8.171002,8.117827,-44.824256,3.000471
0.020000,14.419496,13.958592,2.657992,8.315625,7.231136,-44.334523,3.007384
0.020000,14.252067,13.980480,2.826846,8.442679,6.352715,-43.921041,3.016097
0.020000,14.082256,14.001015,2.997894,8.552409,5.486493,-43.311109,3.026706
0.020000,13.910136,14.019805,3.171036,8.657094,5.234243,-12.612512,3.039325
0.020000,13.735533,14.036450,3.346431,8.769738,5.632220,19.898839,3.054108
0.020000,13.558253,14.050503,3.524267,8.891817,6.103943,23.586162,3.071236
0.020000,13.378085,14.061455,3.704767,9.025012,6.659757,27.790683,3.090922
0.020000,13.194810,14.068724,3.888187,9.170993,7.299033,31.963829,3.113413
0.020000,13.008198,14.071639,4.074821,9.331716,8.036165,36.856588,3.138991
0.020000,12.818034,14.069426,4.264999,9.508872,8.857775,41.080525,3.167972
0.020000,12.624127,14.061185,4.459081,9.704093,9.761073,45.164895,3.200703
0.020000,12.426347,14.045876,4.657452,9.918538,10.722229,48.057771,3.237556
0.020000,12.224669,14.022309,4.860502,10.152520,11.699085,48.842817,3.278905
0.020000,12.019234,13.989137,5.068598,10.404813,12.614673,45.779379,3.325103
0.020000,11.810432,13.944883,5.282039,10.672032,13.360964,37.314572,3.376437
0.020000,11.599001,13.887996,5.500989,10.947489,13.772847,20.594171,3.433066
0.020000,11.386127,13.816953,5.725404,11.220774,13.664259,-5.429430,3.494949
0.020000,11.173515,13.730428,5.954948,11.477201,12.821313,-42.147281,3.561763
0.020000,10.963394,13.627501,6.188924,11.698816,11.080755,-87.027889,3.632840
0.020000,10.758413,13.507880,6.426256,11.866601,8.389248,-134.575369,3.707143
0.020000,10.561410,13.372066,6.665538,11.964085,4.874234,-175.750681,3.783322
0.020000,10.375083,13.221387,6.905167,11.981433,0.867358,-200.343822,3.859834
0.020000,10.201657,13.057871,7.143523,11.917833,-3.179965,-202.366142,3.935123
0.020000,10.042635,12.883972,7.379169,11.782286,-6.777349,-179.869222,4.007805
0.020000,9.898711,12.702253,7.610979,11.590484,-9.590129,-140.638986,4.076797
0.020000,9.769848,12.515113,7.838195,11.360802,-11.484097,-94.698379,4.141373
0.020000,9.655428,12.324591,8.060435,11.112003,-12.439957,-47.793011,4.201165
