dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.680858,9.870934,0.000531,0.053059,2.652973,132.648673,4.738201
0.020000,20.680849,9.871286,0.000882,0.017592,-1.773380,-221.317660,4.737873
0.020000,20.680868,9.870483,0.001685,0.040135,1.127133,145.025627,4.737140
0.020000,20.681029,9.863830,0.008340,0.332751,14.630846,675.185652,4.735927
0.020000,20.681241,9.854494,0.017679,0.466937,6.709255,-396.079567,4.734249
0.020000,20.681491,9.842452,0.029723,0.602204,6.763378,2.706162,4.732126
0.020000,20.681764,9.827679,0.044499,0.738797,6.829622,3.312199,4.729583
0.020000,20.682040,9.810141,0.062039,0.877017,6.911027,4.070262,4.726650
0.020000,20.682296,9.789799,0.082382,1.017145,7.006397,4.768489,4.723363
0.020000,20.682509,9.766613,0.105570,1.159384,7.111940,5.277166,4.719761
0.020000,20.682650,9.740534,0.131649,1.303944,7.228019,5.803954,4.715886
0.020000,20.682691,9.711513,0.160670,1.451061,7.355842,6.391118,4.711787
0.020000,20.682603,9.679496,0.192687,1.600868,7.490366,6.726235,4.707514
0.020000,20.682354,9.644425,0.227758,1.753560,7.634568,7.210112,4.703120
0.020000,20.681914,9.606243,0.265944,1.909273,7.785650,7.554095,4.698662
0.020000,20.681253,9.564886,0.307306,2.068105,7.941621,7.798543,4.694197
0.020000,20.680342,9.520291,0.351910,2.230220,8.105743,8.206109,4.689787
0.020000,20.679154,9.472392,0.399824,2.395664,8.272224,8.324051,4.685494
0.020000,20.677667,9.421122,0.451116,2.564600,8.446784,8.727986,4.681381
0.020000,20.675862,9.366410,0.505857,2.737072,8.623580,8.839786,4.677517
0.020000,20.673724,9.308184,0.564122,2.913241,8.808482,9.245111,4.673968
0.020000,20.671247,9.246370,0.625986,3.093186,8.997251,9.438439,4.670806
0.020000,20.668431,9.180889,0.691528,3.277090,9.195178,9.896351,4.668104
0.020000,20.665284,9.111658,0.760829,3.465098,9.400404,10.261306,4.665938
0.020000,20.661826,9.038591,0.833978,3.657445,9.617334,10.846499,4.664389
0.020000,20.658089,8.961594,0.911066,3.854385,9.847008,11.483686,4.663543
0.020000,20.654121,8.880566,0.992191,4.056252,10.093372,12.318210,4.663491
0.020000,20.649982,8.795398,1.077460,4.263453,10.360033,13.333065,4.664332
0.020000,20.645756,8.705968,1.166990,4.476496,10.652170,14.606862,4.666175
0.020000,20.641548,8.612142,1.260910,4.695994,10.974897,16.136341,4.669141
0.020000,20.637490,8.513771,1.359364,4.922716,11.336076,18.058933,4.673364
0.020000,20.633745,8.410687,1.462516,5.157601,11.744251,20.408760,4.678995
0.020000,20.630516,8.302700,1.570552,5.401799,12.209916,23.283229,4.686207
0.020000,20.628049,8.189593,1.683686,5.656682,12.744162,26.712296,4.695201
0.020000,20.626648,8.071121,1.802166,5.923988,13.365282,31.056028,4.706206
0.020000,20.626686,7.947006,1.926281,6.205751,14.088129,36.142348,4.719493
0.020000,20.628622,7.816931,2.056370,6.504486,14.936763,42.431714,4.735376
0.020000,20.633018,7.680539,2.192834,6.823153,15.933373,49.830475,4.754227
0.020000,20.640575,7.537432,2.336139,7.165290,17.106825,58.672594,4.776482
0.020000,20.652158,7.387179,2.486839,7.534990,18.485024,68.909941,4.802656
0.020000,20.668849,7.229323,2.645575,7.936798,20.090360,80.266831,4.833346
0.020000,20.691992,7.063419,2.813085,8.375497,21.934983,92.231128,4.869238
0.020000,20.723255,6.889091,2.990194,8.855455,23.997908,103.146242,4.911102
0.020000,20.764500,6.706856,3.177038,9.342185,24.336464,16.927838,4.959559
0.020000,20.817528,6.518509,3.372707,9.783475,22.064525,-113.596980,5.014845
0.020000,20.883677,6.327232,3.575100,10.119613,16.806898,-262.881340,5.076580
0.020000,20.963617,6.136821,3.781610,10.325532,10.295936,-325.548074,5.143820
0.020000,21.057382,5.950806,3.989922,10.415577,4.502255,-289.684075,5.215303
0.020000,21.164338,5.772310,4.198010,10.404390,-0.559325,-253.079001,5.289542
0.020000,21.283263,5.603867,4.404204,10.309712,-4.733944,-208.730937,5.364983
0.020000,21.412179,5.447683,4.606720,10.125808,-9.195193,-223.062445,5.439962
0.020000,21.548584,5.305337,4.803871,9.857570,-13.411900,-210.835345,5.512908
0.020000,21.689768,5.177616,4.994254,9.519116,-16.922665,-175.538254,5.582515
0.020000,21.833140,5.064527,5.176859,9.130287,-19.441475,-125.940516,5.647843
0.020000,21.976454,4.965440,5.351092,8.711620,-20.933341,-74.593292,5.708337
0.020000,22.117919,4.879301,5.516719,8.281368,-21.512607,-28.963305,5.763784
0.020000,22.256214,4.804825,5.673794,7.853723,-21.382269,6.516875,5.814232
0.020000,22.390428,4.740663,5.822556,7.438095,-20.781398,30.043565,5.859905
0.020000,22.519977,4.685508,5.963357,7.040061,-19.901675,43.986164,5.901131
0.020000,22.644524,4.638155,6.096601,6.662225,-18.891790,50.494226,5.938288
0.020000,22.763904,4.597528,6.222705,6.305185,-17.852002,51.989412,5.971762
0.020000,22.878072,4.562685,6.342072,5.968339,-16.842309,50.484662,6.001929
0.020000,22.987057,4.532810,6.455078,5.650292,-15.902344,46.998234,6.029138
0.020000,23.090933,4.507206,6.562062,5.349221,-15.053585,42.437963,6.053707
0.020000,23.189794,4.485276,6.663327,5.063229,-14.299575,37.700492,6.075917
