dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.508356,3.360594,0.000529,0.052910,2.645503,132.275132,6.248553
0.020000,1.508267,3.360597,0.000618,0.004441,-2.423473,-253.448779,6.248635
0.020000,1.508067,3.360604,0.000818,0.009989,0.277426,135.044951,6.248821
0.020000,1.507734,3.360615,0.001151,0.016642,0.332629,2.760130,6.249131
0.020000,1.509161,3.360567,0.002578,0.071389,2.737346,120.235886,6.249564
0.020000,1.522842,3.360111,0.016266,0.684387,30.649921,1395.628712,6.250121
0.020000,1.539562,3.359564,0.032996,0.836489,7.605095,-1152.241284,6.250800
0.020000,1.559325,3.358931,0.052768,0.988618,7.606472,0.068840,6.251602
0.020000,1.582129,3.358221,0.075584,1.140784,7.608290,0.090903,6.252527
0.020000,1.607977,3.357442,0.101443,1.292980,7.609802,0.075630,6.253573
0.020000,1.636869,3.356603,0.130347,1.445201,7.611030,0.061360,6.254740
0.020000,1.668805,3.355715,0.162296,1.597441,7.611994,0.048221,6.256028
0.020000,1.703788,3.354790,0.197292,1.749761,7.616036,0.202098,6.257435
0.020000,1.741818,3.353839,0.235333,1.902074,7.615627,-0.020458,6.258961
0.020000,1.782897,3.352878,0.276423,2.054499,7.621264,0.281833,6.260606
0.020000,1.827025,3.351920,0.320562,2.206930,7.621549,0.014252,6.262367
0.020000,1.874204,3.350982,0.367750,2.359428,7.624876,0.166377,6.264244
0.020000,1.924436,3.350081,0.417990,2.511987,7.627969,0.154625,6.266235
0.020000,1.977721,3.349233,0.471282,2.664607,7.630982,0.150693,6.268341
0.020000,2.034063,3.348460,0.527629,2.817343,7.636836,0.292702,6.270558
0.020000,2.093461,3.347779,0.587031,2.970088,7.637212,0.018753,6.272886
0.020000,2.155918,3.347212,0.649490,3.122979,7.644583,0.368567,6.275323
0.020000,2.221434,3.346780,0.715008,3.275912,7.646654,0.103551,6.277868
0.020000,2.290013,3.346506,0.783588,3.428952,7.651965,0.265552,6.280519
0.020000,2.361655,3.346414,0.855229,3.582094,7.657107,0.257123,0.000088
0.020000,2.436361,3.346527,0.929936,3.735337,7.662135,0.251389,0.002945
0.020000,2.514134,3.346871,1.007710,3.888679,7.667103,0.248372,0.005902
0.020000,2.594975,3.347472,1.088553,4.042163,7.674235,0.356614,0.008957
0.020000,2.678885,3.348356,1.172468,4.195738,7.678720,0.224275,0.012107
0.020000,2.765867,3.349550,1.259457,4.349473,7.686749,0.401408,0.015350
0.020000,2.855920,3.351083,1.349523,4.503315,7.692114,0.268279,0.018685
0.020000,2.949047,3.352983,1.442670,4.657306,7.699555,0.372027,0.022107
0.020000,3.045248,3.355279,1.538899,4.811445,7.706964,0.370444,0.025615
0.020000,3.144526,3.358002,1.638213,4.965733,7.714403,0.371994,0.029206
0.020000,3.246880,3.361180,1.740617,5.120186,7.722648,0.412215,0.032876
0.020000,3.352313,3.364845,1.846113,5.274815,7.731436,0.439436,0.036622
0.020000,3.460824,3.369029,1.954705,5.429600,7.739266,0.391469,0.040442
0.020000,3.572415,3.373762,2.066397,5.584568,7.748402,0.456816,0.044332
0.020000,3.687087,3.379077,2.181191,5.739738,7.758494,0.504598,0.048288
0.020000,3.804839,3.385005,2.299093,5.895092,7.767675,0.459028,0.052307
0.020000,3.925674,3.391579,2.420106,6.050654,7.778087,0.520626,0.056385
0.020000,4.049590,3.398831,2.544235,6.206420,7.788328,0.512053,0.060518
0.020000,4.176589,3.406793,2.671482,6.362392,7.798574,0.512285,0.064702
0.020000,4.306670,3.415498,2.801855,6.518603,7.810576,0.600125,0.068933
0.020000,4.439833,3.424979,2.935355,6.675027,7.821186,0.530488,0.073207
0.020000,4.576079,3.435267,3.071989,6.831698,7.833547,0.618021,0.077519
0.020000,4.715408,3.446395,3.211761,6.988611,7.845653,0.605319,0.081866
0.020000,4.857819,3.458394,3.354677,7.145768,7.857853,0.610000,0.086241
0.020000,5.003311,3.471296,3.500740,7.303189,7.871071,0.660908,0.090641
0.020000,5.151886,3.485132,3.649958,7.460865,7.883768,0.634846,0.095060
0.020000,5.303541,3.499932,3.802334,7.618807,7.897117,0.667432,0.099494
0.020000,5.458278,3.515727,3.957875,7.777034,7.911335,0.710920,0.103938
0.020000,5.616095,3.532546,4.116585,7.935534,7.925013,0.683901,0.108385
0.020000,5.776992,3.550416,4.278472,8.094322,7.939405,0.719618,0.112832
0.020000,5.940969,3.569367,4.443540,8.253404,7.954079,0.733692,0.117272
0.020000,6.108025,3.589425,4.611795,8.412783,7.968961,0.744097,0.121700
0.020000,6.278159,3.610615,4.783245,8.572465,7.984090,0.756439,0.126110
0.020000,6.451373,3.632964,4.957894,8.732456,7.999568,0.773921,0.130497
0.020000,6.627665,3.656493,5.135749,8.892760,8.015218,0.782484,0.134854
0.020000,6.807035,3.681226,5.316817,9.053383,8.031122,0.795182,0.139177
0.020000,6.989484,3.707185,5.501103,9.214328,8.047268,0.807328,0.143458
0.020000,7.175013,3.734387,5.688615,9.375601,8.063643,0.818751,0.147692
0.020000,7.363621,3.762852,5.879359,9.537205,8.080211,0.828401,0.151872
0.020000,7.554799,3.792517,6.072825,9.673272,6.803323,-63.844422,0.155982
0.020000,7.747524,3.823223,6.267982,9.757838,4.228312,-128.750536,0.159995
0.020000,7.940777,3.854797,6.463797,9.790756,1.645898,-129.120726,0.163888
0.020000,8.134047,3.887134,6.659753,9.797802,0.352277,-64.681032,0.167649
0.020000,8.327334,3.920209,6.855850,9.804851,0.352454,0.008826,0.171280
0.020000,8.520642,3.953997,7.052088,9.811901,0.352526,0.003633,0.174779
0.020000,8.713971,3.988473,7.248467,9.818951,0.352483,-0.002145,0.178148
0.020000,8.907323,4.023613,7.444987,9.825994,0.352137,-0.017340,0.181385
0.020000,9.100702,4.059392,7.641647,9.833037,0.352183,0.002340,0.184491
0.020000,9.294110,4.095784,7.838449,9.840077,0.351976,-0.010373,0.187466
0.020000,9.487548,4.132765,8.035391,9.847110,0.351685,-0.014558,0.190311
0.020000,9.681022,4.170311,8.232474,9.854134,0.351194,-0.024538,0.193024
0.020000,9.874533,4.208396,8.429697,9.861156,0.351094,-0.004977,0.195607
0.020000,10.068085,4.246995,8.627060,9.868171,0.350747,-0.017387,0.198060
0.020000,10.261681,4.286085,8.824564,9.875178,0.350327,-0.021004,0.200382
0.020000,10.455327,4.325639,9.022207,9.882174,0.349810,-0.025815,0.202574
0.020000,10.649024,4.365633,9.219991,9.889166,0.349624,-0.009308,0.204636
0.020000,10.842778,4.406042,9.417914,9.896151,0.349235,-0.019437,0.206568
0.020000,11.036593,4.446842,9.615976,9.903127,0.348798,-0.021878,0.208371
0.020000,11.230472,4.488008,9.814178,9.910093,0.348314,-0.024174,0.210043
0.020000,11.424422,4.529514,10.012519,9.917056,0.348116,-0.009902,0.211586
0.020000,11.618446,4.571337,10.210999,9.924011,0.347759,-0.017847,0.213000
0.020000,11.812549,4.613450,10.409619,9.930959,0.347388,-0.018554,0.214285
0.020000,12.006736,4.655830,10.608377,9.937898,0.346984,-0.020219,0.215440
0.020000,12.201013,4.698451,10.807273,9.944835,0.346830,-0.007701,0.216466
0.020000,12.395383,4.741289,11.006309,9.951766,0.346558,-0.013577,0.217364
0.020000,12.589854,4.784319,11.205482,9.958692,0.346305,-0.012683,0.218132
0.020000,12.784428,4.827516,11.404795,9.965613,0.346029,-0.013804,0.218772
0.020000,12.979114,4.870855,11.604245,9.972532,0.345949,-0.004004,0.219283
0.020000,13.173914,4.914311,11.803834,9.979448,0.345798,-0.007548,0.219665
0.020000,13.368836,4.957859,12.003562,9.986361,0.345680,-0.005879,0.219919
0.020000,13.563885,5.001474,12.203427,9.993273,0.345588,-0.004605,0.220044
0.020000,13.759066,5.045131,12.403431,10.000185,0.345583,-0.000237,0.220041
0.020000,13.954384,5.088805,12.603573,10.007096,0.345571,-0.000596,0.219909
0.020000,14.149846,5.132471,12.803853,10.014008,0.345594,0.001129,0.219648
0.020000,14.345458,5.176103,13.004271,10.020922,0.345705,0.005542,0.219259
0.020000,14.541224,5.219677,13.204828,10.027838,0.345786,0.004085,0.218741
0.020000,14.737150,5.263167,13.405523,10.034756,0.345905,0.005919,0.218094
0.020000,14.933242,5.306547,13.606357,10.041677,0.346064,0.007952,0.217319
0.020000,15.129507,5.349793,13.807329,10.048604,0.346350,0.014295,0.216415
0.020000,15.325948,5.392878,14.008439,10.055535,0.346540,0.009530,0.215382
0.020000,15.522572,5.435777,14.209689,10.062470,0.346756,0.010766,0.214219
0.020000,15.719384,5.478464,14.411077,10.069411,0.347030,0.013744,0.212928
0.020000,15.916390,5.520913,14.612604,10.076360,0.347452,0.021093,0.211507
0.020000,16.113594,5.563099,14.814270,10.083315,0.347741,0.014441,0.209957
0.020000,16.311003,5.604995,15.016076,10.090275,0.348013,0.013585,0.208278
0.020000,16.508621,5.646576,15.218021,10.097242,0.348366,0.017638,0.206469
0.020000,16.706453,5.687814,15.420105,10.104220,0.348876,0.025542,0.204530
0.020000,16.904504,5.728685,15.622329,10.111204,0.349210,0.016677,0.202461
0.020000,17.102778,5.769160,15.824693,10.118194,0.349495,0.014246,0.200262
0.020000,17.301281,5.809214,16.027197,10.125191,0.349870,0.018736,0.197932
0.020000,17.500017,5.848821,16.229841,10.132199,0.350411,0.027084,0.195473
0.020000,17.698990,5.887952,16.432625,10.139213,0.350696,0.014228,0.192883
0.020000,17.898204,5.926582,16.635550,10.146232,0.350947,0.012543,0.190162
