dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.471133,2.286239,0.000529,0.052910,2.645503,132.275132,6.248553
0.020000,1.471133,2.286239,0.002646,0.158730,5.291005,132.275132,6.248635
0.020000,1.471133,2.286239,0.007407,0.317460,7.936508,132.275132,6.248821
0.020000,1.471133,2.286239,0.015344,0.476190,7.936508,0.000000,6.249131
0.020000,1.473025,2.286175,0.026455,0.634921,7.936508,0.000000,6.249564
0.020000,1.487303,2.285699,0.040741,0.793651,7.936508,0.000000,6.250121
0.020000,1.504754,2.285127,0.058201,0.952381,7.936508,0.000000,6.250800
0.020000,1.525379,2.284467,0.078836,1.111111,7.936508,0.000000,6.251602
0.020000,1.549177,2.283727,0.102646,1.269841,7.936508,-0.000000,6.252527
0.020000,1.576149,2.282914,0.129630,1.428571,7.936508,0.000000,6.253573
0.020000,1.606295,2.282038,0.159788,1.587302,7.936508,0.000000,6.254740
0.020000,1.639615,2.281112,0.193122,1.746032,7.936508,0.000000,6.256028
0.020000,1.676110,2.280146,0.229630,1.904762,7.936508,-0.000000,6.257435
0.020000,1.715780,2.279155,0.269312,2.063492,7.936508,0.000000,6.258961
0.020000,1.758626,2.278152,0.312169,2.222222,7.936508,-0.000000,6.260606
0.020000,1.804647,2.277153,0.358201,2.380952,7.936508,0.000000,6.262367
0.020000,1.853843,2.276175,0.407407,2.539683,7.936508,0.000000,6.264244
0.020000,1.906216,2.275235,0.459788,2.698413,7.936508,0.000000,6.266235
0.020000,1.961764,2.274352,0.515344,2.857143,7.936508,0.000000,6.268341
0.020000,2.020489,2.273545,0.574074,3.015873,7.936508,0.000000,6.270558
0.020000,2.082389,2.272836,0.635979,3.174603,7.936508,-0.000000,6.272886
0.020000,2.147466,2.272245,0.701058,3.333333,7.936508,0.000000,6.275323
0.020000,2.215719,2.271795,0.769312,3.492063,7.936508,0.000000,6.277868
0.020000,2.287147,2.271510,0.840741,3.650794,7.936508,-0.000000,6.280519
