dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.433910,1.211883,0.000529,0.052910,2.645503,132.275132,6.248553
0.020000,1.433999,1.211880,0.000618,0.004441,-2.423473,-253.448779,6.248635
0.020000,1.434199,1.211873,0.000818,0.009989,0.277426,135.044951,6.248821
0.020000,1.434531,1.211862,0.001151,0.016642,0.332629,2.760130,6.249131
0.020000,1.436889,1.211782,0.003510,0.117957,5.065779,236.657540,6.249564
0.020000,1.451765,1.211286,0.018394,0.744216,31.312930,1312.357521,6.250121
0.020000,1.469946,1.210691,0.036585,0.909544,8.266405,-1152.326239,6.250800
0.020000,1.491433,1.210004,0.058082,1.074859,8.265774,-0.031554,6.251602
0.020000,1.516224,1.209232,0.082885,1.240164,8.265223,-0.027544,6.252527
0.020000,1.544320,1.208385,0.110994,1.405443,8.263934,-0.064434,6.253573
0.020000,1.575720,1.207473,0.142408,1.570681,8.261923,-0.100569,6.254740
0.020000,1.610424,1.206508,0.177125,1.735865,8.259206,-0.135848,6.256028
0.020000,1.648432,1.205502,0.215146,1.901053,8.259404,0.009908,6.257435
0.020000,1.689742,1.204470,0.256469,2.066140,8.254328,-0.253817,6.258961
0.020000,1.734355,1.203426,0.301094,2.231247,8.255371,0.052143,6.260606
0.020000,1.782268,1.202386,0.349019,2.396250,8.250141,-0.261468,6.262367
0.020000,1.833482,1.201368,0.400243,2.561205,8.247746,-0.119758,6.264244
0.020000,1.887995,1.200389,0.454765,2.726097,8.244613,-0.156653,6.266235
0.020000,1.945806,1.199470,0.512583,2.890915,8.240900,-0.185655,6.268341
0.020000,2.006915,1.198631,0.573697,3.055710,8.239760,-0.057014,6.270558
0.020000,2.071318,1.197893,0.638105,3.220354,8.232156,-0.380196,6.272886
0.020000,2.139015,1.197278,0.705804,3.384986,8.231605,-0.027563,6.275323
0.020000,2.210003,1.196810,0.776794,3.549481,8.224759,-0.342301,6.277868
0.020000,2.284280,1.196514,0.851072,3.713898,8.220863,-0.194774,6.280519
0.020000,2.361845,1.196414,0.928636,3.878222,8.216209,-0.232724,0.000088
0.020000,2.442693,1.196537,1.009485,4.042439,8.210841,-0.268406,0.002945
0.020000,2.526823,1.196909,1.093616,4.206535,8.204805,-0.301788,0.005902
0.020000,2.614232,1.197558,1.181027,4.370545,8.200494,-0.215524,0.008957
0.020000,2.704915,1.198514,1.271715,4.534399,8.192692,-0.390094,0.012107
0.020000,2.798869,1.199804,1.365678,4.698161,8.188078,-0.230702,0.015350
0.020000,2.896090,1.201459,1.462913,4.861759,8.179934,-0.407235,0.018685
0.020000,2.996574,1.203509,1.563418,5.025227,8.173366,-0.328386,0.022107
0.020000,3.100315,1.205985,1.667189,5.188548,8.166088,-0.363887,0.025615
0.020000,3.207309,1.208918,1.774223,5.351711,8.158159,-0.396448,0.029206
0.020000,3.317550,1.212342,1.884517,5.514720,8.150404,-0.387766,0.032876
0.020000,3.431033,1.216287,1.998069,5.677570,8.142533,-0.393544,0.036622
0.020000,3.547751,1.220787,2.114873,5.840229,8.132922,-0.480546,0.040442
0.020000,3.667697,1.225875,2.234927,6.002709,8.124006,-0.445826,0.044332
0.020000,3.790865,1.231583,2.358228,6.165017,8.115398,-0.430358,0.048288
0.020000,3.917248,1.237946,2.484770,6.327119,8.105092,-0.515315,0.052307
0.020000,4.046837,1.244996,2.614551,6.489026,8.095388,-0.485205,0.056385
0.020000,4.179624,1.252767,2.747565,6.650722,8.084779,-0.530446,0.060518
0.020000,4.315601,1.261292,2.883809,6.812191,8.073458,-0.566080,0.064702
0.020000,4.454759,1.270604,3.023278,6.973457,8.063301,-0.507805,0.068933
0.020000,4.597088,1.280738,3.165967,7.134476,8.050944,-0.617879,0.073207
0.020000,4.742579,1.291724,3.311873,7.295271,8.039754,-0.559482,0.077519
0.020000,4.891222,1.303595,3.460989,7.455823,8.027595,-0.607942,0.081866
0.020000,5.043007,1.316384,3.613312,7.616120,8.014850,-0.637292,0.086241
0.020000,5.197922,1.330122,3.768835,7.776170,8.002512,-0.616863,0.090641
0.020000,5.355958,1.344839,3.927554,7.935949,7.988955,-0.677865,0.095060
0.020000,5.517101,1.360565,4.089463,8.095458,7.975441,-0.675702,0.099494
0.020000,5.681342,1.377330,4.254557,8.254702,7.962214,-0.661356,0.103938
0.020000,5.848667,1.395162,4.422831,8.413658,7.947791,-0.721127,0.108385
0.020000,6.019066,1.414088,4.594277,8.572329,7.933522,-0.713439,0.112832
0.020000,6.192526,1.434134,4.768891,8.730708,7.918964,-0.727906,0.117272
0.020000,6.369034,1.455327,4.946667,8.888789,7.904057,-0.745366,0.121700
0.020000,6.548578,1.477689,5.127598,9.046566,7.888860,-0.759856,0.126110
0.020000,6.731145,1.501244,5.311679,9.204036,7.873500,-0.768002,0.130497
0.020000,6.916724,1.526013,5.498903,9.361192,7.857807,-0.784632,0.134854
0.020000,7.105300,1.552016,5.689264,9.518030,7.841888,-0.795968,0.139177
0.020000,7.296862,1.579270,5.882754,9.674545,7.825748,-0.806977,0.143458
0.020000,7.491396,1.607793,6.079369,9.830733,7.809391,-0.817860,0.147692
0.020000,7.688892,1.637600,6.279101,9.986589,7.792796,-0.829747,0.151872
0.020000,7.888801,1.668619,6.481402,10.115073,6.424191,-68.430279,0.155982
0.020000,8.090047,1.700683,6.685187,10.189238,3.708261,-135.796468,0.159995
0.020000,8.291560,1.733606,6.889372,10.209233,0.999741,-135.426000,0.163888
