dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.830141,9.926423,0.000531,0.053059,2.652973,132.648673,4.738201
0.020000,22.830150,9.926071,0.000882,0.017592,-1.773380,-221.317660,4.737873
0.020000,22.830210,9.923692,0.003262,0.118976,5.069220,342.129980,4.737140
0.020000,22.830433,9.914432,0.012525,0.463136,17.207993,606.938640,4.735927
0.020000,22.830727,9.901489,0.025471,0.647310,9.208711,-399.964100,4.734249
0.020000,22.831073,9.884884,0.042080,0.830435,9.156225,-2.624261,4.732126
0.020000,22.831446,9.864644,0.062323,1.012164,9.086476,-3.487454,4.729583
0.020000,22.831821,9.840802,0.086168,1.192271,9.005338,-4.056914,4.726650
0.020000,22.832167,9.813393,0.113579,1.370532,8.913031,-4.615341,4.723363
0.020000,22.832450,9.782461,0.144512,1.546663,8.806540,-5.324541,4.719761
0.020000,22.832637,9.748053,0.178921,1.720436,8.688684,-5.892816,4.715886
0.020000,22.832691,9.710219,0.216755,1.891703,8.563347,-6.266858,4.711787
0.020000,22.832578,9.669015,0.257960,2.060227,8.426196,-6.857558,4.707514
0.020000,22.832262,9.624498,0.302477,2.225894,8.283327,-7.143432,4.703120
0.020000,22.831712,9.576730,0.350248,2.388555,8.133085,-7.512099,4.698662
0.020000,22.830897,9.525776,0.401210,2.548050,7.974755,-7.916530,4.694197
0.020000,22.829792,9.471700,0.455296,2.704326,7.813755,-8.049959,4.689787
0.020000,22.828376,9.414574,0.512440,2.857204,7.643931,-8.491237,4.685494
0.020000,22.826634,9.354466,0.572573,3.006657,7.472663,-8.563377,4.681381
0.020000,22.824555,9.291450,0.635624,3.152515,7.292855,-8.990429,4.677517
0.020000,22.822138,9.225600,0.701518,3.294727,7.110629,-9.111297,4.673968
0.020000,22.819389,9.156992,0.770180,3.433119,6.919594,-9.551753,4.670806
0.020000,22.816323,9.085706,0.841532,3.567588,6.723466,-9.806395,4.668104
0.020000,22.812964,9.011824,0.915491,3.697928,6.516985,-10.324046,4.665938
0.020000,22.809350,8.935431,0.991970,3.823944,6.300815,-10.808472,4.664389
0.020000,22.805525,8.856616,1.070877,3.945360,6.070782,-11.501676,4.663543
0.020000,22.801551,8.775477,1.152114,4.061850,5.824509,-12.313621,4.663491
0.020000,22.797500,8.692115,1.235574,4.173005,5.557722,-13.339367,4.664332
0.020000,22.793461,8.606644,1.321140,4.278324,5.265959,-14.588157,4.666175
0.020000,22.789538,8.519188,1.408684,4.377176,4.942634,-16.166245,4.669141
0.020000,22.785853,8.429888,1.498060,4.468803,4.581349,-18.064258,4.673364
0.020000,22.782547,8.338903,1.589105,4.552271,4.173363,-20.399281,4.678995
0.020000,22.779779,8.246415,1.681634,4.626435,3.708237,-23.256291,4.686207
0.020000,22.777731,8.152640,1.775432,4.689877,3.172059,-26.808900,4.695201
0.020000,22.776607,8.057829,1.870250,4.740922,2.552253,-30.990322,4.706206
0.020000,22.776632,7.962279,1.965800,4.777480,1.827910,-36.217142,4.719493
0.020000,22.778054,7.866348,2.061741,4.797076,0.979787,-42.406165,4.735376
0.020000,22.781137,7.770463,2.157675,4.796703,-0.018635,-49.921073,4.754227
0.020000,22.786160,7.675139,2.253132,4.772837,-1.193291,-58.732794,4.776482
0.020000,22.793405,7.580989,2.347560,4.721397,-2.572010,-68.935997,4.802656
0.020000,22.803141,7.488746,2.440316,4.637804,-4.179644,-80.381655,4.833346
0.020000,22.815600,7.399263,2.530662,4.517277,-6.026348,-92.335197,4.869238
0.020000,22.830946,7.313518,2.617769,4.355377,-8.094989,-103.432076,4.911102
0.020000,22.849159,7.232878,2.700441,4.133591,-11.089319,-149.716499,4.959559
0.020000,22.869934,7.158921,2.777261,3.840980,-14.630567,-177.062411,5.014845
0.020000,22.892664,7.093048,2.846945,3.484198,-17.839054,-160.424315,5.076580
0.020000,22.916608,7.035890,2.908915,3.098529,-19.283450,-72.219810,5.143820
0.020000,22.941172,6.987065,2.963571,2.732810,-18.285998,49.872574,5.215303
0.020000,22.966079,6.945437,3.012081,2.425502,-15.365386,146.030610,5.289542
0.020000,22.991462,6.909453,3.056117,2.201784,-11.185907,208.973968,5.364983
0.020000,23.017779,6.877560,3.097466,2.067448,-6.716789,223.455877,5.439962
0.020000,23.045702,6.848430,3.137817,2.017571,-2.493820,211.148470,5.512908
0.020000,23.075938,6.821098,3.178576,2.037914,1.017117,175.546830,5.582515
0.020000,23.109064,6.794994,3.220752,2.108799,3.544244,126.356360,5.647843
0.020000,23.145424,6.769881,3.264941,2.209453,5.032737,74.424654,5.708337
0.020000,23.185094,6.745752,3.311372,2.321579,5.606280,28.677164,5.763784
0.020000,23.227913,6.722715,3.359996,2.431167,5.479422,-6.342915,5.814232
0.020000,23.273548,6.700918,3.410569,2.528683,4.875784,-30.181924,5.859905
0.020000,23.321556,6.680495,3.462740,2.608541,3.992890,-44.144665,5.901131
0.020000,23.371439,6.661542,3.516103,2.668128,2.979361,-50.676453,5.938288
0.020000,23.422693,6.644110,3.570240,2.706873,1.937229,-52.106616,5.971762
0.020000,23.474831,6.628206,3.624750,2.725495,0.931116,-50.305638,6.001929
0.020000,23.527402,6.613802,3.679258,2.725381,-0.005704,-46.841009,6.029138
0.020000,23.579992,6.600844,3.733421,2.708185,-0.859826,-42.706079,6.053707
0.020000,23.632236,6.589260,3.786934,2.675646,-1.626950,-38.356200,6.075917
0.020000,23.683812,6.578961,3.839528,2.629673,-2.298644,-33.584731,6.096022
0.020000,23.734437,6.569857,3.890965,2.571860,-2.890615,-29.598539,6.114242
0.020000,23.783866,6.561850,3.941038,2.503672,-3.409420,-25.940258,6.130770
0.020000,23.831883,6.554846,3.989564,2.426268,-3.870182,-23.038094,6.145775
0.020000,23.878307,6.548752,4.036386,2.341114,-4.257700,-19.375925,6.159404
0.020000,23.922974,6.543478,4.081363,2.248866,-4.612391,-17.734545,6.171787
0.020000,23.965750,6.538938,4.124379,2.150804,-4.903120,-14.536450,6.183035
0.020000,24.006511,6.535054,4.165325,2.047261,-5.177167,-13.702313,6.193246
0.020000,24.045156,6.531751,4.204111,1.939317,-5.397164,-10.999851,6.202505
0.020000,24.081595,6.528959,4.240656,1.827274,-5.602173,-10.250465,6.210886
0.020000,24.115749,6.526616,4.274891,1.711714,-5.778007,-8.791702,6.218455
0.020000,24.147554,6.524664,4.306756,1.593250,-5.923196,-7.259472,6.225269
0.020000,24.176948,6.523050,4.336194,1.471923,-6.066366,-7.158461,6.231376
0.020000,24.203885,6.521727,4.363164,1.348486,-6.171844,-5.273908,6.236820
0.020000,24.228320,6.520652,4.387622,1.222908,-6.278887,-5.352145,6.241638
0.020000,24.250218,6.519788,4.409537,1.095772,-6.356790,-3.895173,6.245862
0.020000,24.269543,6.519102,4.428875,0.966851,-6.446061,-4.463550,6.249519
0.020000,24.286274,6.518565,4.445614,0.836980,-6.493562,-2.375026,6.252633
0.020000,24.300388,6.518152,4.459735,0.706022,-6.547904,-2.717096,6.255223
0.020000,24.311865,6.517843,4.471215,0.574020,-6.600104,-2.610028,6.257306
