dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.755499,9.898678,0.000531,0.053059,2.652973,132.648673,4.738201
0.020000,21.755499,9.898678,0.002653,0.159178,5.305947,132.648673,4.737873
0.020000,21.755539,9.897088,0.007428,0.318357,7.958920,132.648673,4.737140
0.020000,21.755731,9.889131,0.015387,0.477535,7.958920,-0.000000,4.735927
0.020000,21.755984,9.877991,0.026530,0.636714,7.958920,0.000000,4.734249
0.020000,21.756282,9.863668,0.040856,0.795892,7.958920,0.000000,4.732126
0.020000,21.756605,9.846162,0.058365,0.955070,7.958920,-0.000000,4.729583
0.020000,21.756930,9.825471,0.079059,1.114249,7.958920,0.000000,4.726650
0.020000,21.757232,9.801596,0.102935,1.273427,7.958920,0.000000,4.723363
0.020000,21.757479,9.774537,0.129996,1.432606,7.958920,0.000000,4.719761
0.020000,21.757643,9.744294,0.160240,1.591784,7.958920,0.000000,4.715886
0.020000,21.757691,9.710866,0.193667,1.750962,7.958920,0.000000,4.711787
0.020000,21.757590,9.674255,0.230278,1.910141,7.958920,-0.000000,4.707514
0.020000,21.757308,9.634462,0.270073,2.069319,7.958920,0.000000,4.703120
0.020000,21.756813,9.591486,0.313051,2.228498,7.958920,0.000000,4.698662
0.020000,21.756075,9.545331,0.359213,2.387676,7.958920,0.000000,4.694197
0.020000,21.755067,9.495995,0.408558,2.546855,7.958920,-0.000000,4.689787
0.020000,21.753765,9.443483,0.461087,2.706033,7.958920,0.000000,4.685494
0.020000,21.752150,9.387794,0.516799,2.865211,7.958920,-0.000000,4.681381
0.020000,21.750208,9.328930,0.575695,3.024390,7.958920,0.000000,4.677517
0.020000,21.747931,9.266892,0.637775,3.183568,7.958920,0.000000,4.673968
0.020000,21.745318,9.201681,0.703038,3.342747,7.958920,-0.000000,4.670806
0.020000,21.742377,9.133298,0.771485,3.501925,7.958920,0.000000,4.668104
0.020000,21.739124,9.061741,0.843115,3.661103,7.958920,-0.000000,4.665938
0.020000,21.735588,8.987011,0.917929,3.820282,7.958920,0.000000,4.664389
0.020000,21.731807,8.909105,0.995926,3.979460,7.958920,0.000000,4.663543
0.020000,21.727836,8.828021,1.077107,4.138639,7.958920,-0.000000,4.663491
0.020000,21.723741,8.743756,1.161472,4.297817,7.958920,0.000000,4.664332
0.020000,21.719609,8.656306,1.249020,4.456995,7.958920,-0.000000,4.666175
0.020000,21.715543,8.565665,1.339752,4.616174,7.958920,0.000000,4.669141
0.020000,21.711672,8.471830,1.433667,4.775352,7.958920,0.000000,4.673364
0.020000,21.708146,8.374795,1.530766,4.934531,7.958920,-0.000000,4.678995
0.020000,21.705147,8.274558,1.631048,5.093709,7.958920,0.000000,4.686207
0.020000,21.702890,8.171117,1.734514,5.252887,7.958920,0.000000,4.695201
0.020000,21.701628,8.064475,1.841164,5.412066,7.958920,0.000000,4.706206
0.020000,21.701659,7.954643,1.950997,5.571244,7.958920,-0.000000,4.719493
0.020000,21.703338,7.841640,2.064013,5.730423,7.958920,0.000000,4.735376
0.020000,21.707078,7.725501,2.180214,5.889601,7.958920,0.000000,4.754227
0.020000,21.713367,7.606286,2.299597,6.048779,7.958920,-0.000000,4.776482
0.020000,21.722782,7.484084,2.422165,6.207958,7.958920,0.000000,4.802656
0.020000,21.735995,7.359034,2.547916,6.367136,7.958920,0.000000,4.833346
