dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.502967,3.274996,0.000080,0.008000,0.400000,20.000000,6.280425
0.020000,1.502925,3.274996,0.000122,0.002115,-0.294230,-34.711501,6.280464
0.020000,1.502830,3.274996,0.000218,0.004760,0.132222,21.322600,6.280553
0.020000,1.502661,3.274997,0.000387,0.008463,0.185137,2.645768,6.280710
0.020000,1.502396,3.274997,0.000651,0.013224,0.238093,2.647803,6.280956
0.020000,1.502015,3.274998,0.001032,0.019047,0.291116,2.651131,6.281311
0.020000,1.501497,3.274999,0.001551,0.025932,0.344237,2.656065,6.281793
0.020000,1.500819,3.275000,0.002228,0.033881,0.397496,2.662912,6.282423
0.020000,1.500256,3.275000,0.002792,0.028170,-0.285579,-34.153740,0.000036
0.020000,1.507199,3.275004,0.009736,0.347187,15.950863,811.822089,0.001023
0.020000,1.515593,3.275017,0.018130,0.419701,3.625701,-616.258087,0.002218
0.020000,1.525583,3.275047,0.028119,0.499477,3.988806,18.155282,0.003643
0.020000,1.537299,3.275099,0.039836,0.585836,4.317942,16.456797,0.005317
0.020000,1.550889,3.275185,0.053425,0.679476,4.681979,18.201814,0.007265
0.020000,1.566479,3.275315,0.069016,0.779537,5.003082,16.055165,0.009506
0.020000,1.584208,3.275506,0.086746,0.886506,5.348451,17.268459,0.012064
0.020000,1.604212,3.275777,0.106752,1.000290,5.689196,17.037262,0.014961
0.020000,1.626624,3.276149,0.129168,1.120779,6.024436,16.761989,0.018221
0.020000,1.651576,3.276649,0.154125,1.247844,6.353274,16.441879,0.021868
0.020000,1.679205,3.277309,0.181761,1.381817,6.698638,17.268195,0.025929
0.020000,1.709566,3.278165,0.212134,1.518657,6.841996,7.167922,0.030417
0.020000,1.742658,3.279253,0.245244,1.655475,6.840877,-0.055939,0.035341
0.020000,1.778465,3.280615,0.281077,1.791655,6.809026,-1.592555,0.040705
0.020000,1.816979,3.282296,0.319627,1.927532,6.793854,-0.758610,0.046519
0.020000,1.858187,3.284343,0.360887,2.062969,6.771832,-1.101124,0.052788
0.020000,1.902078,3.286810,0.404847,2.198014,6.752260,-0.978555,0.059521
0.020000,1.948641,3.289753,0.451503,2.332798,6.739170,-0.654536,0.066726
0.020000,1.997855,3.293232,0.500840,2.466840,6.702108,-1.853091,0.074413
0.020000,2.049705,3.297310,0.552849,2.600488,6.682435,-0.983626,0.082588
0.020000,2.104174,3.302056,0.607525,2.733789,6.665049,-0.869309,0.091261
0.020000,2.161244,3.307543,0.664858,2.866623,6.641676,-1.168666,0.100441
0.020000,2.220889,3.313846,0.724835,2.998885,6.613088,-1.429414,0.110137
0.020000,2.283087,3.321045,0.787449,3.130659,6.588731,-1.217813,0.120355
0.020000,2.347817,3.329226,0.852693,3.262226,6.578359,-0.518615,0.131104
0.020000,2.415049,3.338477,0.920559,3.393311,6.554211,-1.207401,0.142392
0.020000,2.484756,3.348891,0.991039,3.523996,6.534275,-0.996820,0.154224
0.020000,2.556905,3.360565,1.064127,3.654390,6.519680,-0.729718,0.166605
0.020000,2.631469,3.373599,1.139822,3.784730,6.517037,-0.132183,0.179541
0.020000,2.708410,3.388100,1.218117,3.914777,6.502308,-0.736432,0.193032
0.020000,2.787695,3.404176,1.299015,4.044912,6.506777,0.223443,0.207081
0.020000,2.869284,3.421939,1.382516,4.175012,6.505005,-0.088608,0.221684
0.020000,2.953138,3.441507,1.468623,4.305359,6.517343,0.616935,0.236839
0.020000,3.039216,3.462999,1.557343,4.435999,6.531980,0.731850,0.252539
0.020000,3.127478,3.486540,1.648690,4.567368,6.568466,1.824277,0.268774
0.020000,3.217874,3.512256,1.742673,4.699152,6.589217,1.037539,0.285532
0.020000,3.310362,3.540275,1.839313,4.831969,6.640838,2.581054,0.302796
0.020000,3.404896,3.570731,1.938631,4.965914,6.697241,2.820142,0.320545
0.020000,3.501425,3.603757,2.040653,5.101123,6.760437,3.159818,0.338756
0.020000,3.599898,3.639489,2.145409,5.237768,6.832282,3.592269,0.357400
0.020000,3.700267,3.678065,2.252935,5.376325,6.927848,4.778306,0.376444
0.020000,3.802415,3.719595,2.363203,5.513403,6.853888,-3.697996,0.395840
0.020000,3.906169,3.764160,2.476123,5.645983,6.629020,-11.243426,0.415522
0.020000,4.011355,3.811828,2.591606,5.774174,6.409517,-10.975125,0.435423
0.020000,4.117804,3.862656,2.709568,5.898088,6.195697,-10.691011,0.455475
0.020000,4.225352,3.916688,2.829926,6.017889,5.990059,-10.281898,0.475606
0.020000,4.333834,3.973954,2.952595,6.133445,5.777784,-10.613776,0.495744
0.020000,4.443091,4.034470,3.077492,6.244851,5.570336,-10.372412,0.515819
0.020000,4.552969,4.098236,3.204532,6.352024,5.358628,-10.585389,0.535761
0.020000,4.663318,4.165236,3.333629,6.454821,5.139833,-10.939717,0.555501
0.020000,4.773991,4.235441,3.464691,6.553090,4.913476,-11.317864,0.574977
0.020000,4.884847,4.308802,3.597623,6.646626,4.676797,-11.833958,0.594126
0.020000,4.995752,4.385257,3.732327,6.735204,4.428880,-12.395865,0.612892
0.020000,5.106574,4.464728,3.868699,6.818570,4.168320,-13.027975,0.631224
0.020000,5.217188,4.547121,4.006627,6.896417,3.892362,-13.797901,0.649075
0.020000,5.327477,4.632329,4.145997,6.968499,3.604071,-14.414561,0.666403
0.020000,5.437328,4.720229,4.286687,7.034484,3.299254,-15.240849,0.683174
0.020000,5.546634,4.810687,4.428568,7.094087,2.980173,-15.954049,0.699357
0.020000,5.655295,4.903557,4.571509,7.147038,2.647522,-16.632568,0.714927
0.020000,5.763216,4.998682,4.715369,7.193017,2.298955,-17.428326,0.729865
0.020000,5.870311,5.095895,4.860006,7.231829,1.940615,-17.917027,0.744156
0.020000,5.976549,5.195071,5.005341,7.266773,1.747187,-9.671391,0.757796
0.020000,6.081958,5.296134,5.151371,7.301484,1.735550,-0.581852,0.770791
0.020000,6.186565,5.399005,5.298086,7.335722,1.711886,-1.183204,0.783148
0.020000,6.290404,5.503609,5.445477,7.369599,1.693850,-0.901782,0.794876
0.020000,6.393506,5.609870,5.593537,7.402970,1.668551,-1.264951,0.805983
0.020000,6.495907,5.717714,5.742253,7.435790,1.640999,-1.377577,0.816479
0.020000,6.597644,5.827071,5.891615,7.468131,1.617096,-1.195147,0.826374
0.020000,6.698754,5.937868,6.041613,7.499899,1.588383,-1.435661,0.835678
0.020000,6.799279,6.050037,6.192235,7.531081,1.559105,-1.463924,0.844401
0.020000,6.899259,6.163510,6.343470,7.561766,1.534233,-1.243585,0.852554
0.020000,6.998737,6.278222,6.495308,7.591908,1.507087,-1.357290,0.860146
0.020000,7.097758,6.394108,6.647738,7.621496,1.479431,-1.382803,0.867188
0.020000,7.196368,6.511107,6.800750,7.650586,1.454498,-1.246657,0.873688
0.020000,7.294612,6.629159,6.954334,7.679220,1.431692,-1.140304,0.879656
0.020000,7.392540,6.748204,7.108482,7.707400,1.408975,-1.135858,0.885100
0.020000,7.490199,6.868186,7.263186,7.735155,1.387783,-1.059572,0.890027
0.020000,7.587640,6.989049,7.418436,7.762510,1.367722,-1.003067,0.894445
0.020000,7.684914,7.110739,7.574226,7.789508,1.349919,-0.890149,0.898361
0.020000,7.782073,7.233203,7.730550,7.816202,1.334710,-0.760455,0.901781
0.020000,7.879169,7.356389,7.887402,7.842613,1.320551,-0.707948,0.904709
0.020000,7.976258,7.480248,8.044778,7.868779,1.308306,-0.612245,0.907150
0.020000,8.073393,7.604729,8.202673,7.894740,1.298012,-0.514696,0.909109
0.020000,8.170631,7.729784,8.361083,7.920534,1.289697,-0.415751,0.910587
0.020000,8.268028,7.855365,8.520007,7.946201,1.283381,-0.315790,0.911588
0.020000,8.365643,7.981424,8.679443,7.971782,1.279024,-0.217879,0.912113
0.020000,8.463534,8.107916,8.839389,7.997321,1.276980,-0.102211,0.912163
0.020000,8.561762,8.234793,8.999846,8.022856,1.276754,-0.011286,0.911738
0.020000,8.660387,8.362010,9.160815,8.048427,1.278523,0.088468,0.910837
0.020000,8.759472,8.489518,9.322296,8.074073,1.282311,0.189408,0.909459
0.020000,8.859079,8.617273,9.484293,8.099835,1.288106,0.289750,0.907602
0.020000,8.959274,8.745227,9.646808,8.125753,1.295891,0.389210,0.905262
0.020000,9.060122,8.873331,9.809846,8.151866,1.305640,0.487469,0.902436
0.020000,9.161691,9.001539,9.973410,8.178222,1.317808,0.608398,0.899121
0.020000,9.264048,9.129800,10.137507,8.204855,1.331667,0.692973,0.895309
0.020000,9.367262,9.258064,10.302143,8.231789,1.346664,0.749852,0.890997
0.020000,9.471405,9.386279,10.467324,8.259066,1.363889,0.861213,0.886177
0.020000,9.576549,9.514391,10.633059,8.286723,1.382818,0.946486,0.880843
0.020000,9.682766,9.642345,10.799354,8.314790,1.403361,1.027153,0.874986
0.020000,9.790132,9.770084,10.966221,8.343334,1.427215,1.192683,0.868598
0.020000,9.898722,9.897546,11.133668,8.372333,1.449958,1.137130,0.861671
0.020000,10.008612,10.024669,11.301704,8.401812,1.473914,1.197804,0.854195
0.020000,10.119881,10.151386,11.470340,8.431803,1.499565,1.282585,0.846161
0.020000,10.232607,10.277630,11.639587,8.462372,1.528452,1.444319,0.837558
0.020000,10.346870,10.403327,11.809457,8.493470,1.554923,1.323553,0.828377
0.020000,10.462748,10.528399,11.979959,8.525085,1.580706,1.289167,0.818607
0.020000,10.580322,10.652767,12.151104,8.557280,1.609795,1.454462,0.808238
0.020000,10.699671,10.776343,12.322905,8.590036,1.637790,1.399714,0.797260
0.020000,10.820875,10.899037,12.495370,8.623246,1.660472,1.134131,0.785664
0.020000,10.944011,11.020754,12.668510,8.657017,1.688577,1.405249,0.773439
0.020000,11.069157,11.141392,12.842334,8.691194,1.708860,1.014131,0.760579
0.020000,11.196385,11.260842,13.016849,8.725759,1.728223,0.968166,0.747075
0.020000,11.325770,11.378993,13.192063,8.760696,1.746877,0.932681,0.732921
0.020000,11.457315,11.495670,13.367897,8.791701,1.550213,-9.833170,0.718121
0.020000,11.590952,11.610640,13.544184,8.814342,1.132078,-20.906795,0.702687
0.020000,11.726590,11.723666,13.720742,8.827875,0.676643,-22.771742,0.686638
0.020000,11.864125,11.834514,13.897386,8.832216,0.217066,-22.978854,0.669999
0.020000,12.003432,11.942954,14.073924,8.826904,-0.265615,-24.134014,0.652798
0.020000,12.144370,12.048763,14.250159,8.811776,-0.756413,-24.539926,0.635071
0.020000,12.286776,12.151725,14.425889,8.786468,-1.265400,-25.449350,0.616858
0.020000,12.430469,12.251637,14.600903,8.750710,-1.787888,-26.124404,0.598203
0.020000,12.575247,12.348305,14.774988,8.704231,-2.323936,-26.802385,0.579158
