dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500000,2.200000,0.000080,0.008000,0.400000,20.000000,6.280425
0.020000,1.500000,2.200000,0.000400,0.024000,0.800000,20.000000,6.280464
0.020000,1.500000,2.200000,0.001120,0.048000,1.200000,20.000000,6.280553
0.020000,1.500000,2.200000,0.002400,0.080000,1.600000,20.000000,6.280710
0.020000,1.500000,2.200000,0.004400,0.120000,2.000000,20.000000,6.280956
0.020000,1.500000,2.200000,0.007280,0.168000,2.400000,20.000000,6.281311
0.020000,1.500000,2.200000,0.011200,0.224000,2.800000,20.000000,6.281793
0.020000,1.500000,2.200000,0.016320,0.288000,3.200000,20.000000,6.282423
0.020000,1.500295,2.200000,0.022800,0.360000,3.600000,20.000000,0.000036
0.020000,1.508299,2.200004,0.030800,0.440000,4.000000,20.000000,0.001023
0.020000,1.517978,2.200020,0.040480,0.528000,4.400000,20.000000,0.002218
0.020000,1.529499,2.200054,0.052000,0.624000,4.800000,20.000000,0.003643
0.020000,1.543016,2.200114,0.065520,0.728000,5.200000,20.000000,0.005317
0.020000,1.558699,2.200213,0.081200,0.840000,5.600000,20.000000,0.007265
0.020000,1.576698,2.200364,0.099200,0.960000,6.000000,20.000000,0.009506
0.020000,1.597176,2.200585,0.119680,1.088000,6.400000,20.000000,0.012064
0.020000,1.620295,2.200897,0.142800,1.224000,6.800000,20.000000,0.014961
0.020000,1.646211,2.201327,0.168720,1.368000,7.200000,20.000000,0.018221
0.020000,1.675083,2.201906,0.197600,1.520000,7.600000,20.000000,0.021868
0.020000,1.707075,2.202670,0.229600,1.680000,8.000000,20.000000,0.025929
0.020000,1.742259,2.203662,0.264800,1.840000,8.000000,-0.000000,0.030417
0.020000,1.780641,2.204924,0.303200,2.000000,8.000000,0.000000,0.035341
0.020000,1.822211,2.206506,0.344800,2.160000,8.000000,0.000000,0.040705
0.020000,1.866968,2.208459,0.389600,2.320000,8.000000,-0.000000,0.046519
0.020000,1.914908,2.210841,0.437600,2.480000,8.000000,0.000000,0.052788
0.020000,1.966025,2.213714,0.488800,2.640000,8.000000,-0.000000,0.059521
0.020000,2.020319,2.217146,0.543200,2.800000,8.000000,0.000000,0.066726
0.020000,2.077775,2.221207,0.600800,2.960000,8.000000,0.000000,0.074413
0.020000,2.138386,2.225974,0.661600,3.120000,8.000000,0.000000,0.082588
0.020000,2.202144,2.231530,0.725600,3.280000,8.000000,-0.000000,0.091261
0.020000,2.269037,2.237961,0.792800,3.440000,8.000000,0.000000,0.100441
0.020000,2.339047,2.245359,0.863200,3.600000,8.000000,0.000000,0.110137
0.020000,2.412156,2.253822,0.936800,3.760000,8.000000,0.000000,0.120355
0.020000,2.488350,2.263452,1.013600,3.920000,8.000000,0.000000,0.131104
0.020000,2.567604,2.274357,1.093600,4.080000,8.000000,-0.000000,0.142392
0.020000,2.649890,2.286650,1.176800,4.240000,8.000000,0.000000,0.154224
0.020000,2.735179,2.300450,1.263200,4.400000,8.000000,0.000000,0.166605
0.020000,2.823440,2.315879,1.352800,4.560000,8.000000,0.000000,0.179541
0.020000,2.914634,2.333066,1.445600,4.720000,8.000000,0.000000,0.193032
0.020000,3.008719,2.352143,1.541600,4.880000,8.000000,-0.000000,0.207081
0.020000,3.105647,2.373246,1.640800,5.040000,8.000000,0.000000,0.221684
0.020000,3.205367,2.396516,1.743200,5.200000,8.000000,0.000000,0.236839
0.020000,3.307819,2.422097,1.848800,5.360000,8.000000,0.000000,0.252539
0.020000,3.412944,2.450136,1.957600,5.520000,8.000000,0.000000,0.268774
0.020000,3.520667,2.480780,2.069600,5.680000,8.000000,-0.000000,0.285532
0.020000,3.630917,2.514180,2.184800,5.840000,8.000000,0.000000,0.302796
0.020000,3.743611,2.550487,2.303200,6.000000,8.000000,0.000000,0.320545
0.020000,3.858663,2.589851,2.424800,6.160000,8.000000,0.000000,0.338756
0.020000,3.975976,2.632419,2.549600,6.320000,8.000000,0.000000,0.357400
0.020000,4.095454,2.678339,2.677600,6.480000,8.000000,-0.000000,0.376444
0.020000,4.216917,2.727721,2.808720,6.632000,7.600000,-20.000000,0.395840
0.020000,4.340111,2.780636,2.942800,6.776000,7.200000,-20.000000,0.415522
0.020000,4.464784,2.837134,3.079680,6.912000,6.800000,-20.000000,0.435423
0.020000,4.590685,2.897250,3.219200,7.040000,6.400000,-20.000000,0.455475
0.020000,4.717570,2.960997,3.361200,7.160000,6.000000,-20.000000,0.475606
0.020000,4.845196,3.028368,3.505520,7.272000,5.600000,-20.000000,0.495744
0.020000,4.973332,3.099339,3.652000,7.376000,5.200000,-20.000000,0.515819
0.020000,5.101751,3.173864,3.800480,7.472000,4.800000,-20.000000,0.535761
0.020000,5.230240,3.251877,3.950800,7.560000,4.400000,-20.000000,0.555501
0.020000,5.358592,3.333295,4.102800,7.640000,4.000000,-20.000000,0.574977
0.020000,5.486616,3.418016,4.256320,7.712000,3.600000,-20.000000,0.594126
0.020000,5.614130,3.505920,4.411200,7.776000,3.200000,-20.000000,0.612892
0.020000,5.740967,3.596875,4.567280,7.832000,2.800000,-20.000000,0.631224
0.020000,5.866972,3.690730,4.724400,7.880000,2.400000,-20.000000,0.649075
0.020000,5.992002,3.787325,4.882400,7.920000,2.000000,-20.000000,0.666403
0.020000,6.115930,3.886488,5.041120,7.952000,1.600000,-20.000000,0.683174
0.020000,6.238639,3.988037,5.200400,7.976000,1.200000,-20.000000,0.699357
0.020000,6.360024,4.091781,5.360080,7.992000,0.800000,-20.000000,0.714927
0.020000,6.479993,4.197523,5.520000,8.000000,0.400000,-20.000000,0.729865
0.020000,6.598463,4.305061,5.680000,8.000000,0.000000,-20.000000,0.744156
0.020000,6.715420,4.414242,5.840000,8.000000,0.000000,0.000000,0.757796
0.020000,6.830913,4.524972,6.000000,8.000000,0.000000,0.000000,0.770791
0.020000,6.944993,4.637157,6.160000,8.000000,0.000000,0.000000,0.783148
0.020000,7.057714,4.750707,6.320000,8.000000,0.000000,0.000000,0.794876
0.020000,7.169131,4.865537,6.480000,8.000000,0.000000,0.000000,0.805983
0.020000,7.279302,4.981564,6.640000,8.000000,0.000000,0.000000,0.816479
0.020000,7.388284,5.098708,6.800000,8.000000,0.000000,0.000000,0.826374
0.020000,7.496137,5.216892,6.960000,8.000000,0.000000,0.000000,0.835678
0.020000,7.602920,5.336044,7.120000,8.000000,0.000000,0.000000,0.844401
0.020000,7.708694,5.456093,7.280000,8.000000,0.000000,0.000000,0.852554
0.020000,7.813521,5.576970,7.440000,8.000000,0.000000,0.000000,0.860146
0.020000,7.917459,5.698612,7.600000,8.000000,0.000000,0.000000,0.867188
0.020000,8.020572,5.820954,7.760000,8.000000,0.000000,0.000000,0.873688
0.020000,8.122921,5.943936,7.920000,8.000000,0.000000,0.000000,0.879656
0.020000,8.224566,6.067501,8.080000,8.000000,0.000000,0.000000,0.885100
0.020000,8.325569,6.191591,8.240000,8.000000,0.000000,0.000000,0.890027
0.020000,8.425992,6.316152,8.400000,8.000000,0.000000,0.000000,0.894445
0.020000,8.525894,6.441129,8.560000,8.000000,0.000000,0.000000,0.898361
0.020000,8.625338,6.566473,8.720000,8.000000,0.000000,0.000000,0.901781
0.020000,8.724383,6.692131,8.880000,8.000000,0.000000,0.000000,0.904709
0.020000,8.823091,6.818055,9.040000,8.000000,0.000000,0.000000,0.907150
0.020000,8.921521,6.944196,9.200000,8.000000,0.000000,0.000000,0.909109
0.020000,9.019735,7.070505,9.360000,8.000000,0.000000,0.000000,0.910587
0.020000,9.117791,7.196937,9.520000,8.000000,0.000000,0.000000,0.911588
0.020000,9.215752,7.323443,9.680000,8.000000,0.000000,0.000000,0.912113
0.020000,9.313676,7.449977,9.840000,8.000000,0.000000,0.000000,0.912163
0.020000,9.411624,7.576493,10.000000,8.000000,0.000000,0.000000,0.911738
0.020000,9.509655,7.702943,10.160000,8.000000,0.000000,0.000000,0.910837
0.020000,9.607831,7.829283,10.320000,8.000000,0.000000,0.000000,0.909459
0.020000,9.706211,7.955463,10.480000,8.000000,0.000000,0.000000,0.907602
0.020000,9.804855,8.081436,10.640000,8.000000,0.000000,0.000000,0.905262
0.020000,9.903824,8.207154,10.800000,8.000000,0.000000,0.000000,0.902436
0.020000,10.003179,8.332568,10.960000,8.000000,0.000000,0.000000,0.899121
0.020000,10.102980,8.457627,11.120000,8.000000,0.000000,0.000000,0.895309
0.020000,10.203289,8.582280,11.280000,8.000000,0.000000,0.000000,0.890997
0.020000,10.304165,8.706473,11.440000,8.000000,0.000000,0.000000,0.886177
0.020000,10.405670,8.830152,11.600000,8.000000,0.000000,0.000000,0.880843
0.020000,10.507865,8.953262,11.760000,8.000000,0.000000,0.000000,0.874986
