dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.497165,1.158504,0.000393,0.039312,1.965602,98.280098,6.280463
0.020000,1.497367,1.158503,0.000595,0.010072,-1.462008,-171.380522,6.280657
0.020000,1.497820,1.158502,0.001048,0.022666,0.629714,104.586122,6.281092
0.020000,1.498626,1.158501,0.001854,0.040311,0.882219,12.625273,6.281866
0.020000,1.499887,1.158500,0.003115,0.063024,1.135671,12.672572,6.283076
0.020000,1.514978,1.158512,0.018206,0.754583,34.577964,1672.114658,0.001637
0.020000,1.536722,1.158574,0.039950,1.087177,16.629702,-897.413095,0.004019
0.020000,1.565132,1.158732,0.068361,1.420541,16.668210,1.925412,0.007140
0.020000,1.601101,1.159060,0.104331,1.798517,18.898764,111.527689,0.011108
0.020000,1.645544,1.159663,0.148778,2.222339,21.191096,114.616577,0.016035
0.020000,1.699349,1.160688,0.202593,2.690742,23.420189,111.454659,0.022035
0.020000,1.762991,1.162318,0.266256,3.183150,24.620364,60.008747,0.029183
0.020000,1.836480,1.164768,0.339786,3.676510,24.668012,2.382384,0.037503
0.020000,1.919838,1.168293,0.423218,4.171609,24.754930,4.345925,0.047028
0.020000,2.013082,1.173183,0.516590,4.668590,24.849072,4.707111,0.057791
0.020000,2.116216,1.179772,0.619935,5.167245,24.932755,4.184158,0.069827
0.020000,2.229245,1.188434,0.733295,5.668035,25.039497,5.337083,0.083175
0.020000,2.352156,1.199590,0.856711,6.170773,25.136914,4.870828,0.097873
0.020000,2.484914,1.213702,0.990217,6.675314,25.227020,4.505339,0.113960
0.020000,2.627476,1.231282,1.133859,7.182111,25.339866,5.642278,0.131472
0.020000,2.779762,1.252888,1.287670,7.690530,25.420932,4.053317,0.150441
0.020000,2.941651,1.279122,1.451670,8.200017,25.474388,2.672773,0.170893
0.020000,3.112989,1.310628,1.625881,8.710551,25.526671,2.614159,0.192846
0.020000,3.293572,1.348092,1.810309,9.221399,25.542412,0.787067,0.216305
0.020000,3.483132,1.392229,2.004941,9.731567,25.508410,-1.700100,0.241259
0.020000,3.681345,1.443784,2.209748,10.240360,25.439615,-3.439774,0.267679
0.020000,3.887810,1.503509,2.424678,10.746499,25.306949,-6.633298,0.295513
0.020000,4.102046,1.572158,2.649644,11.248330,25.091580,-10.768431,0.324683
0.020000,4.323500,1.650468,2.884537,11.744611,24.814045,-13.876742,0.355081
0.020000,4.551545,1.739140,3.129214,12.233880,24.463436,-17.530446,0.386570
0.020000,4.785478,1.838820,3.383499,12.714242,24.018114,-22.266136,0.418980
0.020000,5.024538,1.950081,3.647182,13.184163,23.496032,-26.104094,0.452112
0.020000,5.267925,2.073403,3.920029,13.642360,22.909886,-29.307278,0.485739
0.020000,5.514812,2.209162,4.201781,14.087562,22.260087,-32.489983,0.519612
0.020000,5.764375,2.357618,4.492161,14.519002,21.571969,-34.405882,0.553466
0.020000,6.015814,2.518910,4.790886,14.936257,20.862751,-35.460886,0.587029
0.020000,6.268380,2.693059,5.097672,15.339294,20.151853,-35.544897,0.620027
0.020000,6.521049,2.879707,5.411804,15.706596,18.365118,-89.336764,0.652152
0.020000,6.772592,3.078083,5.732159,16.017742,15.557278,-140.391994,0.683079
0.020000,7.021974,3.287271,6.057659,16.275032,12.864539,-134.636985,0.712529
0.020000,7.268349,3.506242,6.387279,16.480990,10.297898,-128.332013,0.740271
0.020000,7.511061,3.733888,6.720043,16.638215,7.861215,-121.834141,0.766124
0.020000,7.749623,3.969051,7.055025,16.749103,5.544401,-115.840747,0.789953
0.020000,7.983699,4.210544,7.391344,16.815937,3.341731,-110.133486,0.811667
0.020000,8.213081,4.457177,7.728158,16.840708,1.238535,-105.159784,0.831213
0.020000,8.437663,4.707763,8.064656,16.824894,-0.790700,-101.461772,0.848568
0.020000,8.657423,4.961139,8.400057,16.770048,-2.742300,-97.579968,0.863735
0.020000,8.872394,5.216161,8.733597,16.676978,-4.653524,-95.561214,0.876738
0.020000,9.082907,5.472033,9.064937,16.566995,-5.499102,-42.278920,0.887627
0.020000,9.289546,5.728305,9.394141,16.460214,-5.339074,8.001409,0.896466
0.020000,9.492877,5.984559,9.721264,16.356166,-5.202420,6.832716,0.903306
0.020000,9.693446,6.240397,10.046350,16.254310,-5.092787,5.481635,0.908190
0.020000,9.891780,6.495436,10.369431,16.154023,-5.014326,3.923079,0.911147
0.020000,10.088385,6.749301,10.690525,16.054695,-4.966402,2.396155,0.912197
0.020000,10.283754,7.001621,11.009639,15.955718,-4.948883,0.875983,0.911347
0.020000,10.478358,7.252021,11.326768,15.856451,-4.963307,-0.721214,0.908590
0.020000,10.672656,7.500118,11.641893,15.756268,-5.009165,-2.292914,0.903910
0.020000,10.867089,7.745519,11.954985,15.654571,-5.084883,-3.785888,0.897277
0.020000,11.062087,7.987813,12.266000,15.550756,-5.190704,-5.291061,0.888651
0.020000,11.258060,8.226569,12.574884,15.444222,-5.326741,-6.801818,0.877980
