dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.540817,10.629998,0.000529,0.052910,2.645503,132.275132,0.002031
0.020000,5.541042,10.629998,0.000754,0.011269,-2.082052,-236.377748,0.001821
0.020000,5.541549,10.629999,0.001262,0.025353,0.704206,139.312927,0.001350
0.020000,5.542394,10.630000,0.002107,0.042249,0.844774,7.028384,0.000564
0.020000,5.548999,10.629998,0.008711,0.330239,14.399536,677.738103,6.282648
0.020000,5.564804,10.629979,0.024517,0.790266,23.001336,430.089999,6.281234
0.020000,5.584125,10.629924,0.043837,0.966021,8.787744,-710.679575,6.279504
0.020000,5.606957,10.629817,0.066669,1.141623,8.780091,-0.382684,6.277460
0.020000,5.633301,10.629635,0.093014,1.317240,8.780859,0.038433,6.275101
0.020000,5.663159,10.629354,0.122874,1.492960,8.786016,0.257806,6.272427
0.020000,5.696529,10.628945,0.156247,1.668652,8.784608,-0.070363,6.269438
0.020000,5.733410,10.628377,0.193132,1.844253,8.780014,-0.229733,6.266133
0.020000,5.773801,10.627615,0.233530,2.019905,8.782596,0.129104,6.262513
0.020000,5.817703,10.626621,0.277443,2.195650,8.787270,0.233721,6.258579
0.020000,5.865111,10.625353,0.324868,2.371249,8.779936,-0.366708,6.254329
0.020000,5.916024,10.623767,0.375806,2.546905,8.782821,0.144269,6.249765
0.020000,5.970440,10.621815,0.430257,2.722543,8.781906,-0.045776,6.244887
0.020000,6.028351,10.619446,0.488216,2.897953,8.770481,-0.571262,6.239697
0.020000,6.089757,10.616604,0.549688,3.073607,8.782718,0.611876,6.234194
0.020000,6.154649,10.613233,0.614667,3.248972,8.768252,-0.723319,6.228381
0.020000,6.223020,10.609273,0.683153,3.424290,8.765909,-0.117130,6.222259
0.020000,6.294862,10.604658,0.755143,3.599499,8.760437,-0.273588,6.215830
0.020000,6.370164,10.599324,0.830634,3.774543,8.752212,-0.411285,6.209097
0.020000,6.448919,10.593200,0.909626,3.949609,8.753278,0.053325,6.202062
0.020000,6.531107,10.586214,0.992111,4.124247,8.731885,-1.069646,6.194729
0.020000,6.616717,10.578292,1.078087,4.298791,8.727195,-0.234503,6.187102
0.020000,6.705732,10.569357,1.167549,4.473114,8.716180,-0.550754,6.179186
0.020000,6.798132,10.559329,1.260491,4.647113,8.699918,-0.813106,6.170985
0.020000,6.893896,10.548128,1.356908,4.820843,8.686511,-0.670339,6.162507
0.020000,6.992998,10.535669,1.456790,4.994101,8.662917,-1.179718,6.153756
0.020000,7.095414,10.521869,1.560132,5.167079,8.648888,-0.701463,6.144742
0.020000,7.201113,10.506641,1.666922,5.339521,8.622113,-1.338724,6.135471
0.020000,7.310065,10.489899,1.777153,5.511521,8.599987,-1.106283,6.125954
0.020000,7.422234,10.471554,1.890812,5.682987,8.573295,-1.334637,6.116200
0.020000,7.537584,10.451518,2.007889,5.853837,8.542493,-1.540097,6.106220
0.020000,7.656073,10.429703,2.128370,6.024043,8.510308,-1.609218,6.096027
0.020000,7.777661,10.406021,2.252242,6.193606,8.478165,-1.607184,6.085632
0.020000,7.902299,10.380385,2.379490,6.362396,8.439490,-1.933751,6.075051
0.020000,8.029941,10.352709,2.510098,6.530383,8.399374,-2.005764,6.064296
0.020000,8.160535,10.322908,2.644048,6.697532,8.357439,-2.096791,6.053385
0.020000,8.294026,10.290900,2.781324,6.863773,8.312024,-2.270737,6.042334
0.020000,8.430361,10.256603,2.921907,7.029138,8.268271,-2.187625,6.031161
0.020000,8.569480,10.219940,3.065775,7.193427,8.214456,-2.690787,6.019883
0.020000,8.711323,10.180837,3.212910,7.356732,8.165238,-2.460866,6.008520
0.020000,8.855829,10.139221,3.363289,7.518958,8.111299,-2.696982,5.997093
0.020000,9.002936,10.095027,3.516890,7.680066,8.055385,-2.795676,5.985621
0.020000,9.152578,10.048191,3.673691,7.840039,7.998661,-2.836224,5.974126
0.020000,9.304691,9.998654,3.833667,7.998819,7.939001,-2.982994,5.962629
0.020000,9.459212,9.946362,3.996796,8.156416,7.879865,-2.956798,5.951155
0.020000,9.616073,9.891268,4.163051,8.312784,7.818396,-3.073442,5.939723
0.020000,9.775212,9.833328,4.332410,8.467920,7.756800,-3.079819,5.928359
0.020000,9.936565,9.772504,4.504846,8.621807,7.694359,-3.122018,5.917085
0.020000,10.100069,9.708765,4.680335,8.774440,7.631658,-3.135079,5.905924
0.020000,10.265665,9.642086,4.858851,8.925819,7.568954,-3.135198,5.894901
0.020000,10.433294,9.572446,5.040370,9.075934,7.505734,-3.161003,5.884037
0.020000,10.602899,9.499833,5.224866,9.224807,7.443623,-3.105519,5.873357
0.020000,10.774430,9.424239,5.412315,9.372438,7.381594,-3.101458,5.862883
0.020000,10.947834,9.345663,5.602691,9.518838,7.320000,-3.079709,5.852639
0.020000,11.123068,9.264112,5.795972,9.664026,7.259396,-3.030204,5.842647
0.020000,11.300088,9.179596,5.992133,9.808024,7.199894,-2.975067,5.832929
0.020000,11.478856,9.092135,6.191149,9.950809,7.139214,-3.034020,5.823507
0.020000,11.659339,9.001754,6.392998,10.092468,7.082979,-2.811728,5.814403
0.020000,11.841509,8.908482,6.597657,10.232969,7.025056,-2.896156,5.805639
0.020000,12.024853,8.812617,6.804552,10.344709,5.586996,-71.903001,5.797256
0.020000,12.208392,8.714733,7.012561,10.400458,2.787464,-139.976608,5.789313
0.020000,12.391178,8.615436,7.220577,10.400805,0.017346,-138.505906,5.781856
0.020000,12.572770,8.515085,7.428052,10.373751,-1.352737,-68.504145,5.774902
0.020000,12.753218,8.413783,7.634990,10.346921,-1.341507,0.561469,5.768447
0.020000,12.932571,8.311626,7.841397,10.320316,-1.330249,0.562927,5.762488
0.020000,13.110880,8.208709,8.047275,10.293933,-1.319142,0.555334,5.757019
0.020000,13.288197,8.105126,8.252631,10.267766,-1.308360,0.539124,5.752037
0.020000,13.464574,8.000968,8.457467,10.241804,-1.298080,0.514010,5.747538
0.020000,13.640064,7.896323,8.661787,10.216035,-1.288463,0.480802,5.743519
0.020000,13.814717,7.791280,8.865596,10.190447,-1.279382,0.454065,5.739976
0.020000,13.988588,7.685923,9.068897,10.165022,-1.271226,0.407814,5.736905
