dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.543000,9.555000,0.000080,0.008000,0.400000,20.000000,0.002075
0.020000,5.543000,9.555000,0.000400,0.024000,0.800000,20.000000,0.002044
0.020000,5.543000,9.555000,0.001120,0.048000,1.200000,20.000000,0.001972
0.020000,5.543000,9.555000,0.002400,0.080000,1.600000,20.000000,0.001846
0.020000,5.543000,9.555000,0.004400,0.120000,2.000000,20.000000,0.001647
0.020000,5.543000,9.555000,0.007280,0.168000,2.400000,20.000000,0.001362
0.020000,5.543000,9.555000,0.011200,0.224000,2.800000,20.000000,0.000974
0.020000,5.543000,9.555000,0.016320,0.288000,3.200000,20.000000,0.000467
0.020000,5.544766,9.555000,0.022800,0.360000,3.600000,20.000000,6.283010
0.020000,5.552767,9.554995,0.030800,0.440000,4.000000,20.000000,6.282218
0.020000,5.562446,9.554981,0.040480,0.528000,4.400000,20.000000,6.281260
0.020000,5.573967,9.554953,0.052000,0.624000,4.800000,20.000000,6.280119
0.020000,5.587486,9.554902,0.065520,0.728000,5.200000,20.000000,6.278779
0.020000,5.603166,9.554821,0.081200,0.840000,5.600000,20.000000,6.277226
0.020000,5.621166,9.554697,0.099200,0.960000,6.000000,20.000000,6.275443
0.020000,5.641645,9.554518,0.119680,1.088000,6.400000,20.000000,6.273413
0.020000,5.664764,9.554266,0.142800,1.224000,6.800000,20.000000,6.271122
0.020000,5.690680,9.553920,0.168720,1.368000,7.200000,20.000000,6.268552
0.020000,5.719558,9.553456,0.197600,1.520000,7.600000,20.000000,6.265689
0.020000,5.751551,9.552845,0.229600,1.680000,8.000000,20.000000,6.262516
0.020000,5.786743,9.552056,0.264800,1.840000,8.000000,-0.000000,6.259026
0.020000,5.825130,9.551056,0.303200,2.000000,8.000000,0.000000,6.255218
0.020000,5.866711,9.549806,0.344800,2.160000,8.000000,0.000000,6.251094
0.020000,5.911485,9.548270,0.389600,2.320000,8.000000,-0.000000,6.246652
0.020000,5.959447,9.546402,0.437600,2.480000,8.000000,0.000000,6.241895
0.020000,6.010599,9.544159,0.488800,2.640000,8.000000,-0.000000,6.236823
0.020000,6.064932,9.541492,0.543200,2.800000,8.000000,0.000000,6.231436
0.020000,6.122447,9.538348,0.600800,2.960000,8.000000,0.000000,6.225737
0.020000,6.183136,9.534675,0.661600,3.120000,8.000000,0.000000,6.219727
0.020000,6.246993,9.530414,0.725600,3.280000,8.000000,-0.000000,6.213408
0.020000,6.314014,9.525507,0.792800,3.440000,8.000000,0.000000,6.206782
0.020000,6.384190,9.519890,0.863200,3.600000,8.000000,0.000000,6.199853
0.020000,6.457511,9.513499,0.936800,3.760000,8.000000,0.000000,6.192623
0.020000,6.533969,9.506266,1.013600,3.920000,8.000000,0.000000,6.185098
0.020000,6.613553,9.498120,1.093600,4.080000,8.000000,-0.000000,6.177280
0.020000,6.696250,9.488990,1.176800,4.240000,8.000000,0.000000,6.169176
0.020000,6.782048,9.478801,1.263200,4.400000,8.000000,0.000000,6.160792
0.020000,6.870929,9.467476,1.352800,4.560000,8.000000,0.000000,6.152134
0.020000,6.962878,9.454939,1.445600,4.720000,8.000000,0.000000,6.143209
0.020000,7.057875,9.441108,1.541600,4.880000,8.000000,-0.000000,6.134026
0.020000,7.155903,9.425904,1.640800,5.040000,8.000000,0.000000,6.124594
0.020000,7.256938,9.409243,1.743200,5.200000,8.000000,0.000000,6.114922
0.020000,7.360957,9.391042,1.848800,5.360000,8.000000,0.000000,6.105023
0.020000,7.467936,9.371218,1.957600,5.520000,8.000000,0.000000,6.094906
0.020000,7.577846,9.349687,2.069600,5.680000,8.000000,-0.000000,6.084586
0.020000,7.690659,9.326365,2.184800,5.840000,8.000000,0.000000,6.074077
0.020000,7.806346,9.301167,2.303200,6.000000,8.000000,0.000000,6.063392
0.020000,7.924875,9.274010,2.424800,6.160000,8.000000,0.000000,6.052547
0.020000,8.046211,9.244813,2.549600,6.320000,8.000000,0.000000,6.041559
0.020000,8.170319,9.213493,2.677600,6.480000,8.000000,-0.000000,6.030446
0.020000,8.297086,9.179992,2.808720,6.632000,7.600000,-20.000000,6.019233
0.020000,8.426322,9.144280,2.942800,6.776000,7.200000,-20.000000,6.007951
0.020000,8.557836,9.106333,3.079680,6.912000,6.800000,-20.000000,5.996633
0.020000,8.691440,9.066139,3.219200,7.040000,6.400000,-20.000000,5.985311
0.020000,8.826947,9.023695,3.361200,7.160000,6.000000,-20.000000,5.974014
0.020000,8.964174,8.979008,3.505520,7.272000,5.600000,-20.000000,5.962775
0.020000,9.102938,8.932096,3.652000,7.376000,5.200000,-20.000000,5.951621
0.020000,9.243060,8.882985,3.800480,7.472000,4.800000,-20.000000,5.940581
