dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.545183,8.480002,0.000529,0.052910,2.645503,132.275132,0.002031
0.020000,5.544958,8.480002,0.000754,0.011269,-2.082052,-236.377748,0.001821
0.020000,5.544451,8.480001,0.001262,0.025353,0.704206,139.312927,0.001350
0.020000,5.543606,8.480000,0.002107,0.042249,0.844774,7.028384,0.000564
0.020000,5.547845,8.479999,0.006345,0.211949,8.485029,382.012761,6.282648
0.020000,5.560609,8.479983,0.019109,0.638198,21.312427,641.369906,6.281234
0.020000,5.576211,8.479939,0.034712,0.780105,7.095343,-710.854236,6.279504
0.020000,5.594648,8.479852,0.053149,0.921874,7.088469,-0.343686,6.277460
0.020000,5.615920,8.479705,0.074422,1.063642,7.088408,-0.003042,6.275101
0.020000,5.640029,8.479478,0.098531,1.205482,7.091970,0.178104,6.272427
0.020000,5.666973,8.479148,0.125477,1.347289,7.090393,-0.078844,6.269438
0.020000,5.696750,8.478689,0.155258,1.489019,7.086496,-0.194863,6.266133
0.020000,5.729360,8.478074,0.187874,1.630794,7.088749,0.112674,6.262513
0.020000,5.764804,8.477272,0.223327,1.772658,7.093163,0.220688,6.258579
0.020000,5.803079,8.476248,0.261615,1.914427,7.088480,-0.234161,6.254329
0.020000,5.844184,8.474968,0.302741,2.056283,7.092784,0.215221,6.249765
0.020000,5.888120,8.473392,0.346705,2.198181,7.094908,0.106161,6.244887
0.020000,5.934880,8.471478,0.393504,2.339973,7.089594,-0.265675,6.239697
0.020000,5.984468,8.469184,0.443145,2.482065,7.104610,0.750799,6.234194
0.020000,6.036879,8.466461,0.495626,2.624054,7.099471,-0.256974,6.228381
0.020000,6.092109,8.463262,0.550950,2.766169,7.105722,0.312589,6.222259
0.020000,6.150158,8.459533,0.609118,2.908394,7.111253,0.276540,6.215830
0.020000,6.211020,8.455222,0.670132,3.050726,7.116577,0.266197,6.209097
0.020000,6.274695,8.450270,0.733999,3.193359,7.131653,0.753796,6.202062
0.020000,6.341174,8.444620,0.800719,3.335979,7.131036,-0.030841,6.194729
0.020000,6.410457,8.438209,0.870297,3.478912,7.146617,0.779046,6.187102
