dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.998000,2.582000,0.000043,0.004261,0.213068,10.653409,3.141111
0.020000,24.998000,2.582000,0.000213,0.012784,0.426136,10.653409,3.141134
0.020000,24.998000,2.582000,0.000597,0.025568,0.639205,10.653409,3.141184
0.020000,24.998000,2.582000,0.001278,0.042614,0.852273,10.653409,3.141273
0.020000,24.998000,2.582000,0.002344,0.063920,1.065341,10.653409,3.141413
0.020000,24.997837,2.582000,0.003878,0.089489,1.278409,10.653409,3.141614
0.020000,24.995748,2.582000,0.005966,0.119318,1.491477,10.653409,3.141888
0.020000,24.993021,2.581998,0.008693,0.153409,1.704545,10.653409,3.142246
0.020000,24.989569,2.581995,0.012145,0.191761,1.917614,10.653409,3.142699
0.020000,24.985308,2.581989,0.016406,0.234375,2.130682,10.653409,3.143258
0.020000,24.980152,2.581979,0.021563,0.281250,2.343750,10.653409,3.143935
0.020000,24.974016,2.581962,0.027699,0.332386,2.556818,10.653409,3.144741
0.020000,24.966814,2.581936,0.034901,0.387784,2.769886,10.653409,3.145688
0.020000,24.958462,2.581897,0.043253,0.447443,2.982955,10.653409,3.146787
0.020000,24.948874,2.581842,0.052841,0.511364,3.196023,10.653409,3.148050
0.020000,24.937965,2.581763,0.063750,0.579545,3.409091,10.653409,3.149487
0.020000,24.925650,2.581656,0.076065,0.651989,3.622159,10.653409,3.151112
0.020000,24.911844,2.581512,0.089872,0.728693,3.835227,10.653409,3.152936
0.020000,24.896462,2.581322,0.105256,0.809659,4.048295,10.653409,3.154970
0.020000,24.879418,2.581075,0.122301,0.894886,4.261364,10.653409,3.157228
0.020000,24.860628,2.580757,0.141094,0.984375,4.474432,10.653409,3.159721
0.020000,24.840007,2.580355,0.161719,1.078125,4.687500,10.653409,3.162461
0.020000,24.817513,2.579852,0.184219,1.171875,4.687500,0.000000,3.165456
0.020000,24.793146,2.579231,0.208594,1.265625,4.687500,0.000000,3.168708
0.020000,24.766907,2.578473,0.234844,1.359375,4.687500,0.000000,3.172216
0.020000,24.738796,2.577559,0.262969,1.453125,4.687500,0.000000,3.175984
0.020000,24.708816,2.576467,0.292969,1.546875,4.687500,0.000000,3.180012
0.020000,24.676968,2.575175,0.324844,1.640625,4.687500,0.000000,3.184302
0.020000,24.643252,2.573657,0.358594,1.734375,4.687500,0.000000,3.188856
0.020000,24.607671,2.571888,0.394219,1.828125,4.687500,0.000000,3.193676
0.020000,24.570227,2.569841,0.431719,1.921875,4.687500,0.000000,3.198762
0.020000,24.530922,2.567486,0.471094,2.015625,4.687500,0.000000,3.204118
0.020000,24.489803,2.564795,0.512301,2.105114,4.474432,-10.653409,3.209739
0.020000,24.446957,2.561744,0.555256,2.190341,4.261364,-10.653409,3.215615
0.020000,24.402473,2.558309,0.599872,2.271307,4.048295,-10.653409,3.221736
0.020000,24.356440,2.554464,0.646065,2.348011,3.835227,-10.653409,3.228090
0.020000,24.308948,2.550189,0.693750,2.420455,3.622159,-10.653409,3.234669
0.020000,24.260085,2.545460,0.742841,2.488636,3.409091,-10.653409,3.241460
0.020000,24.209942,2.540259,0.793253,2.552557,3.196023,-10.653409,3.248453
0.020000,24.158609,2.534566,0.844901,2.612216,2.982955,-10.653409,3.255637
0.020000,24.106177,2.528365,0.897699,2.667614,2.769886,-10.653409,3.262999
0.020000,24.052734,2.521640,0.951562,2.718750,2.556818,-10.653409,3.270528
0.020000,23.998374,2.514380,1.006406,2.765625,2.343750,-10.653409,3.278212
0.020000,23.943185,2.506573,1.062145,2.808239,2.130682,-10.653409,3.286039
0.020000,23.887258,2.498210,1.118693,2.846591,1.917614,-10.653409,3.293995
0.020000,23.830685,2.489287,1.175966,2.880682,1.704545,-10.653409,3.302069
0.020000,23.773556,2.479800,1.233878,2.910511,1.491477,-10.653409,3.310247
0.020000,23.715960,2.469748,1.292344,2.936080,1.278409,-10.653409,3.318515
0.020000,23.657990,2.459133,1.351278,2.957386,1.065341,-10.653409,3.326861
0.020000,23.599733,2.447961,1.410597,2.974432,0.852273,-10.653409,3.335271
0.020000,23.541281,2.436240,1.470213,2.987216,0.639205,-10.653409,3.343731
0.020000,23.482721,2.423979,1.530043,2.995739,0.426136,-10.653409,3.352228
0.020000,23.424143,2.411194,1.590000,3.000000,0.213068,-10.653409,3.360747
0.020000,23.365634,2.397900,1.650000,3.000000,0.000000,-10.653409,3.369274
0.020000,23.307241,2.384108,1.710000,3.000000,0.000000,0.000000,3.377802
0.020000,23.248968,2.369818,1.770000,3.000000,0.000000,0.000000,3.386329
0.020000,23.190818,2.355032,1.830000,3.000000,0.000000,0.000000,3.394852
0.020000,23.132797,2.339751,1.890000,3.000000,0.000000,0.000000,3.403371
0.020000,23.074908,2.323977,1.950000,3.000000,0.000000,0.000000,3.411882
0.020000,23.017155,2.307711,2.010000,3.000000,0.000000,0.000000,3.420386
0.020000,22.959556,2.290958,2.069986,2.998586,-0.070698,-3.534919,3.428876
0.020000,22.902170,2.273738,2.129901,2.992911,-0.283767,-10.653409,3.437344
0.020000,22.845079,2.256080,2.189660,2.982974,-0.496835,-10.653409,3.445776
0.020000,22.788370,2.238016,2.249177,2.968776,-0.709903,-10.653409,3.454159
0.020000,22.732123,2.219580,2.308368,2.950317,-0.922971,-10.653409,3.462478
0.020000,22.676421,2.200811,2.367147,2.927596,-1.136039,-10.653409,3.470721
0.020000,22.621345,2.181749,2.425429,2.900614,-1.349107,-10.653409,3.478874
0.020000,22.566973,2.162435,2.483129,2.869370,-1.562176,-10.653409,3.486924
0.020000,22.513385,2.142917,2.540162,2.833865,-1.775244,-10.653409,3.494859
0.020000,22.460658,2.123240,2.596441,2.794099,-1.988312,-10.653409,3.502667
0.020000,22.408867,2.103455,2.651883,2.750071,-2.201380,-10.653409,3.510335
0.020000,22.358087,2.083613,2.706401,2.701782,-2.414448,-10.653409,3.517852
0.020000,22.308393,2.063768,2.759912,2.649232,-2.627517,-10.653409,3.525205
0.020000,22.259857,2.043975,2.812328,2.592420,-2.840585,-10.653409,3.532384
0.020000,22.212551,2.024292,2.863566,2.531347,-3.053653,-10.653409,3.539377
0.020000,22.166545,2.004777,2.913539,2.466013,-3.266721,-10.653409,3.546174
0.020000,22.121910,1.985490,2.962164,2.396417,-3.479789,-10.653409,3.552763
0.020000,22.078714,1.966491,3.009353,2.322560,-3.692857,-10.653409,3.559136
0.020000,22.037025,1.947843,3.055023,2.244441,-3.905926,-10.653409,3.565282
0.020000,21.996910,1.929608,3.099088,2.162062,-4.118994,-10.653409,3.571190
0.020000,21.958436,1.911850,3.141463,2.075420,-4.332062,-10.653409,3.576852
0.020000,21.921668,1.894632,3.182063,1.984518,-4.545130,-10.653409,3.582258
0.020000,21.886660,1.878012,3.220816,1.890768,-4.687500,-7.118490,3.587401
0.020000,21.853426,1.862030,3.257693,1.797018,-4.687500,0.000000,3.592279
0.020000,21.821953,1.846710,3.292696,1.703268,-4.687500,0.000000,3.596894
0.020000,21.792232,1.832078,3.325824,1.609518,-4.687500,0.000000,3.601249
0.020000,21.764251,1.818156,3.357077,1.515768,-4.687500,0.000000,3.605344
0.020000,21.738002,1.804964,3.386455,1.422018,-4.687500,0.000000,3.609184
0.020000,21.713473,1.792524,3.413958,1.328268,-4.687500,0.000000,3.612768
0.020000,21.690657,1.780852,3.439585,1.234518,-4.687500,0.000000,3.616100
0.020000,21.669546,1.769967,3.463338,1.140768,-4.687500,0.000000,3.619180
0.020000,21.650130,1.759884,3.485216,1.047018,-4.687500,0.000000,3.622011
0.020000,21.632391,1.750610,3.505233,0.954682,-4.616802,3.534919,3.624596
0.020000,21.616271,1.742132,3.523446,0.866607,-4.403733,10.653409,3.626943
0.020000,21.601690,1.734422,3.539940,0.782794,-4.190665,10.653409,3.629065
0.020000,21.588568,1.727449,3.554800,0.703242,-3.977597,10.653409,3.630974
0.020000,21.576824,1.721181,3.568112,0.627951,-3.764529,10.653409,3.632681
0.020000,21.566379,1.715586,3.579961,0.556922,-3.551461,10.653409,3.634199
0.020000,21.557157,1.710628,3.590432,0.490154,-3.338393,10.653409,3.635539
0.020000,21.549078,1.706272,3.599610,0.427648,-3.125324,10.653409,3.636712
0.020000,21.542067,1.702481,3.607580,0.369403,-2.912256,10.653409,3.637730
0.020000,21.536046,1.699218,3.614429,0.315419,-2.699188,10.653409,3.638604
0.020000,21.530939,1.696446,3.620240,0.265696,-2.486120,10.653409,3.639345
0.020000,21.526670,1.694124,3.625099,0.220235,-2.273052,10.653409,3.639964
0.020000,21.523163,1.692215,3.629092,0.179036,-2.059983,10.653409,3.640473
0.020000,21.520344,1.690678,3.632303,0.142097,-1.846915,10.653409,3.640882
0.020000,21.518136,1.689473,3.634818,0.109420,-1.633847,10.653409,3.641202
