dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.998537,3.697000,0.000043,0.004261,0.213068,10.653409,3.141111
0.020000,24.998512,3.697000,0.000068,0.001246,-0.150772,-18.192001,3.141134
0.020000,24.998456,3.697000,0.000124,0.002803,0.077873,11.432228,3.141184
0.020000,24.998356,3.697000,0.000223,0.004984,0.109028,1.557774,3.141273
0.020000,24.998200,3.697000,0.000379,0.007788,0.140193,1.558264,3.141413
0.020000,24.997813,3.697000,0.000767,0.019388,0.579998,21.990243,3.141614
0.020000,24.995419,3.697000,0.003160,0.119674,5.014289,221.714512,3.141888
0.020000,24.992293,3.696998,0.006286,0.156309,1.831779,-159.125464,3.142246
0.020000,24.988336,3.696995,0.010243,0.197836,2.076334,12.227749,3.142699
0.020000,24.983451,3.696988,0.015128,0.244254,2.320903,12.228456,3.143258
0.020000,24.977540,3.696976,0.021039,0.295562,2.565388,12.224223,3.143935
0.020000,24.970505,3.696957,0.028075,0.351769,2.810349,12.248054,3.144741
0.020000,24.962247,3.696927,0.036332,0.412870,3.055078,12.236439,3.145688
0.020000,24.952670,3.696882,0.045910,0.478875,3.300241,12.258152,3.146787
0.020000,24.941674,3.696818,0.056905,0.549786,3.545537,12.264820,3.148050
0.020000,24.929163,3.696728,0.069418,0.625608,3.791128,12.279532,3.149487
0.020000,24.915036,3.696605,0.083545,0.706349,4.037045,12.295861,3.151112
0.020000,24.899197,3.696440,0.099385,0.792009,4.282991,12.297299,3.152936
0.020000,24.881546,3.696222,0.117037,0.882603,4.529679,12.334404,3.154970
0.020000,24.861986,3.695938,0.136599,0.978128,4.776280,12.330036,3.157228
0.020000,24.840416,3.695574,0.158172,1.078606,5.023907,12.381354,3.159721
0.020000,24.816740,3.695112,0.181852,1.184036,5.271509,12.380097,3.162461
0.020000,24.790907,3.694535,0.207692,1.291979,5.397138,6.281449,3.165456
0.020000,24.762916,3.693821,0.235692,1.400001,5.401091,0.197665,3.168708
0.020000,24.732767,3.692950,0.265854,1.508102,5.405064,0.198623,3.172216
0.020000,24.700458,3.691900,0.298180,1.616286,5.409187,0.206177,3.175984
0.020000,24.665990,3.690644,0.332671,1.724563,5.413859,0.233592,3.180012
0.020000,24.629361,3.689158,0.369329,1.832926,5.418161,0.215094,3.184302
0.020000,24.590573,3.687412,0.408157,1.941386,5.423000,0.241966,3.188856
0.020000,24.549625,3.685376,0.449156,2.049942,5.427788,0.239408,3.193676
0.020000,24.506517,3.683019,0.492328,2.158591,5.432427,0.231933,3.198762
0.020000,24.461251,3.680307,0.537675,2.267342,5.437581,0.257679,3.204118
0.020000,24.413878,3.677207,0.585149,2.373728,5.319276,-5.915210,3.209739
0.020000,24.364497,3.673691,0.634655,2.475300,5.078616,-12.032994,3.215615
0.020000,24.313209,3.669730,0.686096,2.572036,4.836768,-12.092432,3.221736
0.020000,24.260115,3.665296,0.739375,2.663936,4.595015,-12.087647,3.228090
0.020000,24.205317,3.660363,0.794394,2.750977,4.352075,-12.146981,3.234669
0.020000,24.148918,3.654905,0.851057,2.833155,4.108857,-12.160904,3.241460
0.020000,24.091019,3.648899,0.909266,2.910452,3.864865,-12.199590,3.248453
0.020000,24.031726,3.642323,0.968924,2.982858,3.620308,-12.227881,3.255637
0.020000,23.971141,3.635158,1.029931,3.050353,3.374762,-12.277286,3.262999
0.020000,23.909370,3.627385,1.092189,3.112929,3.128781,-12.299061,3.270528
0.020000,23.846516,3.618990,1.155600,3.170567,2.881908,-12.343637,3.278212
0.020000,23.782687,3.609961,1.220066,3.223257,2.634486,-12.371102,3.286039
0.020000,23.717986,3.600287,1.285485,3.270983,2.386309,-12.408869,3.293995
0.020000,23.652521,3.589961,1.351760,3.313734,2.137541,-12.438368,3.302069
0.020000,23.586397,3.578980,1.418790,3.351496,1.888099,-12.472118,3.310247
0.020000,23.519719,3.567343,1.486475,3.384259,1.638151,-12.497372,3.318515
0.020000,23.452595,3.555052,1.554715,3.412014,1.387772,-12.518997,3.326861
0.020000,23.385129,3.542114,1.623410,3.434750,1.136812,-12.547962,3.335271
0.020000,23.317428,3.528538,1.692460,3.452462,0.885564,-12.562399,3.343731
0.020000,23.249596,3.514336,1.761762,3.465142,0.633993,-12.578559,3.352228
0.020000,23.181738,3.499525,1.831218,3.472786,0.382227,-12.588307,3.360747
0.020000,23.113957,3.484125,1.900726,3.475391,0.130237,-12.599511,3.369274
0.020000,23.046310,3.468147,1.970234,3.475424,0.001662,-6.428733,3.377802
0.020000,22.978803,3.451593,2.039741,3.475353,-0.003535,-0.259852,3.386329
0.020000,22.911443,3.434465,2.109245,3.475179,-0.008738,-0.260145,3.394852
0.020000,22.844237,3.416765,2.178743,3.474900,-0.013909,-0.258538,3.403371
0.020000,22.777191,3.398495,2.248233,3.474519,-0.019082,-0.258661,3.411882
0.020000,22.710313,3.379659,2.317714,3.474035,-0.024200,-0.255895,3.420386
0.020000,22.643623,3.360262,2.387167,3.472630,-0.070224,-2.301227,3.428876
0.020000,22.577193,3.340329,2.456524,3.467840,-0.239521,-8.464822,3.437344
0.020000,22.511121,3.319892,2.525684,3.458022,-0.490879,-12.567923,3.445776
0.020000,22.445505,3.298991,2.594548,3.443182,-0.742008,-12.556469,3.454159
0.020000,22.380444,3.277667,2.663014,3.423330,-0.992586,-12.528893,3.462478
0.020000,22.316033,3.255963,2.730984,3.398474,-1.242835,-12.512413,3.470721
0.020000,22.252366,3.233927,2.798356,3.368627,-1.492358,-12.476165,3.478874
0.020000,22.189536,3.211610,2.865032,3.333799,-1.741379,-12.451072,3.486924
0.020000,22.127635,3.189063,2.930912,3.294005,-1.989714,-12.416710,3.494859
0.020000,22.066751,3.166342,2.995897,3.249257,-2.237373,-12.382957,3.502667
0.020000,22.006973,3.143506,3.059889,3.199571,-2.484318,-12.347279,3.510335
0.020000,21.948387,3.120614,3.122788,3.144961,-2.730497,-12.308916,3.517852
0.020000,21.891079,3.097728,3.184497,3.085444,-2.975855,-12.267925,3.525205
0.020000,21.835131,3.074913,3.244918,3.021031,-3.220639,-12.239194,3.532384
0.020000,21.780626,3.052235,3.303953,2.951744,-3.464362,-12.186169,3.539377
0.020000,21.727644,3.029761,3.361504,2.877594,-3.707500,-12.156876,3.546174
0.020000,21.676264,3.007559,3.417476,2.798594,-3.949989,-12.124430,3.552763
0.020000,21.626563,2.985699,3.471772,2.714763,-4.191566,-12.078851,3.559136
0.020000,21.578619,2.964253,3.524294,2.626113,-4.432491,-12.046267,3.565282
0.020000,21.532507,2.943292,3.574947,2.532651,-4.673096,-12.030233,3.571190
0.020000,21.488300,2.922888,3.623635,2.434395,-4.912808,-11.985608,3.576852
0.020000,21.446074,2.903113,3.670262,2.331356,-5.151939,-11.956572,3.582258
0.020000,21.405886,2.884034,3.714749,2.224350,-5.350301,-9.918111,3.587401
0.020000,21.367750,2.865695,3.757065,2.115831,-5.425955,-3.782703,3.592279
0.020000,21.331651,2.848123,3.797214,2.007433,-5.419880,0.303762,3.596894
0.020000,21.297573,2.831347,3.835197,1.899150,-5.414167,0.285672,3.601249
0.020000,21.265504,2.815390,3.871017,1.790981,-5.408470,0.284814,3.605344
0.020000,21.235430,2.800277,3.904675,1.682926,-5.402733,0.286882,3.609184
0.020000,21.207337,2.786028,3.936175,1.574977,-5.397432,0.265022,3.612768
0.020000,21.181214,2.772665,3.965517,1.467127,-5.392495,0.246856,3.616100
0.020000,21.157049,2.760206,3.992705,1.359376,-5.387577,0.245913,3.619180
0.020000,21.134833,2.748668,4.017739,1.251716,-5.382977,0.229974,3.622011
0.020000,21.114539,2.738059,4.040638,1.144948,-5.338420,2.227872,3.624596
0.020000,21.096104,2.728363,4.061468,1.041506,-5.172120,8.315007,3.626943
0.020000,21.079431,2.719546,4.080328,0.943007,-4.924937,12.359141,3.629065
0.020000,21.064429,2.711575,4.097317,0.849435,-4.678610,12.316368,3.630974
0.020000,21.051005,2.704411,4.112533,0.760785,-4.432496,12.305669,3.632681
0.020000,21.039069,2.698016,4.126074,0.677056,-4.186434,12.303126,3.634199
0.020000,21.028531,2.692350,4.138038,0.598229,-3.941366,12.253393,3.635539
0.020000,21.019301,2.687373,4.148525,0.524306,-3.696131,12.261761,3.636712
0.020000,21.011291,2.683043,4.157630,0.455272,-3.451729,12.220110,3.637730
0.020000,21.004413,2.679316,4.165453,0.391132,-3.206999,12.236502,3.638604
0.020000,20.998580,2.676149,4.172090,0.331870,-2.963078,12.196042,3.639345
0.020000,20.993705,2.673498,4.177640,0.277496,-2.718692,12.219289,3.639964
0.020000,20.989700,2.671317,4.182200,0.227993,-2.475179,12.175642,3.640473
0.020000,20.986480,2.669562,4.185867,0.183365,-2.231394,12.189244,3.640882
0.020000,20.983959,2.668186,4.188739,0.143608,-1.987832,12.178104,3.641202
0.020000,20.982050,2.667144,4.190914,0.108727,-1.744069,12.188158,3.641444
0.020000,20.980669,2.666390,4.192488,0.078706,-1.501046,12.151167,3.641620
0.020000,20.979729,2.665876,4.193559,0.053559,-1.257329,12.185821,3.641739
0.020000,20.979145,2.665557,4.194225,0.033277,-1.014093,12.161809,3.641813
0.020000,20.978831,2.665386,4.194582,0.017861,-0.770822,12.163572,3.641853
0.020000,20.978703,2.665316,4.194728,0.007310,-0.527529,12.164608,3.641869
0.020000,20.978674,2.665300,4.194761,0.001626,-0.284227,12.165114,3.641873
0.020000,20.978674,2.665300,4.194761,0.000000,-0.081287,10.146994,3.641873
