dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.616903,11.081500,0.000399,0.039857,1.992856,99.642795,0.000093
0.020000,5.616954,11.081500,0.000450,0.002547,-1.865504,-192.918004,0.000044
0.020000,5.619218,11.081500,0.002714,0.113204,5.532837,369.917071,6.283120
0.020000,5.625796,11.081499,0.009292,0.328909,10.785255,262.620866,6.282927
0.020000,5.636070,11.081495,0.019566,0.513690,9.239080,-77.308726,6.282630
0.020000,5.650855,11.081483,0.034350,0.739222,11.276592,101.875607,6.282211
0.020000,5.670959,11.081458,0.054455,1.005231,13.300428,101.191800,6.281659
0.020000,5.697186,11.081409,0.080681,1.311335,15.305219,100.239522,6.280970
0.020000,5.730326,11.081322,0.113822,1.657030,17.284729,98.975507,6.280148
0.020000,5.771160,11.081178,0.154655,2.041666,19.231816,97.354364,6.279210
0.020000,5.820448,11.080957,0.203944,2.464436,21.138505,95.334469,6.278191
0.020000,5.878528,11.080636,0.262026,2.904078,21.982096,42.179549,6.277148
0.020000,5.945317,11.080198,0.328816,3.339508,21.771502,-10.529729,6.276163
0.020000,6.020717,11.079635,0.404217,3.770082,21.528681,-12.141036,6.275329
0.020000,6.104617,11.078949,0.488120,4.195154,21.253620,-13.753036,6.274751
0.020000,6.196895,11.078158,0.580402,4.614079,20.946232,-15.369412,6.274548
0.020000,6.297416,11.077301,0.680926,5.026205,20.606323,-16.995464,6.274850
0.020000,6.406030,11.076441,0.789544,5.430877,20.233585,-18.636905,6.275800
0.020000,6.522576,11.075675,0.906092,5.827429,19.827573,-20.300574,6.277554
0.020000,6.646878,11.075135,1.030396,6.215183,19.387738,-21.991765,6.280282
0.020000,6.778747,11.074997,1.162265,6.593453,18.913464,-23.713713,0.000979
0.020000,6.917977,11.075484,1.301496,6.961537,18.404237,-25.461337,0.006212
0.020000,7.064345,11.076874,1.447870,7.318734,17.859829,-27.220390,0.013005
0.020000,7.217610,11.079505,1.601157,7.664348,17.280721,-28.955394,0.021580
0.020000,7.377507,11.083781,1.761112,7.997722,16.668677,-30.602200,0.032173
0.020000,7.543749,11.090175,1.927477,8.318274,16.027585,-32.054590,0.045028
0.020000,7.716023,11.099234,2.099989,8.625566,15.364616,-33.148460,0.060401
0.020000,7.893983,11.111583,2.278377,8.919403,14.691844,-33.638630,0.078550
0.020000,8.077255,11.127925,2.462376,9.199964,14.028064,-33.188969,0.099730
0.020000,8.265434,11.149038,2.651736,9.467986,13.401081,-31.349170,0.124181
0.020000,8.458087,11.175776,2.846235,9.724977,12.849589,-27.574598,0.152114
0.020000,8.654425,11.209001,3.045365,9.956476,11.574946,-63.732128,0.183636
0.020000,8.847178,11.248143,3.242052,9.834347,-6.106446,-884.069642,0.217153
0.020000,9.053049,11.297220,3.453692,10.581997,37.382468,2174.445731,0.250439
0.020000,9.264654,11.354987,3.673040,10.967423,19.271310,-905.557883,0.282064
0.020000,9.481415,11.421352,3.899733,11.334633,18.360500,-45.540532,0.311614
0.020000,9.702756,11.496044,4.133337,11.680210,17.278855,-54.082246,0.338738
0.020000,9.928113,11.578622,4.373347,12.000508,16.014907,-63.197396,0.363157
0.020000,10.156940,11.668482,4.619186,12.291939,14.571561,-72.167299,0.384659
0.020000,10.388715,11.764885,4.870210,12.551186,12.962316,-80.462259,0.403098
0.020000,10.622940,11.866973,5.125716,12.775318,11.206612,-87.785204,0.418382
0.020000,10.859108,11.973774,5.384910,12.959727,9.220450,-99.308102,0.430466
0.020000,11.096729,12.084245,5.646955,13.102222,7.124747,-104.785154,0.439346
0.020000,11.335362,12.197309,5.911018,13.203138,5.045782,-103.948245,0.445057
0.020000,11.574568,12.311861,6.176238,13.261005,2.893388,-107.619698,0.447658
0.020000,11.813893,12.426789,6.441728,13.274514,0.675426,-110.898092,0.447237
0.020000,12.052856,12.540988,6.706576,13.242416,-1.604903,-114.016439,0.443902
0.020000,12.290928,12.653381,6.969845,13.163446,-3.948491,-117.179391,0.437790
0.020000,12.527521,12.762933,7.230570,13.036256,-6.359489,-120.549940,0.429060
0.020000,12.761968,12.868669,7.487758,12.859387,-8.843462,-124.198623,0.417901
0.020000,12.993513,12.969695,7.740383,12.631247,-11.407017,-128.177765,0.404531
0.020000,13.221300,13.065211,7.987386,12.350147,-14.055004,-132.399343,0.389204
0.020000,13.444413,13.154551,8.227721,12.016747,-16.669969,-130.748263,0.372199
0.020000,13.662241,13.237326,8.460746,11.651259,-18.274406,-80.221852,0.353793
0.020000,13.874471,13.313394,8.686197,11.272525,-18.936721,-33.115717,0.334241
0.020000,14.080750,13.382703,8.903808,10.880582,-19.597151,-33.021539,0.313796
0.020000,14.280694,13.445291,9.113320,10.475565,-20.250819,-32.683374,0.292709
0.020000,14.473900,13.501280,9.314474,10.057746,-20.890970,-32.007566,0.271226
0.020000,14.659955,13.550873,9.507025,9.627541,-21.510223,-30.962656,0.249586
0.020000,14.838450,13.594340,9.690736,9.185556,-22.099268,-29.452237,0.228014
0.020000,15.008988,13.632016,9.865387,8.732519,-22.651835,-27.628354,0.206722
0.020000,15.171196,13.664284,10.030773,8.269301,-23.160905,-25.453490,0.185908
0.020000,15.324728,13.691567,10.186711,7.796888,-23.620667,-22.988115,0.165746
0.020000,15.469274,13.714316,10.333036,7.316284,-24.030176,-20.475423,0.146394
0.020000,15.604562,13.732997,10.469608,6.828565,-24.385961,-17.789255,0.127989
0.020000,15.730356,13.748081,10.596303,6.334764,-24.690041,-15.203995,0.110648
0.020000,15.846459,13.760032,10.713019,5.835819,-24.947273,-12.861591,0.094469
0.020000,15.952709,13.769301,10.819673,5.332685,-25.156684,-10.470588,0.079533
0.020000,16.048977,13.776314,10.916196,4.826164,-25.326043,-8.467906,0.065905
0.020000,16.135162,13.781472,11.002535,4.316961,-25.460141,-6.704922,0.053636
0.020000,16.211188,13.785140,11.078649,3.805692,-25.563482,-5.167036,0.042766
0.020000,16.276998,13.787645,11.144507,3.292869,-25.641163,-3.884086,0.033325
0.020000,16.332604,13.789277,11.200137,2.781504,-25.568223,3.647003,0.025328
0.020000,16.378499,13.790287,11.246043,2.295317,-24.309374,62.942446,0.018714
0.020000,16.415605,13.790883,11.283154,1.855538,-21.988921,116.022674,0.013359
0.020000,16.444850,13.791211,11.312400,1.462323,-19.660738,116.409132,0.009134
0.020000,16.467165,13.791379,11.334717,1.115822,-17.325077,116.783086,0.005908
0.020000,16.483487,13.791457,11.351038,0.816081,-14.987065,116.900571,0.003548
0.020000,16.494751,13.791487,11.362303,0.563234,-12.642320,117.237251,0.001918
0.020000,16.501897,13.791497,11.369448,0.357260,-10.298691,117.181444,0.000883
0.020000,16.505861,13.791500,11.373412,0.198211,-7.952467,117.311228,0.000310
0.020000,16.507583,13.791500,11.375134,0.086086,-5.606266,117.310009,0.000060
0.020000,16.508000,13.791500,11.375552,0.020873,-3.260640,117.281310,0.000000
0.020000,16.508000,13.791500,11.375552,0.000000,-1.043643,110.849875,0.000000
