dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.617000,10.040000,0.000399,0.039857,1.992856,99.642795,0.000093
0.020000,5.617000,10.040000,0.001993,0.119571,3.985712,99.642795,0.000044
0.020000,5.619150,10.040000,0.005580,0.239143,5.978568,99.642795,6.283120
0.020000,5.625527,10.039999,0.011957,0.398571,7.971424,99.642795,6.282927
0.020000,5.635491,10.039995,0.021921,0.597857,9.964279,99.642795,6.282630
0.020000,5.649840,10.039984,0.036270,0.836999,11.957135,99.642795,6.282211
0.020000,5.669370,10.039959,0.055800,1.115999,13.949991,99.642795,6.281659
0.020000,5.694878,10.039912,0.081309,1.434856,15.942847,99.642795,6.280970
0.020000,5.727163,10.039827,0.113593,1.793570,17.935703,99.642795,6.280148
0.020000,5.767019,10.039687,0.153450,2.192141,19.928559,99.642795,6.279210
0.020000,5.815246,10.039470,0.201677,2.630570,21.921415,99.642795,6.278191
0.020000,5.872241,10.039155,0.258673,3.068998,21.921415,0.000000,6.277148
0.020000,5.938004,10.038724,0.324437,3.507426,21.921415,0.000000,6.276163
0.020000,6.012534,10.038168,0.398970,3.945855,21.921415,-0.000000,6.275329
0.020000,6.095833,10.037487,0.482271,4.384283,21.921415,0.000000,6.274751
0.020000,6.187900,10.036697,0.574341,4.822711,21.921415,-0.000000,6.274548
0.020000,6.288734,10.035837,0.675180,5.261140,21.921415,0.000000,6.274850
0.020000,6.398338,10.034969,0.784787,5.699568,21.921415,0.000000,6.275800
0.020000,6.516711,10.034191,0.903162,6.137996,21.921415,0.000000,6.277554
0.020000,6.643854,10.033640,1.030306,6.576424,21.921415,-0.000000,6.280282
0.020000,6.779767,10.033498,1.166219,7.014853,21.921415,0.000000,0.000979
0.020000,6.924447,10.034004,1.310901,7.453281,21.921415,-0.000000,0.006212
0.020000,7.077890,10.035462,1.464351,7.891709,21.921415,0.000000,0.013005
0.020000,7.240084,10.038248,1.626569,8.330138,21.921415,0.000000,0.021580
0.020000,7.411009,10.042820,1.797556,8.768566,21.921415,-0.000000,0.032173
0.020000,7.590630,10.049730,1.977312,9.206994,21.921415,0.000000,0.045028
0.020000,7.778892,10.059633,2.165836,9.645423,21.921415,0.000000,0.060401
0.020000,7.975709,10.073295,2.363129,10.083851,21.921415,0.000000,0.078550
0.020000,8.180952,10.091600,2.569190,10.522279,21.921415,-0.000000,0.099730
0.020000,8.394436,10.115558,2.784020,10.960707,21.921415,0.000000,0.124181
0.020000,8.615903,10.146303,3.007618,11.399136,21.921415,0.000000,0.152114
0.020000,8.844609,10.185012,3.239587,11.797707,19.928559,-99.642795,0.183636
0.020000,9.071569,10.231103,3.479128,12.156421,17.935703,-99.642795,0.217153
0.020000,9.311163,10.288211,3.725445,12.475278,15.942847,-99.642795,0.250439
0.020000,9.554544,10.354644,3.977740,12.754278,13.949991,-99.642795,0.282064
0.020000,9.800734,10.430010,4.235217,12.993420,11.957135,-99.642795,0.311614
0.020000,10.048844,10.513728,4.497079,13.192706,9.964279,-99.642795,0.338738
0.020000,10.298082,10.605048,4.762527,13.352134,7.971424,-99.642795,0.363157
0.020000,10.547756,10.703088,5.030765,13.471706,5.978568,-99.642795,0.384659
0.020000,10.797264,10.806862,5.300997,13.551420,3.985712,-99.642795,0.403098
0.020000,11.046083,10.915305,5.572424,13.591277,1.992856,-99.642795,0.418382
0.020000,11.293720,11.027289,5.844205,13.586864,-0.220676,-110.676604,0.430466
0.020000,11.539729,11.141657,6.115500,13.542593,-2.213532,-99.642795,0.439346
0.020000,11.783737,11.257265,6.385510,13.458465,-4.206388,-99.642795,0.445057
0.020000,12.025387,11.372987,6.653440,13.334480,-6.199244,-99.642795,0.447658
0.020000,12.264317,11.487725,6.918491,13.170638,-8.192100,-99.642795,0.447237
0.020000,12.500146,11.600428,7.179867,12.966939,-10.184956,-99.642795,0.443902
0.020000,12.732460,11.710104,7.436770,12.723383,-12.177812,-99.642795,0.437790
0.020000,12.960801,11.815837,7.688403,12.439970,-14.170667,-99.642795,0.429060
0.020000,13.184653,11.916797,7.933970,12.116699,-16.163523,-99.642795,0.417901
0.020000,13.403434,12.012257,8.172673,11.753572,-18.156379,-99.642795,0.404531
0.020000,13.616499,12.101603,8.403714,11.350587,-20.149235,-99.642795,0.389204
0.020000,13.823170,12.184362,8.626342,10.912159,-21.921415,-88.608986,0.372199
0.020000,14.023077,12.260331,8.840201,10.473730,-21.921415,0.000000,0.353793
0.020000,14.216137,12.329531,9.045291,10.035302,-21.921415,-0.000000,0.334241
0.020000,14.402231,12.392061,9.241613,9.596874,-21.921415,0.000000,0.313796
0.020000,14.581216,12.448090,9.429166,9.158445,-21.921415,-0.000000,0.292709
0.020000,14.752931,12.497854,9.607951,8.720017,-21.921415,0.000000,0.271226
0.020000,14.917208,12.541644,9.777967,8.281589,-21.921415,0.000000,0.249586
0.020000,15.073873,12.579797,9.939214,7.843161,-21.921415,0.000000,0.228014
0.020000,15.222759,12.612690,10.091693,7.404732,-21.921415,0.000000,0.206722
0.020000,15.363705,12.640730,10.235403,6.966304,-21.921415,-0.000000,0.185908
0.020000,15.496563,12.664340,10.370345,6.527876,-21.921415,0.000000,0.165746
0.020000,15.621200,12.683957,10.496518,6.089447,-21.921415,-0.000000,0.146394
0.020000,15.737499,12.700016,10.613923,5.651019,-21.921415,-0.000000,0.127989
0.020000,15.845361,12.712950,10.722559,5.212591,-21.921415,0.000000,0.110648
0.020000,15.944702,12.723176,10.822427,4.774163,-21.921415,0.000000,0.094469
0.020000,16.035456,12.731093,10.913526,4.335734,-21.921415,0.000000,0.079533
0.020000,16.117568,12.737076,10.995856,3.897306,-21.921415,-0.000000,0.065905
0.020000,16.190998,12.741470,11.069418,3.458878,-21.921415,0.000000,0.053636
0.020000,16.255715,12.744592,11.134211,3.020449,-21.921415,0.000000,0.042766
0.020000,16.311699,12.746724,11.190236,2.582021,-21.921415,0.000000,0.033325
0.020000,16.358980,12.748111,11.237536,2.148006,-21.700739,11.033809,0.025328
0.020000,16.397988,12.748970,11.276555,1.753849,-19.707883,99.642795,0.018714
0.020000,16.429518,12.749475,11.308089,1.399548,-17.715027,99.642795,0.013359
0.020000,16.454363,12.749755,11.332935,1.085105,-15.722171,99.642795,0.009134
0.020000,16.473319,12.749898,11.351892,0.810518,-13.729315,99.642795,0.005908
0.020000,16.487182,12.749963,11.365755,0.575789,-11.736459,99.642795,0.003548
0.020000,16.496749,12.749989,11.375322,0.380917,-9.743603,99.642795,0.001918
0.020000,16.502817,12.749998,11.381390,0.225902,-7.750747,99.642795,0.000883
0.020000,16.506183,12.750000,11.384756,0.110744,-5.757892,99.642795,0.000310
0.020000,16.507645,12.750000,11.386218,0.035444,-3.765036,99.642795,0.000060
0.020000,16.508000,12.750000,11.386573,0.000000,-1.772180,99.642795,0.000000
0.020000,16.508000,12.750000,11.386573,0.000000,0.000000,88.608986,0.000000
