dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.617087,8.998500,0.000717,0.071706,3.585297,179.264869,0.000083
0.020000,5.617150,8.998500,0.000781,0.003190,-3.425812,-350.555463,6.283181
0.020000,5.623400,8.998499,0.007030,0.312469,15.463954,944.488270,6.282985
0.020000,5.634516,8.998495,0.018146,0.555790,12.166066,-164.894387,6.282642
0.020000,5.651899,8.998481,0.035529,0.869165,15.668760,175.134711,6.282120
0.020000,5.676963,8.998445,0.060593,1.253190,19.201235,176.623753,6.281400
0.020000,5.710439,8.998370,0.094070,1.673841,21.032575,91.566997,6.280495
0.020000,5.752379,8.998235,0.136010,2.096995,21.157682,6.255353,6.279455
0.020000,5.802844,8.998018,0.186475,2.523274,21.313943,7.813070,6.278338
0.020000,5.861909,8.997698,0.245541,2.953300,21.501280,9.366851,6.277218
0.020000,5.929662,8.997257,0.313295,3.387693,21.719652,10.918553,6.276177
0.020000,6.006201,8.996685,0.389837,3.827073,21.969037,12.469281,6.275312
0.020000,6.091639,8.995985,0.475278,4.272063,22.249457,14.020987,6.274730
0.020000,6.186101,8.995174,0.569744,4.723283,22.561021,15.578222,6.274551
0.020000,6.289725,8.994293,0.673371,5.181362,22.903938,17.145830,6.274907
0.020000,6.402660,8.993410,0.786309,5.646932,23.278532,18.729711,6.275942
0.020000,6.525070,8.992630,0.908722,6.120638,23.685266,20.336693,6.277811
0.020000,6.657132,8.992100,1.040785,6.603131,24.124684,21.970892,6.280684
0.020000,6.799034,8.992021,1.182686,7.095079,24.597388,23.635187,0.001556
0.020000,6.950975,8.992657,1.334630,7.597156,25.103842,25.322708,0.006994
0.020000,7.113167,8.994344,1.496830,8.110039,25.644132,27.014529,0.014019
0.020000,7.285826,8.997507,1.669518,8.634392,26.217650,28.675870,0.022851
0.020000,7.469170,9.002672,1.852935,9.170838,26.822311,30.233088,0.033723
0.020000,7.663412,9.010477,2.047333,9.719916,27.453909,31.579854,0.046878
0.020000,7.868746,9.021694,2.252973,10.282010,28.104722,32.540691,0.062565
0.020000,8.085334,9.037237,2.470118,10.857253,28.762122,32.869972,0.081039
0.020000,8.313281,9.058181,2.699026,11.445385,29.406626,32.225222,0.102545
0.020000,8.552609,9.085766,2.939938,12.045581,30.009768,30.157091,0.127317
0.020000,8.803212,9.121402,3.193062,12.656230,30.532443,26.133745,0.155555
0.020000,9.064820,9.166659,3.458556,13.274700,30.923520,19.553865,0.187411
0.020000,9.324598,9.220368,3.723828,13.263567,-0.556642,-1574.008134,0.218840
0.020000,9.593006,9.283661,3.999598,13.788519,26.247607,1340.212493,0.244035
0.020000,9.866952,9.355429,4.282789,14.159528,18.550444,-384.858175,0.268093
0.020000,10.146012,9.435552,4.573124,14.516741,17.860641,-34.490157,0.290748
0.020000,10.429822,9.523790,4.870334,14.860504,17.188141,-33.624999,0.311741
0.020000,10.717358,9.619544,5.173395,15.153050,14.627301,-128.042013,0.330778
0.020000,11.007005,9.721801,5.480562,15.358369,10.265941,-218.067977,0.347561
0.020000,11.297303,9.829393,5.790156,15.479706,6.066883,-209.952901,0.361853
0.020000,11.586937,9.941030,6.100561,15.520232,2.026273,-202.030492,0.373480
0.020000,11.874270,10.055171,6.409734,15.458668,-3.078201,-255.223722,0.382314
0.020000,12.157111,10.169959,6.714981,15.262329,-9.816944,-336.937149,0.388286
0.020000,12.433834,10.283734,7.014180,14.959962,-15.118356,-265.070613,0.391426
0.020000,12.703536,10.395180,7.306001,14.591065,-18.444855,-166.324918,0.391834
0.020000,12.965328,10.503085,7.589159,14.157892,-21.658652,-160.689851,0.389652
0.020000,13.218314,10.606356,7.862412,13.662627,-24.763213,-155.228071,0.385066
0.020000,13.462005,10.704220,8.125019,13.130373,-26.612703,-92.474469,0.378287
0.020000,13.696518,10.796285,8.376956,12.596870,-26.675143,-3.122040,0.369526
0.020000,13.922136,10.882351,8.618433,12.073813,-26.152893,26.112511,0.358982
0.020000,14.139092,10.962306,8.849652,11.560977,-25.641794,25.554958,0.346852
0.020000,14.347577,11.036113,9.070817,11.058215,-25.138104,25.184486,0.333330
0.020000,14.547748,11.103810,9.282125,10.565428,-24.639314,24.939538,0.318607
0.020000,14.739733,11.165494,9.483776,10.082538,-24.144510,24.740194,0.302873
0.020000,14.923635,11.221320,9.675965,9.609453,-23.654259,24.512531,0.286317
0.020000,15.099541,11.271491,9.858886,9.146045,-23.170409,24.192497,0.269123
0.020000,15.267523,11.316251,10.032728,8.692127,-22.695864,23.727264,0.251475
0.020000,15.427641,11.355877,10.197677,8.247442,-22.234276,23.079393,0.233549
0.020000,15.579949,11.390675,10.353910,7.811648,-21.789700,22.228792,0.215516
