dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.165847,10.644500,0.000393,0.039312,1.965602,98.280098,0.000147
0.020000,5.165881,10.644500,0.000427,0.001690,-1.881121,-192.336135,0.000114
0.020000,5.165957,10.644500,0.000503,0.003799,0.105473,99.329674,0.000041
0.020000,5.170386,10.644500,0.004932,0.221460,10.883047,538.878698,6.283097
0.020000,5.180425,10.644498,0.014970,0.501917,14.022854,156.990384,6.282895
0.020000,5.194879,10.644492,0.029425,0.722713,11.039774,-149.154043,6.282605
0.020000,5.214551,10.644476,0.049097,0.983601,13.044397,100.231192,6.282212
0.020000,5.240242,10.644445,0.074788,1.284544,15.047157,100.138004,6.281702
0.020000,5.272752,10.644386,0.107297,1.625492,17.047427,100.013465,6.281062
0.020000,5.312879,10.644285,0.147425,2.006383,19.044517,99.854509,6.280279
0.020000,5.361422,10.644121,0.195968,2.427134,21.037594,99.653849,6.279342
0.020000,5.418773,10.643870,0.253320,2.867600,22.023294,49.285006,6.278252
0.020000,5.484925,10.643502,0.319473,3.307651,22.002514,-1.039016,6.277015
0.020000,5.559868,10.642988,0.394417,3.747220,21.978477,-1.201858,6.275641
0.020000,5.643590,10.642293,0.478142,4.186245,21.951238,-1.361932,6.274141
0.020000,5.736078,10.641382,0.570635,4.624660,21.920769,-1.523460,6.272525
0.020000,5.837320,10.640215,0.671883,5.062402,21.887066,-1.685156,6.270808
0.020000,5.947298,10.638754,0.781871,5.499404,21.850134,-1.846570,6.269003
0.020000,6.065997,10.636958,0.900583,5.935603,21.809961,-2.008642,6.267125
0.020000,6.193397,10.634788,1.028002,6.370935,21.766559,-2.170140,6.265192
0.020000,6.329479,10.632204,1.164109,6.805333,21.719920,-2.331948,6.263222
0.020000,6.474222,10.629169,1.308883,7.238734,21.670055,-2.493226,6.261232
0.020000,6.627603,10.625647,1.462305,7.671073,21.616966,-2.654475,6.259244
0.020000,6.789598,10.621607,1.624351,8.102287,21.560659,-2.815344,6.257280
0.020000,6.960183,10.617021,1.794997,8.532309,21.501141,-2.975902,6.255362
0.020000,7.139330,10.611867,1.974218,8.961078,21.438419,-3.136071,6.253515
0.020000,7.327013,10.606129,2.161989,9.388528,21.372499,-3.296008,6.251763
0.020000,7.523203,10.599799,2.358281,9.814596,21.303387,-3.455624,6.250133
0.020000,7.727870,10.592876,2.563065,10.239217,21.231086,-3.615050,6.248653
0.020000,7.940985,10.585371,2.776312,10.662329,21.155593,-3.774628,6.247353
0.020000,8.162515,10.577303,2.997989,11.083867,21.076912,-3.934043,6.246261
0.020000,8.392430,10.568707,3.228065,11.503768,20.995031,-4.094067,6.245410
0.020000,8.630696,10.559627,3.466504,11.921967,20.909942,-4.254458,6.244833
0.020000,8.877281,10.550125,3.713272,12.338399,20.821631,-4.415547,6.244562
0.020000,9.132151,10.540277,3.968332,12.753001,20.730084,-4.577326,6.244634
0.020000,9.395271,10.530180,4.231646,13.165707,20.635284,-4.739992,6.245085
0.020000,9.666608,10.519946,4.503175,13.576451,20.537220,-4.903226,6.245953
0.020000,9.945733,10.509723,4.782488,13.965625,19.458687,-53.926636,6.247273
0.020000,10.231833,10.499692,5.068763,14.313782,17.407833,-102.542726,6.249080
0.020000,10.524096,10.490048,5.361186,14.621129,15.367360,-102.023650,6.251401
0.020000,10.821717,10.480999,5.658944,14.887891,13.338124,-101.461769,6.254262
0.020000,11.123890,10.472760,5.961230,15.114310,11.320923,-100.860065,6.257681
0.020000,11.429818,10.465554,6.267243,15.300640,9.316495,-100.221385,6.261675
0.020000,11.738704,10.459601,6.576186,15.447150,7.325523,-99.548597,6.266251
0.020000,12.049754,10.455123,6.887268,15.554123,5.348636,-98.844382,6.271416
0.020000,12.362179,10.452329,7.199705,15.621850,3.386369,-98.113330,6.277168
0.020000,12.660314,10.451419,7.497841,14.906808,-35.752090,-1956.922943,0.000028
0.020000,13.019108,10.444679,7.856699,17.942879,151.803544,9377.781675,6.245653
0.020000,13.377225,10.424548,8.215381,17.934120,-0.437965,-7612.075442,6.208491
0.020000,13.733669,10.391302,8.573372,17.899550,-1.728479,-64.525667,6.171995
0.020000,14.087733,10.345353,8.930405,17.851661,-2.394448,-33.298471,6.136419
0.020000,14.438787,10.287233,9.286238,17.791630,-3.001557,-30.355469,6.101998
0.020000,14.786289,10.217577,9.640652,17.720715,-3.545787,-27.211507,6.068939
0.020000,15.129798,10.137100,9.993463,17.640529,-4.009288,-23.175031,6.037422
0.020000,15.468980,10.046575,10.344517,17.552703,-4.391272,-19.099221,6.007592
0.020000,15.803602,9.946812,10.693695,17.458879,-4.691213,-14.997021,5.979566
0.020000,16.133533,9.838634,11.040907,17.360628,-4.912529,-11.065783,5.953428
0.020000,16.458728,9.722866,11.386094,17.259353,-5.063792,-7.563174,5.929237
0.020000,16.779224,9.600321,11.729219,17.156258,-5.154708,-4.545816,5.907026
0.020000,17.095123,9.471789,12.070266,17.052340,-5.195935,-2.061342,5.886813
0.020000,17.406584,9.338030,12.409234,16.948376,-5.198205,-0.113515,5.868596
0.020000,17.713808,9.199777,12.746132,16.844935,-5.172043,1.308138,5.852368
0.020000,18.017033,9.057727,13.080981,16.742415,-5.125973,2.303483,5.838108
0.020000,18.316519,8.912545,13.413802,16.641053,-5.068121,2.892600,5.825796
0.020000,18.612547,8.764868,13.744620,16.540936,-5.005840,3.114052,5.815407
0.020000,18.905406,8.615303,14.073461,16.442035,-4.945059,3.039065,5.806917
0.020000,19.195393,8.464433,14.400346,16.344263,-4.888607,2.822601,5.800306
0.020000,19.482805,8.312823,14.725295,16.247434,-4.841427,2.359007,5.795554
0.020000,19.767938,8.161016,15.048321,16.151312,-4.806135,1.764588,5.792649
0.020000,20.050965,8.009608,15.369302,16.049050,-5.113080,-15.347237,5.791580
0.020000,20.331710,7.859364,15.687722,15.920963,-6.404359,-64.563972,5.792341
0.020000,20.609767,7.711155,16.002811,15.754475,-8.324415,-96.002779,5.794912
0.020000,20.884724,7.565819,16.313816,15.550242,-10.211604,-94.359447,5.799265
0.020000,21.156158,7.424153,16.619995,15.308948,-12.064714,-92.655534,5.805356
0.020000,21.423627,7.286908,16.920621,15.031328,-13.881029,-90.815736,5.813128
0.020000,21.686667,7.154773,17.214985,14.718163,-15.658220,-88.859535,5.822508
0.020000,21.944786,7.028372,17.502391,14.370318,-17.392274,-86.702716,5.833407
0.020000,22.197461,6.908254,17.782165,13.988686,-19.081568,-84.464714,5.845719
0.020000,22.444141,6.794881,18.053650,13.574241,-20.722283,-82.035716,5.859319
0.020000,22.684241,6.688629,18.316209,13.127972,-22.313442,-79.557964,5.874064
0.020000,22.917262,6.589730,18.569350,12.657039,-23.546628,-61.659308,5.889798
0.020000,23.143021,6.498191,18.812961,12.180573,-23.823324,-13.834792,5.906378
0.020000,23.361538,6.413870,19.047182,11.711022,-23.477519,17.290254,5.923671
0.020000,23.572814,6.336585,19.272150,11.248434,-23.129436,17.404142,5.941543
0.020000,23.776843,6.266112,19.488007,10.792824,-22.780499,17.446856,5.959860
0.020000,23.973604,6.202193,19.694890,10.344145,-22.433952,17.327325,5.978489
0.020000,24.163073,6.144543,19.892936,9.902293,-22.092570,17.069116,5.997299
0.020000,24.345222,6.092850,20.082277,9.467093,-21.760035,16.626769,6.016162
0.020000,24.520019,6.046782,20.263043,9.038303,-21.439462,16.028638,6.034955
0.020000,24.687434,6.005994,20.435356,8.615614,-21.134486,15.248814,6.053561
0.020000,24.847437,5.970127,20.599329,8.198670,-20.847174,14.365569,6.071870
0.020000,24.999999,5.938819,20.755070,7.787038,-20.581600,13.278712,6.089780
0.020000,25.145093,5.911707,20.902676,7.380311,-20.336361,12.261969,6.107197
0.020000,25.282697,5.888426,21.042235,6.977956,-20.117730,10.931528,6.124035
0.020000,25.412790,5.868621,21.173827,6.579574,-19.919136,9.929682,6.140221
0.020000,25.535353,5.851942,21.297520,6.184659,-19.745713,8.671145,6.155686
0.020000,25.650371,5.838053,21.413374,5.792689,-19.598496,7.360853,6.170374
0.020000,25.757833,5.826631,21.521441,5.403352,-19.466870,6.581342,6.184235
0.020000,25.857727,5.817368,21.621763,5.016106,-19.362306,5.228194,6.197228
0.020000,25.950045,5.809974,21.714377,4.630713,-19.269652,4.632690,6.209318
0.020000,26.034783,5.804179,21.799313,4.246782,-19.196546,3.655284,6.220478
0.020000,26.111934,5.799729,21.876592,3.863961,-19.141064,2.774092,6.230684
0.020000,26.181497,5.796395,21.946235,3.482141,-19.090969,2.504791,6.239919
0.020000,26.243468,5.793968,22.008254,3.100944,-19.059868,1.555022,6.248169
0.020000,26.297849,5.792261,22.062661,2.720363,-19.029056,1.540623,6.255424
0.020000,26.344638,5.791108,22.109464,2.340176,-19.009350,0.985298,6.261676
0.020000,26.383951,5.790366,22.148785,1.966014,-18.708068,15.064073,6.266936
0.020000,26.416249,5.789911,22.181086,1.615042,-17.548637,57.971584,6.271261
0.020000,26.442224,5.789646,22.207062,1.298798,-15.812180,86.822838,6.274742
0.020000,26.462565,5.789502,22.227403,1.017095,-14.085165,86.350753,6.277469
0.020000,26.477963,5.789430,22.242802,0.769922,-12.358648,86.325815,6.279533
0.020000,26.489108,5.789397,22.253946,0.557212,-10.635483,86.158253,6.281028
0.020000,26.496689,5.789385,22.261528,0.379074,-8.906894,86.429478,6.282045
0.020000,26.501398,5.789381,22.266237,0.235448,-7.181314,86.279005,6.282677
0.020000,26.503924,5.789380,22.268763,0.126312,-5.456798,86.225792,6.283016
0.020000,26.504957,5.789380,22.269796,0.051642,-3.733502,86.164804,6.283155
0.020000,26.505186,5.789380,22.270025,0.011464,-2.008899,86.230122,6.283185
0.020000,26.505186,5.789380,22.270025,0.000000,-0.573205,71.784736,6.283185
