dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.166000,9.603000,0.000393,0.039312,1.965602,98.280098,0.000147
0.020000,5.166000,9.603000,0.001966,0.117936,3.931204,98.280098,0.000114
0.020000,5.166000,9.603000,0.005504,0.235872,5.896806,98.280098,0.000041
0.020000,5.170294,9.603000,0.011794,0.393120,7.862408,98.280098,6.283097
0.020000,5.180122,9.602998,0.021622,0.589681,9.828010,98.280098,6.282895
0.020000,5.194275,9.602992,0.035774,0.825553,11.793612,98.280098,6.282605
0.020000,5.213538,9.602977,0.055037,1.100737,13.759214,98.280098,6.282212
0.020000,5.238697,9.602946,0.080197,1.415233,15.724816,98.280098,6.281702
0.020000,5.270540,9.602888,0.112039,1.769042,17.690418,98.280098,6.281062
0.020000,5.309852,9.602790,0.151351,2.162162,19.656020,98.280098,6.280279
0.020000,5.357419,9.602629,0.198919,2.594595,21.621622,98.280098,6.279342
0.020000,5.413635,9.602382,0.255135,3.027027,21.621622,-0.000000,6.278252
0.020000,5.478499,9.602022,0.320000,3.459459,21.621622,0.000000,6.277015
0.020000,5.552010,9.601518,0.393514,3.891892,21.621622,0.000000,6.275641
0.020000,5.634170,9.600836,0.475676,4.324324,21.621622,-0.000000,6.274141
0.020000,5.724976,9.599941,0.566486,4.756757,21.621622,0.000000,6.272525
0.020000,5.824429,9.598795,0.665946,5.189189,21.621622,-0.000000,6.270808
0.020000,5.932528,9.597359,0.774054,5.621622,21.621622,0.000000,6.269003
0.020000,6.049271,9.595593,0.890811,6.054054,21.621622,0.000000,6.267125
0.020000,6.174658,9.593457,1.016216,6.486486,21.621622,0.000000,6.265192
0.020000,6.308688,9.590911,1.150270,6.918919,21.621622,0.000000,6.263222
0.020000,6.451359,9.587920,1.292973,7.351351,21.621622,0.000000,6.261232
0.020000,6.602671,9.584445,1.444324,7.783784,21.621622,0.000000,6.259244
0.020000,6.762621,9.580456,1.604324,8.216216,21.621622,-0.000000,6.257280
0.020000,6.931209,9.575924,1.772973,8.648649,21.621622,0.000000,6.255362
0.020000,7.108433,9.570825,1.950270,9.081081,21.621622,0.000000,6.253515
0.020000,7.294292,9.565143,2.136216,9.513514,21.621622,0.000000,6.251763
0.020000,7.488785,9.558868,2.330811,9.945946,21.621622,-0.000000,6.250133
0.020000,7.691912,9.551997,2.534054,10.378378,21.621622,0.000000,6.248653
0.020000,7.903673,9.544539,2.745946,10.810811,21.621622,-0.000000,6.247353
0.020000,8.124067,9.536513,2.966486,11.243243,21.621622,0.000000,6.246261
0.020000,8.353096,9.527950,3.195676,11.675676,21.621622,-0.000000,6.245410
0.020000,8.590762,9.518893,3.433514,12.108108,21.621622,0.000000,6.244833
0.020000,8.837065,9.509401,3.680000,12.540541,21.621622,-0.000000,6.244562
0.020000,9.092010,9.499551,3.935135,12.972973,21.621622,0.000000,6.244634
0.020000,9.355600,9.489436,4.198919,13.405405,21.621622,-0.000000,6.245085
0.020000,9.627839,9.479167,4.471351,13.837838,21.621622,0.000000,6.245953
0.020000,9.908339,9.468894,4.752039,14.230958,19.656020,-98.280098,6.247273
0.020000,10.196319,9.458797,5.040197,14.584767,17.690418,-98.280098,6.249080
0.020000,10.490999,9.449074,5.335037,14.899263,15.724816,-98.280098,6.251401
0.020000,10.791597,9.439934,5.635774,15.174447,13.759214,-98.280098,6.254262
0.020000,11.097331,9.431599,5.941622,15.410319,11.793612,-98.280098,6.257681
0.020000,11.407417,9.424295,6.251794,15.606880,9.828010,-98.280098,6.261675
0.020000,11.721068,9.418251,6.565504,15.764128,7.862408,-98.280098,6.266251
0.020000,12.037497,9.413695,6.881966,15.882064,5.896806,-98.280098,6.271416
0.020000,12.355911,9.410848,7.200393,15.960688,3.931204,-98.280098,6.277168
0.020000,12.660343,9.409919,7.520000,16.000000,1.965602,-98.280098,0.000028
0.020000,12.980027,9.403912,7.840000,16.000000,0.000000,-98.280098,6.245653
0.020000,13.299503,9.385952,8.160000,16.000000,0.000000,0.000000,6.208491
0.020000,13.618103,9.356234,8.480000,16.000000,0.000000,0.000000,6.171995
0.020000,13.935424,9.315050,8.800000,16.000000,0.000000,0.000000,6.136419
0.020000,14.251111,9.262782,9.120000,16.000000,0.000000,0.000000,6.101998
0.020000,14.564854,9.199888,9.440000,16.000000,0.000000,0.000000,6.068939
0.020000,14.876404,9.126895,9.760000,16.000000,0.000000,0.000000,6.037422
0.020000,15.185569,9.044377,10.080000,16.000000,0.000000,0.000000,6.007592
0.020000,15.492219,8.952949,10.400000,16.000000,0.000000,0.000000,5.979566
0.020000,15.796282,8.853249,10.720000,16.000000,0.000000,0.000000,5.953428
0.020000,16.097740,8.745927,11.040000,16.000000,0.000000,0.000000,5.929237
0.020000,16.396628,8.631640,11.360000,16.000000,0.000000,0.000000,5.907026
0.020000,16.693026,8.511039,11.680000,16.000000,0.000000,0.000000,5.886813
0.020000,16.987053,8.384764,12.000000,16.000000,0.000000,0.000000,5.868596
0.020000,17.278863,8.253445,12.320000,16.000000,0.000000,0.000000,5.852368
0.020000,17.568638,8.117693,12.640000,16.000000,0.000000,0.000000,5.838108
0.020000,17.856585,7.978103,12.960000,16.000000,0.000000,0.000000,5.825796
0.020000,18.142930,7.835254,13.280000,16.000000,0.000000,0.000000,5.815407
0.020000,18.427914,7.689709,13.600000,16.000000,0.000000,0.000000,5.806917
0.020000,18.711792,7.542017,13.920000,16.000000,0.000000,0.000000,5.800306
0.020000,18.994827,7.392714,14.240000,16.000000,0.000000,0.000000,5.795554
0.020000,19.277288,7.242330,14.560000,16.000000,0.000000,0.000000,5.792649
0.020000,19.559334,7.091446,14.879868,15.986812,-0.659385,-32.969226,5.791580
0.020000,19.840777,6.940829,15.199079,15.934313,-2.624986,-98.280098,5.792341
0.020000,20.121198,6.791361,15.516848,15.842501,-4.590588,-98.280098,5.794912
0.020000,20.400163,6.643906,15.832386,15.711377,-6.556190,-98.280098,5.799265
0.020000,20.677222,6.499306,16.144909,15.540941,-8.521792,-98.280098,5.805356
0.020000,20.951893,6.358367,16.453631,15.331193,-10.487394,-98.280098,5.813128
0.020000,21.223663,6.221848,16.757764,15.082133,-12.452996,-98.280098,5.822508
0.020000,21.491977,6.090456,17.056523,14.793761,-14.418598,-98.280098,5.833407
0.020000,21.756234,5.964834,17.349121,14.466077,-16.384200,-98.280098,5.845719
0.020000,22.015784,5.845548,17.634773,14.099081,-18.349802,-98.280098,5.859319
0.020000,22.269928,5.733083,17.912692,13.692773,-20.315404,-98.280098,5.874064
0.020000,22.518036,5.627784,18.182223,13.260341,-21.621622,-65.310872,5.889798
0.020000,22.759798,5.529758,18.443105,12.827908,-21.621622,-0.000000,5.906378
0.020000,22.995118,5.438956,18.695339,12.395476,-21.621622,0.000000,5.923671
0.020000,23.223876,5.355278,18.938924,11.963044,-21.621622,-0.000000,5.941543
0.020000,23.445936,5.278578,19.173861,11.530611,-21.621622,0.000000,5.959860
0.020000,23.661150,5.208667,19.400149,11.098179,-21.621622,-0.000000,5.978489
0.020000,23.869362,5.145316,19.617788,10.665746,-21.621622,0.000000,5.997299
0.020000,24.070410,5.088260,19.826779,10.233314,-21.621622,-0.000000,6.016162
0.020000,24.264134,5.037206,20.027120,9.800881,-21.621622,0.000000,6.034955
0.020000,24.450377,4.991831,20.218814,9.368449,-21.621622,-0.000000,6.053561
0.020000,24.628987,4.951794,20.401858,8.936016,-21.621622,0.000000,6.071870
0.020000,24.799820,4.916738,20.576254,8.503584,-21.621622,-0.000000,6.089780
0.020000,24.962746,4.886294,20.742002,8.071152,-21.621622,0.000000,6.107197
0.020000,25.117641,4.860088,20.899100,7.638719,-21.621622,0.000000,6.124035
0.020000,25.264399,4.837746,21.047551,7.206287,-21.621622,0.000000,6.140221
0.020000,25.402922,4.818896,21.187352,6.773854,-21.621622,-0.000000,6.155686
0.020000,25.533128,4.803173,21.318505,6.341422,-21.621622,0.000000,6.170374
0.020000,25.654945,4.790226,21.441009,5.908989,-21.621622,0.000000,6.184235
