dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.166153,8.561500,0.000393,0.039312,1.965602,98.280098,0.000147
0.020000,5.166119,8.561500,0.000427,0.001690,-1.881121,-192.336135,0.000114
0.020000,5.166043,8.561500,0.000503,0.003799,0.105473,99.329674,0.000041
0.020000,5.170202,8.561500,0.004662,0.207970,10.208535,505.153090,6.283097
0.020000,5.179820,8.561498,0.014280,0.480884,13.645695,171.858010,6.282895
0.020000,5.193670,8.561492,0.028130,0.692521,10.581864,-153.191553,6.282605
0.020000,5.212524,8.561477,0.046984,0.942689,12.508426,96.328094,6.282212
0.020000,5.237153,8.561447,0.071613,1.231427,14.436867,96.422070,6.281702
0.020000,5.268328,8.561391,0.102788,1.558783,16.367796,96.546428,6.281062
0.020000,5.306825,8.561294,0.141285,1.924821,18.301935,96.706958,6.280279
0.020000,5.353417,8.561137,0.187877,2.329622,20.240043,96.905436,6.279342
0.020000,5.408497,8.560895,0.242958,2.754021,21.219925,48.994060,6.278252
0.020000,5.472072,8.560542,0.306534,3.178836,21.240747,1.041103,6.277015
0.020000,5.544153,8.560047,0.378617,3.604131,21.264749,1.200097,6.275641
0.020000,5.624750,8.559379,0.459216,4.029971,21.291994,1.362266,6.274141
0.020000,5.713874,8.558500,0.548345,4.456420,21.322464,1.523499,6.272525
0.020000,5.811538,8.557375,0.646016,4.883543,21.356163,1.684943,6.270808
0.020000,5.917757,8.555963,0.752244,5.311405,21.393101,1.846913,6.269003
0.020000,6.032545,8.554227,0.867045,5.740070,21.433268,2.008365,6.267125
0.020000,6.155919,8.552125,0.990437,6.169604,21.476675,2.170331,6.265192
0.020000,6.287897,8.549619,1.122439,6.600070,21.523311,2.331797,6.263222
0.020000,6.428497,8.546670,1.263069,7.031534,21.573179,2.493421,6.261232
0.020000,6.577739,8.543244,1.412350,7.464059,21.626271,2.654578,6.259244
0.020000,6.735644,8.539305,1.570305,7.897711,21.682581,2.815502,6.257280
0.020000,6.902235,8.534827,1.736956,8.332553,21.742102,2.976057,6.255362
0.020000,7.077535,8.529784,1.912329,8.768649,21.804828,3.136311,6.253515
0.020000,7.261570,8.524157,2.096450,9.206064,21.870751,3.296158,6.251763
0.020000,7.454367,8.517936,2.289347,9.644862,21.939868,3.455805,6.250133
0.020000,7.655954,8.511118,2.491049,10.085105,22.012174,3.615316,6.248653
0.020000,7.866361,8.503708,2.701587,10.526859,22.087666,3.774613,6.247353
0.020000,8.085619,8.495723,2.920990,10.970186,22.166353,3.934322,6.246261
0.020000,8.313763,8.487193,3.149293,11.415150,22.248233,4.094032,6.245410
0.020000,8.550827,8.478158,3.386530,11.861817,22.333320,4.254338,6.244833
0.020000,8.796850,8.468678,3.632735,12.310249,22.421624,4.415225,6.244562
0.020000,9.051869,8.458825,3.887945,12.760512,22.513163,4.576916,6.244634
0.020000,9.315929,8.448692,4.152198,13.212671,22.607948,4.739243,6.245085
0.020000,9.589070,8.438389,4.425534,13.666791,22.705993,4.902270,6.245953
0.020000,9.870945,8.428066,4.707597,14.103169,21.818893,-44.355002,6.247273
0.020000,10.160805,8.417903,4.997636,14.501939,19.938512,-94.019075,6.249080
0.020000,10.457901,8.408100,5.294894,14.862894,18.047738,-94.538669,6.251401
0.020000,10.761477,8.398870,5.598610,15.185809,16.145722,-95.100792,6.254262
0.020000,11.070771,8.390438,5.908019,15.470442,14.231670,-95.702634,6.257681
0.020000,11.385015,8.383036,6.222350,15.716539,12.304841,-96.341440,6.261675
0.020000,11.703432,8.376900,6.540827,15.923830,10.364553,-97.014389,6.266251
0.020000,12.025240,8.372267,6.862667,16.092034,8.410193,-97.718022,6.271416
0.020000,12.349644,8.369367,7.187084,16.220858,6.441192,-98.450024,6.277168
0.020000,12.660373,8.368419,7.497815,15.536517,-34.217006,-2032.909891,0.000028
0.020000,12.940946,8.363146,7.778437,14.031122,-75.269757,-2052.637578,6.245653
0.020000,13.221782,8.347356,8.059717,14.063986,1.643187,3845.647210,6.208491
0.020000,13.502537,8.321165,8.341691,14.098717,1.736549,4.668087,6.171995
0.020000,13.783116,8.284747,8.624624,14.146619,2.395122,32.928649,6.136419
0.020000,14.063435,8.238331,8.908759,14.206785,3.008301,30.658984,6.101998
0.020000,14.343420,8.182200,9.194315,14.277795,3.550465,27.108209,6.068939
0.020000,14.623010,8.116690,9.481478,14.358130,4.016749,23.314167,6.037422
0.020000,14.902159,8.042179,9.770400,14.446108,4.398903,19.107715,6.007592
0.020000,15.180836,7.959087,10.061201,14.540065,4.697877,14.948709,5.979566
0.020000,15.459031,7.867864,10.353970,14.638452,4.919310,11.071638,5.953428
0.020000,15.736752,7.768988,10.648767,14.739859,5.070385,7.553742,5.929237
0.020000,16.014033,7.662959,10.945629,14.843078,5.160958,4.528668,5.907026
0.020000,16.290929,7.550289,11.244571,14.947114,5.201769,2.040528,5.886813
0.020000,16.567523,7.431498,11.545595,15.051186,5.203591,0.091102,5.868596
0.020000,16.843918,7.307112,11.848689,15.154712,5.176307,-1.364218,5.852368
0.020000,17.120244,7.177658,12.153835,15.257307,5.129758,-2.327444,5.838108
0.020000,17.396651,7.043660,12.461010,15.358746,5.071948,-2.890505,5.825796
0.020000,17.673313,6.905640,12.770189,15.458930,5.009197,-3.137511,5.815407
0.020000,17.950422,6.764115,13.081346,15.557865,4.946787,-3.120527,5.806917
0.020000,18.228191,6.619600,13.394460,15.655681,4.890754,-2.801659,5.800306
0.020000,18.506848,6.472606,13.709511,15.752544,4.843189,-2.378222,5.795554
0.020000,18.786638,6.323643,14.026484,15.848676,4.806590,-1.829941,5.792649
0.020000,19.067702,6.173284,14.345240,15.937765,4.454446,-17.607214,5.791580
0.020000,19.349844,6.022294,14.665243,16.000165,3.119992,-66.722725,5.792341
0.020000,19.632629,5.871566,14.985690,16.022333,1.108419,-100.578607,5.794912
0.020000,19.915603,5.721993,15.305762,16.003616,-0.935867,-102.214336,5.799265
0.020000,20.198285,5.574459,15.624628,15.943324,-3.014589,-103.936087,5.805356
0.020000,20.480159,5.429825,15.941443,15.840733,-5.129565,-105.748787,5.813128
0.020000,20.760659,5.288923,16.255344,15.695049,-7.284197,-107.731601,5.822508
0.020000,21.039168,5.152541,16.565453,15.505436,-9.480658,-109.823057,5.833407
0.020000,21.315006,5.021414,16.870872,15.270967,-11.723449,-112.139533,5.845719
0.020000,21.587428,4.896215,17.170686,14.990695,-14.013606,-114.507860,5.859319
0.020000,21.855616,4.777538,17.463959,14.663631,-16.353172,-116.978287,5.874064
0.020000,22.118809,4.665838,17.749874,14.295790,-18.392046,-101.943701,5.889798
0.020000,22.376575,4.561325,18.028022,13.907373,-19.420848,-51.440126,5.906378
0.020000,22.628698,4.464041,18.298263,13.512048,-19.766268,-17.270993,5.923671
0.020000,22.874937,4.373971,18.560458,13.109757,-20.114553,-17.414250,5.941543
0.020000,23.115029,4.291044,18.814468,12.700498,-20.462936,-17.419152,5.959860
0.020000,23.348696,4.215141,19.060154,12.284311,-20.809382,-17.322322,5.978489
0.020000,23.575650,4.146088,19.297380,11.861304,-21.150331,-17.047418,5.997299
0.020000,23.795598,4.083671,19.526013,11.431649,-21.482761,-16.621505,6.016162
0.020000,24.008249,4.027629,19.745925,10.995590,-21.802917,-16.007811,6.034955
0.020000,24.213319,3.977668,19.956994,10.553429,-22.108066,-15.257439,6.053561
0.020000,24.410536,3.933461,20.159104,10.105542,-22.394367,-14.315060,6.071870
0.020000,24.599642,3.894656,20.352151,9.652310,-22.661572,-13.360231,6.089780
0.020000,24.780398,3.860881,20.536035,9.194230,-22.904020,-12.122425,6.107197
0.020000,24.952585,3.831750,20.710669,8.731689,-23.127041,-11.151055,6.124035
0.020000,25.116008,3.806872,20.875974,8.265260,-23.321442,-9.720021,6.140221
0.020000,25.270491,3.785850,21.031882,7.795380,-23.494009,-8.628356,6.155686
0.020000,25.415884,3.768294,21.178330,7.322426,-23.647728,-7.685966,6.170374
0.020000,25.552057,3.753820,21.315270,6.846988,-23.771862,-6.206711,6.184235
0.020000,25.678899,3.742059,21.442656,6.369300,-23.884401,-5.626905,6.197228
0.020000,25.796320,3.732655,21.560454,5.889896,-23.970210,-4.290451,6.209318
0.020000,25.904249,3.725273,21.668635,5.409028,-24.043386,-3.658827,6.220478
0.020000,26.002624,3.719599,21.767173,4.926907,-24.106084,-3.134916,6.230684
0.020000,26.091401,3.715345,21.856052,4.443962,-24.147253,-2.058447,6.239919
0.020000,26.170544,3.712245,21.935256,3.960189,-24.188639,-2.069293,6.248169
0.020000,26.240029,3.710063,22.004775,3.475979,-24.210489,-1.092509,6.255424
0.020000,26.299839,3.708590,22.064603,2.991371,-24.230381,-0.994558,6.261676
0.020000,26.350106,3.707640,22.114879,2.513823,-23.877408,17.648640,6.266936
0.020000,26.391412,3.707059,22.156189,2.065489,-22.416722,73.034283,6.271261
0.020000,26.424636,3.706720,22.189415,1.661290,-20.209919,110.340133,6.274742
0.020000,26.450657,3.706536,22.215437,1.301101,-18.009485,110.021739,6.277469
0.020000,26.470357,3.706444,22.235136,0.984981,-15.806005,110.173982,6.279533
0.020000,26.484614,3.706402,22.249394,0.712891,-13.604487,110.075919,6.281028
0.020000,26.494314,3.706386,22.259094,0.484999,-11.394592,110.494742,6.282045
0.020000,26.500339,3.706381,22.265119,0.301245,-9.187683,110.345414,6.282677
0.020000,26.503571,3.706380,22.268351,0.161613,-6.981638,110.302254,6.283016
0.020000,26.504893,3.706380,22.269673,0.066075,-4.776887,110.237587,6.283155
0.020000,26.505186,3.706380,22.269966,0.014668,-2.570340,110.327333,6.283185
0.020000,26.505186,3.706380,22.269966,0.000000,-0.733404,91.846810,6.283185
