dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.271362,3.269679,0.000393,0.039312,1.965602,98.280098,0.017427
0.020000,2.271279,3.269678,0.000475,0.004117,-1.759750,-186.267602,0.017506
0.020000,2.271094,3.269675,0.000661,0.009262,0.257266,100.850821,0.017684
0.020000,2.270765,3.269669,0.000990,0.016463,0.360037,5.138536,0.018000
0.020000,2.270251,3.269659,0.001504,0.025715,0.462599,5.128086,0.018494
0.020000,2.283206,3.269904,0.014462,0.647867,31.107577,1532.248923,0.019204
0.020000,2.301458,3.270263,0.032717,0.912788,13.246075,-893.075098,0.020171
0.020000,2.325298,3.270759,0.056562,1.192247,13.972927,36.342571,0.021434
0.020000,2.355470,3.271430,0.086742,1.508980,15.836656,93.186468,0.023030
0.020000,2.392721,3.272325,0.124004,1.863081,17.705069,93.420626,0.024999
0.020000,2.437795,3.273505,0.169093,2.254457,19.568783,93.185702,0.027378
0.020000,2.491065,3.275039,0.222385,2.664636,20.508963,47.009039,0.030186
0.020000,2.552531,3.276995,0.283882,3.074848,20.510588,0.081220,0.033420
0.020000,2.622192,3.279451,0.353587,3.485218,20.518518,0.396487,0.037077
0.020000,2.700049,3.282498,0.431503,3.895822,20.530193,0.583791,0.041153
0.020000,2.786099,3.286235,0.517634,4.306562,20.537016,0.341121,0.045646
0.020000,2.880341,3.290772,0.611986,4.717577,20.550714,0.684887,0.050551
0.020000,2.982773,3.296227,0.714563,5.128847,20.563509,0.639785,0.055861
0.020000,3.093391,3.302730,0.825372,5.540451,20.580203,0.834687,0.061572
0.020000,3.212191,3.310418,0.944420,5.952392,20.597037,0.841722,0.067676
0.020000,3.339166,3.319439,1.071715,6.364759,20.618363,1.066255,0.074165
0.020000,3.474309,3.329947,1.207266,6.777555,20.639809,1.072326,0.081031
0.020000,3.617612,3.342107,1.351084,7.190921,20.668292,1.424167,0.088263
0.020000,3.769066,3.356090,1.503182,7.604874,20.697641,1.467440,0.095851
0.020000,3.928656,3.372074,1.663570,8.019415,20.727048,1.470357,0.103782
0.020000,4.096369,3.390244,1.832265,8.434724,20.765454,1.920297,0.112041
0.020000,4.272188,3.410791,2.009280,8.850780,20.802800,1.867263,0.120615
0.020000,4.456095,3.433911,2.194635,9.267756,20.848827,2.301367,0.129486
0.020000,4.648070,3.459804,2.388349,9.685670,20.895670,2.342171,0.138636
0.020000,4.848089,3.488675,2.590440,10.104584,20.945720,2.502507,0.148044
0.020000,5.056127,3.520730,2.800933,10.524630,21.002288,2.828373,0.157691
0.020000,5.272155,3.556178,3.019851,10.945877,21.062356,3.003419,0.167553
0.020000,5.496145,3.595226,3.247219,11.368405,21.126422,3.203301,0.177604
0.020000,5.728064,3.638082,3.483065,11.792291,21.194281,3.392928,0.187820
0.020000,5.967880,3.684954,3.727417,12.217649,21.267888,3.680373,0.198171
0.020000,6.215556,3.736044,3.980308,12.644539,21.344503,3.830713,0.208629
0.020000,6.471057,3.791549,4.241769,13.073014,21.423766,3.963186,0.219163
0.020000,6.733977,3.851579,4.511454,13.484294,20.564008,-42.987929,0.229725
0.020000,7.003545,3.916125,4.788643,13.859406,18.755599,-90.420454,0.240256
0.020000,7.278995,3.985142,5.072607,14.198245,16.941926,-90.683650,0.250697
0.020000,7.559566,4.058542,5.362620,14.500627,15.119108,-91.140876,0.260993
0.020000,7.844501,4.136197,5.657948,14.766394,13.288364,-91.537186,0.271092
0.020000,8.133053,4.217940,5.957854,14.995330,11.446774,-92.079500,0.280947
0.020000,8.424479,4.303563,6.261599,15.187236,9.595319,-92.572748,0.290514
0.020000,8.718047,4.392823,6.568437,15.341876,7.732002,-93.165869,0.299754
0.020000,9.013029,4.485441,6.877617,15.459017,5.857036,-93.748303,0.308632
0.020000,9.308707,4.581104,7.188385,15.538415,3.969926,-94.355487,0.317117
0.020000,9.604369,4.679473,7.499982,15.579826,2.070520,-94.970309,0.325185
0.020000,9.899672,4.780306,7.812026,15.602183,1.117842,-47.633903,0.332824
0.020000,10.194641,4.883476,8.124517,15.624560,1.118883,0.052031,0.340033
0.020000,10.489303,4.988857,8.437456,15.646940,1.118996,0.005688,0.346812
0.020000,10.783687,5.096323,8.750842,15.669305,1.118219,-0.038876,0.353162
0.020000,11.077825,5.205749,9.064674,15.691640,1.116748,-0.073525,0.359083
0.020000,11.371750,5.317010,9.378953,15.713934,1.114733,-0.100788,0.364576
0.020000,11.665499,5.429981,9.693677,15.736180,1.112309,-0.121195,0.369642
0.020000,11.959110,5.544537,10.008844,15.758373,1.109603,-0.135289,0.374281
0.020000,12.252623,5.660554,10.324454,15.780507,1.106731,-0.143615,0.378496
0.020000,12.546079,5.777910,10.640506,15.802583,1.103796,-0.146714,0.382287
0.020000,12.839521,5.896480,10.956998,15.824601,1.100894,-0.145120,0.385655
0.020000,13.132994,6.016141,11.273929,15.846563,1.098107,-0.139355,0.388601
0.020000,13.426544,6.136772,11.591299,15.868473,1.095508,-0.129930,0.391127
0.020000,13.720218,6.258249,11.909105,15.890336,1.093161,-0.117339,0.393233
0.020000,14.014064,6.380451,12.227349,15.912159,1.091120,-0.102063,0.394920
0.020000,14.308131,6.503254,12.546028,15.933947,1.089429,-0.084571,0.396188
0.020000,14.602470,6.626537,12.865142,15.955710,1.088122,-0.065319,0.397039
0.020000,14.897130,6.750177,13.184691,15.977454,1.087227,-0.044753,0.397471
0.020000,15.192164,6.874052,13.504675,15.999190,1.086761,-0.023310,0.397487
0.020000,15.487622,6.998038,13.825093,16.020924,1.086733,-0.001424,0.397085
0.020000,15.783557,7.122011,14.145947,16.042667,1.087142,0.020476,0.396266
0.020000,16.080021,7.245848,14.467235,16.064427,1.087981,0.041959,0.395029
0.020000,16.377066,7.369423,14.788959,16.086211,1.089233,0.062595,0.393373
0.020000,16.674744,7.492610,15.111120,16.108029,1.090872,0.081945,0.391299
0.020000,16.973107,7.615284,15.433718,16.129886,1.092863,0.099565,0.388804
0.020000,17.272206,7.737316,15.756753,16.151790,1.095189,0.116294,0.385889
0.020000,17.572092,7.858577,16.080228,16.173745,1.097736,0.127349,0.382553
0.020000,17.872816,7.978936,16.404143,16.195754,1.100478,0.137104,0.378794
0.020000,18.174425,8.098263,16.728500,16.217821,1.103347,0.143452,0.374610
0.020000,18.476968,8.216424,17.053299,16.239946,1.106254,0.145341,0.370003
