dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.289511,2.228337,0.000393,0.039312,1.965602,98.280098,0.017427
0.020000,2.289511,2.228337,0.001966,0.117936,3.931204,98.280098,0.017506
0.020000,2.289511,2.228337,0.005504,0.235872,5.896806,98.280098,0.017684
0.020000,2.289511,2.228337,0.011794,0.393120,7.862408,98.280098,0.018000
0.020000,2.289511,2.228337,0.021622,0.589681,9.828010,98.280098,0.018494
0.020000,2.303206,2.228596,0.035774,0.825553,11.793612,98.280098,0.019204
0.020000,2.322465,2.228975,0.055037,1.100737,13.759214,98.280098,0.020171
0.020000,2.347619,2.229498,0.080197,1.415233,15.724816,98.280098,0.021434
0.020000,2.379454,2.230206,0.112039,1.769042,17.690418,98.280098,0.023030
0.020000,2.418754,2.231150,0.151351,2.162162,19.656020,98.280098,0.024999
0.020000,2.466305,2.232396,0.198919,2.594595,21.621622,98.280098,0.027378
0.020000,2.522499,2.234014,0.255135,3.027027,21.621622,-0.000000,0.030186
0.020000,2.587331,2.236076,0.320000,3.459459,21.621622,0.000000,0.033420
0.020000,2.660798,2.238667,0.393514,3.891892,21.621622,0.000000,0.037077
0.020000,2.742898,2.241880,0.475676,4.324324,21.621622,-0.000000,0.041153
0.020000,2.833623,2.245820,0.566486,4.756757,21.621622,0.000000,0.045646
0.020000,2.932967,2.250602,0.665946,5.189189,21.621622,-0.000000,0.050551
0.020000,3.040922,2.256351,0.774054,5.621622,21.621622,0.000000,0.055861
0.020000,3.157478,2.263203,0.890811,6.054054,21.621622,0.000000,0.061572
0.020000,3.282621,2.271302,1.016216,6.486486,21.621622,0.000000,0.067676
0.020000,3.416338,2.280802,1.150270,6.918919,21.621622,0.000000,0.074165
0.020000,3.558610,2.291865,1.292973,7.351351,21.621622,0.000000,0.081031
0.020000,3.709419,2.304661,1.444324,7.783784,21.621622,0.000000,0.088263
0.020000,3.868742,2.319371,1.604324,8.216216,21.621622,-0.000000,0.095851
0.020000,4.036550,2.336177,1.772973,8.648649,21.621622,0.000000,0.103782
