dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.307660,1.186995,0.000393,0.039312,1.965602,98.280098,0.017427
0.020000,2.307742,1.186997,0.000475,0.004117,-1.759750,-186.267602,0.017506
0.020000,2.307927,1.187000,0.000661,0.009262,0.257266,100.850821,0.017684
0.020000,2.308256,1.187006,0.000990,0.016463,0.360037,5.138536,0.018000
0.020000,2.308771,1.187015,0.001504,0.025715,0.462599,5.128086,0.018494
0.020000,2.323206,1.187288,0.015942,0.721901,34.809293,1717.334726,0.019204
0.020000,2.343472,1.187687,0.036212,1.013506,14.580258,-1011.451769,0.020171
0.020000,2.369941,1.188237,0.062687,1.323717,15.510524,46.513279,0.021434
0.020000,2.403437,1.188982,0.096192,1.675238,17.576078,103.277731,0.023030
0.020000,2.444788,1.189976,0.137554,2.068138,19.644991,103.445628,0.024999
0.020000,2.494816,1.191286,0.187600,2.502264,21.706289,103.064895,0.027378
0.020000,2.553933,1.192988,0.246741,2.957058,22.739716,51.671394,0.030186
0.020000,2.622131,1.195158,0.314973,3.411635,22.728857,-0.542976,0.033420
0.020000,2.699405,1.197883,0.392295,3.866083,22.722376,-0.324053,0.037077
0.020000,2.785747,1.201262,0.478704,4.320426,22.717147,-0.261423,0.041153
0.020000,2.881147,1.205405,0.574193,4.774492,22.703320,-0.691378,0.045646
0.020000,2.985593,1.210432,0.678761,5.228363,22.693555,-0.488231,0.050551
0.020000,3.099071,1.216476,0.792399,5.681940,22.678856,-0.734987,0.055861
0.020000,3.221564,1.223677,0.915104,6.135223,22.664143,-0.735635,0.061572
0.020000,3.353052,1.232186,1.046866,6.588120,22.644836,-0.965330,0.067676
0.020000,3.493510,1.242165,1.187679,7.040626,22.625318,-0.975901,0.074165
0.020000,3.642912,1.253782,1.337532,7.492632,22.600309,-1.250440,0.081031
0.020000,3.801226,1.267216,1.496415,7.944173,22.577008,-1.165047,0.088263
0.020000,3.968418,1.282651,1.664318,8.395135,22.548144,-1.443210,0.095851
0.020000,4.144445,1.300281,1.841225,8.845384,22.512403,-1.787077,0.103782
0.020000,4.329263,1.320304,2.027125,9.294968,22.479235,-1.658373,0.112041
0.020000,4.522820,1.342924,2.221999,9.743711,22.437161,-2.103729,0.120615
0.020000,4.725061,1.368349,2.425832,10.191643,22.396569,-2.029606,0.129486
0.020000,4.935924,1.396790,2.638604,10.638613,22.348496,-2.403612,0.138636
0.020000,5.155340,1.428460,2.860294,11.084520,22.295345,-2.657586,0.148044
0.020000,5.383238,1.463575,3.090881,11.529331,22.240570,-2.738710,0.157691
0.020000,5.619537,1.502348,3.330340,11.972946,22.180758,-2.990631,0.167553
0.020000,5.864153,1.544992,3.578645,12.415275,22.116433,-3.216217,0.177604
0.020000,6.116997,1.591715,3.835770,12.856224,22.047440,-3.449661,0.187820
0.020000,6.377974,1.642722,4.101685,13.295745,21.976061,-3.568946,0.198171
0.020000,6.646985,1.698212,4.376360,13.733736,21.899544,-3.825842,0.208629
0.020000,6.923927,1.758375,4.659761,14.170093,21.817839,-4.085279,0.219163
0.020000,7.208297,1.823301,4.951449,14.584373,20.714002,-55.191834,0.229725
0.020000,7.499198,1.892955,5.250572,14.956172,18.589951,-106.202561,0.240256
0.020000,7.795744,1.967257,5.556285,15.285652,16.474029,-105.796091,0.250697
0.020000,8.097062,2.046084,5.867744,15.572943,14.364560,-105.473478,0.260993
0.020000,8.402295,2.129271,6.184109,15.818246,12.265129,-104.971550,0.271092
0.020000,8.710598,2.216608,6.504544,16.021738,10.174587,-104.527101,0.280947
0.020000,9.021145,2.307848,6.828217,16.183651,8.095651,-103.946758,0.290514
0.020000,9.333127,2.402706,7.154301,16.304201,6.027512,-103.406998,0.299754
0.020000,9.645752,2.500862,7.481973,16.383628,3.971374,-102.806863,0.308632
0.020000,9.958247,2.601966,7.810417,16.422175,1.927348,-102.201291,0.317117
0.020000,10.269855,2.705640,8.138819,16.420087,-0.104416,-101.588232,0.325185
0.020000,10.580216,2.811614,8.466774,16.397739,-1.117390,-50.648672,0.332824
0.020000,10.889359,2.919740,8.794281,16.375368,-1.118543,-0.057649,0.340033
0.020000,11.197318,3.029876,9.121341,16.352997,-1.118586,-0.002193,0.346812
0.020000,11.504126,3.141878,9.447954,16.330640,-1.117827,0.037992,0.353162
0.020000,11.809824,3.255604,9.774120,16.308313,-1.116378,0.072450,0.359083
0.020000,12.114450,3.370915,10.099840,16.286025,-1.114386,0.099571,0.364576
0.020000,12.418048,3.487673,10.425116,16.263785,-1.111989,0.119883,0.369642
0.020000,12.720663,3.605742,10.749948,16.241599,-1.109310,0.133922,0.374281
0.020000,13.022340,3.724986,11.074337,16.219470,-1.106466,0.142225,0.378496
0.020000,13.323128,3.845273,11.398285,16.197398,-1.103559,0.145326,0.382287
0.020000,13.623075,3.966471,11.721793,16.175385,-1.100684,0.143750,0.385655
0.020000,13.922231,4.088450,12.044862,16.153426,-1.097924,0.138013,0.388601
0.020000,14.220647,4.211080,12.367492,16.131519,-1.095351,0.128619,0.391127
0.020000,14.518375,4.334234,12.689685,16.109659,-1.093030,0.116059,0.393233
0.020000,14.815465,4.457785,13.011442,16.087838,-1.091014,0.100811,0.394920
0.020000,15.111970,4.581606,13.332763,16.066051,-1.089347,0.083341,0.396188
0.020000,15.407943,4.705573,13.653649,16.044290,-1.088065,0.064104,0.397039
0.020000,15.703435,4.829563,13.974100,16.022546,-1.087194,0.043546,0.397471
0.020000,15.998498,4.953450,14.294116,16.000811,-1.086752,0.022105,0.397487
0.020000,16.293185,5.077111,14.613697,15.979076,-1.086748,0.000216,0.397085
0.020000,16.587546,5.200425,14.932844,15.957333,-1.087182,-0.021693,0.396266
0.020000,16.881631,5.323269,15.251556,15.935572,-1.088045,-0.043188,0.395029
0.020000,17.175492,5.445519,15.569831,15.913785,-1.089322,-0.063839,0.393373
0.020000,17.469177,5.567055,15.887671,15.891966,-1.090986,-0.083205,0.391299
0.020000,17.762735,5.687753,16.205073,15.870105,-1.093003,-0.100840,0.388804
0.020000,18.056212,5.807491,16.522037,15.848199,-1.095304,-0.115024,0.385889
0.020000,18.349655,5.926147,16.838562,15.826242,-1.097894,-0.129529,0.382553
0.020000,18.643109,6.043597,17.154646,15.804228,-1.100676,-0.139097,0.378794
0.020000,18.936616,6.159719,17.470289,15.782157,-1.103573,-0.144836,0.374610
0.020000,19.230218,6.274388,17.785490,15.760026,-1.106508,-0.146774,0.370003
0.020000,19.523955,6.387482,18.100247,15.737839,-1.109389,-0.144060,0.364969
0.020000,19.817866,6.498874,18.414558,15.715596,-1.112113,-0.136162,0.359507
0.020000,20.111987,6.608442,18.728425,15.693305,-1.114564,-0.122538,0.353618
0.020000,20.406351,6.716059,19.041844,15.670973,-1.116616,-0.102643,0.347301
0.020000,20.700991,6.821599,19.354816,15.648610,-1.118135,-0.075933,0.340553
0.020000,20.995936,6.924938,19.667341,15.626231,-1.118973,-0.041875,0.333377
0.020000,21.291214,7.025950,19.979418,15.603851,-1.118972,0.000045,0.325770
0.020000,21.586848,7.124507,20.291048,15.581492,-1.117965,0.050310,0.317734
0.020000,21.882861,7.220484,20.602231,15.559176,-1.115778,0.109361,0.309270
0.020000,22.179271,7.313756,20.912970,15.536932,-1.112227,0.177577,0.300379
0.020000,22.476094,7.404196,21.223266,15.514789,-1.107145,0.254066,0.291062
0.020000,22.773344,7.491679,21.533121,15.492782,-1.100329,0.340795,0.281323
0.020000,21.982908,9.426572,23.623240,104.505948,4450.658296,222587.931287,3.458650
0.020000,21.621271,9.295833,24.007784,19.227209,-4263.936970,-435729.763289,3.520731
0.020000,21.250136,9.130467,24.414093,20.315422,54.410655,215917.381247,3.604243
0.020000,20.868603,8.912820,24.853340,21.962364,82.347100,1396.822209,3.720739
0.020000,20.481781,8.613053,25.342718,24.468915,125.327552,2149.022624,3.887667
0.020000,20.118806,8.191492,25.899014,27.814756,167.292063,2098.225540,4.122272
0.020000,19.855831,7.642908,26.507372,30.417949,130.159621,-1856.622105,4.411179
0.020000,19.761023,7.059836,27.098102,29.536461,-44.074399,-8711.701003,4.687178
0.020000,19.803374,6.545998,27.613682,25.779024,-187.871813,-7189.870706,4.895112
0.020000,19.914467,6.121080,28.052883,21.960031,-190.949643,-153.891463,5.034919
0.020000,20.052857,5.764827,28.435071,19.109419,-142.530633,2420.950493,5.126287
0.020000,20.199767,5.456903,28.776245,17.058707,-102.535604,1999.751457,5.185468
0.020000,20.346472,5.183793,29.086263,15.500884,-77.891143,1232.223057,5.222679
0.020000,20.488495,4.936870,29.371117,14.242717,-62.908361,749.139055,5.244021
0.020000,20.623241,4.710551,29.634511,13.169696,-53.651041,462.866019,5.253058
0.020000,20.748861,4.501384,29.878502,12.199549,-48.507365,257.183818,5.251769
0.020000,20.863846,4.307314,30.104079,11.278823,-46.036298,123.553341,5.241104
0.020000,20.966839,4.127316,30.311459,10.369037,-45.489269,27.351455,5.221274
0.020000,21.056559,3.961221,30.500238,9.438916,-46.506067,-50.839896,5.191891
0.020000,21.131814,3.809668,30.669447,8.460444,-48.923597,-120.876512,5.152025
0.020000,21.191604,3.674128,30.817588,7.407082,-52.668098,-187.225063,5.100241
0.020000,21.235376,3.556898,30.942723,6.256753,-57.516435,-242.416840,5.034678
0.020000,21.263470,3.460922,31.042727,5.000185,-62.828409,-265.598694,4.953293
0.020000,21.277730,3.389122,31.115929,3.660106,-67.003967,-208.777895,4.854481
0.020000,21.281935,3.342924,31.162318,2.319455,-67.032525,-1.427901,4.738225
0.020000,21.281283,3.320146,31.185106,1.139367,-59.004433,401.404567,4.607602
0.020000,21.280306,3.313799,31.191527,0.321073,-40.914675,904.487927,4.469558
0.020000,21.280369,3.313933,31.191675,0.007402,-15.683541,1261.556708,4.333509
0.020000,21.279363,3.311954,31.193895,0.111000,5.179862,1043.170122,4.208036
0.020000,21.274031,3.303616,31.203792,0.494858,19.192945,700.654156,4.098242
0.020000,21.262314,3.288691,31.222767,0.948727,22.693425,175.023996,4.005470
0.020000,21.244013,3.268977,31.249666,1.344971,19.812218,-144.060311,3.928611
0.020000,21.220246,3.246670,31.282262,1.629812,14.242030,-278.509436,3.865523
0.020000,21.192713,3.223620,31.318169,1.795344,8.276613,-298.270821,3.813921
0.020000,21.163193,3.201155,31.355265,1.854800,2.972783,-265.191509,3.771759
0.020000,21.133302,3.180153,31.391797,1.826575,-1.411228,-219.200556,3.737360
0.020000,21.104403,3.161158,31.426380,1.729148,-4.871368,-173.007006,3.709395
0.020000,21.077599,3.144491,31.457943,1.578181,-7.548356,-133.849388,3.686830
0.020000,21.053739,3.130314,31.485697,1.387691,-9.524478,-98.806132,3.668862
0.020000,21.033257,3.118583,31.509301,1.180176,-10.375752,-42.563691,3.654738
0.020000,21.016200,3.109096,31.528819,0.975909,-10.213373,8.118967,3.643760
0.020000,21.002456,3.101624,31.544462,0.782159,-9.687465,26.295378,3.635373
0.020000,20.991804,3.095934,31.556539,0.603824,-8.916777,38.534412,3.629130
0.020000,20.983925,3.091779,31.565447,0.445398,-7.921305,49.773617,3.624647
0.020000,20.978448,3.088917,31.571626,0.308952,-6.822284,54.951027,3.621595
0.020000,20.974966,3.087108,31.575550,0.196201,-5.637553,59.236585,3.619680
0.020000,20.973030,3.086107,31.577729,0.108980,-4.361071,63.824076,3.618625
0.020000,20.972192,3.085673,31.578673,0.047187,-3.089654,63.570867,3.618170
0.020000,20.971990,3.085569,31.578900,0.011370,-1.790851,64.940140,3.618060
0.020000,20.971990,3.085569,31.578900,0.000000,-0.568476,61.118752,3.618060
