dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.556749,10.616999,0.000858,0.085804,4.290196,214.509781,0.001251
0.020000,5.557537,10.617000,0.001646,0.039393,-2.320524,-330.535960,0.000463
0.020000,5.565014,10.616995,0.009124,0.373890,16.724831,952.267722,6.281875
0.020000,5.581900,10.616947,0.026010,0.844292,23.520113,339.764103,6.278718
0.020000,5.608296,10.616763,0.052406,1.319821,23.776424,12.815578,6.273773
0.020000,5.645270,10.616287,0.089383,1.848873,26.452614,133.809460,6.266827
0.020000,5.692841,10.615296,0.136964,2.379036,26.508125,2.775572,6.257858
0.020000,5.751021,10.613501,0.195172,2.910383,26.567377,2.962612,6.246841
0.020000,5.819819,10.610549,0.264033,3.443056,26.633651,3.313696,6.233752
0.020000,5.899227,10.606016,0.343570,3.976868,26.690601,2.847476,6.218567
0.020000,5.989214,10.599412,0.433800,4.511477,26.730451,1.992484,6.201270
0.020000,6.089718,10.590178,0.534727,5.046348,26.743534,0.654176,6.181855
0.020000,6.200631,10.577694,0.646340,5.580683,26.716735,-1.339933,6.160333
0.020000,6.321789,10.561281,0.768605,6.113224,26.627048,-4.484390,6.136740
0.020000,6.452955,10.540214,0.901452,6.642366,26.457111,-8.496847,6.111144
0.020000,6.593813,10.513737,1.044777,7.166245,26.193972,-13.156933,6.083650
0.020000,6.743953,10.481079,1.198427,7.682499,25.812707,-19.063259,6.054410
0.020000,6.902865,10.441482,1.362199,8.188571,25.303604,-25.455123,6.023628
0.020000,7.069943,10.394225,1.535832,8.681650,24.653918,-32.484320,5.991564
0.020000,7.244489,10.338657,1.719009,9.158891,23.862073,-39.592235,5.958535
0.020000,7.425732,10.274227,1.911363,9.617693,22.940113,-46.098025,5.924909
0.020000,7.612848,10.200507,2.112478,10.055744,21.902529,-51.879204,5.891102
0.020000,7.805001,10.117220,2.321904,10.471306,20.778120,-56.220433,5.857564
0.020000,8.001369,10.024246,2.539171,10.863341,19.601720,-58.820019,5.824766
0.020000,8.201191,9.921631,2.763801,11.231498,18.407865,-59.692707,5.793186
0.020000,8.403793,9.809583,2.995323,11.576100,17.230102,-58.888180,5.763294
0.020000,8.608621,9.688461,3.233283,11.897980,16.094009,-56.804651,5.735547
0.020000,8.815256,9.558766,3.477248,12.198265,15.014217,-53.989588,5.710375
0.020000,9.023428,9.421122,3.726810,12.478123,13.992908,-51.065455,5.688188
0.020000,9.233016,9.276274,3.981581,12.738512,13.019479,-48.671427,5.669374
0.020000,9.444043,9.125081,4.241180,12.979951,12.071913,-47.378346,5.654314
0.020000,9.656664,8.968516,4.505226,13.202310,11.117987,-47.696288,5.643388
0.020000,9.871156,8.807683,4.773320,13.404685,10.118711,-49.963788,5.636996
0.020000,10.087894,8.643827,5.045025,13.585297,9.030601,-54.405502,5.635572
0.020000,10.307333,8.478365,5.319855,13.741472,7.808754,-61.092368,5.639605
0.020000,10.529983,8.312912,5.597249,13.869724,6.412613,-69.807043,5.649653
0.020000,10.756378,8.149311,5.876570,13.966011,4.814337,-79.913766,5.666353
0.020000,10.986394,7.990093,6.156316,13.987299,1.064392,-187.497283,5.690346
0.020000,11.235072,7.825882,6.454319,14.900156,45.642866,2228.923732,5.694958
0.020000,11.515610,7.633326,6.794582,17.013178,105.651105,3000.411943,5.668727
0.020000,11.791066,7.433914,7.134643,17.003027,-0.507556,-5307.933045,5.644826
0.020000,12.059127,7.230475,7.471160,16.825882,-8.857234,-417.483926,5.623571
0.020000,12.318169,7.025653,7.801396,16.511756,-15.706309,-342.453743,5.605128
0.020000,12.567484,6.821529,8.123613,16.110888,-20.043387,-216.853924,5.589516
0.020000,12.806469,6.620122,8.436149,15.626776,-24.205592,-208.110254,5.576682
0.020000,13.034926,6.423050,8.737861,15.085616,-27.058033,-142.622027,5.566502
0.020000,13.253313,6.231234,9.028526,14.533257,-27.617920,-27.994372,5.558788
0.020000,13.462332,6.045199,9.308343,13.990854,-27.120149,24.888593,5.553343
0.020000,13.662602,5.865367,9.577505,13.458063,-26.639591,24.027903,5.549973
0.020000,13.854663,5.692066,9.836195,12.934496,-26.178339,23.062554,5.548495
0.020000,14.038978,5.525549,10.084590,12.419765,-25.736546,22.089682,5.548730
0.020000,14.215943,5.365999,10.322860,11.913495,-25.313505,21.152053,5.550511
0.020000,14.385886,5.213542,10.551167,11.415336,-24.907920,20.279216,5.553674
0.020000,14.549081,5.068251,10.769666,10.924968,-24.518409,19.475582,5.558065
0.020000,14.705746,4.930153,10.978508,10.442097,-24.143580,18.741445,5.563532
0.020000,14.856055,4.799236,11.177837,9.966449,-23.782358,18.061112,5.569931
0.020000,15.000141,4.675453,11.367792,9.497770,-23.433989,17.418433,5.577124
0.020000,15.138102,4.558727,11.548508,9.035809,-23.098034,16.797735,5.584976
0.020000,15.270004,4.448952,11.720115,8.580322,-22.774338,16.184794,5.593357
0.020000,15.395889,4.346002,11.882736,8.131060,-22.463133,15.560297,5.602142
0.020000,15.515776,4.249732,12.036491,7.687763,-22.164817,14.915793,5.611214
0.020000,15.629666,4.159983,12.181495,7.250163,-21.879989,14.241377,5.620456
0.020000,15.737546,4.076580,12.317854,6.817978,-21.609282,13.535349,5.629763
0.020000,15.839390,3.999345,12.445672,6.390907,-21.353523,12.787955,5.639030
0.020000,15.935165,3.928092,12.565045,5.968645,-21.113142,12.019060,5.648162
0.020000,16.024830,3.862633,12.676062,5.550867,-20.888882,11.212967,5.657069
0.020000,16.108342,3.802780,12.778807,5.137245,-20.681088,10.389716,5.665669
0.020000,16.185652,3.748350,12.873356,4.727441,-20.490186,9.545095,5.673884
0.020000,16.256713,3.699165,12.959779,4.321124,-20.315864,8.716097,5.681645
0.020000,16.321477,3.655054,13.038138,3.917954,-20.158510,7.867732,5.688890
0.020000,16.379897,3.615856,13.108490,3.517600,-20.017673,7.041823,5.695561
0.020000,16.431930,3.581422,13.170885,3.119742,-19.892912,6.238040,5.701608
