dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.558000,9.617000,0.000728,0.072805,3.640262,182.013125,0.001281
0.020000,5.558000,9.617000,0.003640,0.218416,7.280525,182.013125,0.000613
0.020000,5.561885,9.616998,0.010193,0.436831,10.920787,182.013125,6.282293
0.020000,5.573534,9.616972,0.021842,0.728052,14.561050,182.013125,6.279615
0.020000,5.591735,9.616869,0.040043,1.092079,18.201312,182.013125,6.275423
0.020000,5.617943,9.616586,0.066253,1.528910,21.841575,182.013125,6.269367
0.020000,5.652884,9.615962,0.101199,1.965742,21.841575,0.000000,6.261262
0.020000,5.696551,9.614782,0.144882,2.402573,21.841575,-0.000000,6.251084
0.020000,5.748932,9.612779,0.197302,2.839405,21.841575,0.000000,6.238806
0.020000,5.810007,9.609626,0.258459,3.276236,21.841575,0.000000,6.224404
0.020000,5.879741,9.604943,0.328352,3.713068,21.841575,-0.000000,6.207857
0.020000,5.958088,9.598294,0.406981,4.149899,21.841575,0.000000,6.189156
0.020000,6.044977,9.589185,0.494348,4.586731,21.841575,0.000000,6.168304
0.020000,6.140311,9.577073,0.590451,5.023562,21.841575,-0.000000,6.145327
0.020000,6.243965,9.561366,0.695290,5.460394,21.841575,0.000000,6.120282
0.020000,6.355775,9.541433,0.808866,5.897225,21.841575,-0.000000,6.093261
0.020000,6.475538,9.516609,0.931179,6.334057,21.841575,-0.000000,6.064403
0.020000,6.603008,9.486214,1.062229,6.770888,21.841575,0.000000,6.033897
0.020000,6.737898,9.449564,1.202015,7.207720,21.841575,-0.000000,6.001990
0.020000,6.879877,9.405989,1.350537,7.644551,21.841575,0.000000,5.968987
0.020000,7.028584,9.354857,1.507797,8.081383,21.841575,0.000000,5.935250
0.020000,7.183631,9.295592,1.673793,8.518214,21.841575,-0.000000,5.901191
0.020000,7.344622,9.227691,1.848525,8.955046,21.841575,0.000000,5.867261
0.020000,7.511167,9.150747,2.031995,9.391877,21.841575,0.000000,5.833939
0.020000,7.682907,9.064459,2.224200,9.828709,21.841575,-0.000000,5.801713
0.020000,7.859526,8.968645,2.425143,10.265540,21.841575,0.000000,5.771071
0.020000,8.040782,8.863247,2.634822,10.702372,21.841575,0.000000,5.742485
0.020000,8.226517,8.748334,2.853238,11.139203,21.841575,0.000000,5.716405
0.020000,8.416680,8.624100,3.080390,11.576035,21.841575,0.000000,5.693255
0.020000,8.611339,8.490872,3.316279,12.012866,21.841575,-0.000000,5.673442
0.020000,8.810693,8.349104,3.560905,12.449698,21.841575,0.000000,5.657354
0.020000,9.015085,8.199385,3.814267,12.886529,21.841575,0.000000,5.645382
0.020000,9.225008,8.042453,4.076366,13.323361,21.841575,-0.000000,5.637930
0.020000,9.441116,7.879207,4.347201,13.760192,21.841575,0.000000,5.635437
0.020000,9.664229,7.710740,4.626774,14.197024,21.841575,0.000000,5.638391
0.020000,9.895339,7.538375,4.915082,14.633855,21.841575,-0.000000,5.647348
0.020000,10.135013,7.364138,5.211400,14.997881,18.201312,-182.013125,5.662904
0.020000,10.383339,7.190759,5.514270,15.289102,14.561050,-182.013125,5.685604
0.020000,10.634078,7.024548,5.822236,15.507518,10.920787,-182.013125,5.699829
0.020000,10.891815,6.849435,6.133842,15.653129,7.280525,-182.013125,5.673368
0.020000,11.146725,6.666636,6.447529,15.715526,3.119844,-208.034064,5.649182
0.020000,11.397214,6.478168,6.761007,15.632312,-4.160681,-364.026250,5.627547
0.020000,11.641950,6.286137,7.072093,15.476293,-7.800944,-182.013125,5.608632
0.020000,11.880297,6.092272,7.379331,15.247469,-11.441206,-182.013125,5.592476
0.020000,12.111688,5.898313,7.681264,14.945840,-15.081469,-182.013125,5.579055
0.020000,12.335591,5.705976,7.976436,14.571405,-18.721731,-182.013125,5.568289
0.020000,12.551555,5.516866,8.263496,14.134573,-21.841575,-155.992186,5.560050
0.020000,12.759648,5.332040,8.541819,13.697742,-21.841575,-0.000000,5.554155
