dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.559334,8.575501,0.000728,0.072805,3.640262,182.013125,0.001281
0.020000,5.558638,8.575500,0.001424,0.034812,-1.899639,-276.995100,0.000613
0.020000,5.560956,8.575499,0.003742,0.115892,4.053975,297.680734,6.282293
0.020000,5.569816,8.575479,0.012602,0.442991,16.354941,615.048309,6.279615
0.020000,5.583650,8.575401,0.026436,0.691725,12.436725,-195.910812,6.275423
0.020000,5.603552,8.575186,0.046340,0.995163,15.171865,136.756980,6.269367
0.020000,5.630053,8.574712,0.072845,1.325241,16.503905,66.602011,6.261262
0.020000,5.663123,8.573819,0.105927,1.654104,16.443165,-3.036999,6.251084
0.020000,5.702726,8.572304,0.145559,1.981616,16.375615,-3.377484,6.238806
0.020000,5.748821,8.569925,0.191715,2.307813,16.309852,-3.288149,6.224404
0.020000,5.801361,8.566397,0.244374,2.632949,16.256784,-2.653419,6.207857
0.020000,5.860301,8.561395,0.303525,2.957558,16.230440,-1.317206,6.189156
0.020000,5.925591,8.554550,0.369173,3.282384,16.241321,0.544069,6.168304
0.020000,5.997186,8.545454,0.441344,3.608559,16.308741,3.370968,6.145327
0.020000,6.075050,8.533655,0.520097,3.937640,16.454032,7.264584,6.120282
0.020000,6.159155,8.518661,0.605528,4.271572,16.696618,12.129294,6.093261
0.020000,6.249489,8.499936,0.697782,4.612681,17.055462,17.942185,6.064403
0.020000,6.346055,8.476909,0.797056,4.963680,17.549924,24.723119,6.033897
0.020000,6.448877,8.448969,0.903606,5.327528,18.192423,32.124958,6.001990
0.020000,6.557998,8.415476,1.017751,5.707259,18.986516,39.704621,5.968987
0.020000,6.673477,8.375765,1.139868,6.105826,19.928356,47.092014,5.935250
0.020000,6.795389,8.329160,1.270385,6.525847,21.001048,53.634606,5.901191
0.020000,6.923819,8.274986,1.409773,6.969394,22.177358,58.815491,5.867261
0.020000,7.058858,8.212590,1.558530,7.437846,23.422619,62.263048,5.833939
0.020000,7.200604,8.141363,1.717166,7.931803,24.697842,63.761175,5.801713
0.020000,7.349169,8.060759,1.886188,8.451116,25.965654,63.390579,5.771071
0.020000,7.504684,7.970319,2.066089,8.995024,27.195399,61.487233,5.742485
0.020000,7.667316,7.869689,2.257336,9.562378,28.367690,58.614566,5.716405
0.020000,7.837291,7.758635,2.460374,10.151895,29.475841,55.407562,5.693255
0.020000,8.014916,7.637056,2.675623,10.762463,30.528439,52.629888,5.673442
0.020000,8.200612,7.504993,2.903491,11.393383,31.545974,50.876757,5.657354
0.020000,8.394942,7.362638,3.144383,12.044602,32.560976,50.750089,5.645382
0.020000,8.598648,7.210350,3.398721,12.716889,33.614338,52.668086,5.637930
0.020000,8.812683,7.048669,3.666959,13.411934,34.752262,56.896218,5.635437
0.020000,9.038252,6.878349,3.949607,14.132404,36.023494,63.561618,5.638391
0.020000,9.276843,6.700410,4.247245,14.881871,37.473313,72.490955,5.647348
0.020000,9.529626,6.516654,4.559760,15.625764,37.194671,-13.932136,5.662904
0.020000,9.797345,6.329752,4.886265,16.325261,34.974852,-110.990933,5.685604
0.020000,10.060391,6.155293,5.201906,15.782052,-27.160469,-3106.766067,5.699829
0.020000,10.295330,5.995662,5.485946,14.201954,-79.004872,-2592.220145,5.673368
0.020000,10.529767,5.827538,5.774435,14.424483,11.126433,4506.565282,5.649182
0.020000,10.762248,5.652614,6.065375,14.546995,6.125585,-250.042420,5.627547
0.020000,10.991483,5.472740,6.356757,14.569081,1.104319,-251.063329,5.608632
0.020000,11.216774,5.289490,6.647165,14.520393,-2.434393,-176.935557,5.592476
0.020000,11.437451,5.104508,6.935117,14.397639,-6.137694,-185.165062,5.579055
0.020000,11.652847,4.919475,7.219076,14.197936,-9.985174,-192.374001,5.568289
0.020000,11.862354,4.736018,7.497553,13.923858,-13.703898,-185.936211,5.560050
0.020000,12.065856,4.555268,7.769737,13.609164,-15.734695,-101.539864,5.554155
0.020000,12.263646,4.377881,8.035419,13.284102,-16.253109,-25.920673,5.550406
0.020000,12.455970,4.204436,8.294400,12.949087,-16.750740,-24.881544,5.548612
0.020000,12.643025,4.035439,8.546491,12.604545,-17.227112,-23.818609,5.548591
0.020000,12.824962,3.871327,8.791509,12.250886,-17.682939,-22.791345,5.550166
0.020000,13.001882,3.712476,9.029279,11.888495,-18.119569,-21.831523,5.553172
0.020000,13.173845,3.559205,9.259633,11.517723,-18.538578,-20.950458,5.557446
0.020000,13.340868,3.411782,9.482411,11.138894,-18.941433,-20.142743,5.562833
0.020000,13.502927,3.270426,9.697457,10.752305,-19.329455,-19.401100,5.569186
0.020000,13.659966,3.135311,9.904622,10.358236,-19.703440,-18.699244,5.576360
