dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.200000,13.115000,0.000043,0.004261,0.213068,10.653409,0.000000
0.020000,5.200000,13.115000,0.000043,0.000000,-0.213068,-21.306818,0.000000
0.020000,5.200000,13.115000,0.000043,0.000000,0.000000,10.653409,0.000000
0.020000,5.200000,13.115000,0.000043,0.000000,0.000000,0.000000,0.000000
0.020000,5.200000,13.115000,0.000043,0.000000,0.000000,0.000000,0.000000
0.020000,5.200000,13.115000,0.000043,0.000000,0.000000,0.000000,0.000000
0.020000,5.200000,13.115000,0.000043,0.000000,0.000000,0.000000,0.000000
0.020000,5.200000,13.115000,0.000043,0.000000,0.000000,0.000000,0.000000
0.020000,5.200145,13.115000,0.000188,0.007244,0.362216,18.110795,0.000000
0.020000,5.204406,13.115000,0.004449,0.213068,10.291193,496.448864,0.000000
0.020000,5.209563,13.115000,0.009605,0.257813,2.237216,-402.698864,0.000000
0.020000,5.215699,13.115000,0.015741,0.306818,2.450284,10.653409,0.000000
0.020000,5.222901,13.115000,0.022943,0.360085,2.663352,10.653409,0.000000
0.020000,5.231253,13.115000,0.031295,0.417614,2.876420,10.653409,0.000000
0.020000,5.240841,13.115000,0.040884,0.479403,3.089489,10.653409,0.000000
0.020000,5.251750,13.115000,0.051793,0.545455,3.302557,10.653409,0.000000
0.020000,5.264065,13.115000,0.064108,0.615767,3.515625,10.653409,0.000000
0.020000,5.277872,13.115000,0.077915,0.690341,3.728693,10.653409,0.000000
0.020000,5.293256,13.115000,0.093298,0.769176,3.941761,10.653409,0.000000
0.020000,5.310301,13.115000,0.110344,0.852273,4.154830,10.653409,0.000000
0.020000,5.329094,13.115000,0.129136,0.939631,4.367898,10.653409,0.000000
0.020000,5.349719,13.115000,0.149761,1.031250,4.580966,10.653409,0.000000
0.020000,5.372219,13.115000,0.172261,1.125000,4.687500,5.326705,0.000000
0.020000,5.396594,13.115000,0.196636,1.218750,4.687500,0.000000,0.000000
0.020000,5.422844,13.115000,0.222886,1.312500,4.687500,0.000000,0.000000
0.020000,5.450969,13.115000,0.251011,1.406250,4.687500,0.000000,0.000000
0.020000,5.480969,13.115000,0.281011,1.500000,4.687500,-0.000000,0.000000
0.020000,5.512844,13.115000,0.312886,1.593750,4.687500,0.000000,0.000000
0.020000,5.546594,13.115000,0.346636,1.687500,4.687500,-0.000000,0.000000
0.020000,5.582219,13.115000,0.382261,1.781250,4.687500,0.000000,0.000000
0.020000,5.619719,13.115000,0.419761,1.875000,4.687500,-0.000000,0.000000
0.020000,5.659094,13.115000,0.459136,1.968750,4.687500,0.000000,0.000000
