dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.200000,12.000000,0.000043,0.004261,0.213068,10.653409,0.000000
0.020000,5.200000,12.000000,0.000213,0.012784,0.426136,10.653409,0.000000
0.020000,5.200000,12.000000,0.000597,0.025568,0.639205,10.653409,0.000000
0.020000,5.200000,12.000000,0.001278,0.042614,0.852273,10.653409,0.000000
0.020000,5.200000,12.000000,0.002344,0.063920,1.065341,10.653409,0.000000
0.020000,5.200000,12.000000,0.003878,0.089489,1.278409,10.653409,0.000000
0.020000,5.200000,12.000000,0.005966,0.119318,1.491477,10.653409,0.000000
0.020000,5.200000,12.000000,0.008693,0.153409,1.704545,10.653409,0.000000
0.020000,5.200145,12.000000,0.012145,0.191761,1.917614,10.653409,0.000000
0.020000,5.204406,12.000000,0.016406,0.234375,2.130682,10.653409,0.000000
0.020000,5.209563,12.000000,0.021563,0.281250,2.343750,10.653409,0.000000
0.020000,5.215699,12.000000,0.027699,0.332386,2.556818,10.653409,0.000000
0.020000,5.222901,12.000000,0.034901,0.387784,2.769886,10.653409,0.000000
0.020000,5.231253,12.000000,0.043253,0.447443,2.982955,10.653409,0.000000
0.020000,5.240841,12.000000,0.052841,0.511364,3.196023,10.653409,0.000000
0.020000,5.251750,12.000000,0.063750,0.579545,3.409091,10.653409,0.000000
0.020000,5.264065,12.000000,0.076065,0.651989,3.622159,10.653409,0.000000
0.020000,5.277872,12.000000,0.089872,0.728693,3.835227,10.653409,0.000000
0.020000,5.293256,12.000000,0.105256,0.809659,4.048295,10.653409,0.000000
0.020000,5.310301,12.000000,0.122301,0.894886,4.261364,10.653409,0.000000
0.020000,5.329094,12.000000,0.141094,0.984375,4.474432,10.653409,0.000000
0.020000,5.349719,12.000000,0.161719,1.078125,4.687500,10.653409,0.000000
0.020000,5.372219,12.000000,0.184219,1.171875,4.687500,0.000000,0.000000
0.020000,5.396594,12.000000,0.208594,1.265625,4.687500,0.000000,0.000000
0.020000,5.422844,12.000000,0.234844,1.359375,4.687500,0.000000,0.000000
0.020000,5.450969,12.000000,0.262969,1.453125,4.687500,0.000000,0.000000
0.020000,5.480969,12.000000,0.292969,1.546875,4.687500,0.000000,0.000000
0.020000,5.512844,12.000000,0.324844,1.640625,4.687500,0.000000,0.000000
0.020000,5.546594,12.000000,0.358594,1.734375,4.687500,0.000000,0.000000
0.020000,5.582219,12.000000,0.394219,1.828125,4.687500,0.000000,0.000000
0.020000,5.619719,12.000000,0.431719,1.921875,4.687500,0.000000,0.000000
0.020000,5.659094,12.000000,0.471094,2.015625,4.687500,0.000000,0.000000
0.020000,5.700301,12.000000,0.512301,2.105114,4.474432,-10.653409,0.000000
0.020000,5.743256,12.000000,0.555256,2.190341,4.261364,-10.653409,0.000000
0.020000,5.787872,12.000000,0.599872,2.271307,4.048295,-10.653409,0.000000
0.020000,5.834065,12.000000,0.646065,2.348011,3.835227,-10.653409,0.000000
0.020000,5.881750,12.000000,0.693750,2.420455,3.622159,-10.653409,0.000000
0.020000,5.930841,12.000000,0.742841,2.488636,3.409091,-10.653409,0.000000
0.020000,5.981253,12.000000,0.793253,2.552557,3.196023,-10.653409,0.000000
0.020000,6.032901,12.000000,0.844901,2.612216,2.982955,-10.653409,0.000000
0.020000,6.085699,12.000000,0.897699,2.667614,2.769886,-10.653409,0.000000
0.020000,6.139562,12.000000,0.951562,2.718750,2.556818,-10.653409,0.000000
0.020000,6.194406,12.000000,1.006406,2.765625,2.343750,-10.653409,0.000000
0.020000,6.250145,12.000000,1.062145,2.808239,2.130682,-10.653409,0.000000
0.020000,6.306693,12.000000,1.118693,2.846591,1.917614,-10.653409,0.000000
0.020000,6.363966,12.000000,1.175966,2.880682,1.704545,-10.653409,0.000000
0.020000,6.421878,12.000000,1.233878,2.910511,1.491477,-10.653409,0.000000
0.020000,6.480344,12.000000,1.292344,2.936080,1.278409,-10.653409,0.000000
0.020000,6.539278,12.000000,1.351278,2.957386,1.065341,-10.653409,0.000000
0.020000,6.598597,12.000000,1.410597,2.974432,0.852273,-10.653409,0.000000
0.020000,6.658213,12.000000,1.470213,2.987216,0.639205,-10.653409,0.000000
0.020000,6.718043,12.000000,1.530043,2.995739,0.426136,-10.653409,0.000000
0.020000,6.778000,12.000000,1.590000,3.000000,0.213068,-10.653409,0.000000
0.020000,6.838000,12.000000,1.650000,3.000000,0.000000,-10.653409,0.000000
0.020000,6.898000,12.000000,1.710000,3.000000,0.000000,0.000000,0.000000
0.020000,6.958000,12.000000,1.770000,3.000000,0.000000,0.000000,0.000000
0.020000,7.018000,12.000000,1.830000,3.000000,0.000000,0.000000,0.000000
0.020000,7.078000,12.000000,1.890000,3.000000,0.000000,0.000000,0.000000
0.020000,7.138000,12.000000,1.950000,3.000000,0.000000,0.000000,0.000000
0.020000,7.198000,12.000000,2.010000,3.000000,0.000000,0.000000,0.000000
0.020000,7.258000,12.000000,2.070000,3.000000,0.000000,0.000000,0.000000
0.020000,7.318000,12.000000,2.130000,3.000000,0.000000,0.000000,0.000000
