dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.559332,10.616999,0.000859,0.085902,4.295118,214.755880,6.281853
0.020000,5.558939,10.617000,0.001252,0.019630,-3.313637,-380.437708,6.282246
0.020000,5.558057,10.617000,0.002134,0.044142,1.225601,226.961871,6.283129
0.020000,5.569737,10.617009,0.013815,0.584024,26.994135,1288.426727,0.001511
0.020000,5.588766,10.617061,0.032844,0.951446,18.371106,-431.151482,0.003958
0.020000,5.615412,10.617212,0.059491,1.332340,19.044658,33.677598,0.007377
0.020000,5.649683,10.617540,0.093763,1.713606,19.063303,0.932289,0.011761
0.020000,5.691585,10.618145,0.135669,2.095320,19.085708,1.120245,0.017101
0.020000,5.741129,10.619148,0.185223,2.477697,19.118843,1.656731,0.023384
0.020000,5.798324,10.620692,0.242439,2.860796,19.154968,1.806233,0.030594
0.020000,5.863182,10.622941,0.307337,3.244882,19.204304,2.466798,0.038714
0.020000,5.935717,10.626078,0.379939,3.630117,19.261762,2.872921,0.047718
0.020000,6.015941,10.630307,0.460275,4.016780,19.333138,3.568806,0.057580
0.020000,6.103869,10.635847,0.548376,4.405086,19.415281,4.107160,0.068265
0.020000,6.199513,10.642939,0.644283,4.795349,19.513166,4.894257,0.079735
0.020000,6.302889,10.651837,0.748041,5.187903,19.627711,5.727218,0.091945
0.020000,6.414009,10.662808,0.859702,5.583050,19.757352,6.482069,0.104841
0.020000,6.532889,10.676134,0.979326,5.981183,19.906643,7.464534,0.118366
0.020000,6.659539,10.692105,1.106979,6.382652,20.073429,8.339320,0.132450
0.020000,6.793972,10.711018,1.242736,6.787859,20.260346,9.345817,0.147021
0.020000,6.936200,10.733176,1.386680,7.197165,20.465325,10.248952,0.161996
0.020000,7.086232,10.758882,1.538899,7.610956,20.689558,11.211658,0.177285
0.020000,7.244081,10.788437,1.699490,8.029587,20.931526,12.098413,0.192791
0.020000,7.409757,10.822135,1.868558,8.453388,21.190036,12.925471,0.208411
0.020000,7.583271,10.860261,2.046211,8.882663,21.463781,13.687299,0.224037
0.020000,7.764637,10.903084,2.232565,9.317670,21.750315,14.326689,0.239552
0.020000,7.953873,10.950856,2.427737,9.758632,22.048100,14.889219,0.254838
0.020000,8.151001,11.003802,2.631852,10.205730,22.354934,15.341696,0.269773
0.020000,8.356051,11.062121,2.845034,10.659101,22.668561,15.681379,0.284230
0.020000,8.569062,11.125979,3.067411,11.118853,22.987561,15.950017,0.298083
0.020000,8.790086,11.195502,3.299112,11.585050,23.309880,16.115938,0.311202
0.020000,9.019192,11.270777,3.540267,12.057757,23.635331,16.272560,0.323457
0.020000,9.256467,11.351841,3.791007,12.537009,23.962614,16.364104,0.334718
0.020000,9.502022,11.438679,4.051465,13.022872,24.293156,16.527105,0.344851
0.020000,9.755995,11.531221,4.321773,13.515408,24.626764,16.680427,0.353725
0.020000,10.018557,11.629334,4.602068,14.014729,24.966072,16.965370,0.361203
0.020000,10.289127,11.732513,4.891643,14.478769,23.201989,-88.204130,0.367131
0.020000,10.566358,11.839850,5.188927,14.864218,19.272455,-196.476701,0.371364
0.020000,10.848910,11.950332,5.492311,15.169197,15.248963,-201.174581,0.373792
0.020000,11.135074,12.062718,5.799754,15.372128,10.146550,-255.120669,0.374345
0.020000,11.422312,12.175395,6.108301,15.427370,2.762074,-369.223814,0.373007
0.020000,11.708389,12.286870,6.415330,15.351437,-3.796640,-327.935660,0.369823
0.020000,11.991814,12.395986,6.719034,15.185196,-8.312046,-225.770312,0.364881
0.020000,12.271029,12.501637,7.017569,14.926772,-12.921199,-230.457680,0.358307
0.020000,12.544780,12.602935,7.309461,14.594599,-16.608660,-184.373050,0.350252
0.020000,12.812579,12.699381,7.594098,14.231839,-18.137992,-76.466557,0.340861
0.020000,13.074352,12.790710,7.871345,13.862351,-18.474418,-16.821327,0.330270
0.020000,13.329995,12.876721,8.141070,13.486232,-18.805907,-16.574456,0.318610
0.020000,13.579380,12.957271,8.403141,13.103541,-19.134556,-16.432419,0.306014
0.020000,13.822354,13.032274,8.657427,12.714339,-19.460088,-16.276604,0.292612
0.020000,14.058743,13.101700,8.903801,12.318664,-19.783788,-16.185035,0.278533
0.020000,14.288357,13.165569,9.142132,11.916586,-20.103885,-16.004813,0.263905
0.020000,14.510994,13.223951,9.372296,11.508186,-20.419990,-15.805290,0.248854
0.020000,14.726440,13.276959,9.594168,11.093586,-20.730014,-15.501196,0.233506
0.020000,14.934480,13.324750,9.807627,10.672937,-21.032466,-15.122596,0.217980
0.020000,15.134897,13.367518,10.012555,10.246443,-21.324694,-14.611388,0.202394
0.020000,15.327475,13.405490,10.208842,9.814330,-21.605615,-14.046053,0.186860
0.020000,15.512010,13.438919,10.396380,9.376894,-21.871842,-13.311344,0.171484
0.020000,15.688302,13.468087,10.575068,8.934422,-22.123562,-12.585990,0.156368
0.020000,15.856166,13.493288,10.744814,8.487294,-22.356398,-11.641803,0.141605
0.020000,16.015432,13.514835,10.905531,8.035834,-22.573012,-10.830691,0.127280
0.020000,16.165943,13.533045,11.057140,7.580429,-22.770238,-9.861296,0.113474
