dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,3.958500,0.000240,0.024000,1.200000,60.000000,0.000000
0.020000,5.000000,3.958500,0.000240,0.000000,-1.200000,-120.000000,0.000000
0.020000,5.000000,3.958500,0.000240,0.000000,0.000000,60.000000,0.000000
0.020000,5.000000,3.958500,0.000240,0.000000,0.000000,0.000000,0.000000
0.020000,5.000000,3.958500,0.000240,0.000000,0.000000,0.000000,0.000000
0.020000,5.002600,3.958500,0.002840,0.130000,6.500000,325.000000,0.000000
0.020000,5.013400,3.958500,0.013640,0.540000,20.500000,700.000000,0.000000
0.020000,5.026600,3.958500,0.026840,0.660000,6.000000,-725.000000,0.000000
0.020000,5.042200,3.958500,0.042440,0.780000,6.000000,-0.000000,0.000000
0.020000,5.060200,3.958500,0.060440,0.900000,6.000000,0.000000,0.000000
0.020000,5.080600,3.958500,0.080840,1.020000,6.000000,0.000000,0.000000
0.020000,5.103400,3.958500,0.103640,1.140000,6.000000,-0.000000,0.000000
0.020000,5.128600,3.958500,0.128840,1.260000,6.000000,0.000000,0.000000
0.020000,5.156200,3.958500,0.156440,1.380000,6.000000,0.000000,0.000000
0.020000,5.186200,3.958500,0.186440,1.500000,6.000000,-0.000000,0.000000
0.020000,5.218600,3.958500,0.218840,1.620000,6.000000,0.000000,0.000000
0.020000,5.253400,3.958500,0.253640,1.740000,6.000000,0.000000,0.000000
0.020000,5.290600,3.958500,0.290840,1.860000,6.000000,0.000000,0.000000
0.020000,5.330200,3.958500,0.330440,1.980000,6.000000,0.000000,0.000000
0.020000,5.372200,3.958500,0.372440,2.100000,6.000000,-0.000000,0.000000
0.020000,5.416600,3.958500,0.416840,2.220000,6.000000,0.000000,0.000000
0.020000,5.463400,3.958500,0.463640,2.340000,6.000000,-0.000000,0.000000
0.020000,5.512600,3.958500,0.512840,2.460000,6.000000,0.000000,0.000000
0.020000,5.564200,3.958500,0.564440,2.580000,6.000000,0.000000,0.000000
0.020000,5.618200,3.958500,0.618440,2.700000,6.000000,0.000000,0.000000
0.020000,5.674600,3.958500,0.674840,2.820000,6.000000,-0.000000,0.000000
0.020000,5.733400,3.958500,0.733640,2.940000,6.000000,0.000000,0.000000
0.020000,5.794600,3.958500,0.794840,3.060000,6.000000,0.000000,0.000000
0.020000,5.858200,3.958500,0.858440,3.180000,6.000000,0.000000,0.000000
0.020000,5.924200,3.958500,0.924440,3.300000,6.000000,-0.000000,0.000000
0.020000,5.992600,3.958500,0.992840,3.420000,6.000000,0.000000,0.000000
0.020000,6.063400,3.958500,1.063640,3.540000,6.000000,-0.000000,0.000000
0.020000,6.136600,3.958500,1.136840,3.660000,6.000000,-0.000000,0.000000
0.020000,6.212200,3.958500,1.212440,3.780000,6.000000,0.000000,0.000000
0.020000,6.290200,3.958500,1.290440,3.900000,6.000000,-0.000000,0.000000
0.020000,6.370600,3.958500,1.370840,4.020000,6.000000,0.000000,0.000000
0.020000,6.453400,3.958500,1.453640,4.140000,6.000000,-0.000000,0.000000
0.020000,6.538600,3.958500,1.538840,4.260000,6.000000,0.000000,0.000000
0.020000,6.626200,3.958500,1.626440,4.380000,6.000000,-0.000000,0.000000
0.020000,6.716200,3.958500,1.716440,4.500000,6.000000,0.000000,0.000000
0.020000,6.808600,3.958500,1.808840,4.620000,6.000000,-0.000000,0.000000
0.020000,6.903400,3.958500,1.903640,4.740000,6.000000,0.000000,0.000000
0.020000,7.000600,3.958500,2.000840,4.860000,6.000000,-0.000000,0.000000
0.020000,7.100200,3.958500,2.100440,4.980000,6.000000,0.000000,0.000000
0.020000,7.202200,3.958500,2.202440,5.100000,6.000000,-0.000000,0.000000
0.020000,7.306600,3.958500,2.306840,5.220000,6.000000,0.000000,0.000000
