dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.995499,6.958503,0.000393,0.039312,1.965602,98.280098,3.139191
0.020000,17.995786,6.958502,0.000680,0.014358,-1.247689,-160.664564,3.139467
0.020000,17.996432,6.958501,0.001326,0.032310,0.897570,107.262972,3.140088
0.020000,17.997582,6.958500,0.002476,0.057452,1.257095,17.976236,3.141191
0.020000,17.991839,6.958496,0.008219,0.287151,11.484978,511.394166,3.142916
0.020000,17.980277,6.958466,0.019780,0.578066,14.545764,153.039297,3.145404
0.020000,17.964550,6.958380,0.035507,0.786362,10.414766,-206.549923,3.148797
0.020000,17.944020,6.958186,0.056038,1.026546,12.009222,79.722811,3.153243
0.020000,17.918062,6.957810,0.081999,1.298034,13.574414,78.259585,3.158889
0.020000,17.886048,6.957145,0.114020,1.601056,15.151069,78.832755,3.165890
0.020000,17.847365,6.956040,0.152719,1.934954,16.694909,77.192016,3.174405
0.020000,17.801723,6.954311,0.198393,2.283702,17.437425,37.125775,3.184527
0.020000,17.749164,6.951744,0.251015,2.631084,17.369100,-3.416206,3.196281
0.020000,17.689729,6.948091,0.310562,2.977376,17.314598,-2.725124,3.209691
0.020000,17.623473,6.943070,0.377008,3.322285,17.245440,-3.457875,3.224781
0.020000,17.550455,6.936365,0.450333,3.666277,17.199597,-2.292173,3.241568
0.020000,17.470737,6.927624,0.530529,4.009781,17.175211,-1.219320,3.260063
0.020000,17.384392,6.916462,0.617593,4.353186,17.170207,-0.250169,3.280267
0.020000,17.291494,6.902458,0.711541,4.697397,17.210593,2.019307,3.302166
0.020000,17.192122,6.885159,0.812406,5.043284,17.294345,4.187599,3.325724
0.020000,17.086358,6.864081,0.920250,5.392191,17.445320,7.548711,3.350888
0.020000,16.974287,6.838707,1.035158,5.745397,17.660320,10.750002,3.377572
0.020000,16.855992,6.808495,1.157251,6.104623,17.961308,15.049400,3.405661
0.020000,16.731556,6.772877,1.286683,6.471625,18.350073,19.438250,3.435005
0.020000,16.601064,6.731267,1.423649,6.848304,18.833951,24.193925,3.465420
0.020000,16.464598,6.683064,1.568378,7.236442,19.406906,28.647746,3.496685
0.020000,16.322242,6.627665,1.721134,7.637788,20.067329,33.021169,3.528546
0.020000,16.174080,6.564468,1.882211,8.053850,20.803086,36.787832,3.560722
0.020000,16.020198,6.492892,2.051925,8.485722,21.593596,39.525481,3.592907
0.020000,15.860682,6.412378,2.230608,8.934156,22.421715,41.405982,3.624785
0.020000,15.695618,6.322415,2.418596,9.399382,23.261296,41.979050,3.656034
0.020000,15.525087,6.222542,2.616220,9.881216,24.091664,41.518387,3.686334
0.020000,15.349158,6.112366,2.823801,10.379036,24.891027,39.968151,3.715378
0.020000,15.167879,5.991571,3.041640,10.891941,25.645230,37.710146,3.742877
0.020000,14.981266,5.859920,3.270017,11.418868,26.346364,35.056712,3.768563
0.020000,14.789292,5.717269,3.509190,11.958617,26.987460,32.054781,3.792188
0.020000,14.591871,5.563560,3.759393,12.510159,27.577109,29.482480,3.813527
0.020000,14.389126,5.399062,4.020477,13.054220,27.203047,-18.703103,3.832346
0.020000,14.181376,5.224405,4.291890,13.570660,25.822009,-69.051925,3.848420
0.020000,13.968842,5.040358,4.573038,14.057405,24.337211,-74.239909,3.861565
0.020000,13.751640,4.847815,4.863296,14.512869,22.773225,-78.199295,3.871626
0.020000,13.529791,4.647777,5.162014,14.935887,21.150893,-81.116576,3.878471
0.020000,13.303218,4.441342,5.468527,15.325666,19.488939,-83.097708,3.881984
0.020000,13.071760,4.229695,5.782163,15.681781,17.805747,-84.159623,3.882056
0.020000,12.835179,4.014100,6.102243,16.004028,16.112374,-84.668638,3.878581
0.020000,12.593178,3.795900,6.428090,16.292325,14.414848,-84.876296,3.871457
0.020000,12.345416,3.576515,6.759021,16.546586,12.713032,-85.090778,3.860582
0.020000,12.091539,3.357443,7.094351,16.766503,10.995864,-85.858431,3.845860
0.020000,11.830878,3.140002,7.433799,16.972401,10.294912,-35.047580,3.827182
0.020000,11.562442,2.925347,7.777506,17.185351,10.647491,17.628925,3.804413
0.020000,11.285243,2.714773,8.125616,17.405483,11.006610,17.955961,3.777413
0.020000,10.998335,2.509740,8.478257,17.632022,11.326952,16.017110,3.746059
0.020000,10.700859,2.311894,8.835516,17.862998,11.548755,11.090136,3.710265
0.020000,10.392122,2.123084,9.197411,18.094745,11.587386,1.931571,3.670016
0.020000,10.071678,1.945341,9.563850,18.321914,11.358437,-11.447474,3.625399
0.020000,9.739424,1.780845,9.934593,18.537192,10.763879,-29.727902,3.576642
0.020000,9.395696,1.631839,10.309229,18.731781,9.729470,-51.720430,3.524142
0.020000,9.041711,1.500636,10.686747,18.875882,7.205036,-126.221695,3.468543
0.020000,8.679693,1.389369,11.065478,18.936560,3.033901,-208.556765,3.410746
0.020000,8.312444,1.299593,11.443541,18.903160,-1.669973,-235.193701,3.351805
0.020000,7.943105,1.232106,11.818995,18.772697,-6.523159,-242.659314,3.292831
0.020000,7.574921,1.186885,12.189946,18.547526,-11.258548,-236.769419,3.234888
0.020000,7.211001,1.163124,12.554640,18.234744,-15.639097,-219.027466,3.178910
0.020000,6.876218,1.158500,12.889456,16.740760,-74.699227,-2953.006504,3.141593
0.020000,6.580570,1.158500,13.185103,14.782388,-97.918558,-1160.966522,3.141593
0.020000,6.291498,1.158500,13.474176,14.453619,-16.438458,4074.004956,3.141593
0.020000,6.009787,1.158500,13.755887,14.085538,-18.404060,-98.280098,3.141593
0.020000,5.736224,1.158500,14.029450,13.678145,-20.369662,-98.280098,3.141593
0.020000,5.471256,1.158500,14.294418,13.248404,-21.487042,-55.869006,3.141593
0.020000,5.214937,1.158500,14.550737,12.815972,-21.621622,-6.728957,3.141593
0.020000,4.967266,1.158500,14.798408,12.383539,-21.621622,0.000000,3.141593
0.020000,4.728244,1.158500,15.037430,11.951107,-21.621622,-0.000000,3.141593
0.020000,4.497870,1.158500,15.267803,11.518674,-21.621622,0.000000,3.141593
0.020000,4.276146,1.158500,15.489528,11.086242,-21.621622,-0.000000,3.141593
0.020000,4.063069,1.158500,15.702604,10.653809,-21.621622,0.000000,3.141593
0.020000,3.858642,1.158500,15.907032,10.221377,-21.621622,-0.000000,3.141593
0.020000,3.662863,1.158500,16.102811,9.788945,-21.621622,0.000000,3.141593
0.020000,3.475733,1.158500,16.289941,9.356512,-21.621622,-0.000000,3.141593
0.020000,3.297251,1.158500,16.468423,8.924080,-21.621622,0.000000,3.141593
0.020000,3.127418,1.158500,16.638256,8.491647,-21.621622,0.000000,3.141593
0.020000,2.966234,1.158500,16.799440,8.059215,-21.621622,0.000000,3.141593
0.020000,2.813698,1.158500,16.951976,7.626782,-21.621622,-0.000000,3.141593
0.020000,2.669811,1.158500,17.095863,7.194350,-21.621622,-0.000000,3.141593
0.020000,2.534573,1.158500,17.231101,6.761918,-21.621622,0.000000,3.141593
0.020000,2.407983,1.158500,17.357691,6.329485,-21.621622,-0.000000,3.141593
0.020000,2.290042,1.158500,17.475632,5.897053,-21.621622,0.000000,3.141593
0.020000,2.180750,1.158500,17.584924,5.464620,-21.621622,-0.000000,3.141593
0.020000,2.080106,1.158500,17.685568,5.032188,-21.621622,0.000000,3.141593
0.020000,1.988111,1.158500,17.777563,4.599755,-21.621622,0.000000,3.141593
0.020000,1.904764,1.158500,17.860909,4.167323,-21.621622,-0.000000,3.141593
0.020000,1.830067,1.158500,17.935607,3.734890,-21.621622,0.000000,3.141593
0.020000,1.764017,1.158500,18.001656,3.302458,-21.621622,0.000000,3.141593
0.020000,1.706617,1.158500,18.059057,2.870026,-21.621622,-0.000000,3.141593
0.020000,1.657865,1.158500,18.107809,2.437593,-21.621622,0.000000,3.141593
0.020000,1.617422,1.158500,18.148251,2.022125,-20.773400,42.411093,3.141593
0.020000,1.584557,1.158500,18.181117,1.643278,-18.942377,91.551142,3.141593
0.020000,1.558482,1.158500,18.207192,1.303742,-16.976775,98.280098,3.141593
0.020000,1.538412,1.158500,18.227262,1.003519,-15.011173,98.280098,3.141593
0.020000,1.523560,1.158500,18.242114,0.742607,-13.045571,98.280098,3.141593
0.020000,1.513139,1.158500,18.252534,0.521008,-11.079969,98.280098,3.141593
0.020000,1.506365,1.158500,18.259309,0.338721,-9.114367,98.280098,3.141593
0.020000,1.502450,1.158500,18.263224,0.195745,-7.148765,98.280098,3.141593
0.020000,1.500608,1.158500,18.265065,0.092082,-5.183163,98.280098,3.141593
0.020000,1.500054,1.158500,18.265620,0.027731,-3.217561,98.280098,3.141593
0.020000,1.500000,1.158500,18.265674,0.002692,-1.251959,98.280098,3.141593
0.020000,1.500000,1.158500,18.265674,0.000000,-0.134579,55.869006,3.141593
