dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.998000,8.000000,0.000393,0.039312,1.965602,98.280098,3.139191
0.020000,17.998000,8.000000,0.001966,0.117936,3.931204,98.280098,3.139467
0.020000,17.998000,8.000000,0.005504,0.235872,5.896806,98.280098,3.140088
0.020000,17.998000,8.000000,0.011794,0.393120,7.862408,98.280098,3.141191
0.020000,17.990460,7.999995,0.021622,0.589681,9.828010,98.280098,3.142916
0.020000,17.976308,7.999959,0.035774,0.825553,11.793612,98.280098,3.145404
0.020000,17.957047,7.999853,0.055037,1.100737,13.759214,98.280098,3.148797
0.020000,17.931887,7.999615,0.080197,1.415233,15.724816,98.280098,3.153243
0.020000,17.900050,7.999155,0.112039,1.769042,17.690418,98.280098,3.158889
0.020000,17.860745,7.998337,0.151351,2.162162,19.656020,98.280098,3.165890
0.020000,17.813197,7.996979,0.198919,2.594595,21.621622,98.280098,3.174405
0.020000,17.757021,7.994851,0.255135,3.027027,21.621622,-0.000000,3.184527
0.020000,17.692235,7.991687,0.320000,3.459459,21.621622,0.000000,3.196281
0.020000,17.618859,7.987177,0.393514,3.891892,21.621622,0.000000,3.209691
0.020000,17.536933,7.980968,0.475676,4.324324,21.621622,-0.000000,3.224781
0.020000,17.446504,7.972664,0.566486,4.756757,21.621622,0.000000,3.241568
0.020000,17.347638,7.961824,0.665946,5.189189,21.621622,-0.000000,3.260063
0.020000,17.240425,7.947963,0.774054,5.621622,21.621622,0.000000,3.280267
0.020000,17.124975,7.930560,0.890811,6.054054,21.621622,0.000000,3.302166
0.020000,17.001431,7.909053,1.016216,6.486486,21.621622,0.000000,3.325724
0.020000,16.869965,7.882853,1.150270,6.918919,21.621622,0.000000,3.350888
0.020000,16.730789,7.851343,1.292973,7.351351,21.621622,0.000000,3.377572
0.020000,16.584150,7.813893,1.444324,7.783784,21.621622,0.000000,3.405661
0.020000,16.430333,7.769866,1.604324,8.216216,21.621622,-0.000000,3.435005
0.020000,16.269661,7.718634,1.772973,8.648649,21.621622,0.000000,3.465420
0.020000,16.102492,7.659589,1.950270,9.081081,21.621622,0.000000,3.496685
0.020000,15.929212,7.592159,2.136216,9.513514,21.621622,0.000000,3.528546
0.020000,15.750226,7.515820,2.330811,9.945946,21.621622,-0.000000,3.560722
0.020000,15.565949,7.430111,2.534054,10.378378,21.621622,0.000000,3.592907
0.020000,15.376792,7.334643,2.745946,10.810811,21.621622,-0.000000,3.624785
0.020000,15.183150,7.229112,2.966486,11.243243,21.621622,0.000000,3.656034
0.020000,14.985386,7.113297,3.195676,11.675676,21.621622,-0.000000,3.686334
0.020000,14.783816,6.987072,3.433514,12.108108,21.621622,0.000000,3.715378
0.020000,14.578700,6.850401,3.680000,12.540541,21.621622,-0.000000,3.742877
0.020000,14.370224,6.703336,3.935135,12.972973,21.621622,0.000000,3.768563
0.020000,14.158497,6.546015,4.198919,13.405405,21.621622,-0.000000,3.792188
0.020000,13.943536,6.378658,4.471351,13.837838,21.621622,0.000000,3.813527
0.020000,13.725568,6.201815,4.752039,14.230958,19.656020,-98.280098,3.832346
0.020000,13.505001,6.016388,5.040197,14.584767,17.690418,-98.280098,3.848420
0.020000,13.282114,5.823383,5.335037,14.899263,15.724816,-98.280098,3.861565
0.020000,13.057070,5.623891,5.635774,15.174447,13.759214,-98.280098,3.871626
0.020000,12.829924,5.419080,5.941622,15.410319,11.793612,-98.280098,3.878471
0.020000,12.600646,5.210182,6.251794,15.606880,9.828010,-98.280098,3.881984
