dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.000501,9.041497,0.000393,0.039312,1.965602,98.280098,3.139191
0.020000,18.000214,9.041498,0.000680,0.014358,-1.247689,-160.664564,3.139467
0.020000,17.999568,9.041499,0.001326,0.032310,0.897570,107.262972,3.140088
0.020000,17.998418,9.041500,0.002476,0.057452,1.257095,17.976236,3.141191
0.020000,17.989082,9.041494,0.011812,0.466838,20.469319,960.611193,3.142916
0.020000,17.972339,9.041451,0.028556,0.837164,18.516287,-97.651583,3.145404
0.020000,17.949543,9.041326,0.051351,1.139772,15.130432,-169.292734,3.148797
0.020000,17.919754,9.041045,0.081142,1.489532,17.488005,117.878638,3.153243
0.020000,17.882037,9.040499,0.118863,1.886063,19.826527,116.926106,3.158889
0.020000,17.835442,9.039530,0.165468,2.330259,22.209777,119.162498,3.165890
0.020000,17.779029,9.037919,0.221904,2.821801,24.577143,118.368277,3.174405
0.020000,17.712318,9.035391,0.288662,3.337912,25.805548,61.420267,3.184527
0.020000,17.635306,9.031630,0.365766,3.855205,25.864629,2.954031,3.196281
0.020000,17.547989,9.026263,0.453248,4.374079,25.943697,3.953425,3.209691
0.020000,17.450392,9.018867,0.551125,4.893844,25.988269,2.228589,3.224781
0.020000,17.342554,9.008964,0.659417,5.414613,26.038430,2.508066,3.241568
0.020000,17.224540,8.996023,0.778139,5.936069,26.072832,1.720094,3.260063
0.020000,17.096458,8.979465,0.907287,6.457398,26.066418,-0.320731,3.280267
0.020000,16.958456,8.958662,1.046848,6.978054,26.032789,-1.681434,3.302166
0.020000,16.810739,8.932947,1.196785,7.496889,25.941776,-4.550663,3.325724
0.020000,16.653572,8.901625,1.357043,8.012899,25.800482,-7.064678,3.350888
0.020000,16.487292,8.863979,1.527532,8.524428,25.576471,-11.200536,3.377572
0.020000,16.312309,8.819290,1.708132,9.029983,25.277717,-14.937700,3.405661
0.020000,16.129110,8.766855,1.898686,9.527744,24.888079,-19.481916,3.435005
0.020000,15.938259,8.706001,2.099005,10.015915,24.408523,-23.977795,3.465420
0.020000,15.740387,8.636115,2.308856,10.492555,23.832008,-28.825731,3.496685
0.020000,15.536182,8.556654,2.527976,10.955987,23.171622,-33.019321,3.528546
0.020000,15.326372,8.467172,2.756071,11.404768,22.439041,-36.629044,3.560722
0.020000,15.111700,8.367330,2.992825,11.837701,21.646669,-39.618584,3.592907
0.020000,14.892902,8.256908,3.237907,12.254127,20.821292,-41.268891,3.624785
0.020000,14.670682,8.135808,3.490983,12.653761,19.981696,-41.979767,3.656034
0.020000,14.445684,8.004052,3.751719,13.036829,19.153391,-41.415266,3.686334
0.020000,14.218475,7.861779,4.019797,13.403907,18.353912,-39.973965,3.715378
0.020000,13.989521,7.709232,4.294916,13.755908,17.600048,-37.693165,3.742877
0.020000,13.759182,7.546752,4.576795,14.093961,16.902622,-34.871341,3.768563
0.020000,13.527701,7.374760,4.865178,14.419138,16.258854,-32.188384,3.792188
0.020000,13.295201,7.193756,5.159829,14.732553,15.670788,-29.403293,3.813527
0.020000,13.062009,7.004568,5.460112,15.014163,14.080473,-79.515758,3.832346
0.020000,12.828625,6.808372,5.765007,15.244779,11.530784,-127.484430,3.848420
0.020000,12.595387,6.606407,6.073536,15.426414,9.081751,-122.451680,3.861565
0.020000,12.362499,6.399967,6.384750,15.560707,6.714679,-118.353601,3.871626
0.020000,12.130057,6.190384,6.697726,15.648831,4.406181,-115.424869,3.878471
0.020000,11.898075,5.979022,7.011557,15.691525,2.134710,-113.573558,3.881984
0.020000,11.666506,5.767275,7.325342,15.689236,-0.114466,-112.458787,3.882056
0.020000,11.435276,5.556553,7.638185,15.642155,-2.354032,-111.978318,3.878581
0.020000,11.204299,5.348287,7.949192,15.550357,-4.589879,-111.792358,3.871457
0.020000,10.973502,5.143913,8.257471,15.413955,-6.820119,-111.511997,3.860582
0.020000,10.742847,4.944868,8.562135,15.233212,-9.037155,-110.851795,3.845860
0.020000,10.512069,4.752340,8.862678,15.027128,-10.304217,-63.353107,3.827182
0.020000,10.280684,4.567293,9.158957,14.813972,-10.657767,-17.677470,3.804413
0.020000,10.048280,4.390723,9.450828,14.593555,-11.020850,-18.154189,3.777413
0.020000,9.814518,4.223643,9.738161,14.366644,-11.345549,-16.234917,3.746059
0.020000,9.579134,4.067064,10.020867,14.135303,-11.567087,-11.076901,3.710265
0.020000,9.341930,3.921969,10.298929,13.903072,-11.611537,-2.222522,3.670016
0.020000,9.102766,3.789277,10.572437,13.675421,-11.382559,11.448929,3.625399
0.020000,8.861534,3.669812,10.841629,13.459613,-10.790368,29.609511,3.576642
0.020000,8.618140,3.564272,11.106920,13.264541,-9.753628,51.837003,3.524142
0.020000,8.372743,3.473292,11.368640,13.086005,-8.926777,41.342580,3.468543
0.020000,8.125792,3.397374,11.626998,12.917860,-8.407257,25.976000,3.410746
