dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000393,0.039312,1.965602,98.280098,6.282206
0.020000,0.000000,0.000000,0.001966,0.117936,3.931204,98.280098,6.282284
0.020000,0.000000,0.000000,0.005504,0.235872,5.896806,98.280098,6.282461
0.020000,0.000000,0.000000,0.011794,0.393120,7.862408,98.280098,6.282775
0.020000,0.001622,0.000000,0.021622,0.589681,9.828010,98.280098,0.000081
0.020000,0.015776,0.000006,0.035774,0.825553,11.793612,98.280098,0.000790
0.020000,0.035039,0.000031,0.055037,1.100737,13.759214,98.280098,0.001757
0.020000,0.060197,0.000091,0.080197,1.415233,15.724816,98.280098,0.003023
0.020000,0.092041,0.000213,0.112039,1.769042,17.690418,98.280098,0.004634
0.020000,0.131353,0.000434,0.151351,2.162162,19.656020,98.280098,0.006633
0.020000,0.178917,0.000808,0.198919,2.594595,21.621622,98.280098,0.009067
0.020000,0.235131,0.001399,0.255135,3.027027,21.621622,-0.000000,0.011967
0.020000,0.299989,0.002284,0.320000,3.459459,21.621622,0.000000,0.015344
0.020000,0.373492,0.003554,0.393514,3.891892,21.621622,0.000000,0.019212
0.020000,0.455635,0.005312,0.475676,4.324324,21.621622,-0.000000,0.023587
0.020000,0.546416,0.007675,0.566486,4.756757,21.621622,0.000000,0.028486
0.020000,0.645826,0.010778,0.665946,5.189189,21.621622,-0.000000,0.033932
0.020000,0.753862,0.014770,0.774054,5.621622,21.621622,0.000000,0.039946
0.020000,0.870509,0.019817,0.890811,6.054054,21.621622,0.000000,0.046557
0.020000,0.995755,0.026105,1.016216,6.486486,21.621622,0.000000,0.053792
0.020000,1.129586,0.033839,1.150270,6.918919,21.621622,0.000000,0.061686
0.020000,1.271978,0.043245,1.292973,7.351351,21.621622,0.000000,0.070274
0.020000,1.422904,0.054573,1.444324,7.783784,21.621622,0.000000,0.079598
0.020000,1.582331,0.068098,1.604324,8.216216,21.621622,-0.000000,0.089702
0.020000,1.750216,0.084120,1.772973,8.648649,21.621622,0.000000,0.100637
0.020000,1.926508,0.102969,1.950270,9.081081,21.621622,0.000000,0.112457
0.020000,2.111141,0.125009,2.136216,9.513514,21.621622,0.000000,0.125223
0.020000,2.304039,0.150636,2.330811,9.945946,21.621622,-0.000000,0.139003
0.020000,2.505107,0.180283,2.534054,10.378378,21.621622,0.000000,0.153868
0.020000,2.714228,0.214425,2.745946,10.810811,21.621622,-0.000000,0.169900
0.020000,2.931261,0.253580,2.966486,11.243243,21.621622,0.000000,0.187186
0.020000,3.156039,0.298314,3.195676,11.675676,21.621622,-0.000000,0.205821
0.020000,3.388356,0.349241,3.433514,12.108108,21.621622,0.000000,0.225907
0.020000,3.627968,0.407030,3.680000,12.540541,21.621622,-0.000000,0.247556
0.020000,3.874579,0.472407,3.935135,12.972973,21.621622,0.000000,0.270883
0.020000,4.127836,0.546155,4.198919,13.405405,21.621622,-0.000000,0.296011
0.020000,4.387320,0.629116,4.471351,13.837838,21.621622,0.000000,0.323066
0.020000,4.652165,0.722056,4.752039,14.230958,19.656020,-98.280098,0.352134
0.020000,4.921062,0.825604,5.040197,14.584767,17.690418,-98.280098,0.383245
0.020000,5.192648,0.940338,5.335037,14.899263,15.724816,-98.280098,0.416408
0.020000,5.465503,1.066762,5.635774,15.174447,13.759214,-98.280098,0.451601
0.020000,5.738162,1.205287,5.941622,15.410319,11.793612,-98.280098,0.488761
0.020000,6.009123,1.356199,6.251794,15.606880,9.828010,-98.280098,0.527785
0.020000,6.276869,1.519638,6.565504,15.764128,7.862408,-98.280098,0.568515
0.020000,6.539891,1.695571,6.881966,15.882064,5.896806,-98.280098,0.610742
0.020000,6.796718,1.883773,7.200393,15.960688,3.931204,-98.280098,0.654205
0.020000,7.045948,2.083814,7.520000,16.000000,1.965602,-98.280098,0.698593
0.020000,7.286285,2.295049,7.840000,16.000000,0.000000,-98.280098,0.743556
0.020000,7.516852,2.516909,8.160000,16.000000,0.000000,0.000000,0.788774
0.020000,7.737151,2.748966,8.480000,16.000000,0.000000,0.000000,0.833972
0.020000,7.946717,2.990650,8.799917,15.991678,-0.416120,-20.805978,0.878862
0.020000,8.144955,3.240998,9.119274,15.944043,-2.381722,-98.280098,0.923116
0.020000,8.331257,3.498693,9.437285,15.857097,-4.347323,-98.280098,0.966391
0.020000,8.505230,3.762319,9.753165,15.730838,-6.312925,-98.280098,1.008382
0.020000,8.666683,4.030394,10.066126,15.565268,-8.278527,-98.280098,1.048838
0.020000,8.815614,4.301405,10.375382,15.360385,-10.244129,-98.280098,1.087556
0.020000,8.952192,4.573835,10.680148,15.116190,-12.209731,-98.280098,1.124390
0.020000,9.076725,4.846188,10.979637,14.832684,-14.175333,-98.280098,1.159241
0.020000,9.189642,5.117001,11.273062,14.509865,-16.140935,-98.280098,1.192057
0.020000,9.291464,5.384867,11.559638,14.147734,-18.106537,-98.280098,1.222819
0.020000,9.382776,5.648427,11.838579,13.746292,-20.072139,-98.280098,1.251539
0.020000,9.464241,5.906466,12.109180,13.313859,-21.621622,-77.474120,1.278261
0.020000,9.536642,6.158208,12.371133,12.881427,-21.621622,0.000000,1.303078
0.020000,9.600811,6.403244,12.624437,12.448994,-21.621622,-0.000000,1.326116
0.020000,9.657519,6.641233,12.869093,12.016562,-21.621622,0.000000,1.347496
0.020000,9.707482,6.871886,13.105100,11.584129,-21.621622,0.000000,1.367333
0.020000,9.751358,7.094966,13.332458,11.151697,-21.621622,-0.000000,1.385736
0.020000,9.789755,7.310278,13.551167,10.719265,-21.621622,0.000000,1.402806
0.020000,9.823227,7.517652,13.761228,10.286832,-21.621622,0.000000,1.418638
0.020000,9.852285,7.716954,13.962641,9.854400,-21.621622,-0.000000,1.433316
0.020000,9.877396,7.908074,14.155404,9.421967,-21.621622,0.000000,1.446920
0.020000,9.898988,8.090917,14.339519,8.989535,-21.621622,-0.000000,1.459523
0.020000,9.917450,8.265409,14.514986,8.557102,-21.621622,0.000000,1.471190
0.020000,9.933139,8.431486,14.681804,8.124670,-21.621622,0.000000,1.481980
0.020000,9.946379,8.589099,14.839973,7.692237,-21.621622,-0.000000,1.491948
0.020000,9.957468,8.738207,14.989493,7.259805,-21.621622,0.000000,1.501143
0.020000,9.966676,8.878777,15.130365,6.827373,-21.621622,0.000000,1.509609
0.020000,9.974246,9.010783,15.262588,6.394940,-21.621622,-0.000000,1.517386
0.020000,9.980402,9.134204,15.386162,5.962508,-21.621622,0.000000,1.524509
0.020000,9.985345,9.249023,15.501088,5.530075,-21.621622,0.000000,1.531012
0.020000,9.989258,9.355228,15.607365,5.097643,-21.621622,0.000000,1.536923
0.020000,9.992302,9.452809,15.704994,4.665210,-21.621622,0.000000,1.542268
0.020000,9.994627,9.541759,15.793974,4.232778,-21.621622,0.000000,1.547070
0.020000,9.996360,9.622072,15.874305,3.800346,-21.621622,-0.000000,1.551349
0.020000,9.997619,9.693742,15.945988,3.367913,-21.621622,0.000000,1.555124
0.020000,9.998503,9.756770,16.009022,2.935481,-21.621622,0.000000,1.558409
0.020000,9.999100,9.811152,16.063407,2.503048,-21.621622,0.000000,1.561218
0.020000,9.999485,9.856971,16.109227,2.078938,-21.205502,20.805978,1.563567
0.020000,9.999721,9.894700,16.146958,1.694140,-19.239900,98.280098,1.565489
0.020000,9.999859,9.925128,16.177386,1.348654,-17.274298,98.280098,1.567032
0.020000,9.999935,9.949039,16.201297,1.042480,-15.308696,98.280098,1.568238
0.020000,9.999973,9.967220,16.219478,0.775618,-13.343094,98.280098,1.569153
0.020000,9.999990,9.980459,16.232715,0.548069,-11.377492,98.280098,1.569818
0.020000,9.999997,9.989535,16.241794,0.359831,-9.411890,98.280098,1.570273
0.020000,9.999999,9.995244,16.247501,0.210905,-7.446288,98.280098,1.570558
0.020000,10.000000,9.998367,16.250623,0.101291,-5.480686,98.280098,1.570715
0.020000,10.000000,9.999690,16.251946,0.030990,-3.515084,98.280098,1.570781
0.020000,10.000000,10.000000,16.252256,0.000000,-1.549482,98.280098,1.570796
0.020000,10.000000,10.000000,16.252256,0.000000,0.000000,77.474120,1.570796
