dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.559316,10.616999,0.001000,0.100000,5.000000,250.000000,6.281869
0.020000,5.558859,10.617000,0.001457,0.022850,-3.857495,-442.874731,6.282326
0.020000,5.559309,10.617000,0.001907,0.022518,-0.016613,192.044080,0.000169
0.020000,5.573485,10.617015,0.016083,0.708764,34.312330,1716.447172,0.001994
0.020000,5.595637,10.617091,0.038235,1.107641,19.943806,-718.426227,0.004841
0.020000,5.627546,10.617311,0.070145,1.595476,24.391764,222.397888,0.008931
0.020000,5.670994,10.617820,0.113596,2.172558,28.854091,223.116361,0.014480
0.020000,5.727772,10.618847,0.170383,2.839335,33.338865,224.238692,0.021693
0.020000,5.798787,10.620706,0.241423,3.552011,35.633800,114.746768,0.030653
0.020000,5.884070,10.623777,0.326760,4.266872,35.743069,5.463463,0.041315
0.020000,5.983649,10.628509,0.426452,4.984574,35.885084,7.100753,0.053623
0.020000,6.097558,10.635418,0.540571,5.705937,36.068141,9.152834,0.067503
0.020000,6.225833,10.645084,0.669209,6.431934,36.299846,11.585256,0.082863
0.020000,6.368508,10.658141,0.812481,7.163566,36.581623,14.088843,0.099590
0.020000,6.525618,10.675272,0.970521,7.902038,36.923571,17.097397,0.117547
0.020000,6.697195,10.697201,1.143494,8.648628,37.329524,20.297653,0.136572
0.020000,6.883269,10.724675,1.331586,9.404589,37.798037,23.425645,0.156477
0.020000,7.083869,10.758459,1.535011,10.171257,38.333386,26.767436,0.177048
0.020000,7.299023,10.799312,1.754009,10.949884,38.931394,29.900422,0.198046
0.020000,7.528757,10.847977,1.988841,11.741612,39.586371,32.748862,0.219209
0.020000,7.772206,10.904936,2.238865,12.501184,37.978591,-80.389019,0.240181
0.020000,8.027611,10.970290,2.502498,13.181673,34.024444,-197.707343,0.260543
0.020000,8.293218,11.043912,2.778120,13.781099,29.971334,-202.655506,0.279917
0.020000,8.567291,11.125435,3.064061,14.297029,25.796506,-208.741414,0.297972
0.020000,8.848110,11.214270,3.358595,14.726729,21.484971,-215.576759,0.314434
0.020000,9.133974,11.309619,3.659941,15.067315,17.029329,-222.782069,0.329085
0.020000,9.423202,11.410502,3.966259,15.315867,12.427577,-230.087614,0.341766
0.020000,9.714125,11.515793,4.275650,15.469540,7.683659,-237.195905,0.352374
0.020000,10.005996,11.624591,4.587139,15.574451,5.245541,-121.905869,0.360884
0.020000,10.298990,11.736307,4.900709,15.678497,5.202296,-2.162292,0.367313
0.020000,10.593304,11.850349,5.216345,15.781812,5.165782,-1.825652,0.371677
0.020000,10.889150,11.966120,5.534037,15.884592,5.138981,-1.340062,0.373985
0.020000,11.186756,12.083020,5.853778,15.987073,5.124064,-0.745845,0.374244
0.020000,11.486359,12.200439,6.175568,16.089515,5.122097,-0.098349,0.372453
0.020000,11.788205,12.317757,6.499412,16.192181,5.133262,0.558236,0.368609
0.020000,12.092545,12.434340,6.825318,16.295314,5.156650,1.169409,0.362703
0.020000,12.399632,12.549537,7.153301,16.399121,5.190370,1.685963,0.354719
0.020000,12.709713,12.662672,7.483376,16.503755,5.231686,2.065822,0.344643
0.020000,13.022250,12.772783,7.814742,16.568326,3.228569,-100.155872,0.332488
0.020000,13.335659,12.878588,8.145530,16.539361,-1.448262,-233.841526,0.318338
0.020000,13.648033,12.978823,8.473591,16.403082,-6.813955,-268.284647,0.302339
0.020000,13.957331,13.072359,8.796723,16.156590,-12.324596,-275.532043,0.284696
0.020000,14.261371,13.158252,9.112663,15.797001,-17.979424,-282.741432,0.265671
0.020000,14.557834,13.235773,9.419094,15.321547,-23.772720,-289.664791,0.245582
0.020000,14.844272,13.304446,9.713648,14.727723,-29.691182,-295.923082,0.224795
0.020000,15.118126,13.364065,9.993917,14.013442,-35.714049,-301.143368,0.203721
0.020000,15.377600,13.414859,10.258317,13.219970,-39.673630,-197.979063,0.182730
0.020000,15.621953,13.457431,10.506350,12.401674,-40.914776,-62.057297,0.162105
0.020000,15.850703,13.492508,10.737774,11.571174,-41.524995,-30.510928,0.142091
0.020000,16.063414,13.520869,10.952367,10.729694,-42.074026,-27.451570,0.122907
0.020000,16.259705,13.543317,11.149938,9.878523,-42.558545,-24.225913,0.104747
0.020000,16.439249,13.560659,11.330317,9.018959,-42.978180,-20.981776,0.087778
0.020000,16.601773,13.573686,11.493363,8.152270,-43.334479,-17.814940,0.072144
0.020000,16.747058,13.583153,11.638955,7.279646,-43.631173,-14.834687,0.057963
0.020000,16.874930,13.589765,11.766999,6.402155,-43.874580,-12.170386,0.045332
0.020000,16.985258,13.594163,11.877414,5.520792,-44.068151,-9.678519,0.034329
0.020000,17.077945,13.596914,11.970142,4.636380,-44.220600,-7.622459,0.025014
0.020000,17.152921,13.598506,12.045135,3.749629,-44.337530,-5.846504,0.017435
0.020000,17.211014,13.599348,12.103234,2.904956,-42.233644,105.194291,0.011536
0.020000,17.254183,13.599751,12.146405,2.158568,-37.319411,245.711670,0.007138
0.020000,17.284639,13.599921,12.176861,1.522805,-31.788158,276.562635,0.004028
0.020000,17.304600,13.599981,12.196822,0.998052,-26.237612,277.527321,0.001986
0.020000,17.316290,13.599997,12.208512,0.584493,-20.677984,277.981408,0.000790
0.020000,17.321935,13.600000,12.214157,0.282252,-15.112061,278.296138,0.000212
0.020000,17.323762,13.600000,12.215984,0.091371,-9.544046,278.400730,0.000024
0.020000,17.324000,13.600000,12.216222,0.011886,-3.974252,278.489727,6.283185
0.020000,17.324000,13.600000,12.216222,0.000000,-0.594282,168.998496,6.283185
