dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.558000,9.617000,0.001000,0.100000,5.000000,250.000000,6.281869
0.020000,5.558000,9.617000,0.005000,0.300000,10.000000,250.000000,6.282326
0.020000,5.559478,9.617000,0.014000,0.600000,15.000000,250.000000,0.000169
0.020000,5.575478,9.617017,0.030000,1.000000,20.000000,250.000000,0.001994
0.020000,5.600478,9.617103,0.055000,1.500000,25.000000,250.000000,0.004841
0.020000,5.636477,9.617351,0.091000,2.100000,30.000000,250.000000,0.008931
0.020000,5.685474,9.617924,0.140000,2.800000,35.000000,250.000000,0.014480
0.020000,5.749463,9.619082,0.204000,3.600000,40.000000,250.000000,0.021693
0.020000,5.829435,9.621176,0.284000,4.400000,40.000000,0.000000,0.030653
0.020000,5.925373,9.624631,0.380000,5.200000,40.000000,-0.000000,0.041315
0.020000,6.037246,9.629946,0.492000,6.000000,40.000000,0.000000,0.053623
0.020000,6.165010,9.637696,0.620000,6.800000,40.000000,0.000000,0.067503
0.020000,6.308601,9.648515,0.764000,7.600000,40.000000,0.000000,0.082863
0.020000,6.467934,9.663096,0.924000,8.400000,40.000000,0.000000,0.099590
0.020000,6.642894,9.682173,1.100000,9.200000,40.000000,-0.000000,0.117547
0.020000,6.833342,9.706512,1.292000,10.000000,40.000000,0.000000,0.136572
0.020000,7.039108,9.736893,1.500000,10.800000,40.000000,0.000000,0.156477
0.020000,7.259994,9.774091,1.724000,11.600000,40.000000,-0.000000,0.177048
0.020000,7.495777,9.818859,1.964000,12.400000,40.000000,0.000000,0.198046
0.020000,7.746215,9.871908,2.220000,13.200000,40.000000,-0.000000,0.219209
0.020000,8.010085,9.933641,2.491000,13.900000,35.000000,-250.000000,0.240181
0.020000,8.285216,10.004040,2.775000,14.500000,30.000000,-250.000000,0.260543
0.020000,8.569494,10.082833,3.070000,15.000000,25.000000,-250.000000,0.279917
0.020000,8.860874,10.169501,3.374000,15.400000,20.000000,-250.000000,0.297972
0.020000,9.157388,10.263298,3.685000,15.700000,15.000000,-250.000000,0.314434
0.020000,9.457151,10.363280,4.001000,15.900000,10.000000,-250.000000,0.329085
0.020000,9.758353,10.468338,4.320000,16.000000,5.000000,-250.000000,0.341766
0.020000,10.059252,10.577237,4.640000,16.000000,0.000000,-250.000000,0.352374
0.020000,10.359097,10.689006,4.960000,16.000000,0.000000,0.000000,0.360884
0.020000,10.658099,10.803012,5.280000,16.000000,0.000000,0.000000,0.367313
0.020000,10.956482,10.918629,5.600000,16.000000,0.000000,0.000000,0.371677
0.020000,11.254478,11.035241,5.920000,16.000000,0.000000,0.000000,0.373985
0.020000,11.552324,11.152235,6.240000,16.000000,0.000000,0.000000,0.374244
0.020000,11.850260,11.269001,6.560000,16.000000,0.000000,0.000000,0.372453
0.020000,12.148523,11.384928,6.880000,16.000000,0.000000,0.000000,0.368609
0.020000,12.447348,11.499399,7.200000,16.000000,0.000000,0.000000,0.362703
0.020000,12.746960,11.611793,7.520000,16.000000,0.000000,0.000000,0.354719
0.020000,13.047573,11.721476,7.840000,16.000000,0.000000,0.000000,0.344643
0.020000,13.348645,11.827550,8.159213,15.921332,-3.933389,-196.669470,0.332488
0.020000,13.648647,11.928831,8.475853,15.742664,-8.933389,-250.000000,0.318338
0.020000,13.945787,12.024180,8.787920,15.463997,-13.933389,-250.000000,0.302339
0.020000,14.238197,12.112612,9.093413,15.085329,-18.933389,-250.000000,0.284696
0.020000,14.523928,12.193335,9.390333,14.606661,-23.933389,-250.000000,0.265671
0.020000,14.800955,12.265777,9.676680,14.027993,-28.933389,-250.000000,0.245582
0.020000,15.067178,12.329606,9.950453,13.349325,-33.933389,-250.000000,0.224795
0.020000,15.320441,12.384745,10.209653,12.570658,-38.933389,-250.000000,0.203721
0.020000,15.559315,12.431508,10.453066,11.770658,-40.000000,-53.330530,0.182730
0.020000,15.783349,12.470541,10.680479,10.970658,-40.000000,0.000000,0.162105
0.020000,15.992316,12.502586,10.891892,10.170658,-40.000000,-0.000000,0.142091
0.020000,16.186012,12.528412,11.087305,9.370658,-40.000000,0.000000,0.122907
0.020000,16.364261,12.548798,11.266718,8.570658,-40.000000,-0.000000,0.104747
0.020000,16.526915,12.564509,11.430132,7.770658,-40.000000,0.000000,0.087778
0.020000,16.673855,12.576287,11.577545,6.970658,-40.000000,0.000000,0.072144
0.020000,16.804989,12.584833,11.708958,6.170658,-40.000000,-0.000000,0.057963
0.020000,16.920247,12.590792,11.824371,5.370658,-40.000000,0.000000,0.045332
0.020000,17.019581,12.594752,11.923784,4.570658,-40.000000,0.000000,0.034329
0.020000,17.102957,12.597227,12.007197,3.770658,-40.000000,0.000000,0.025014
0.020000,17.170355,12.598658,12.074610,2.970658,-40.000000,-0.000000,0.017435
0.020000,17.222549,12.599414,12.126810,2.249325,-36.066611,196.669470,0.011536
0.020000,17.261321,12.599776,12.165583,1.627993,-31.066611,250.000000,0.007138
0.020000,17.288667,12.599929,12.192930,1.106661,-26.066611,250.000000,0.004028
0.020000,17.306586,12.599983,12.210850,0.685329,-21.066611,250.000000,0.001986
0.020000,17.317080,12.599997,12.221343,0.363997,-16.066611,250.000000,0.000790
0.020000,17.322146,12.600000,12.226410,0.142664,-11.066611,250.000000,0.000212
0.020000,17.323787,12.600000,12.228050,0.021332,-6.066611,250.000000,0.000024
0.020000,17.324000,12.600000,12.228263,0.000000,-1.066611,250.000000,6.283185
0.020000,17.324000,12.600000,12.228263,0.000000,0.000000,53.330530,6.283185
