position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 1.571, 0.020, 21.750, 18.000
0.003, 0.160, 8.000, 0.000, 1.571, 0.020, 21.750, 18.003
0.010, 0.320, 8.000, 0.000, 1.571, 0.020, 21.750, 18.010
0.019, 0.480, 8.000, 0.000, 1.571, 0.020, 21.750, 18.019
0.032, 0.640, 8.000, 0.000, 1.571, 0.020, 21.750, 18.032
0.048, 0.800, 8.000, 0.000, 1.571, 0.020, 21.750, 18.048
0.067, 0.960, 8.000, 0.000, 1.570, 0.020, 21.750, 18.067
0.090, 1.120, 8.000, 0.000, 1.570, 0.020, 21.750, 18.090
0.115, 1.280, 8.000, 0.000, 1.570, 0.020, 21.750, 18.115
0.144, 1.440, 8.000, 0.000, 1.570, 0.020, 21.750, 18.144
0.176, 1.600, 8.000, 0.000, 1.570, 0.020, 21.750, 18.176
0.211, 1.760, 8.000, 0.000, 1.569, 0.020, 21.750, 18.211
0.250, 1.920, 8.000, 0.000, 1.569, 0.020, 21.750, 18.250
0.291, 2.080, 8.000, 0.000, 1.568, 0.020, 21.750, 18.291
0.336, 2.240, 8.000, 0.000, 1.567, 0.020, 21.750, 18.336
0.384, 2.400, 8.000, 0.000, 1.566, 0.020, 21.751, 18.384
0.435, 2.560, 8.000, 0.000, 1.565, 0.020, 21.751, 18.435
0.490, 2.720, 8.000, 0.000, 1.563, 0.020, 21.751, 18.490
0.547, 2.880, 8.000, 0.000, 1.561, 0.020, 21.752, 18.547
0.608, 3.040, 8.000, 0.000, 1.559, 0.020, 21.752, 18.608
0.672, 3.200, 8.000, 0.000, 1.557, 0.020, 21.753, 18.672
0.739, 3.360, 8.000, 0.000, 1.554, 0.020, 21.754, 18.739
0.810, 3.520, 8.000, 0.000, 1.550, 0.020, 21.756, 18.810
0.883, 3.680, 8.000, 0.000, 1.547, 0.020, 21.757, 18.883
0.960, 3.840, 8.000, 0.000, 1.542, 0.020, 21.759, 18.960
1.040, 4.000, 8.000, 0.000, 1.537, 0.020, 21.762, 19.040
1.123, 4.160, 8.000, 0.000, 1.531, 0.020, 21.765, 19.123
1.210, 4.320, 8.000, 0.000, 1.525, 0.020, 21.768, 19.209
1.299, 4.480, 8.000, 0.000, 1.518, 0.020, 21.773, 19.299
1.392, 4.640, 8.000, 0.000, 1.510, 0.020, 21.778, 19.391
1.488, 4.800, 8.000, 0.000, 1.501, 0.020, 21.784, 19.487
1.587, 4.960, 8.000, 0.000, 1.491, 0.020, 21.792, 19.586
1.690, 5.120, 8.000, 0.000, 1.480, 0.020, 21.800, 19.688
1.795, 5.280, 8.000, 0.000, 1.468, 0.020, 21.811, 19.793
1.904, 5.440, 8.000, 0.000, 1.454, 0.020, 21.823, 19.901
2.016, 5.600, 8.000, 0.000, 1.439, 0.020, 21.836, 20.013
2.131, 5.760, 8.000, 0.000, 1.423, 0.020, 21.853, 20.127
2.250, 5.920, 8.000, 0.000, 1.405, 0.020, 21.871, 20.244
2.371, 6.080, 8.000, 0.000, 1.385, 0.020, 21.892, 20.363
2.496, 6.240, 8.000, 0.000, 1.364, 0.020, 21.917, 20.486
2.624, 6.400, 8.000, 0.000, 1.340, 0.020, 21.944, 20.611
2.755, 6.560, 8.000, 0.000, 1.315, 0.020, 21.976, 20.738
2.890, 6.720, 8.000, 0.000, 1.287, 0.020, 22.012, 20.868
3.027, 6.880, 8.000, 0.000, 1.258, 0.020, 22.052, 20.999
3.168, 7.040, 8.000, 0.000, 1.226, 0.020, 22.098, 21.132
3.312, 7.200, 8.000, 0.000, 1.193, 0.020, 22.148, 21.267
3.459, 7.360, 8.000, 0.000, 1.157, 0.020, 22.205, 21.403
3.610, 7.520, 8.000, 0.000, 1.120, 0.020, 22.268, 21.539
3.763, 7.667, 0.000, 0.000, 1.081, 0.020, 22.338, 21.676
3.913, 7.507, -8.000, 0.000, 1.042, 0.020, 22.411, 21.807
4.060, 7.347, -8.000, 0.000, 1.004, 0.020, 22.488, 21.933
4.204, 7.187, -8.000, 0.000, 0.967, 0.020, 22.567, 22.052
4.344, 7.027, -8.000, 0.000, 0.931, 0.020, 22.649, 22.167
4.482, 6.867, -8.000, 0.000, 0.897, 0.020, 22.733, 22.275
4.616, 6.707, -8.000, 0.000, 0.865, 0.020, 22.818, 22.379
4.747, 6.547, -8.000, 0.000, 0.834, 0.020, 22.904, 22.477
4.875, 6.387, -8.000, 0.000, 0.805, 0.020, 22.992, 22.571
4.999, 6.227, -8.000, 0.000, 0.778, 0.020, 23.079, 22.659
5.120, 6.067, -8.000, 0.000, 0.753, 0.020, 23.167, 22.743
5.239, 5.907, -8.000, 0.000, 0.730, 0.020, 23.254, 22.823
