position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, -6.283, 0.020, 25.000, 22.910
0.003, 0.160, 7.991, 399.562, -6.283, 0.020, 24.997, 22.910
0.010, 0.319, 7.939, -2.621, -6.283, 0.020, 24.990, 22.910
0.019, 0.475, 7.835, -5.212, -6.283, 0.020, 24.981, 22.910
0.032, 0.629, 7.680, -7.746, -6.283, 0.020, 24.968, 22.910
0.047, 0.778, 7.475, -10.212, -6.282, 0.020, 24.953, 22.910
0.066, 0.923, 7.223, -12.614, -6.282, 0.020, 24.934, 22.910
0.087, 1.061, 6.924, -14.976, -6.281, 0.020, 24.913, 22.910
0.111, 1.193, 6.577, -17.349, -6.279, 0.020, 24.889, 22.910
0.137, 1.316, 6.180, -19.810, -6.277, 0.020, 24.863, 22.910
0.166, 1.431, 5.731, -22.466, -6.274, 0.020, 24.834, 22.909
0.196, 1.536, 5.222, -25.459, -6.270, 0.020, 24.804, 22.909
0.229, 1.628, 4.643, -28.971, -6.264, 0.020, 24.771, 22.908
0.263, 1.708, 3.978, -33.234, -6.257, 0.020, 24.737, 22.908
0.299, 1.772, 3.207, -38.541, -6.249, 0.020, 24.701, 22.907
0.335, 1.818, 2.302, -45.268, -6.238, 0.020, 24.665, 22.905
0.372, 1.843, 1.224, -53.893, -6.225, 0.020, 24.628, 22.903
0.409, 1.841, -0.077, -65.030, -6.209, 0.020, 24.592, 22.901
0.445, 1.808, -1.666, -79.452, -6.189, 0.020, 24.556, 22.898
0.479, 1.735, -3.628, -98.098, -6.165, 0.020, 24.521, 22.894
0.512, 1.614, -6.068, -122.011, -6.136, 0.020, 24.489, 22.890
0.540, 1.432, -9.110, -152.100, -6.101, 0.020, 24.461, 22.885
0.564, 1.174, -12.880, -188.483, -6.058, 0.020, 24.438, 22.881
0.580, 0.825, -17.458, -228.920, -6.005, 0.020, 24.422, 22.876
0.588, 0.369, -22.768, -265.503, -5.942, 0.020, 24.415, 22.874
0.592, 0.197, -8.602, 708.303, -5.865, 0.020, 24.418, 22.876
0.609, 0.857, 32.954, 2077.803, -5.773, 0.020, 24.434, 22.884
0.640, 1.541, 34.231, 63.875, -5.665, 0.020, 24.460, 22.900
0.682, 2.120, 28.947, -264.206, -5.544, 0.020, 24.493, 22.927
0.730, 2.418, 14.901, -702.324, -5.415, 0.020, 24.526, 22.962
0.776, 2.297, -6.060, -1048.056, -5.284, 0.020, 24.554, 22.999
0.811, 1.747, -27.486, -1071.286, -5.161, 0.020, 24.571, 23.029
0.829, 0.895, -42.626, -757.006, -5.051, 0.020, 24.578, 23.045
0.831, 0.087, -40.372, 112.716, -4.956, 0.020, 24.577, 23.044
0.852, 1.061, 48.687, 4452.921, -4.875, 0.020, 24.573, 23.023
0.891, 1.955, 44.704, -199.115, -4.808, 0.020, 24.568, 22.984
0.946, 2.746, 39.544, -258.029, -4.753, 0.020, 24.565, 22.929
1.015, 3.437, 34.555, -249.462, -4.708, 0.020, 24.564, 22.861
1.096, 4.043, 30.274, -214.022, -4.670, 0.020, 24.566, 22.780
1.187, 4.579, 26.825, -172.460, -4.640, 0.020, 24.571, 22.688
1.289, 5.062, 24.158, -133.366, -4.615, 0.020, 24.580, 22.587
1.399, 5.506, 22.173, -99.208, -4.596, 0.020, 24.591, 22.478
1.517, 5.921, 20.778, -69.764, -4.581, 0.020, 24.606, 22.360
1.644, 6.319, 19.903, -43.753, -4.571, 0.020, 24.623, 22.235
1.778, 6.710, 19.514, -19.463, -4.565, 0.020, 24.643, 22.102
1.920, 7.102, 19.616, 5.126, -4.563, 0.020, 24.664, 21.962
2.070, 7.507, 20.267, 32.516, -4.566, 0.020, 24.686, 21.813
2.229, 7.939, 21.589, 66.134, -4.573, 0.020, 24.708, 21.656
2.397, 8.415, 23.813, 111.163, -4.587, 0.020, 24.731, 21.490
2.576, 8.962, 27.334, 176.067, -4.608, 0.020, 24.751, 21.311
2.769, 9.619, 32.843, 275.465, -4.637, 0.020, 24.769, 21.120
2.978, 10.450, 41.554, 435.519, -4.679, 0.020, 24.780, 20.911
3.209, 11.562, 55.618, 703.198, -4.739, 0.020, 24.781, 20.680
3.472, 13.137, 78.738, 1156.045, -4.824, 0.020, 24.764, 20.418
3.775, 15.168, 101.566, 1141.395, -4.947, 0.020, 24.712, 20.119
4.136, 18.043, 143.751, 2109.212, -5.123, 0.020, 24.598, 19.776
4.564, 21.389, 167.287, 1176.818, -5.360, 0.020, 24.383, 19.407
5.030, 23.316, 96.324, -3548.149, -5.634, 0.020, 24.054, 19.077
5.470, 22.010, -65.276, -8079.990, -5.883, 0.020, 23.673, 18.857
5.846, 18.796, -160.679, -4770.145, -6.072, 0.020, 23.314, 18.744
6.162, 15.808, -149.418, 563.056, -6.207, 0.020, 23.001, 18.700
6.436, 13.672, -106.780, 2131.877, -6.302, 0.020, 22.727, 18.692
6.680, 12.236, -71.813, 1748.369, -6.371, 0.020, 22.483, 18.705
6.906, 11.259, -48.861, 1147.591, -6.422, 0.020, 22.259, 18.731
7.117, 10.570, -34.451, 720.490, -6.460, 0.020, 22.051, 18.764
7.318, 10.063, -25.369, 454.087, -6.489, 0.020, 21.853, 18.803
7.512, 9.671, -19.580, 289.469, -6.510, 0.020, 21.664, 18.844
7.699, 9.353, -15.896, 184.195, -6.526, 0.020, 21.482, 18.888
7.880, 9.080, -13.646, 112.517, -6.537, 0.020, 21.306, 18.933
8.057, 8.831, -12.470, 58.764, -6.543, 0.020, 21.135, 18.977
8.225, 8.391, -21.983, -475.608, -6.541, 0.020, 20.973, 19.021
8.225, 0.000, -419.555, -19878.640, -6.541, 0.020, 20.973, 19.021
8.398, 8.672, 433.611, 42658.296, -6.542, 0.020, 20.806, 19.066
8.576, 8.869, 9.828, -21189.118, -6.543, 0.020, 20.634, 19.112
8.757, 9.065, 9.791, -1.869, -6.545, 0.020, 20.459, 19.159
8.942, 9.259, 9.744, -2.360, -6.547, 0.020, 20.281, 19.208
9.131, 9.453, 9.686, -2.862, -6.550, 0.020, 20.099, 19.258
9.324, 9.646, 9.619, -3.371, -6.554, 0.020, 19.913, 19.310
9.521, 9.836, 9.541, -3.887, -6.558, 0.020, 19.723, 19.364
9.721, 10.025, 9.453, -4.408, -6.562, 0.020, 19.531, 19.419
9.925, 10.213, 9.354, -4.931, -6.568, 0.020, 19.335, 19.477
10.133, 10.397, 9.245, -5.451, -6.573, 0.020, 19.136, 19.536
10.345, 10.580, 9.126, -5.964, -6.579, 0.020, 18.933, 19.598
10.560, 10.760, 8.997, -6.464, -6.586, 0.020, 18.728, 19.662
10.779, 10.937, 8.858, -6.947, -6.593, 0.020, 18.519, 19.729
