position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, -6.283, 0.020, 25.000, 25.090
0.003, 0.160, 8.009, 400.438, -6.283, 0.020, 24.997, 25.090
0.010, 0.321, 8.061, 2.621, -6.283, 0.020, 24.990, 25.090
0.019, 0.485, 8.165, 5.212, -6.283, 0.020, 24.981, 25.090
0.032, 0.651, 8.320, 7.746, -6.283, 0.020, 24.968, 25.090
0.049, 0.822, 8.525, 10.212, -6.282, 0.020, 24.951, 25.090
0.069, 0.997, 8.777, 12.614, -6.282, 0.020, 24.931, 25.090
0.092, 1.179, 9.076, 14.976, -6.281, 0.020, 24.908, 25.090
0.120, 1.367, 9.423, 17.349, -6.279, 0.020, 24.880, 25.090
0.151, 1.564, 9.820, 19.809, -6.277, 0.020, 24.849, 25.090
0.186, 1.769, 10.269, 22.465, -6.274, 0.020, 24.814, 25.090
0.226, 1.984, 10.778, 25.458, -6.270, 0.020, 24.774, 25.089
0.270, 2.212, 11.357, 28.969, -6.264, 0.020, 24.730, 25.088
0.319, 2.452, 12.022, 33.230, -6.257, 0.020, 24.681, 25.087
0.373, 2.708, 12.793, 38.536, -6.249, 0.020, 24.627, 25.086
0.433, 2.982, 13.698, 45.259, -6.238, 0.020, 24.567, 25.083
0.499, 3.277, 14.775, 53.880, -6.225, 0.020, 24.502, 25.080
0.571, 3.599, 16.076, 65.011, -6.209, 0.020, 24.430, 25.075
0.650, 3.952, 17.664, 79.423, -6.189, 0.020, 24.351, 25.069
0.737, 4.345, 19.625, 98.053, -6.165, 0.020, 24.265, 25.059
0.832, 4.786, 22.064, 121.940, -6.136, 0.020, 24.170, 25.047
0.938, 5.288, 25.104, 151.990, -6.101, 0.020, 24.065, 25.030
1.055, 5.865, 28.870, 188.313, -6.058, 0.020, 23.950, 25.006
1.186, 6.534, 33.443, 228.660, -6.005, 0.020, 23.824, 24.973
1.332, 7.309, 38.746, 265.126, -5.942, 0.020, 23.685, 24.929
1.496, 8.195, 44.311, 278.265, -5.865, 0.020, 23.532, 24.868
1.680, 9.174, 48.907, 229.802, -5.773, 0.020, 23.368, 24.786
1.883, 10.177, 50.170, 63.156, -5.665, 0.020, 23.196, 24.677
2.105, 11.075, 44.882, -264.425, -5.544, 0.020, 23.024, 24.538
2.338, 11.692, 30.850, -701.574, -5.415, 0.020, 22.862, 24.370
2.576, 11.890, 9.925, -1046.280, -5.284, 0.020, 22.720, 24.179
2.809, 11.661, -11.460, -1069.245, -5.161, 0.020, 22.606, 23.975
3.032, 11.129, -26.574, -755.684, -5.051, 0.020, 22.521, 23.770
3.241, 10.469, -33.016, -322.097, -4.956, 0.020, 22.461, 23.569
3.438, 9.816, -32.650, 18.279, -4.875, 0.020, 22.422, 23.377
3.623, 9.243, -28.663, 199.359, -4.808, 0.020, 22.398, 23.193
3.798, 8.773, -23.513, 257.502, -4.753, 0.020, 22.386, 23.018
3.966, 8.402, -18.532, 249.030, -4.708, 0.020, 22.383, 22.850
4.128, 8.117, -14.258, 213.704, -4.670, 0.020, 22.387, 22.688
4.286, 7.901, -10.814, 172.234, -4.640, 0.020, 22.396, 22.530
4.441, 7.738, -8.150, 133.208, -4.615, 0.020, 22.409, 22.376
4.593, 7.614, -6.168, 99.096, -4.596, 0.020, 22.426, 22.225
4.744, 7.519, -4.774, 69.683, -4.581, 0.020, 22.444, 22.075
4.893, 7.441, -3.900, 43.691, -4.571, 0.020, 22.465, 21.928
5.040, 7.370, -3.512, 19.411, -4.565, 0.020, 22.486, 21.782
5.186, 7.298, -3.615, -5.175, -4.563, 0.020, 22.507, 21.638
5.330, 7.213, -4.267, -32.571, -4.566, 0.020, 22.529, 21.495
5.472, 7.101, -5.591, -66.209, -4.573, 0.020, 22.549, 21.354
5.611, 6.945, -7.817, -111.280, -4.587, 0.020, 22.567, 21.217
5.746, 6.718, -11.342, -176.269, -4.608, 0.020, 22.583, 21.083
5.873, 6.381, -16.859, -275.841, -4.637, 0.020, 22.595, 20.956
5.991, 5.869, -25.584, -436.269, -4.679, 0.020, 22.601, 20.839
6.092, 5.075, -39.680, -704.791, -4.739, 0.020, 22.602, 20.738
6.168, 3.818, -62.873, -1159.635, -4.824, 0.020, 22.597, 20.661
6.204, 1.800, -100.871, -1899.901, -4.947, 0.020, 22.591, 20.626
6.226, 1.087, -35.678, 3259.619, -5.123, 0.020, 22.599, 20.646
6.315, 4.450, 168.166, 10192.235, -5.360, 0.020, 22.645, 20.722
6.443, 6.390, 96.966, -3560.044, -5.634, 0.020, 22.735, 20.813
6.544, 5.075, -65.721, -8134.327, -5.883, 0.020, 22.822, 20.864
6.581, 1.843, -161.590, -4793.464, -6.072, 0.020, 22.857, 20.876
6.604, 1.159, -34.229, 6368.063, -6.207, 0.020, 22.834, 20.874
6.670, 3.300, 107.081, 7065.513, -6.302, 0.020, 22.768, 20.872
6.765, 4.740, 71.964, -1755.869, -6.371, 0.020, 22.674, 20.878
6.880, 5.718, 48.936, -1151.376, -6.422, 0.020, 22.560, 20.891
7.008, 6.408, 34.491, -722.280, -6.460, 0.020, 22.434, 20.911
7.146, 6.916, 25.391, -454.970, -6.489, 0.020, 22.298, 20.937
7.292, 7.308, 19.593, -289.929, -6.510, 0.020, 22.155, 20.969
7.445, 7.626, 15.904, -184.450, -6.526, 0.020, 22.007, 21.004
7.603, 7.899, 13.650, -112.667, -6.537, 0.020, 21.854, 21.043
7.766, 8.148, 12.473, -58.861, -6.543, 0.020, 21.696, 21.085
7.938, 8.588, 21.984, 475.533, -6.541, 0.020, 21.530, 21.129
7.938, 0.000, -429.405, -22569.455, -6.541, 0.020, 21.530, 21.129
8.110, 8.627, 431.350, 43037.773, -6.542, 0.020, 21.363, 21.174
8.285, 8.750, 6.172, -21258.921, -6.543, 0.020, 21.194, 21.219
8.463, 8.875, 6.209, 1.867, -6.545, 0.020, 21.023, 21.265
8.643, 9.000, 6.256, 2.359, -6.547, 0.020, 20.849, 21.313
8.825, 9.126, 6.313, 2.860, -6.550, 0.020, 20.673, 21.361
9.010, 9.254, 6.381, 3.370, -6.554, 0.020, 20.495, 21.411
9.198, 9.383, 6.459, 3.886, -6.558, 0.020, 20.315, 21.462
9.388, 9.514, 6.547, 4.408, -6.562, 0.020, 20.132, 21.515
9.581, 9.647, 6.645, 4.930, -6.568, 0.020, 19.947, 21.569
9.777, 9.782, 6.754, 5.451, -6.573, 0.020, 19.759, 21.625
9.975, 9.919, 6.874, 5.964, -6.579, 0.020, 19.570, 21.683
10.176, 10.059, 7.003, 6.465, -6.586, 0.020, 19.378, 21.743
10.380, 10.202, 7.142, 6.947, -6.593, 0.020, 19.183, 21.806
10.587, 10.348, 7.290, 7.406, -6.600, 0.020, 18.987, 21.870
10.797, 10.497, 7.447, 7.834, -6.607, 0.020, 18.787, 21.937
11.010, 10.649, 7.611, 8.226, -6.614, 0.020, 18.586, 22.006
11.226, 10.805, 7.783, 8.577, -6.622, 0.020, 18.382, 22.078
11.446, 10.964, 7.960, 8.882, -6.629, 0.020, 18.176, 22.152
11.667, 11.098, 6.714, -62.329, -6.636, 0.020, 17.968, 22.229
11.890, 11.110, 0.593, -306.046, -6.643, 0.020, 17.760, 22.307
12.112, 11.125, 0.747, 7.692, -6.650, 0.020, 17.552, 22.387
12.335, 11.143, 0.890, 7.174, -6.657, 0.020, 17.345, 22.469
12.558, 11.163, 1.023, 6.660, -6.663, 0.020, 17.137, 22.552
12.782, 11.186, 1.147, 6.158, -6.669, 0.020, 16.930, 22.636
13.006, 11.211, 1.260, 5.668, -6.674, 0.020, 16.723, 22.722
13.231, 11.239, 1.364, 5.196, -6.679, 0.020, 16.516, 22.809
13.456, 11.268, 1.459, 4.743, -6.683, 0.020, 16.308, 22.897
