position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, -1.57097, 0.05000, 21.70000, 18.00000, true
0.03000, -0.60000, -12.00000, 0.00000, -1.57075, 0.05000, 21.70000, 18.03000, true
0.09000, -1.20000, -12.00000, 0.00000, -1.56906, 0.05000, 21.69996, 18.09000, true
0.18000, -1.80000, -12.00000, 0.00000, -1.56371, 0.05000, 21.69958, 18.18000, true
0.30000, -2.40000, -12.00000, 0.00000, -1.55216, 0.05000, 21.69809, 18.29999, true
0.45000, -3.00000, -12.00000, 0.00000, -1.53243, 0.05000, 21.69387, 18.44993, true
0.63000, -3.60000, -12.00000, 0.00000, -1.50403, 0.05000, 21.68447, 18.62968, true
0.83000, -4.00000, 0.00000, 0.00000, -1.47042, 0.05000, 21.66778, 18.82897, true
1.03000, -4.00000, 0.00000, 0.00000, -1.43835, 0.05000, 21.64450, 19.02760, true
1.23000, -4.00000, 0.00000, 0.00000, -1.41062, 0.05000, 21.61525, 19.22544, true
1.43000, -4.00000, 0.00000, 0.00000, -1.38921, 0.05000, 21.58112, 19.42251, true
1.63000, -4.00000, 0.00000, 0.00000, -1.37551, 0.05000, 21.54352, 19.61894, true
1.83000, -4.00000, 0.00000, 0.00000, -1.37059, 0.05000, 21.50408, 19.81501, true
2.03000, -4.00000, 0.00000, 0.00000, -1.37546, 0.05000, 21.46461, 20.01108, true
2.23000, -4.00000, 0.00000, 0.00000, -1.39126, 0.05000, 21.42716, 20.20754, true
2.43000, -4.00000, 0.00000, 0.00000, -1.41944, 0.05000, 21.39400, 20.40476, true
2.63000, -4.00000, 0.00000, 0.00000, -1.46176, 0.05000, 21.36779, 20.60302, true
2.83000, -4.00000, 0.00000, 0.00000, -1.52027, 0.05000, 21.35157, 20.80233, true
3.03000, -4.00000, 0.00000, 0.00000, -1.59686, 0.05000, 21.34881, 21.00227, true
3.23000, -4.00000, 0.00000, 0.00000, -1.69237, 0.05000, 21.36324, 21.20167, true
3.43000, -4.00000, 0.00000, 0.00000, -1.80511, 0.05000, 21.39837, 21.39845, true
3.63000, -4.00000, 0.00000, 0.00000, -1.92953, 0.05000, 21.45665, 21.58964, true
3.83000, -4.00000, 0.00000, 0.00000, -2.05666, 0.05000, 21.53860, 21.77193, true
4.03000, -4.00000, 0.00000, 0.00000, -2.17689, 0.05000, 21.64255, 21.94265, true
4.23000, -4.00000, 0.00000, 0.00000, -2.28332, 0.05000, 21.76522, 22.10050, true
4.43000, -4.00000, 0.00000, 0.00000, -2.37298, 0.05000, 21.90278, 22.24558, true
4.63000, -4.00000, 0.00000, 0.00000, -2.44593, 0.05000, 22.05167, 22.37905, true
4.83000, -4.00000, 0.00000, 0.00000, -2.50372, 0.05000, 22.20896, 22.50253, true
5.03000, -4.00000, 0.00000, 0.00000, -2.54821, 0.05000, 22.37235, 22.61785, true
5.23000, -4.00000, 0.00000, 0.00000, -2.58105, 0.05000, 22.54007, 22.72679, true
5.40000, -3.40000, 12.00000, 0.00000, -2.60063, 0.05000, 22.68498, 22.81566, true
5.54000, -2.80000, 12.00000, 0.00000, -2.61130, 0.05000, 22.80540, 22.88707, true
5.65000, -2.20000, 12.00000, 0.00000, -2.61621, 0.05000, 22.90045, 22.94244, true
5.73000, -1.60000, 12.00000, 0.00000, -2.61783, 0.05000, 22.96970, 22.98250, true
5.78000, -1.00000, 12.00000, 0.00000, -2.61800, 0.05000, 22.98700, 22.99250, true
5.80000, -0.40000, 12.00000, 0.00000, -2.61801, 0.05000, 22.96968, 22.98250, true
5.79000, 0.00000, 0.00000, 0.00000, -2.61800, 0.05000, 22.97834, 22.98750, true
5.79000, 0.00000, 0.00000, 0.00000, -2.61800, 0.05000, 22.97834, 22.98750, true
5.79000, 0.00000, 0.00000, 0.00000, -2.61800, 0.05000, 22.97834, 22.98750, false
