position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, -1.57097, 0.05000, 21.70000, 18.00000, true
0.03000, -0.60000, -12.00000, 0.00000, -1.57075, 0.05000, 21.70000, 18.03000, true
0.09000, -1.20000, -12.00000, 0.00000, -1.56906, 0.05000, 21.69996, 18.09000, true
0.18000, -1.80000, -12.00000, 0.00000, -1.56371, 0.05000, 21.69958, 18.18000, true
0.30000, -2.40000, -12.00000, 0.00000, -1.55216, 0.05000, 21.69809, 18.29999, true
0.45000, -3.00000, -12.00000, 0.00000, -1.53243, 0.05000, 21.69387, 18.44993, true
0.63000, -3.60000, -12.00000, 0.00000, -1.50403, 0.05000, 21.68447, 18.62968, true
0.84000, -4.20000, -12.00000, 0.00000, -1.46876, 0.05000, 21.66677, 18.83892, true
1.08000, -4.80000, -12.00000, 0.00000, -1.43092, 0.05000, 21.63771, 19.07714, true
1.35000, -5.40000, -12.00000, 0.00000, -1.39692, 0.05000, 21.59527, 19.34377, true
1.65000, -6.00000, -12.00000, 0.00000, -1.37461, 0.05000, 21.53963, 19.63856, true
1.98000, -6.60000, -12.00000, 0.00000, -1.37326, 0.05000, 21.47438, 19.96204, true
2.34000, -7.20000, -12.00000, 0.00000, -1.40512, 0.05000, 21.40823, 20.31590, true
2.73000, -7.80000, -12.00000, 0.00000, -1.48886, 0.05000, 21.35822, 20.70256, true
3.14587, -8.31745, 0.00000, 0.00000, -1.64992, 0.05000, 21.35483, 21.11797, true
3.53174, -7.71745, 12.00000, 0.00000, -1.86745, 0.05000, 21.42504, 21.49662, true
3.88762, -7.11745, 12.00000, 0.00000, -2.09238, 0.05000, 21.56642, 21.82238, true
4.21349, -6.51745, 12.00000, 0.00000, -2.27515, 0.05000, 21.75447, 22.08796, true
4.50936, -5.91745, 12.00000, 0.00000, -2.40386, 0.05000, 21.96068, 22.29985, true
4.77523, -5.31745, 12.00000, 0.00000, -2.48929, 0.05000, 22.16520, 22.46961, true
5.01111, -4.71745, 12.00000, 0.00000, -2.54453, 0.05000, 22.35671, 22.60726, true
5.21698, -4.11745, 12.00000, 0.00000, -2.57924, 0.05000, 22.52905, 22.71985, true
5.39285, -3.51745, 12.00000, 0.00000, -2.59996, 0.05000, 22.67886, 22.81198, true
5.53872, -2.91745, 12.00000, 0.00000, -2.61122, 0.05000, 22.80430, 22.88642, true
5.65460, -2.31745, 12.00000, 0.00000, -2.61635, 0.05000, 22.90442, 22.94475, true
5.74047, -1.71745, 12.00000, 0.00000, -2.61791, 0.05000, 22.97876, 22.98774, true
5.79634, -1.11745, 12.00000, 0.00000, -2.61801, 0.05000, 22.97285, 22.98433, true
5.82221, -0.51745, 12.00000, 0.00000, -2.61804, 0.05000, 22.95045, 22.97139, true
5.81808, 0.00000, 0.00000, 0.00000, -2.61803, 0.05000, 22.95402, 22.97345, true
5.81808, 0.00000, 0.00000, 0.00000, -2.61803, 0.05000, 22.95402, 22.97345, true
5.81808, 0.00000, 0.00000, 0.00000, -2.61803, 0.05000, 22.95402, 22.97345, false
5.84808, 0.60000, 12.00000, 0.00000, -2.61809, 0.05000, 22.92804, 22.95846, false
5.90808, 1.20000, 12.00000, 0.00000, -2.61829, 0.05000, 22.87607, 22.92847, false
5.99808, 1.80000, 12.00000, 0.00000, -2.61877, 0.05000, 22.79811, 22.88351, false
6.11808, 2.40000, 12.00000, 0.00000, -2.61976, 0.05000, 22.69411, 22.82364, false
6.26808, 3.00000, 12.00000, 0.00000, -2.62155, 0.05000, 22.56401, 22.74897, false
6.44808, 3.60000, 12.00000, 0.00000, -2.62449, 0.05000, 22.40768, 22.65975, false
6.65808, 4.20000, 12.00000, 0.00000, -2.62897, 0.05000, 22.22492, 22.55632, false
6.89808, 4.80000, 12.00000, 0.00000, -2.63548, 0.05000, 22.01540, 22.43927, false
