position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, -1.57097, 0.05000, 22.79020, 17.99981, true
-0.03024, -0.60477, -12.09536, -241.90712, -1.57075, 0.05000, 22.79020, 18.03005, true
-0.09208, -1.23682, -12.64097, -10.91232, -1.56906, 0.05000, 22.79016, 18.09189, true
-0.18792, -1.91674, -13.59847, -19.14991, -1.56371, 0.05000, 22.78976, 18.18773, true
-0.32050, -2.65177, -14.70066, -22.04376, -1.55216, 0.05000, 22.78810, 18.32030, true
-0.49201, -3.43018, -15.56814, -17.34979, -1.53243, 0.05000, 22.78327, 18.49174, true
-0.70297, -4.21910, -15.77845, -4.20615, -1.50403, 0.05000, 22.77224, 18.70241, true
-0.95141, -4.96885, -14.99496, 15.66993, -1.46876, 0.05000, 22.75130, 18.94997, true
-1.23265, -5.62468, -13.11669, 37.56539, -1.43092, 0.05000, 22.71726, 19.22914, true
-1.53970, -6.14101, -10.32646, 55.80461, -1.39692, 0.05000, 22.66904, 19.53238, true
-1.86401, -6.48635, -6.90686, 68.39189, -1.37461, 0.05000, 22.60892, 19.85107, true
-2.19548, -6.62931, -2.85925, 80.95214, -1.37326, 0.05000, 22.54338, 20.17599, true
-2.52073, -6.50501, 2.48599, 106.90494, -1.40512, 0.05000, 22.48350, 20.49569, true
-2.81935, -5.97247, 10.65095, 163.29913, -1.48886, 0.05000, 22.44476, 20.79179, true
-3.05939, -4.80065, 23.43636, 255.70820, -1.64992, 0.05000, 22.44162, 21.03180, true
-3.20781, -2.96850, 36.64302, 264.13329, -1.86745, 0.05000, 22.46762, 21.17793, true
-3.31823, -2.20838, 15.20236, -428.81321, -2.09238, 0.05000, 22.51166, 21.27919, true
-3.44467, -2.52880, -6.40836, -432.21445, -2.27515, 0.05000, 22.58524, 21.38201, true
-3.60011, -3.10891, -11.60228, -103.87847, -2.40386, 0.05000, 22.69396, 21.49310, true
-3.77280, -3.45362, -6.89423, 94.16098, -2.48929, 0.05000, 22.82697, 21.60324, true
-3.94843, -3.51264, -1.18040, 114.27659, -2.54453, 0.05000, 22.96963, 21.70567, true
-4.11645, -3.36051, 3.04256, 84.45927, -2.57924, 0.05000, 23.11032, 21.79754, true
-4.26973, -3.06559, 5.89840, 57.11685, -2.59996, 0.05000, 23.24089, 21.87782, true
-4.40333, -2.67185, 7.87483, 39.52853, -2.61122, 0.05000, 23.35578, 21.94599, true
-4.51360, -2.20557, 9.32565, 29.01636, -2.61635, 0.05000, 23.45107, 22.00150, true
-4.59778, -1.68345, 10.44243, 22.33564, -2.61791, 0.05000, 23.52394, 22.04364, true
-4.60470, -0.13855, 30.89790, 409.10942, -2.61801, 0.05000, 23.51794, 22.04018, true
-4.63061, -0.51817, -7.59228, -769.80368, -2.61804, 0.05000, 23.49550, 22.02722, true
-4.63061, 0.00000, 10.36337, 359.11298, -2.61803, 0.05000, 23.49908, 22.02929, true
-4.63061, 0.00000, 0.00000, -207.26731, -2.61803, 0.05000, 23.49908, 22.02929, true
-4.63061, 0.00000, 0.00000, 0.00000, -2.61803, 0.05000, 23.49908, 22.02929, false
-4.60055, 0.60128, 12.02568, 240.51360, -2.61809, 0.05000, 23.47304, 22.01426, false
-4.54034, 1.20424, 12.05921, 0.67068, -2.61829, 0.05000, 23.42089, 21.98416, false
-4.44981, 1.81051, 12.12530, 1.32177, -2.61877, 0.05000, 23.34247, 21.93894, false
-4.32873, 2.42162, 12.22220, 1.93786, -2.61976, 0.05000, 23.23754, 21.87853, false
-4.17678, 3.03901, 12.34775, 2.51113, -2.62155, 0.05000, 23.10575, 21.80290, false
-3.99358, 3.66400, 12.49992, 3.04347, -2.62449, 0.05000, 22.94664, 21.71209, false
-3.77869, 4.29787, 12.67727, 3.54697, -2.62897, 0.05000, 22.75962, 21.60625, false
-3.53159, 4.94184, 12.87941, 4.04272, -2.63548, 0.05000, 22.54390, 21.48574, false
-3.25173, 5.59720, 13.10731, 4.55800, -2.64453, 0.05000, 22.29854, 21.35114, false
-2.93847, 6.26537, 13.36339, 5.12160, -2.65670, 0.05000, 22.02230, 21.20339, false
-2.59107, 6.94793, 13.65121, 5.75645, -2.67266, 0.05000, 21.71370, 21.04386, false
-2.20874, 7.64666, 13.97459, 6.46747, -2.69315, 0.05000, 21.37093, 20.87448, false
-1.79056, 8.36344, 14.33563, 7.22080, -2.71900, 0.05000, 20.99185, 20.69795, false
-1.33556, 9.10000, 14.73107, 7.90891, -2.75112, 0.05000, 20.57399, 20.51789, false
-0.84270, 9.85729, 15.14586, 8.29582, -2.79047, 0.05000, 20.11469, 20.33912, false
-0.31098, 10.63445, 15.54310, 7.94466, -2.83796, 0.05000, 19.61128, 20.16793, false
0.24911, 11.20181, 11.34734, -83.91506, -2.89314, 0.05000, 19.07246, 20.01505, false
0.81479, 11.31353, 2.23429, -182.26108, -2.95347, 0.05000, 18.52025, 19.89236, false
1.38483, 11.40083, 1.74608, -9.76413, -3.01780, 0.05000, 17.95715, 19.80368, false
1.95757, 11.45475, 1.07832, -13.35530, -3.08462, 0.05000, 17.38675, 19.75192, false
2.53100, 11.46865, 0.27803, -16.00580, 3.13111, 0.05000, 16.81348, 19.73861, false
3.10301, 11.44024, -0.56812, -16.92302, 3.06496, 0.05000, 16.24201, 19.76361, false
3.67163, 11.37235, -1.35788, -15.79505, 3.00193, 0.05000, 15.67673, 19.82515, false
4.23523, 11.27206, -2.00584, -12.95937, 2.94352, 0.05000, 15.12118, 19.92009, false
4.79267, 11.14872, -2.46677, -9.21854, 2.89078, 0.05000, 14.57778, 20.04440, false
5.34326, 11.01175, -2.73926, -5.44983, 2.84433, 0.05000, 14.04782, 20.19366, false
