position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, -1.57097, 0.05000, 20.60980, 18.00019, true
-0.02976, -0.59523, -11.90464, -238.09288, -1.57075, 0.05000, 20.60980, 18.02995, true
-0.08792, -1.16318, -11.35902, 10.91243, -1.56906, 0.05000, 20.60976, 18.08811, true
-0.17208, -1.68326, -10.40145, 19.15141, -1.56371, 0.05000, 20.60941, 18.17227, true
-0.27949, -2.14820, -9.29889, 22.05114, -1.55216, 0.05000, 20.60808, 18.27967, true
-0.40798, -2.56972, -8.43044, 17.36918, -1.53243, 0.05000, 20.60447, 18.40811, true
-0.55701, -2.98065, -8.21864, 4.23584, -1.50403, 0.05000, 20.59670, 18.55694, true
-0.72855, -3.43071, -9.00116, -15.65031, -1.46876, 0.05000, 20.58224, 18.72787, true
-0.92729, -3.97474, -10.88056, -37.58796, -1.43092, 0.05000, 20.55816, 18.92514, true
-1.16021, -4.65847, -13.67458, -55.88056, -1.39692, 0.05000, 20.52151, 19.15516, true
-1.43588, -5.51340, -17.09854, -68.47914, -1.37461, 0.05000, 20.47035, 19.42604, true
-1.76441, -6.57068, -21.14565, -80.94225, -1.37326, 0.05000, 20.40538, 19.74809, true
-2.15913, -7.89437, -26.47379, -106.56273, -1.40512, 0.05000, 20.33296, 20.13610, true
-2.64028, -9.62298, -34.57219, -161.96806, -1.48886, 0.05000, 20.27168, 20.61334, true
-3.23110, -11.81631, -43.86653, -185.88676, -1.64992, 0.05000, 20.26805, 21.20414, true
-3.85289, -12.43585, -12.39095, 629.51158, -1.86745, 0.05000, 20.38246, 21.81531, true
-4.45270, -11.99628, 8.79153, 423.64967, -2.09238, 0.05000, 20.62118, 22.36558, true
-4.97710, -10.48792, 30.16708, 427.51098, -2.27515, 0.05000, 20.92371, 22.79391, true
-5.41299, -8.71782, 35.40199, 104.69813, -2.40386, 0.05000, 21.22740, 23.10659, true
-5.77189, -7.17804, 30.79565, -92.12664, -2.48929, 0.05000, 21.50343, 23.33598, true
-6.06794, -5.92105, 25.13978, -113.11750, -2.54453, 0.05000, 21.74378, 23.50884, true
-6.31164, -4.87396, 20.94174, -83.96085, -2.57924, 0.05000, 21.94777, 23.64216, true
-6.51010, -3.96917, 18.09585, -56.91774, -2.59996, 0.05000, 22.11682, 23.74613, true
-6.66825, -3.16301, 16.12327, -39.45161, -2.61122, 0.05000, 22.25282, 23.82685, true
-6.78972, -2.42932, 14.67384, -28.98865, -2.61635, 0.05000, 22.35777, 23.88799, true
-6.87729, -1.75144, 13.55748, -22.32722, -2.61791, 0.05000, 22.43358, 23.93183, true
-6.88401, -0.13434, 32.34206, 375.69174, -2.61801, 0.05000, 22.42777, 23.92848, true
-6.90984, -0.51672, -7.64769, -799.79498, -2.61804, 0.05000, 22.40539, 23.91556, true
-6.90984, 0.00000, 10.33449, 359.64348, -2.61803, 0.05000, 22.40896, 23.91762, true
-6.90984, 0.00000, 0.00000, -206.68975, -2.61803, 0.05000, 22.40896, 23.91762, true
-6.90984, 0.00000, 0.00000, 0.00000, -2.61803, 0.05000, 22.40896, 23.91762, false
-6.87991, 0.59872, 11.97432, 239.48640, -2.61809, 0.05000, 22.38303, 23.90265, false
-6.82012, 1.19576, 11.94079, -0.67068, -2.61829, 0.05000, 22.33125, 23.87277, false
-6.73064, 1.78949, 11.87470, -1.32178, -2.61877, 0.05000, 22.25374, 23.82807, false
-6.61172, 2.37838, 11.77780, -1.93791, -2.61976, 0.05000, 22.15068, 23.76874, false
-6.46368, 2.96099, 11.65224, -2.51130, -2.62155, 0.05000, 22.02227, 23.69505, false
-6.28688, 3.53599, 11.50004, -3.04394, -2.62449, 0.05000, 21.86872, 23.60741, false
