position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 9.70000, true
0.01500, -0.30000, -6.00000, 0.00000, 3.14159, 0.05000, 5.51500, 9.70000, true
0.04500, -0.60000, -6.00000, 0.00000, 3.14159, 0.05000, 5.54500, 9.70000, true
0.09000, -0.90000, -6.00000, 0.00000, 3.14159, 0.05000, 5.59000, 9.70000, true
0.15000, -1.20000, -6.00000, 0.00000, 3.14159, 0.05000, 5.65000, 9.70000, true
0.22500, -1.50000, -6.00000, 0.00000, 3.14159, 0.05000, 5.72500, 9.70000, true
0.31500, -1.80000, -6.00000, 0.00000, 3.14159, 0.05000, 5.81500, 9.70000, true
0.42000, -2.10000, -6.00000, 0.00000, 3.14159, 0.05000, 5.92000, 9.70000, true
0.54000, -2.40000, -6.00000, 0.00000, 3.14159, 0.05000, 6.04000, 9.70000, true
0.67500, -2.70000, -6.00000, 0.00000, 3.14159, 0.05000, 6.17500, 9.70000, true
0.82500, -3.00000, -6.00000, 0.00000, 3.14159, 0.05000, 6.32500, 9.70000, true
0.99000, -3.30000, -6.00000, 0.00000, 3.14159, 0.05000, 6.49000, 9.70000, true
1.17000, -3.60000, -6.00000, 0.00000, 3.14159, 0.05000, 6.67000, 9.70000, true
1.36500, -3.90000, -6.00000, 0.00000, 3.14159, 0.05000, 6.86500, 9.70000, true
1.57500, -4.20000, -6.00000, 0.00000, 3.14159, 0.05000, 7.07500, 9.70000, true
1.80000, -4.50000, -6.00000, 0.00000, 3.14159, 0.05000, 7.30000, 9.70000, true
2.04000, -4.80000, -6.00000, 0.00000, 3.14159, 0.05000, 7.54000, 9.70000, true
2.29500, -5.10000, -6.00000, 0.00000, 3.14159, 0.05000, 7.79500, 9.70000, true
2.56500, -5.40000, -6.00000, 0.00000, 3.14159, 0.05000, 8.06500, 9.70000, true
2.85000, -5.70000, -6.00000, 0.00000, 3.14159, 0.05000, 8.35000, 9.70000, true
3.13723, -5.74456, 0.00000, 0.00000, 3.14159, 0.05000, 8.63723, 9.70000, true
3.42446, -5.74456, 0.00000, 0.00000, 3.14159, 0.05000, 8.92446, 9.70000, true
3.71168, -5.74456, 0.00000, 0.00000, 3.14159, 0.05000, 9.21168, 9.70000, true
3.99891, -5.74456, 0.00000, 0.00000, 3.14159, 0.05000, 9.49891, 9.70000, true
4.28614, -5.74456, 0.00000, 0.00000, 3.14159, 0.05000, 9.78614, 9.70000, true
4.57337, -5.74456, 0.00000, 0.00000, 3.14136, 0.05000, 10.07337, 9.69999, true
4.57337, -5.74456, 0.00000, 0.00000, 3.14136, 0.05000, 10.07337, 9.69999, true
4.87560, -6.04456, -6.00000, 0.00000, 3.13584, 0.05000, 10.37560, 9.69927, true
5.19283, -6.34456, -6.00000, 0.00000, 3.12296, 0.05000, 10.69280, 9.69558, true
5.52505, -6.64456, -6.00000, 0.00000, 3.10283, 0.05000, 11.02489, 9.68622, true
5.87228, -6.94456, -6.00000, 0.00000, 3.07578, 0.05000, 11.37164, 9.66823, true
6.23451, -7.24456, -6.00000, 0.00000, 3.04240, 0.05000, 11.73263, 9.63852, true
6.61174, -7.54456, -6.00000, 0.00000, 3.00364, 0.05000, 12.10720, 9.59400, true
7.00397, -7.84456, -6.00000, 0.00000, 2.96089, 0.05000, 12.49444, 9.53183, true
7.41119, -8.14456, -6.00000, 0.00000, 2.91593, 0.05000, 12.89325, 9.44964, true
7.83342, -8.44456, -6.00000, 0.00000, 2.87086, 0.05000, 13.30249, 9.34584, true
8.25842, -8.50000, 0.00000, 0.00000, 2.82909, 0.05000, 13.70947, 9.22351, true
8.68342, -8.50000, 0.00000, 0.00000, 2.79251, 0.05000, 14.11134, 9.08528, true
9.10842, -8.50000, 0.00000, 0.00000, 2.76232, 0.05000, 14.50836, 8.93369, true
9.53342, -8.50000, 0.00000, 0.00000, 2.73928, 0.05000, 14.90121, 8.77155, true
9.95842, -8.50000, 0.00000, 0.00000, 2.72387, 0.05000, 15.29087, 8.60189, true
10.38342, -8.50000, 0.00000, 0.00000, 2.71634, 0.05000, 15.67856, 8.42775, true
10.80842, -8.50000, 0.00000, 0.00000, 2.71679, 0.05000, 16.06563, 8.25225, true
11.21842, -8.20000, 6.00000, 0.00000, 2.72480, 0.05000, 16.43976, 8.08454, true
11.61342, -7.90000, 6.00000, 0.00000, 2.73944, 0.05000, 16.80201, 7.92707, true
11.99342, -7.60000, 6.00000, 0.00000, 2.75974, 0.05000, 17.15311, 7.78173, true
12.35842, -7.30000, 6.00000, 0.00000, 2.78469, 0.05000, 17.49342, 7.64981, true
12.70842, -7.00000, 6.00000, 0.00000, 2.81319, 0.05000, 17.82302, 7.53210, true
13.04342, -6.70000, 6.00000, 0.00000, 2.84414, 0.05000, 18.14171, 7.42889, true
13.36342, -6.40000, 6.00000, 0.00000, 2.87641, 0.05000, 18.44911, 7.34000, true
13.66842, -6.10000, 6.00000, 0.00000, 2.90897, 0.05000, 18.74468, 7.26483, true
13.95842, -5.80000, 6.00000, 0.00000, 2.94086, 0.05000, 19.02789, 7.20248, true
14.23342, -5.50000, 6.00000, 0.00000, 2.97126, 0.05000, 19.29816, 7.15175, true
14.49342, -5.20000, 6.00000, 0.00000, 2.99956, 0.05000, 19.55499, 7.11133, true
14.73842, -4.90000, 6.00000, 0.00000, 3.02529, 0.05000, 19.79794, 7.07979, true
14.96842, -4.60000, 6.00000, 0.00000, 3.04819, 0.05000, 20.02668, 7.05575, true
15.18342, -4.30000, 6.00000, 0.00000, 3.06813, 0.05000, 20.24093, 7.03786, true
15.38342, -4.00000, 6.00000, 0.00000, 3.08513, 0.05000, 20.44051, 7.02491, true
15.56842, -3.70000, 6.00000, 0.00000, 3.09930, 0.05000, 20.62528, 7.01580, true
15.73842, -3.40000, 6.00000, 0.00000, 3.11082, 0.05000, 20.79517, 7.00961, true
15.89342, -3.10000, 6.00000, 0.00000, 3.11995, 0.05000, 20.95011, 7.00557, true
16.03342, -2.80000, 6.00000, 0.00000, 3.12697, 0.05000, 21.09009, 7.00305, true
16.15842, -2.50000, 6.00000, 0.00000, 3.13217, 0.05000, 21.21508, 7.00155, true
16.26842, -2.20000, 6.00000, 0.00000, 3.13586, 0.05000, 21.32508, 7.00073, true
16.36342, -1.90000, 6.00000, 0.00000, 3.13835, 0.05000, 21.42008, 7.00031, true
16.44342, -1.60000, 6.00000, 0.00000, 3.13992, 0.05000, 21.50008, 7.00011, true
16.50842, -1.30000, 6.00000, 0.00000, 3.14082, 0.05000, 21.56508, 7.00003, true
16.55842, -1.00000, 6.00000, 0.00000, 3.14128, 0.05000, 21.61508, 7.00001, true
16.59342, -0.70000, 6.00000, 0.00000, 3.14149, 0.05000, 21.65008, 7.00000, true
16.61342, -0.40000, 6.00000, 0.00000, 3.14155, 0.05000, 21.67008, 7.00000, true
16.61842, -0.10000, 6.00000, 0.00000, 3.14157, 0.05000, 21.67508, 7.00000, true
16.60842, 0.00000, 0.00000, 0.00000, 3.14154, 0.05000, 21.66508, 7.00000, true
16.60842, 0.00000, 0.00000, 0.00000, 3.14154, 0.05000, 21.66508, 7.00000, true
16.60842, 0.00000, 0.00000, 0.00000, 3.14154, 0.05000, 21.66508, 7.00000, false
16.62342, 0.30000, 6.00000, 0.00000, 3.14158, 0.05000, 21.68008, 7.00000, false
16.65342, 0.60000, 6.00000, 0.00000, -3.14159, 0.05000, 21.68992, 7.00000, false
16.69842, 0.90000, 6.00000, 0.00000, -3.14152, 0.05000, 21.64492, 7.00000, false
16.75842, 1.20000, 6.00000, 0.00000, -3.14130, 0.05000, 21.58492, 6.99999, false
16.83342, 1.50000, 6.00000, 0.00000, -3.14080, 0.05000, 21.50992, 6.99995, false
16.92342, 1.80000, 6.00000, 0.00000, -3.13988, 0.05000, 21.41992, 6.99984, false
17.02842, 2.10000, 6.00000, 0.00000, -3.13839, 0.05000, 21.31492, 6.99959, false
17.14842, 2.40000, 6.00000, 0.00000, -3.13616, 0.05000, 21.19492, 6.99907, false
17.28342, 2.70000, 6.00000, 0.00000, -3.13298, 0.05000, 21.05993, 6.99813, false
17.43342, 3.00000, 6.00000, 0.00000, -3.12867, 0.05000, 20.90994, 6.99653, false
17.59842, 3.30000, 6.00000, 0.00000, -3.12301, 0.05000, 20.74496, 6.99394, false
17.77842, 3.60000, 6.00000, 0.00000, -3.11580, 0.05000, 20.56500, 6.98996, false
17.97342, 3.90000, 6.00000, 0.00000, -3.10684, 0.05000, 20.37009, 6.98408, false
18.18342, 4.20000, 6.00000, 0.00000, -3.09593, 0.05000, 20.16026, 6.97566, false
18.40842, 4.50000, 6.00000, 0.00000, -3.08291, 0.05000, 19.93557, 6.96395, false
18.64842, 4.80000, 6.00000, 0.00000, -3.06761, 0.05000, 19.69609, 6.94807, false
18.90342, 5.10000, 6.00000, 0.00000, -3.04992, 0.05000, 19.44197, 6.92700, false
19.17342, 5.40000, 6.00000, 0.00000, -3.02978, 0.05000, 19.17337, 6.89961, false
19.45842, 5.70000, 6.00000, 0.00000, -3.00717, 0.05000, 18.89053, 6.86464, false
19.75842, 6.00000, 6.00000, 0.00000, -2.98219, 0.05000, 18.59376, 6.82075, false
20.07342, 6.30000, 6.00000, 0.00000, -2.95498, 0.05000, 18.28347, 6.76655, false
20.40342, 6.60000, 6.00000, 0.00000, -2.92583, 0.05000, 17.96014, 6.70062, false
20.74842, 6.90000, 6.00000, 0.00000, -2.89510, 0.05000, 17.62432, 6.62159, false
21.10842, 7.20000, 6.00000, 0.00000, -2.86330, 0.05000, 17.27666, 6.52820, false
21.48342, 7.50000, 6.00000, 0.00000, -2.83101, 0.05000, 16.91783, 6.41934, false
21.87342, 7.80000, 6.00000, 0.00000, -2.79891, 0.05000, 16.54848, 6.29416, false
22.27842, 8.10000, 6.00000, 0.00000, -2.76772, 0.05000, 16.16924, 6.15207, false
22.69842, 8.40000, 6.00000, 0.00000, -2.73821, 0.05000, 15.78062, 5.99283, false
23.12342, 8.50000, 0.00000, 0.00000, -2.71168, 0.05000, 15.39204, 5.82072, false
23.54842, 8.50000, 0.00000, 0.00000, -2.68883, 0.05000, 15.00783, 5.63906, false
23.97342, 8.50000, 0.00000, 0.00000, -2.66988, 0.05000, 14.62750, 5.44941, false
24.39842, 8.50000, 0.00000, 0.00000, -2.65496, 0.05000, 14.25043, 5.25334, false
24.82342, 8.50000, 0.00000, 0.00000, -2.64415, 0.05000, 13.87592, 5.05243, false
25.24842, 8.50000, 0.00000, 0.00000, -2.63751, 0.05000, 13.50318, 4.84826, false
25.67342, 8.50000, 0.00000, 0.00000, -2.63506, 0.05000, 13.13136, 4.64240, false
26.09842, 8.50000, 0.00000, 0.00000, -2.63681, 0.05000, 12.75962, 4.43641, false
26.52342, 8.50000, 0.00000, 0.00000, -2.64274, 0.05000, 12.38709, 4.23184, false
