position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 8.60980, true
-0.01500, -0.30000, -6.00000, -120.00000, 3.14159, 0.05000, 5.51500, 8.60980, true
-0.04500, -0.60000, -6.00000, -0.00000, 3.14159, 0.05000, 5.54500, 8.60980, true
-0.09000, -0.90000, -6.00000, 0.00000, 3.14159, 0.05000, 5.59000, 8.60980, true
-0.15000, -1.20000, -6.00000, 0.00000, 3.14159, 0.05000, 5.65000, 8.60980, true
-0.22500, -1.50000, -6.00000, 0.00000, 3.14159, 0.05000, 5.72500, 8.60980, true
-0.31500, -1.80000, -6.00000, -0.00000, 3.14159, 0.05000, 5.81500, 8.60980, true
-0.42000, -2.10000, -6.00000, -0.00000, 3.14159, 0.05000, 5.92000, 8.60980, true
-0.54000, -2.40000, -6.00000, 0.00000, 3.14159, 0.05000, 6.04000, 8.60980, true
-0.67500, -2.70000, -6.00000, 0.00000, 3.14159, 0.05000, 6.17500, 8.60980, true
-0.82500, -3.00000, -6.00000, -0.00000, 3.14159, 0.05000, 6.32500, 8.60980, true
-0.99000, -3.30000, -6.00000, -0.00000, 3.14159, 0.05000, 6.49000, 8.60980, true
-1.17000, -3.60000, -6.00000, -0.00000, 3.14159, 0.05000, 6.67000, 8.60980, true
-1.36500, -3.90000, -6.00000, 0.00000, 3.14159, 0.05000, 6.86500, 8.60980, true
-1.57500, -4.20000, -6.00000, -0.00000, 3.14159, 0.05000, 7.07500, 8.60980, true
-1.80000, -4.50000, -6.00000, 0.00000, 3.14159, 0.05000, 7.30000, 8.60980, true
-2.04000, -4.80000, -6.00000, -0.00000, 3.14159, 0.05000, 7.54000, 8.60980, true
-2.29500, -5.10000, -6.00000, -0.00000, 3.14159, 0.05000, 7.79500, 8.60980, true
-2.56500, -5.40000, -6.00000, -0.00000, 3.14159, 0.05000, 8.06500, 8.60980, true
-2.85000, -5.70000, -6.00000, 0.00000, 3.14159, 0.05000, 8.35000, 8.60980, true
-3.13723, -5.74456, -0.89125, 102.17494, 3.14159, 0.05000, 8.63723, 8.60980, true
-3.42446, -5.74456, -0.00000, 17.82506, 3.14159, 0.05000, 8.92446, 8.60980, true
-3.71168, -5.74456, 0.00000, 0.00000, 3.14159, 0.05000, 9.21168, 8.60980, true
-3.99891, -5.74456, -0.00000, -0.00000, 3.14159, 0.05000, 9.49891, 8.60980, true
-4.28614, -5.74456, 0.00000, 0.00000, 3.14159, 0.05000, 9.78614, 8.60980, true
-4.57312, -5.73954, 0.10041, 2.00816, 3.14136, 0.05000, 10.07312, 8.60979, true
-4.57312, -0.00000, 114.79084, 2293.80874, 3.14136, 0.05000, 10.07312, 8.60979, true
-4.86933, -5.92415, -118.48310, -4665.47884, 3.13584, 0.05000, 10.36932, 8.60909, true
-5.17251, -6.06365, -2.78991, 2313.86379, 3.12296, 0.05000, 10.67249, 8.60557, true
-5.48279, -6.20567, -2.84043, -1.01046, 3.10283, 0.05000, 10.98265, 8.59684, true
-5.80052, -6.35453, -2.97724, -2.73612, 3.07578, 0.05000, 11.29995, 8.58039, true
-6.12634, -6.51636, -3.23644, -5.18416, 3.04240, 0.05000, 11.62467, 8.55368, true
-6.46129, -6.69908, -3.65456, -8.36223, 3.00364, 0.05000, 11.95728, 8.51416, true
-6.80688, -6.91185, -4.25539, -12.01672, 2.96089, 0.05000, 12.29851, 8.45938, true
-7.16506, -7.16362, -5.03535, -15.59913, 2.91593, 0.05000, 12.64932, 8.38708, true
-7.53813, -7.46134, -5.95443, -18.38156, 2.87086, 0.05000, 13.01093, 8.29535, true
-7.91756, -7.58855, -2.54426, 68.20338, 2.82909, 0.05000, 13.37429, 8.18611, true
-8.30267, -7.70216, -2.27202, 5.44469, 2.79251, 0.05000, 13.73845, 8.06083, true
-8.69473, -7.84132, -2.78324, -10.22438, 2.76232, 0.05000, 14.10472, 7.92096, true
-9.09461, -7.99745, -3.12273, -6.78986, 2.73928, 0.05000, 14.47435, 7.76840, true
-9.50280, -8.16386, -3.32802, -4.10582, 2.72387, 0.05000, 14.84859, 7.60543, true
-9.91959, -8.33577, -3.43827, -2.20485, 2.71634, 0.05000, 15.22879, 7.43465, true
-10.34508, -8.50996, -3.48373, -0.90925, 2.71679, 0.05000, 15.61631, 7.25894, true
-10.76381, -8.37453, 2.70847, 123.84410, 2.72480, 0.05000, 15.99841, 7.08767, true
-11.17477, -8.21916, 3.10747, 7.97993, 2.73944, 0.05000, 16.37530, 6.92385, true
-11.57690, -8.04262, 3.53071, 8.46483, 2.75974, 0.05000, 16.74686, 6.77005, true
-11.96908, -7.84368, 3.97890, 8.96370, 2.78469, 0.05000, 17.11254, 6.62831, true
-12.35014, -7.62118, 4.44991, 9.42030, 2.81319, 0.05000, 17.47140, 6.50016, true
-12.71886, -7.37443, 4.93503, 9.70225, 2.84414, 0.05000, 17.82219, 6.38657, true
-13.07404, -7.10352, 5.41820, 9.66350, 2.87641, 0.05000, 18.16338, 6.28790, true
-13.41452, -6.80961, 5.87830, 9.20192, 2.90897, 0.05000, 18.49336, 6.20400, true
-13.73927, -6.49495, 6.29319, 8.29794, 2.94086, 0.05000, 18.81052, 6.13417, true
-14.04740, -6.16273, 6.64429, 7.02186, 2.97126, 0.05000, 19.11336, 6.07733, true
-14.33824, -5.81674, 6.91977, 5.50966, 2.99956, 0.05000, 19.40066, 6.03211, true
-14.61129, -5.46095, 7.11582, 3.92110, 3.02529, 0.05000, 19.67144, 5.99696, true
-14.86625, -5.09916, 7.23579, 2.39927, 3.04819, 0.05000, 19.92500, 5.97030, true
-15.10299, -4.73476, 7.28807, 1.04560, 3.06813, 0.05000, 20.16092, 5.95060, true
-15.32151, -4.37057, 7.28375, -0.08641, 3.08513, 0.05000, 20.37899, 5.93644, true
-15.52196, -4.00884, 7.23457, -0.98351, 3.09930, 0.05000, 20.57919, 5.92658, true
-15.70452, -3.65126, 7.15162, -1.65897, 3.11082, 0.05000, 20.76163, 5.91993, true
-15.86947, -3.29903, 7.04467, -2.13899, 3.11995, 0.05000, 20.92652, 5.91563, true
-16.01712, -2.95293, 6.92204, -2.45255, 3.12697, 0.05000, 21.07415, 5.91296, true
-16.14779, -2.61339, 6.79077, -2.62551, 3.13217, 0.05000, 21.20481, 5.91140, true
-16.26181, -2.28055, 6.65686, -2.67823, 3.13586, 0.05000, 21.31883, 5.91054, true
-16.35953, -1.95427, 6.52558, -2.62566, 3.13835, 0.05000, 21.41654, 5.91011, true
-16.44124, -1.63419, 6.40164, -2.47877, 3.13992, 0.05000, 21.49825, 5.90991, true
-16.50722, -1.31972, 6.28931, -2.24648, 3.14082, 0.05000, 21.56424, 5.90984, true
-16.55773, -1.01010, 6.19244, -1.93752, 3.14128, 0.05000, 21.61474, 5.90981, true
-16.59295, -0.70438, 6.11434, -1.56187, 3.14149, 0.05000, 21.64996, 5.90980, true
