position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, -1.58825, 0.05000, 24.29003, 17.48097, true
-0.02001, -0.40012, -8.00232, -160.04649, -1.58824, 0.05000, 24.29038, 17.50098, true
-0.06005, -0.80086, -8.01488, -0.25116, -1.58820, 0.05000, 24.29108, 17.54101, true
-0.12017, -1.20252, -8.03316, -0.36547, -1.58809, 0.05000, 24.29212, 17.60113, true
-0.20041, -1.60471, -8.04392, -0.21521, -1.58787, 0.05000, 24.29350, 17.68135, true
-0.30072, -2.00614, -8.02849, 0.30848, -1.58759, 0.05000, 24.29520, 17.78165, true
-0.42093, -2.40435, -7.96419, 1.28607, -1.58739, 0.05000, 24.29721, 17.90185, true
-0.56072, -2.79565, -7.82602, 2.76342, -1.58759, 0.05000, 24.29953, 18.04161, true
-0.71947, -3.17507, -7.58833, 4.75373, -1.58874, 0.05000, 24.30227, 18.20034, true
-0.89629, -3.53635, -7.22569, 7.25279, -1.59165, 0.05000, 24.30567, 18.37712, true
-1.08989, -3.87196, -6.71222, 10.26935, -1.59753, 0.05000, 24.31023, 18.57067, true
-1.27977, -3.79775, 1.48418, 163.92816, -1.60680, 0.05000, 24.31612, 18.76047, true
-1.46526, -3.70980, 1.75895, 5.49528, -1.62011, 0.05000, 24.32396, 18.94579, true
-1.64568, -3.60840, 2.02813, 5.38362, -1.63807, 0.05000, 24.33439, 19.12591, true
-1.82037, -3.49363, 2.29528, 5.34305, -1.66129, 0.05000, 24.34806, 19.30005, true
-1.98865, -3.36574, 2.55782, 5.25074, -1.69037, 0.05000, 24.36560, 19.46742, true
-2.14993, -3.22555, 2.80378, 4.91914, -1.72588, 0.05000, 24.38757, 19.62720, true
-2.30369, -3.07516, 3.00797, 4.08396, -1.76829, 0.05000, 24.41442, 19.77859, true
-2.44962, -2.91872, 3.12874, 2.41528, -1.81786, 0.05000, 24.44648, 19.92097, true
-2.58779, -2.76332, 3.10801, -0.41450, -1.87457, 0.05000, 24.48394, 20.05396, true
-2.71876, -2.61934, 2.87950, -4.57030, -1.93787, 0.05000, 24.52695, 20.17766, true
-2.84375, -2.49989, 2.38899, -9.81016, -2.00664, 0.05000, 24.57572, 20.29275, true
-2.96468, -2.41865, 1.62485, -15.28274, -2.07915, 0.05000, 24.63068, 20.40047, true
-3.08401, -2.38644, 0.64422, -19.61256, -2.15312, 0.05000, 24.69257, 20.50249, true
-3.20440, -2.40782, -0.42756, -21.43560, -2.22612, 0.05000, 24.76243, 20.60053, true
-3.32838, -2.47957, -1.43506, -20.15007, -2.29583, 0.05000, 24.84142, 20.69609, true
-3.45798, -2.59207, -2.24991, -16.29695, -2.36038, 0.05000, 24.93053, 20.79020, true
-3.59461, -2.73262, -2.81117, -11.22529, -2.41849, 0.05000, 25.03038, 20.88347, true
-3.73906, -2.88906, -3.12876, -6.35181, -2.46943, 0.05000, 25.14116, 20.97617, true
-3.89166, -3.05201, -3.25897, -2.60419, -2.51289, 0.05000, 25.26268, 21.06848, true
-4.05245, -3.21574, -3.27462, -0.31299, -2.54885, 0.05000, 25.39447, 21.16058, true
-4.20410, -3.03295, 3.65579, 138.60814, -2.57486, 0.05000, 25.52139, 21.24358, true
-4.34438, -2.80568, 4.54550, 17.79426, -2.59294, 0.05000, 25.64045, 21.31776, true
-4.47139, -2.54019, 5.30985, 15.28702, -2.60485, 0.05000, 25.74923, 21.38332, true
-4.58349, -2.24187, 5.96632, 13.12947, -2.61211, 0.05000, 25.84579, 21.44027, true
-4.67924, -1.91519, 6.53361, 11.34570, -2.61600, 0.05000, 25.92854, 21.48846, true
-4.75745, -1.56407, 7.02241, 9.77608, -2.61764, 0.05000, 25.99622, 21.52763, true
-4.81072, -1.06542, 9.97298, 59.01140, -2.61799, 0.05000, 26.04235, 21.55427, true
-4.85075, -0.80062, 5.29591, -93.54153, -2.61802, 0.05000, 26.00768, 21.53426, true
-4.87079, -0.40071, 7.99820, 54.04588, -2.61806, 0.05000, 25.99033, 21.52424, true
-4.87079, 0.00000, 8.01428, 0.32162, -2.61806, 0.05000, 25.99033, 21.52424, true
-4.87079, 0.00000, 0.00000, -160.28561, -2.61806, 0.05000, 25.99033, 21.52424, true
-4.87079, 0.00000, 0.00000, 0.00000, -2.61806, 0.05000, 25.99033, 21.52424, false
-4.85074, 0.40098, 8.01961, 160.39223, -2.61810, 0.05000, 25.97297, 21.51422, false
-4.81060, 0.80276, 8.03552, 0.31813, -2.61823, 0.05000, 25.93820, 21.49415, false
