position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, -1.58825, 0.05000, 22.10997, 17.51903, true
-0.02499, -0.49982, -9.99640, -199.92797, -1.58824, 0.05000, 22.11040, 17.54401, true
-0.07493, -0.99869, -9.97749, 0.37809, -1.58818, 0.05000, 22.11127, 17.59394, true
-0.14974, -1.49634, -9.95297, 0.49048, -1.58801, 0.05000, 22.11257, 17.66875, true
-0.24943, -1.99376, -9.94827, 0.09394, -1.58773, 0.05000, 22.11427, 17.76842, true
-0.37412, -2.49369, -9.99870, -1.00855, -1.58744, 0.05000, 22.11636, 17.89309, true
-0.52416, -3.00099, -10.14603, -2.94661, -1.58748, 0.05000, 22.11885, 18.04312, true
-0.70030, -3.52273, -10.43477, -5.77485, -1.58853, 0.05000, 22.12186, 18.21923, true
-0.90371, -4.06821, -10.90948, -9.49410, -1.59165, 0.05000, 22.12575, 18.42260, true
-1.11011, -4.12803, -1.19643, 194.26099, -1.59753, 0.05000, 22.13061, 18.62894, true
-1.32022, -4.20222, -1.48384, -5.74823, -1.60680, 0.05000, 22.13714, 18.83895, true
-1.53473, -4.29014, -1.75834, -5.49001, -1.62011, 0.05000, 22.14621, 19.05327, true
-1.75431, -4.39149, -2.02716, -5.37638, -1.63807, 0.05000, 22.15892, 19.27248, true
-1.97962, -4.50619, -2.29384, -5.33354, -1.66129, 0.05000, 22.17658, 19.49709, true
-2.21131, -4.63397, -2.55577, -5.23874, -1.69037, 0.05000, 22.20077, 19.72752, true
-2.45002, -4.77403, -2.80101, -4.90467, -1.72588, 0.05000, 22.23334, 19.96399, true
-2.69623, -4.92424, -3.00439, -4.06767, -1.76829, 0.05000, 22.27640, 20.20641, true
-2.95025, -5.08046, -3.12434, -2.39893, -1.81786, 0.05000, 22.33229, 20.45421, true
-3.21203, -5.23561, -3.10296, 0.42754, -1.87457, 0.05000, 22.40337, 20.70616, true
-3.48100, -5.37932, -2.87421, 4.57501, -1.93787, 0.05000, 22.49180, 20.96017, true
-3.75592, -5.49853, -2.38416, 9.80103, -2.00664, 0.05000, 22.59916, 21.21326, true
-4.03490, -5.57959, -1.62134, 15.25645, -2.07915, 0.05000, 22.72599, 21.46175, true
-4.31549, -5.61173, -0.64278, 19.57114, -2.15312, 0.05000, 22.87153, 21.70164, true
-4.59501, -5.59040, 0.42659, 21.38741, -2.22612, 0.05000, 23.03370, 21.92930, true
-4.87095, -5.51881, 1.43192, 20.10658, -2.29583, 0.05000, 23.20944, 22.14204, true
-5.14128, -5.40654, 2.24528, 16.26719, -2.36038, 0.05000, 23.39522, 22.33842, true
-5.40459, -5.26625, 2.80589, 11.21227, -2.41849, 0.05000, 23.58757, 22.51824, true
-5.66009, -5.11007, 3.12354, 6.35298, -2.46943, 0.05000, 23.78346, 22.68228, true
-5.90746, -4.94736, 3.25427, 2.61448, -2.51289, 0.05000, 23.98040, 22.83197, true
-6.14665, -4.78383, 3.27065, 0.32756, -2.54885, 0.05000, 24.17642, 22.96903, true
-6.37774, -4.62174, 3.24183, -0.57638, -2.57738, 0.05000, 24.36998, 23.09527, true
-6.57333, -3.91175, 14.19978, 219.15898, -2.59626, 0.05000, 24.53628, 23.19823, true
-6.73601, -3.25370, 13.16086, -20.77836, -2.60790, 0.05000, 24.67588, 23.28176, true
-6.86799, -2.63959, 12.28223, -17.57255, -2.61430, 0.05000, 24.78974, 23.34851, true
-6.97113, -2.06282, 11.53539, -14.93679, -2.61718, 0.05000, 24.87895, 23.40026, true
-7.04700, -1.51736, 10.90916, -12.52455, -2.61798, 0.05000, 24.94464, 23.43822, true
-7.07331, -0.52613, 19.82469, 178.31043, -2.61802, 0.05000, 24.92186, 23.42507, true
-7.09826, -0.49915, 0.53961, -385.70146, -2.61806, 0.05000, 24.90025, 23.41259, true
-7.09826, 0.00000, 9.98298, 188.86745, -2.61806, 0.05000, 24.90025, 23.41259, true
-7.09826, 0.00000, 0.00000, -199.65969, -2.61806, 0.05000, 24.90025, 23.41259, true
-7.09826, 0.00000, 0.00000, 0.00000, -2.61806, 0.05000, 24.90025, 23.41259, false
-7.07333, 0.49873, 9.97466, 199.49311, -2.61811, 0.05000, 24.87865, 23.40012, false
-7.02352, 0.99622, 9.94983, -0.49643, -2.61829, 0.05000, 24.83551, 23.37523, false
-6.94895, 1.49126, 9.90078, -0.98105, -2.61869, 0.05000, 24.77092, 23.33797, false
-6.84982, 1.98269, 9.82855, -1.44469, -2.61948, 0.05000, 24.68501, 23.28850, false
-6.72635, 2.46941, 9.73440, -1.88303, -2.62088, 0.05000, 24.57795, 23.22699, false
-6.57883, 2.95039, 9.61949, -2.29817, -2.62316, 0.05000, 24.44990, 23.15374, false
-6.40760, 3.42461, 9.48452, -2.69941, -2.62662, 0.05000, 24.30103, 23.06914, false
-6.21305, 3.89108, 9.32936, -3.10319, -2.63161, 0.05000, 24.13148, 22.97373, false
-6.01969, 3.86702, -0.48108, -196.20870, -2.63771, 0.05000, 23.96245, 22.87984, false
-5.82754, 3.84306, -0.47940, 0.03362, -2.64491, 0.05000, 23.79386, 22.78765, false
-5.63659, 3.81903, -0.48050, -0.02205, -2.65321, 0.05000, 23.62561, 22.69734, false
-5.44685, 3.79483, -0.48407, -0.07141, -2.66262, 0.05000, 23.45765, 22.60909, false
-5.25833, 3.77034, -0.48980, -0.11466, -2.67315, 0.05000, 23.28990, 22.52307, false
-5.07106, 3.74547, -0.49739, -0.15172, -2.68482, 0.05000, 23.12232, 22.43948, false
-4.88505, 3.72014, -0.50650, -0.18221, -2.69766, 0.05000, 22.95486, 22.35850, false
-4.70034, 3.69430, -0.51677, -0.20541, -2.71167, 0.05000, 22.78751, 22.28031, false
-4.51694, 3.66791, -0.52779, -0.22032, -2.72690, 0.05000, 22.62023, 22.20513, false
-4.33489, 3.64096, -0.53907, -0.22562, -2.74337, 0.05000, 22.45303, 22.13314, false
-4.15422, 3.61346, -0.55005, -0.21968, -2.76109, 0.05000, 22.28588, 22.06453, false
-3.97495, 3.58545, -0.56008, -0.20064, -2.78010, 0.05000, 22.11882, 21.99952, false
-3.79709, 3.55703, -0.56840, -0.16639, -2.80042, 0.05000, 21.95184, 21.93829, false
-3.62068, 3.52833, -0.57414, -0.11480, -2.82205, 0.05000, 21.78497, 21.88104, false
-3.44570, 3.49951, -0.57633, -0.04378, -2.84500, 0.05000, 21.61823, 21.82797, false
-3.27216, 3.47081, -0.57391, 0.04842, -2.86926, 0.05000, 21.45167, 21.77924, false
-3.10004, 3.44253, -0.56576, 0.16295, -2.89483, 0.05000, 21.28532, 21.73505, false
-2.92929, 3.41499, -0.55076, 0.29996, -2.92165, 0.05000, 21.11920, 21.69554, false
-2.75986, 3.38860, -0.52785, 0.45826, -2.94969, 0.05000, 20.95336, 21.66088, false
-2.59167, 3.36379, -0.49611, 0.63489, -2.97886, 0.05000, 20.78781, 21.63119, false
-2.42461, 3.34105, -0.45486, 0.82492, -3.00908, 0.05000, 20.62257, 21.60661, false
-2.25857, 3.32086, -0.40380, 1.02129, -3.04022, 0.05000, 20.45767, 21.58722, false
-2.09339, 3.30371, -0.34305, 1.21498, -3.07215, 0.05000, 20.29308, 21.57312, false
-1.92888, 3.29004, -0.27327, 1.39555, -3.10470, 0.05000, 20.12882, 21.56436, false
-1.76487, 3.28026, -0.19567, 1.55195, -3.13770, 0.05000, 19.96484, 21.56101, false
-1.60114, 3.27466, -0.11199, 1.67362, 3.11222, 0.05000, 19.80112, 21.56310, false
-1.43747, 3.27344, -0.02441, 1.75172, 3.07891, 0.05000, 19.63762, 21.57063, false
-1.27363, 3.27667, 0.06461, 1.78027, 3.04574, 0.05000, 19.47430, 21.58361, false
-1.10942, 3.28429, 0.15245, 1.75694, 3.01292, 0.05000, 19.31112, 21.60201, false
-0.94461, 3.29612, 0.23663, 1.68342, 2.98065, 0.05000, 19.14804, 21.62580, false
-0.77902, 3.31187, 0.31488, 1.56516, 2.94909, 0.05000, 18.98503, 21.65493, false
-0.61246, 3.33114, 0.38541, 1.41063, 2.91842, 0.05000, 18.82206, 21.68931, false
-0.44479, 3.35348, 0.44692, 1.23020, 2.88878, 0.05000, 18.65912, 21.72886, false
-0.27587, 3.37842, 0.49867, 1.03495, 2.86027, 0.05000, 18.49619, 21.77346, false
-0.10560, 3.40544, 0.54045, 0.83551, 2.83301, 0.05000, 18.33328, 21.82297, false
0.06611, 3.43406, 0.57251, 0.64115, 2.80706, 0.05000, 18.17038, 21.87726, false
0.23930, 3.46384, 0.59547, 0.45926, 2.78247, 0.05000, 18.00751, 21.93615, false
0.41402, 3.49435, 0.61022, 0.29507, 2.75929, 0.05000, 17.84467, 21.99947, false
0.59028, 3.52524, 0.61781, 0.15179, 2.73752, 0.05000, 17.68187, 22.06703, false
0.76809, 3.55621, 0.61935, 0.03075, 2.71716, 0.05000, 17.51910, 22.13862, false
0.94744, 3.58700, 0.61594, -0.06811, 2.69823, 0.05000, 17.35638, 22.21404, false
1.12831, 3.61744, 0.60865, -0.14596, 2.68068, 0.05000, 17.19370, 22.29308, false
1.31068, 3.64736, 0.59841, -0.20461, 2.66451, 0.05000, 17.03103, 22.37553, false
1.49451, 3.67666, 0.58610, -0.24632, 2.64968, 0.05000, 16.86837, 22.46117, false
1.67978, 3.70528, 0.57243, -0.27343, 2.63617, 0.05000, 16.70567, 22.54979, false
1.86644, 3.73318, 0.55801, -0.28830, 2.62393, 0.05000, 16.54292, 22.64119, false
2.05445, 3.76035, 0.54336, -0.29312, 2.61294, 0.05000, 16.38006, 22.73514, false
2.24379, 3.78680, 0.52886, -0.28985, 2.60316, 0.05000, 16.21704, 22.83145, false
2.43442, 3.81254, 0.51485, -0.28024, 2.59457, 0.05000, 16.05382, 22.92992, false
2.62630, 3.83762, 0.50156, -0.26578, 2.58712, 0.05000, 15.89032, 23.03036, false
