position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 24.000, 18.910
0.003, 0.160, 8.000, 400.023, -0.000, 0.020, 23.997, 18.910
0.010, 0.320, 8.003, 0.140, -0.000, 0.020, 23.990, 18.910
0.019, 0.480, 8.009, 0.279, -0.000, 0.020, 23.981, 18.910
0.032, 0.641, 8.017, 0.417, -0.000, 0.020, 23.968, 18.910
0.048, 0.801, 8.028, 0.553, -0.000, 0.020, 23.952, 18.910
0.067, 0.962, 8.042, 0.686, -0.000, 0.020, 23.933, 18.910
0.090, 1.123, 8.058, 0.816, -0.000, 0.020, 23.910, 18.910
0.115, 1.285, 8.077, 0.943, -0.000, 0.020, 23.885, 18.910
0.144, 1.447, 8.098, 1.065, -0.000, 0.020, 23.856, 18.910
0.177, 1.609, 8.122, 1.183, -0.001, 0.020, 23.823, 18.910
0.212, 1.772, 8.148, 1.295, -0.001, 0.020, 23.788, 18.910
0.251, 1.936, 8.176, 1.402, -0.001, 0.020, 23.749, 18.910
0.293, 2.100, 8.206, 1.503, -0.001, 0.020, 23.707, 18.910
0.338, 2.264, 8.238, 1.598, -0.002, 0.020, 23.662, 18.910
0.387, 2.430, 8.272, 1.686, -0.002, 0.020, 23.613, 18.910
0.439, 2.596, 8.307, 1.766, -0.003, 0.020, 23.561, 18.910
0.494, 2.763, 8.344, 1.840, -0.004, 0.020, 23.506, 18.910
0.552, 2.931, 8.382, 1.906, -0.005, 0.020, 23.448, 18.911
0.614, 3.099, 8.421, 1.964, -0.006, 0.020, 23.386, 18.911
0.680, 3.268, 8.462, 2.015, -0.007, 0.020, 23.320, 18.911
0.748, 3.438, 8.503, 2.057, -0.009, 0.020, 23.252, 18.912
0.821, 3.609, 8.545, 2.090, -0.010, 0.020, 23.179, 18.913
0.896, 3.781, 8.587, 2.115, -0.012, 0.020, 23.104, 18.913
0.975, 3.954, 8.629, 2.131, -0.014, 0.020, 23.025, 18.915
1.058, 4.127, 8.672, 2.137, -0.016, 0.020, 22.942, 18.916
1.144, 4.301, 8.715, 2.133, -0.019, 0.020, 22.856, 18.917
1.233, 4.476, 8.757, 2.119, -0.022, 0.020, 22.767, 18.919
1.327, 4.652, 8.799, 2.094, -0.025, 0.020, 22.674, 18.921
1.423, 4.829, 8.840, 2.057, -0.029, 0.020, 22.577, 18.924
1.523, 5.007, 8.880, 2.008, -0.032, 0.020, 22.477, 18.927
1.627, 5.185, 8.919, 1.945, -0.036, 0.020, 22.373, 18.931
1.734, 5.364, 8.957, 1.868, -0.041, 0.020, 22.266, 18.935
1.845, 5.544, 8.992, 1.775, -0.046, 0.020, 22.155, 18.939
1.960, 5.725, 9.026, 1.666, -0.051, 0.020, 22.041, 18.945
2.078, 5.906, 9.056, 1.538, -0.057, 0.020, 21.923, 18.951
2.199, 6.087, 9.084, 1.391, -0.063, 0.020, 21.801, 18.959
2.325, 6.270, 9.109, 1.223, -0.069, 0.020, 21.676, 18.967
2.454, 6.452, 9.129, 1.033, -0.076, 0.020, 21.548, 18.976
2.587, 6.635, 9.146, 0.819, -0.083, 0.020, 21.415, 18.987
2.723, 6.818, 9.157, 0.580, -0.091, 0.020, 21.280, 18.999
2.863, 7.002, 9.164, 0.315, -0.099, 0.020, 21.140, 19.012
3.007, 7.185, 9.164, 0.023, -0.107, 0.020, 20.997, 19.027
3.154, 7.368, 9.158, -0.296, -0.116, 0.020, 20.851, 19.043
3.305, 7.551, 9.145, -0.643, -0.126, 0.020, 20.701, 19.061
3.460, 7.733, 9.125, -1.016, -0.136, 0.020, 20.547, 19.081
3.618, 7.915, 9.097, -1.416, -0.146, 0.020, 20.391, 19.104
3.780, 8.097, 9.060, -1.838, -0.156, 0.020, 20.231, 19.128
3.946, 8.277, 9.014, -2.282, -0.167, 0.020, 20.067, 19.155
4.115, 8.456, 8.959, -2.744, -0.179, 0.020, 19.901, 19.184
4.287, 8.634, 8.895, -3.219, -0.190, 0.020, 19.731, 19.215
4.464, 8.810, 8.821, -3.701, -0.202, 0.020, 19.558, 19.250
4.643, 8.985, 8.737, -4.185, -0.214, 0.020, 19.382, 19.287
4.826, 9.158, 8.644, -4.665, -0.227, 0.020, 19.204, 19.327
5.010, 9.178, 0.985, -382.962, -0.239, 0.020, 19.025, 19.369
5.193, 9.174, -0.194, -58.915, -0.252, 0.020, 18.847, 19.414
5.377, 9.168, -0.289, -4.770, -0.264, 0.020, 18.670, 19.461
5.560, 9.160, -0.381, -4.600, -0.276, 0.020, 18.493, 19.509
5.743, 9.151, -0.469, -4.411, -0.288, 0.020, 18.317, 19.560
5.926, 9.140, -0.553, -4.203, -0.300, 0.020, 18.142, 19.613
6.108, 9.127, -0.633, -3.982, -0.311, 0.020, 17.968, 19.668
6.291, 9.113, -0.708, -3.749, -0.322, 0.020, 17.795, 19.725
6.473, 9.098, -0.778, -3.509, -0.333, 0.020, 17.623, 19.783
6.654, 9.081, -0.843, -3.264, -0.344, 0.020, 17.451, 19.844
6.835, 9.063, -0.904, -3.018, -0.354, 0.020, 17.281, 19.906
