position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 1.553, 0.020, 25.500, 18.000
0.003, -0.160, -8.000, 0.000, 1.553, 0.020, 25.500, 18.003
0.010, -0.320, -8.000, 0.000, 1.553, 0.020, 25.500, 18.010
0.019, -0.480, -8.000, 0.000, 1.553, 0.020, 25.500, 18.019
0.032, -0.640, -8.000, 0.000, 1.553, 0.020, 25.501, 18.032
0.048, -0.800, -8.000, 0.000, 1.553, 0.020, 25.501, 18.048
0.067, -0.960, -8.000, 0.000, 1.554, 0.020, 25.501, 18.067
0.090, -1.120, -8.000, 0.000, 1.554, 0.020, 25.502, 18.090
0.115, -1.280, -8.000, 0.000, 1.554, 0.020, 25.502, 18.115
0.144, -1.440, -8.000, 0.000, 1.554, 0.020, 25.502, 18.144
0.176, -1.600, -8.000, 0.000, 1.555, 0.020, 25.503, 18.176
0.211, -1.760, -8.000, 0.000, 1.556, 0.020, 25.504, 18.211
0.250, -1.920, -8.000, 0.000, 1.556, 0.020, 25.504, 18.250
0.291, -2.080, -8.000, 0.000, 1.558, 0.020, 25.505, 18.291
0.336, -2.240, -8.000, 0.000, 1.559, 0.020, 25.505, 18.336
0.384, -2.400, -8.000, 0.000, 1.560, 0.020, 25.506, 18.384
0.435, -2.560, -8.000, 0.000, 1.562, 0.020, 25.506, 18.435
0.490, -2.720, -8.000, 0.000, 1.564, 0.020, 25.507, 18.490
0.547, -2.880, -8.000, 0.000, 1.567, 0.020, 25.507, 18.547
0.608, -3.040, -8.000, 0.000, 1.570, 0.020, 25.507, 18.608
0.672, -3.200, -8.000, 0.000, 1.573, 0.020, 25.507, 18.672
0.739, -3.360, -8.000, 0.000, 1.577, 0.020, 25.507, 18.739
0.810, -3.520, -8.000, 0.000, 1.581, 0.020, 25.506, 18.810
0.883, -3.680, -8.000, 0.000, 1.585, 0.020, 25.505, 18.883
0.960, -3.840, -8.000, 0.000, 1.590, 0.020, 25.504, 18.960
1.040, -4.000, 0.000, 0.000, 1.595, 0.020, 25.502, 19.040
1.120, -4.000, 0.000, 0.000, 1.601, 0.020, 25.500, 19.120
1.200, -4.000, 0.000, 0.000, 1.607, 0.020, 25.497, 19.200
1.280, -4.000, 0.000, 0.000, 1.612, 0.020, 25.494, 19.280
1.360, -4.000, 0.000, 0.000, 1.618, 0.020, 25.491, 19.360
1.440, -4.000, 0.000, 0.000, 1.624, 0.020, 25.487, 19.440
1.520, -4.000, 0.000, 0.000, 1.630, 0.020, 25.482, 19.519
1.600, -4.000, 0.000, 0.000, 1.636, 0.020, 25.477, 19.599
1.680, -4.000, 0.000, 0.000, 1.641, 0.020, 25.472, 19.679
