position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 3.142, 0.020, 16.000, 20.500
0.003, 0.160, 8.000, 0.000, 3.142, 0.020, 15.997, 20.500
0.010, 0.320, 8.000, 0.000, 3.142, 0.020, 15.990, 20.500
0.019, 0.480, 8.000, 0.000, 3.142, 0.020, 15.981, 20.500
0.032, 0.640, 8.000, 0.000, 3.142, 0.020, 15.968, 20.500
0.048, 0.800, 8.000, 0.000, 3.142, 0.020, 15.952, 20.500
0.067, 0.960, 8.000, 0.000, 3.141, 0.020, 15.933, 20.500
0.090, 1.120, 8.000, 0.000, 3.141, 0.020, 15.910, 20.500
0.115, 1.280, 8.000, 0.000, 3.141, 0.020, 15.885, 20.500
0.144, 1.440, 8.000, 0.000, 3.141, 0.020, 15.856, 20.500
0.176, 1.600, 8.000, 0.000, 3.141, 0.020, 15.824, 20.500
0.211, 1.760, 8.000, 0.000, 3.140, 0.020, 15.789, 20.500
0.250, 1.920, 8.000, 0.000, 3.140, 0.020, 15.750, 20.500
0.291, 2.080, 8.000, 0.000, 3.139, 0.020, 15.709, 20.500
0.336, 2.240, 8.000, 0.000, 3.138, 0.020, 15.664, 20.500
0.384, 2.400, 8.000, 0.000, 3.137, 0.020, 15.616, 20.501
0.435, 2.560, 8.000, 0.000, 3.136, 0.020, 15.565, 20.501
0.490, 2.720, 8.000, 0.000, 3.134, 0.020, 15.510, 20.501
0.547, 2.880, 8.000, 0.000, 3.132, 0.020, 15.453, 20.502
0.608, 3.040, 8.000, 0.000, 3.130, 0.020, 15.392, 20.502
0.672, 3.200, 8.000, 0.000, 3.128, 0.020, 15.328, 20.503
0.739, 3.360, 8.000, 0.000, 3.125, 0.020, 15.261, 20.504
0.810, 3.520, 8.000, 0.000, 3.122, 0.020, 15.190, 20.505
0.883, 3.680, 8.000, 0.000, 3.119, 0.020, 15.117, 20.507
0.960, 3.840, 8.000, 0.000, 3.115, 0.020, 15.040, 20.509
1.040, 4.000, 8.000, 0.000, 3.110, 0.020, 14.960, 20.511
1.123, 4.160, 8.000, 0.000, 3.105, 0.020, 14.877, 20.514
1.210, 4.320, 8.000, 0.000, 3.100, 0.020, 14.791, 20.517
1.299, 4.480, 8.000, 0.000, 3.094, 0.020, 14.701, 20.521
1.392, 4.640, 8.000, 0.000, 3.088, 0.020, 14.608, 20.526
1.488, 4.800, 8.000, 0.000, 3.081, 0.020, 14.513, 20.531
1.587, 4.960, 8.000, 0.000, 3.073, 0.020, 14.414, 20.538
1.690, 5.120, 8.000, 0.000, 3.065, 0.020, 14.311, 20.545
1.795, 5.280, 8.000, 0.000, 3.056, 0.020, 14.206, 20.554
1.904, 5.440, 8.000, 0.000, 3.046, 0.020, 14.098, 20.564
2.016, 5.600, 8.000, 0.000, 3.036, 0.020, 13.986, 20.575
2.131, 5.760, 8.000, 0.000, 3.025, 0.020, 13.872, 20.588
2.250, 5.920, 8.000, 0.000, 3.014, 0.020, 13.754, 20.602
2.371, 6.080, 8.000, 0.000, 3.002, 0.020, 13.634, 20.618
2.496, 6.240, 8.000, 0.000, 2.989, 0.020, 13.510, 20.636
2.624, 6.400, 8.000, 0.000, 2.975, 0.020, 13.384, 20.657
2.755, 6.560, 8.000, 0.000, 2.961, 0.020, 13.255, 20.679
2.890, 6.720, 8.000, 0.000, 2.947, 0.020, 13.123, 20.704
3.027, 6.880, 8.000, 0.000, 2.932, 0.020, 12.988, 20.732
3.168, 7.040, 8.000, 0.000, 2.916, 0.020, 12.850, 20.762
3.312, 7.200, 8.000, 0.000, 2.900, 0.020, 12.710, 20.796
3.459, 7.360, 8.000, 0.000, 2.884, 0.020, 12.568, 20.832
3.610, 7.520, 8.000, 0.000, 2.867, 0.020, 12.423, 20.872
3.763, 7.680, 8.000, 0.000, 2.850, 0.020, 12.275, 20.915
3.920, 7.840, 8.000, 0.000, 2.833, 0.020, 12.125, 20.961
