position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 16.000, 19.410
0.003, 0.160, 8.001, 400.046, -0.000, 0.020, 15.997, 19.410
0.010, 0.320, 8.006, 0.273, -0.000, 0.020, 15.990, 19.410
0.019, 0.480, 8.017, 0.544, -0.000, 0.020, 15.981, 19.410
0.032, 0.641, 8.034, 0.812, -0.000, 0.020, 15.968, 19.410
0.048, 0.802, 8.055, 1.076, -0.000, 0.020, 15.952, 19.410
0.067, 0.964, 8.082, 1.332, -0.000, 0.020, 15.933, 19.410
0.090, 1.126, 8.113, 1.581, -0.000, 0.020, 15.910, 19.410
0.116, 1.289, 8.150, 1.821, -0.000, 0.020, 15.884, 19.410
0.145, 1.453, 8.191, 2.050, -0.001, 0.020, 15.855, 19.410
0.177, 1.618, 8.236, 2.268, -0.001, 0.020, 15.823, 19.410
0.213, 1.783, 8.286, 2.474, -0.001, 0.020, 15.787, 19.410
0.252, 1.950, 8.339, 2.666, -0.002, 0.020, 15.748, 19.410
0.294, 2.118, 8.396, 2.844, -0.003, 0.020, 15.706, 19.410
0.340, 2.287, 8.456, 3.007, -0.004, 0.020, 15.660, 19.410
0.389, 2.458, 8.519, 3.155, -0.005, 0.020, 15.611, 19.410
0.442, 2.629, 8.585, 3.287, -0.006, 0.020, 15.558, 19.411
0.498, 2.802, 8.653, 3.404, -0.007, 0.020, 15.502, 19.411
0.557, 2.977, 8.723, 3.503, -0.009, 0.020, 15.443, 19.412
0.620, 3.153, 8.795, 3.586, -0.011, 0.020, 15.380, 19.412
0.687, 3.330, 8.868, 3.651, -0.014, 0.020, 15.313, 19.413
0.757, 3.509, 8.942, 3.698, -0.016, 0.020, 15.243, 19.414
0.831, 3.689, 9.016, 3.725, -0.019, 0.020, 15.169, 19.415
0.908, 3.871, 9.091, 3.732, -0.023, 0.020, 15.092, 19.417
0.989, 4.054, 9.165, 3.716, -0.027, 0.020, 15.011, 19.419
1.074, 4.239, 9.239, 3.677, -0.031, 0.020, 14.926, 19.421
1.163, 4.425, 9.311, 3.611, -0.036, 0.020, 14.838, 19.424
1.255, 4.613, 9.381, 3.517, -0.042, 0.020, 14.745, 19.428
1.351, 4.802, 9.449, 3.390, -0.047, 0.020, 14.649, 19.432
1.451, 4.992, 9.513, 3.227, -0.054, 0.020, 14.550, 19.437
1.554, 5.184, 9.574, 3.024, -0.061, 0.020, 14.446, 19.443
1.662, 5.376, 9.629, 2.776, -0.069, 0.020, 14.339, 19.450
1.773, 5.570, 9.679, 2.477, -0.077, 0.020, 14.228, 19.458
1.889, 5.764, 9.721, 2.124, -0.086, 0.020, 14.113, 19.468
2.008, 5.959, 9.756, 1.710, -0.095, 0.020, 13.994, 19.478
2.131, 6.155, 9.780, 1.230, -0.105, 0.020, 13.872, 19.491
2.258, 6.351, 9.794, 0.681, -0.116, 0.020, 13.745, 19.505
2.389, 6.547, 9.795, 0.057, -0.128, 0.020, 13.616, 19.521
2.524, 6.742, 9.782, -0.642, -0.140, 0.020, 13.482, 19.539
2.662, 6.937, 9.754, -1.417, -0.153, 0.020, 13.345, 19.559
2.805, 7.132, 9.709, -2.266, -0.166, 0.020, 13.204, 19.582
2.952, 7.325, 9.645, -3.184, -0.180, 0.020, 13.059, 19.607
3.102, 7.516, 9.562, -4.163, -0.195, 0.020, 12.912, 19.635
3.256, 7.705, 9.458, -5.190, -0.210, 0.020, 12.761, 19.666
3.414, 7.892, 9.333, -6.250, -0.225, 0.020, 12.607, 19.700
3.575, 8.075, 9.186, -7.323, -0.242, 0.020, 12.450, 19.737
3.740, 8.256, 9.019, -8.387, -0.258, 0.020, 12.290, 19.778
3.909, 8.432, 8.830, -9.418, -0.275, 0.020, 12.127, 19.822
4.081, 8.605, 8.622, -10.389, -0.292, 0.020, 11.962, 19.871
4.257, 8.773, 8.397, -11.276, -0.309, 0.020, 11.794, 19.922
4.435, 8.936, 8.156, -12.052, -0.326, 0.020, 11.624, 19.978
4.617, 9.094, 7.902, -12.700, -0.343, 0.020, 11.453, 20.038
4.802, 9.247, 7.638, -13.202, -0.360, 0.020, 11.279, 20.102
4.990, 9.394, 7.367, -13.549, -0.377, 0.020, 11.104, 20.169
5.181, 9.536, 7.092, -13.739, -0.393, 0.020, 10.927, 20.241
5.374, 9.672, 6.817, -13.777, -0.409, 0.020, 10.749, 20.317
5.570, 9.803, 6.543, -13.675, -0.425, 0.020, 10.570, 20.396
5.769, 9.928, 6.274, -13.450, -0.440, 0.020, 10.389, 20.479
5.970, 10.049, 6.012, -13.126, -0.454, 0.020, 10.208, 20.566
6.173, 10.164, 5.757, -12.729, -0.467, 0.020, 10.026, 20.656
6.379, 10.274, 5.511, -12.287, -0.479, 0.020, 9.843, 20.750
6.586, 10.380, 5.275, -11.828, -0.491, 0.020, 9.659, 20.847
6.796, 10.480, 5.047, -11.380, -0.501, 0.020, 9.475, 20.946
7.007, 10.577, 4.828, -10.964, -0.510, 0.020, 9.290, 21.049
7.221, 10.669, 4.616, -10.601, -0.518, 0.020, 9.104, 21.154
7.436, 10.758, 4.410, -10.304, -0.525, 0.020, 8.918, 21.261
7.653, 10.842, 4.208, -10.082, -0.530, 0.020, 8.730, 21.370
7.871, 10.922, 4.009, -9.936, -0.533, 0.020, 8.542, 21.481
8.091, 10.998, 3.812, -9.859, -0.536, 0.020, 8.353, 21.593
8.312, 11.070, 3.615, -9.836, -0.536, 0.020, 8.162, 21.706
8.533, 11.034, -1.835, -272.528, -0.535, 0.020, 7.973, 21.819
8.749, 10.786, -12.406, -528.552, -0.532, 0.020, 7.787, 21.928
8.960, 10.541, -12.208, 9.933, -0.528, 0.020, 7.605, 22.035
9.166, 10.301, -12.008, 9.982, -0.522, 0.020, 7.427, 22.138
9.367, 10.065, -11.806, 10.095, -0.515, 0.020, 7.252, 22.238
9.564, 9.833, -11.600, 10.286, -0.507, 0.020, 7.080, 22.334
9.756, 9.605, -11.389, 10.558, -0.497, 0.020, 6.912, 22.427
9.943, 9.382, -11.171, 10.909, -0.486, 0.020, 6.747, 22.516
10.127, 9.163, -10.944, 11.327, -0.474, 0.020, 6.584, 22.600
10.306, 8.949, -10.708, 11.796, -0.461, 0.020, 6.424, 22.681
10.480, 8.740, -10.463, 12.294, -0.447, 0.020, 6.267, 22.758
10.651, 8.536, -10.207, 12.793, -0.433, 0.020, 6.113, 22.830
10.818, 8.337, -9.941, 13.266, -0.417, 0.020, 5.961, 22.899
10.981, 8.143, -9.668, 13.680, -0.402, 0.020, 5.812, 22.964
11.140, 7.956, -9.388, 14.007, -0.385, 0.020, 5.665, 23.025
11.295, 7.774, -9.103, 14.218, -0.368, 0.020, 5.520, 23.082
11.447, 7.597, -8.817, 14.291, -0.351, 0.020, 5.378, 23.136
