position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 16.000, 21.590
0.003, 0.160, 7.999, 399.954, -0.000, 0.020, 15.997, 21.590
0.010, 0.320, 7.994, -0.273, -0.000, 0.020, 15.990, 21.590
0.019, 0.480, 7.983, -0.544, -0.000, 0.020, 15.981, 21.590
0.032, 0.639, 7.966, -0.812, -0.000, 0.020, 15.968, 21.590
0.048, 0.798, 7.945, -1.076, -0.000, 0.020, 15.952, 21.590
0.067, 0.956, 7.918, -1.332, -0.000, 0.020, 15.933, 21.590
0.089, 1.114, 7.887, -1.581, -0.000, 0.020, 15.911, 21.590
0.115, 1.271, 7.850, -1.821, -0.000, 0.020, 15.885, 21.590
0.143, 1.427, 7.809, -2.050, -0.001, 0.020, 15.857, 21.590
0.175, 1.582, 7.764, -2.268, -0.001, 0.020, 15.825, 21.590
0.210, 1.737, 7.714, -2.474, -0.001, 0.020, 15.790, 21.590
0.247, 1.890, 7.661, -2.666, -0.002, 0.020, 15.753, 21.590
0.288, 2.042, 7.604, -2.844, -0.003, 0.020, 15.712, 21.590
0.332, 2.193, 7.544, -3.007, -0.004, 0.020, 15.668, 21.591
0.379, 2.342, 7.481, -3.155, -0.005, 0.020, 15.621, 21.591
0.429, 2.491, 7.415, -3.288, -0.006, 0.020, 15.571, 21.591
0.482, 2.638, 7.347, -3.404, -0.007, 0.020, 15.518, 21.591
0.537, 2.783, 7.277, -3.504, -0.009, 0.020, 15.463, 21.592
0.596, 2.927, 7.205, -3.586, -0.011, 0.020, 15.404, 21.592
0.657, 3.070, 7.132, -3.651, -0.014, 0.020, 15.343, 21.593
0.721, 3.211, 7.058, -3.698, -0.016, 0.020, 15.279, 21.594
0.788, 3.351, 6.984, -3.725, -0.019, 0.020, 15.212, 21.595
0.858, 3.489, 6.909, -3.732, -0.023, 0.020, 15.142, 21.597
0.931, 3.626, 6.835, -3.717, -0.027, 0.020, 15.069, 21.599
1.006, 3.761, 6.761, -3.678, -0.031, 0.020, 14.994, 21.601
1.084, 3.895, 6.689, -3.612, -0.036, 0.020, 14.916, 21.603
1.164, 4.027, 6.619, -3.518, -0.042, 0.020, 14.836, 21.607
1.248, 4.158, 6.551, -3.391, -0.047, 0.020, 14.753, 21.610
1.333, 4.288, 6.486, -3.228, -0.054, 0.020, 14.667, 21.615
1.422, 4.416, 6.426, -3.025, -0.061, 0.020, 14.579, 21.620
1.512, 4.544, 6.370, -2.777, -0.069, 0.020, 14.488, 21.626
1.606, 4.670, 6.321, -2.479, -0.077, 0.020, 14.395, 21.632
1.702, 4.796, 6.278, -2.126, -0.086, 0.020, 14.300, 21.640
1.800, 4.921, 6.244, -1.712, -0.095, 0.020, 14.201, 21.649
1.901, 5.045, 6.219, -1.232, -0.105, 0.020, 14.101, 21.659
2.004, 5.169, 6.206, -0.683, -0.116, 0.020, 13.998, 21.671
2.110, 5.293, 6.205, -0.059, -0.128, 0.020, 13.893, 21.683
2.219, 5.418, 6.217, 0.640, -0.140, 0.020, 13.786, 21.698
2.330, 5.542, 6.246, 1.415, -0.153, 0.020, 13.676, 21.714
2.443, 5.668, 6.291, 2.264, -0.166, 0.020, 13.564, 21.732
2.559, 5.795, 6.355, 3.183, -0.180, 0.020, 13.450, 21.752
2.677, 5.924, 6.438, 4.162, -0.195, 0.020, 13.334, 21.774
2.798, 6.055, 6.542, 5.189, -0.210, 0.020, 13.215, 21.798
2.922, 6.188, 6.667, 6.250, -0.225, 0.020, 13.094, 21.825
3.049, 6.325, 6.813, 7.324, -0.242, 0.020, 12.971, 21.854
3.178, 6.464, 6.981, 8.389, -0.258, 0.020, 12.846, 21.886
3.310, 6.608, 7.169, 9.421, -0.275, 0.020, 12.718, 21.921
3.445, 6.755, 7.377, 10.393, -0.292, 0.020, 12.589, 21.959
3.583, 6.907, 7.603, 11.279, -0.309, 0.020, 12.457, 22.000
3.725, 7.064, 7.844, 12.057, -0.326, 0.020, 12.323, 22.044
3.869, 7.226, 8.098, 12.705, -0.343, 0.020, 12.186, 22.091
4.017, 7.393, 8.362, 13.208, -0.360, 0.020, 12.047, 22.142
4.168, 7.566, 8.633, 13.555, -0.377, 0.020, 11.906, 22.197
4.323, 7.744, 8.908, 13.746, -0.393, 0.020, 11.763, 22.255
4.482, 7.928, 9.184, 13.784, -0.409, 0.020, 11.617, 22.317
4.644, 8.117, 9.457, 13.681, -0.425, 0.020, 11.468, 22.383
4.810, 8.311, 9.727, 13.456, -0.440, 0.020, 11.317, 22.452
4.981, 8.511, 9.989, 13.131, -0.454, 0.020, 11.164, 22.526
5.155, 8.716, 10.244, 12.733, -0.467, 0.020, 11.008, 22.603
5.333, 8.926, 10.490, 12.290, -0.479, 0.020, 10.849, 22.685
5.516, 9.140, 10.726, 11.831, -0.491, 0.020, 10.687, 22.770
5.703, 9.359, 10.954, 11.381, -0.501, 0.020, 10.522, 22.859
5.895, 9.583, 11.173, 10.964, -0.510, 0.020, 10.355, 22.952
6.091, 9.811, 11.385, 10.599, -0.518, 0.020, 10.184, 23.048
6.292, 10.042, 11.591, 10.301, -0.525, 0.020, 10.010, 23.148
6.498, 10.278, 11.793, 10.077, -0.530, 0.020, 9.832, 23.252
6.708, 10.518, 11.991, 9.929, -0.533, 0.020, 9.651, 23.358
6.923, 10.762, 12.188, 9.851, -0.536, 0.020, 9.465, 23.468
7.143, 11.010, 12.385, 9.826, -0.536, 0.020, 9.276, 23.581
7.367, 11.154, 7.226, -257.927, -0.535, 0.020, 9.084, 23.694
7.588, 11.082, -3.594, -541.016, -0.532, 0.020, 8.893, 23.807
7.808, 11.006, -3.793, -9.942, -0.528, 0.020, 8.704, 23.919
8.027, 10.926, -3.993, -9.990, -0.522, 0.020, 8.515, 24.028
8.244, 10.843, -4.195, -10.101, -0.515, 0.020, 8.326, 24.136
8.459, 10.755, -4.401, -10.290, -0.507, 0.020, 8.139, 24.241
8.672, 10.662, -4.612, -10.561, -0.497, 0.020, 7.952, 24.343
8.883, 10.566, -4.830, -10.910, -0.486, 0.020, 7.765, 24.443
