position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 15.50000, 14.50000, true
0.03000, -0.60000, -12.00000, 0.00000, 0.00011, 0.05000, 15.47000, 14.50000, true
0.09000, -1.20000, -12.00000, 0.00000, 0.00096, 0.05000, 15.41000, 14.49997, true
0.18000, -1.80000, -12.00000, 0.00000, 0.00382, 0.05000, 15.32000, 14.49977, true
0.30000, -2.40000, -12.00000, 0.00000, 0.01054, 0.05000, 15.20000, 14.49894, true
0.45000, -3.00000, -12.00000, 0.00000, 0.02372, 0.05000, 15.05003, 14.49644, true
0.63000, -3.60000, -12.00000, 0.00000, 0.04696, 0.05000, 14.87014, 14.49021, true
0.83000, -4.00000, 0.00000, 0.00000, 0.08345, 0.05000, 14.67056, 14.47738, true
1.03000, -4.00000, 0.00000, 0.00000, 0.13324, 0.05000, 14.47173, 14.45600, true
1.23000, -4.00000, 0.00000, 0.00000, 0.19941, 0.05000, 14.27447, 14.42319, true
1.43000, -4.00000, 0.00000, 0.00000, 0.28586, 0.05000, 14.08030, 14.37551, true
1.63000, -4.00000, 0.00000, 0.00000, 0.39660, 0.05000, 13.89179, 14.30903, true
1.83000, -4.00000, 0.00000, 0.00000, 0.53362, 0.05000, 13.71298, 14.21978, true
2.03000, -4.00000, 0.00000, 0.00000, 0.69294, 0.05000, 13.54943, 14.10503, true
2.23000, -4.00000, 0.00000, 0.00000, 0.86187, 0.05000, 13.40704, 13.96492, true
2.43000, -4.00000, 0.00000, 0.00000, 1.02281, 0.05000, 13.28981, 13.80315, true
2.63000, -4.00000, 0.00000, 0.00000, 1.16229, 0.05000, 13.19822, 13.62554, true
2.83000, -4.00000, 0.00000, 0.00000, 1.27556, 0.05000, 13.12973, 13.43774, true
3.03000, -4.00000, 0.00000, 0.00000, 1.36419, 0.05000, 13.08046, 13.24398, true
3.23000, -4.00000, 0.00000, 0.00000, 1.43214, 0.05000, 13.04641, 13.04693, true
3.43000, -4.00000, 0.00000, 0.00000, 1.48337, 0.05000, 13.02410, 12.84820, true
3.63000, -4.00000, 0.00000, 0.00000, 1.52103, 0.05000, 13.01060, 12.64867, true
3.83000, -4.00000, 0.00000, 0.00000, 1.54735, 0.05000, 13.00346, 12.44880, true
4.00000, -3.40000, 12.00000, 0.00000, 1.56185, 0.05000, 13.00080, 12.27883, true
4.14000, -2.80000, 12.00000, 0.00000, 1.56869, 0.05000, 13.00008, 12.13883, true
4.25000, -2.20000, 12.00000, 0.00000, 1.57087, 0.05000, 13.00000, 12.02883, true
4.33000, -1.60000, 12.00000, 0.00000, 1.57097, 0.05000, 12.99999, 12.05117, true
4.38000, -1.00000, 12.00000, 0.00000, 1.57097, 0.05000, 12.99998, 12.10117, true
4.40000, -0.40000, 12.00000, 0.00000, 1.57098, 0.05000, 12.99998, 12.12117, true
4.39000, 0.00000, 0.00000, 0.00000, 1.57098, 0.05000, 12.99998, 12.11117, true
4.39000, 0.00000, 0.00000, 0.00000, 1.57098, 0.05000, 12.99998, 12.11117, true
4.39000, 0.00000, 0.00000, 0.00000, 1.57098, 0.05000, 12.99998, 12.11117, false
4.42000, 0.60000, 12.00000, 0.00000, 1.57098, 0.05000, 12.99998, 12.14117, false
4.48000, 1.20000, 12.00000, 0.00000, 1.57099, 0.05000, 12.99996, 12.20117, false
4.57000, 1.80000, 12.00000, 0.00000, 1.57101, 0.05000, 12.99995, 12.29117, false
4.69000, 2.40000, 12.00000, 0.00000, 1.57106, 0.05000, 12.99992, 12.41117, false
4.84000, 3.00000, 12.00000, 0.00000, 1.57115, 0.05000, 12.99987, 12.56117, false
5.02000, 3.60000, 12.00000, 0.00000, 1.57133, 0.05000, 12.99979, 12.74117, false
5.22000, 4.00000, 0.00000, 0.00000, 1.57163, 0.05000, 12.99966, 12.94117, false
5.42000, 4.00000, 0.00000, 0.00000, 1.57206, 0.05000, 12.99945, 13.14117, false
5.62000, 4.00000, 0.00000, 0.00000, 1.57262, 0.05000, 12.99914, 13.34117, false
5.82000, 4.00000, 0.00000, 0.00000, 1.57335, 0.05000, 12.99871, 13.54117, false
6.02000, 4.00000, 0.00000, 0.00000, 1.57427, 0.05000, 12.99811, 13.74117, false
6.22000, 4.00000, 0.00000, 0.00000, 1.57538, 0.05000, 12.99731, 13.94117, false
6.42000, 4.00000, 0.00000, 0.00000, 1.57672, 0.05000, 12.99626, 14.14116, false
6.62000, 4.00000, 0.00000, 0.00000, 1.57829, 0.05000, 12.99492, 14.34116, false
6.82000, 4.00000, 0.00000, 0.00000, 1.58012, 0.05000, 12.99325, 14.54115, false
7.02000, 4.00000, 0.00000, 0.00000, 1.58222, 0.05000, 12.99118, 14.74114, false
7.22000, 4.00000, 0.00000, 0.00000, 1.58462, 0.05000, 12.98866, 14.94113, false
7.42000, 4.00000, 0.00000, 0.00000, 1.58733, 0.05000, 12.98563, 15.14110, false
7.62000, 4.00000, 0.00000, 0.00000, 1.59038, 0.05000, 12.98202, 15.34107, false
7.82000, 4.00000, 0.00000, 0.00000, 1.59379, 0.05000, 12.97777, 15.54103, false
8.02000, 4.00000, 0.00000, 0.00000, 1.59757, 0.05000, 12.97280, 15.74096, false
8.22000, 4.00000, 0.00000, 0.00000, 1.60175, 0.05000, 12.96703, 15.94088, false
8.42000, 4.00000, 0.00000, 0.00000, 1.60636, 0.05000, 12.96039, 16.14077, false
8.62000, 4.00000, 0.00000, 0.00000, 1.61141, 0.05000, 12.95278, 16.34063, false
8.82000, 4.00000, 0.00000, 0.00000, 1.61694, 0.05000, 12.94412, 16.54044, false
9.02000, 4.00000, 0.00000, 0.00000, 1.62297, 0.05000, 12.93430, 16.74020, false
9.22000, 4.00000, 0.00000, 0.00000, 1.62954, 0.05000, 12.92322, 16.93989, false
9.42000, 4.00000, 0.00000, 0.00000, 1.63666, 0.05000, 12.91078, 17.13950, false
9.62000, 4.00000, 0.00000, 0.00000, 1.64439, 0.05000, 12.89685, 17.33901, false
9.82000, 4.00000, 0.00000, 0.00000, 1.65275, 0.05000, 12.88132, 17.53841, false
10.02000, 4.00000, 0.00000, 0.00000, 1.66178, 0.05000, 12.86406, 17.73766, false
10.22000, 4.00000, 0.00000, 0.00000, 1.67153, 0.05000, 12.84493, 17.93675, false
10.42000, 4.00000, 0.00000, 0.00000, 1.68203, 0.05000, 12.82379, 18.13562, false
10.62000, 4.00000, 0.00000, 0.00000, 1.69333, 0.05000, 12.80048, 18.33426, false
10.82000, 4.00000, 0.00000, 0.00000, 1.70549, 0.05000, 12.77484, 18.53261, false
11.02000, 4.00000, 0.00000, 0.00000, 1.71856, 0.05000, 12.74671, 18.73062, false
11.22000, 4.00000, 0.00000, 0.00000, 1.73259, 0.05000, 12.71589, 18.92823, false
11.42000, 4.00000, 0.00000, 0.00000, 1.74764, 0.05000, 12.68221, 19.12537, false
11.62000, 4.00000, 0.00000, 0.00000, 1.76377, 0.05000, 12.64545, 19.32196, false
11.82000, 4.00000, 0.00000, 0.00000, 1.78106, 0.05000, 12.60542, 19.51791, false
12.02000, 4.00000, 0.00000, 0.00000, 1.79956, 0.05000, 12.56189, 19.71311, false
12.22000, 4.00000, 0.00000, 0.00000, 1.81933, 0.05000, 12.51464, 19.90745, false
12.42000, 4.00000, 0.00000, 0.00000, 1.84046, 0.05000, 12.46342, 20.10077, false
12.62000, 4.00000, 0.00000, 0.00000, 1.86300, 0.05000, 12.40799, 20.29294, false
12.82000, 4.00000, 0.00000, 0.00000, 1.88702, 0.05000, 12.34811, 20.48376, false
13.02000, 4.00000, 0.00000, 0.00000, 1.91257, 0.05000, 12.28351, 20.67303, false
13.22000, 4.00000, 0.00000, 0.00000, 1.93969, 0.05000, 12.21396, 20.86054, false
13.42000, 4.00000, 0.00000, 0.00000, 1.96842, 0.05000, 12.13920, 21.04604, false
13.62000, 4.00000, 0.00000, 0.00000, 1.99877, 0.05000, 12.05899, 21.22924, false
13.82000, 4.00000, 0.00000, 0.00000, 2.03074, 0.05000, 11.97312, 21.40986, false
14.02000, 4.00000, 0.00000, 0.00000, 2.06429, 0.05000, 11.88137, 21.58756, false
14.22000, 4.00000, 0.00000, 0.00000, 2.09937, 0.05000, 11.78358, 21.76201, false
14.42000, 4.00000, 0.00000, 0.00000, 2.13587, 0.05000, 11.67961, 21.93285, false
14.62000, 4.00000, 0.00000, 0.00000, 2.17367, 0.05000, 11.56937, 22.09971, false
14.82000, 4.00000, 0.00000, 0.00000, 2.21258, 0.05000, 11.45280, 22.26221, false
15.02000, 4.00000, 0.00000, 0.00000, 2.25242, 0.05000, 11.32993, 22.42000, false
15.22000, 4.00000, 0.00000, 0.00000, 2.29294, 0.05000, 11.20081, 22.57272, false
15.42000, 4.00000, 0.00000, 0.00000, 2.33388, 0.05000, 11.06558, 22.72005, false
15.62000, 4.00000, 0.00000, 0.00000, 2.37497, 0.05000, 10.92442, 22.86171, false
15.82000, 4.00000, 0.00000, 0.00000, 2.41593, 0.05000, 10.77757, 22.99746, false
16.02000, 4.00000, 0.00000, 0.00000, 2.45648, 0.05000, 10.62530, 23.12711, false
16.22000, 4.00000, 0.00000, 0.00000, 2.49638, 0.05000, 10.46794, 23.25053, false
16.42000, 4.00000, 0.00000, 0.00000, 2.53538, 0.05000, 10.30583, 23.36765, false
16.62000, 4.00000, 0.00000, 0.00000, 2.57330, 0.05000, 10.13933, 23.47844, false
16.82000, 4.00000, 0.00000, 0.00000, 2.60995, 0.05000, 9.96882, 23.58295, false
17.02000, 4.00000, 0.00000, 0.00000, 2.64521, 0.05000, 9.79467, 23.68125, false
17.22000, 4.00000, 0.00000, 0.00000, 2.67900, 0.05000, 9.61722, 23.77349, false
17.42000, 4.00000, 0.00000, 0.00000, 2.71124, 0.05000, 9.43682, 23.85982, false
17.62000, 4.00000, 0.00000, 0.00000, 2.74191, 0.05000, 9.25379, 23.94044, false
17.82000, 4.00000, 0.00000, 0.00000, 2.77101, 0.05000, 9.06844, 24.01555, false
18.02000, 4.00000, 0.00000, 0.00000, 2.79854, 0.05000, 8.88103, 24.08538, false
18.22000, 4.00000, 0.00000, 0.00000, 2.82454, 0.05000, 8.69183, 24.15017, false
18.42000, 4.00000, 0.00000, 0.00000, 2.84906, 0.05000, 8.50104, 24.21016, false
18.62000, 4.00000, 0.00000, 0.00000, 2.87214, 0.05000, 8.30888, 24.26560, false
18.82000, 4.00000, 0.00000, 0.00000, 2.89384, 0.05000, 8.11553, 24.31673, false
19.02000, 4.00000, 0.00000, 0.00000, 2.91424, 0.05000, 7.92115, 24.36377, false
19.22000, 4.00000, 0.00000, 0.00000, 2.93337, 0.05000, 7.72587, 24.40696, false
19.42000, 4.00000, 0.00000, 0.00000, 2.95133, 0.05000, 7.52982, 24.44653, false
19.62000, 4.00000, 0.00000, 0.00000, 2.96815, 0.05000, 7.33312, 24.48268, false
19.82000, 4.00000, 0.00000, 0.00000, 2.98391, 0.05000, 7.13586, 24.51562, false
